year,region_type,region_year_spec,region_id,region_level,products_fund_amount
2014,NUTS,2013,AT,0,236516.25
2014,NUTS,2013,AT1,1,236516.25
2014,NUTS,2013,AT13,2,236516.25
2014,NUTS,2013,AT130,3,236516.25
2014,NUTS,2013,BE,0,67108.75
2014,NUTS,2013,BE2,1,67108.75
2014,NUTS,2013,BE23,2,67108.75
2014,NUTS,2013,BE234,3,67108.75
2014,NUTS,2013,CZ,0,438432.5
2014,NUTS,2013,CZ0,1,438432.5
2014,NUTS,2013,CZ01,2,337930.0
2014,NUTS,2013,CZ010,3,337930.0
2014,NUTS,2013,CZ08,2,100502.5
2014,NUTS,2013,CZ080,3,100502.5
2014,NUTS,2013,DE,0,3316342.5
2014,NUTS,2013,DE1,1,394997.5
2014,NUTS,2013,DE11,2,394997.5
2014,NUTS,2013,DE111,3,394997.5
2014,NUTS,2013,DE2,1,1469420.0
2014,NUTS,2013,DE21,2,1469420.0
2014,NUTS,2013,DE212,3,1469420.0
2014,NUTS,2013,DEA,1,1351925.0
2014,NUTS,2013,DEA1,2,964487.5
2014,NUTS,2013,DEA14,3,964487.5
2014,NUTS,2013,DEA4,2,387437.5
2014,NUTS,2013,DEA43,3,226250.0
2014,NUTS,2013,DEA47,3,161187.5
2014,NUTS,2013,DEB,1,50000.0
2014,NUTS,2013,DEB3,2,50000.0
2014,NUTS,2013,DEB37,3,50000.0
2014,NUTS,2013,DEE,1,50000.0
2014,NUTS,2013,DEE0,2,50000.0
2014,NUTS,2013,DEE02,3,50000.0
2014,NUTS,2013,DK,0,750699.3
2014,NUTS,2013,DK0,1,750699.3
2014,NUTS,2013,DK01,2,474476.8
2014,NUTS,2013,DK012,3,474476.8
2014,NUTS,2013,DK03,2,50000.0
2014,NUTS,2013,DK031,3,50000.0
2014,NUTS,2013,DK04,2,226222.5
2014,NUTS,2013,DK041,3,226222.5
2014,NUTS,2013,EE,0,899500.0
2014,NUTS,2013,EE0,1,899500.0
2014,NUTS,2013,EE00,2,899500.0
2014,NUTS,2013,EE001,3,899500.0
2014,NUTS,2013,FR,0,613125.0
2014,NUTS,2013,FR8,1,613125.0
2014,NUTS,2013,FR82,2,613125.0
2014,NUTS,2013,FR823,3,613125.0
2014,NUTS,2013,IT,0,150000.0
2014,NUTS,2013,ITC,1,100000.0
