year,region_type,region_year_spec,region_id,region_level,public_health_proj_spec
2014,NUTS,2013,AT,0,2.4
2014,NUTS,2013,BE,0,1.2
2014,NUTS,2013,DE,0,1.12
2014,NUTS,2013,ES,0,1.08
2014,NUTS,2013,FR,0,0.49
2014,NUTS,2013,HU,0,4.46
2014,NUTS,2013,IT,0,1.64
2014,NUTS,2013,LV,0,3.9
2014,NUTS,2013,NL,0,0.54
2014,NUTS,2013,PT,0,1.42
2014,NUTS,2013,UK,0,0.98
2014,NUTS,2013,AT1,1,2.4
2014,NUTS,2013,BE1,1,1.95
2014,NUTS,2013,DE7,1,7.81
2014,NUTS,2013,DEA,1,3.35
2014,NUTS,2013,ES3,1,3.47
2014,NUTS,2013,FR1,1,1.04
2014,NUTS,2013,HU1,1,4.46
2014,NUTS,2013,ITF,1,15.62
2014,NUTS,2013,ITH,1,1.95
2014,NUTS,2013,ITI,1,1.42
2014,NUTS,2013,LV0,1,3.9
2014,NUTS,2013,NL3,1,0.78
2014,NUTS,2013,PT1,1,1.42
2014,NUTS,2013,UKI,1,3.12
2014,NUTS,2013,AT13,2,2.6
2014,NUTS,2013,BE10,2,1.95
2014,NUTS,2013,DE71,2,15.62
2014,NUTS,2013,DEA2,2,4.26
2014,NUTS,2013,ES30,2,3.47
2014,NUTS,2013,FR10,2,1.04
2014,NUTS,2013,HU10,2,4.46
2014,NUTS,2013,ITF3,2,15.62
2014,NUTS,2013,ITH5,2,3.9
2014,NUTS,2013,ITI4,2,1.74
2014,NUTS,2013,LV00,2,3.9
2014,NUTS,2013,NL33,2,1.56
2014,NUTS,2013,PT17,2,1.95
2014,NUTS,2013,UKI3,2,3.9
2014,NUTS,2013,AT130,3,2.6
2014,NUTS,2013,BE100,3,1.95
2014,NUTS,2013,DE711,3,15.62
2014,NUTS,2013,DEA22,3,7.81
2014,NUTS,2013,DEA23,3,3.12
2014,NUTS,2013,ES300,3,3.47
2014,NUTS,2013,FR101,3,1.2
2014,NUTS,2013,HU101,3,4.46
