,year,region_type,region_year_spec,region_id,region_level,policy_proj_count
0,2014,NUTS,2013,AT,0,8
1,2014,NUTS,2013,AT1,1,8
2,2014,NUTS,2013,AT12,2,1
3,2014,NUTS,2013,AT123,3,1
4,2014,NUTS,2013,AT13,2,7
5,2014,NUTS,2013,AT130,3,7
6,2014,NUTS,2013,BE,0,12
7,2014,NUTS,2013,BE1,1,8
8,2014,NUTS,2013,BE10,2,8
9,2014,NUTS,2013,BE100,3,8
10,2014,NUTS,2013,BE2,1,3
11,2014,NUTS,2013,BE21,2,2
12,2014,NUTS,2013,BE211,3,1
13,2014,NUTS,2013,BE213,3,1
14,2014,NUTS,2013,BE24,2,1
15,2014,NUTS,2013,BE242,3,1
16,2014,NUTS,2013,BE3,1,1
17,2014,NUTS,2013,BE35,2,1
18,2014,NUTS,2013,BE352,3,1
19,2014,NUTS,2013,CZ,0,2
20,2014,NUTS,2013,CZ0,1,2
21,2014,NUTS,2013,CZ01,2,2
22,2014,NUTS,2013,CZ010,3,2
23,2014,NUTS,2013,DE,0,8
24,2014,NUTS,2013,DE1,1,1
25,2014,NUTS,2013,DE12,2,1
26,2014,NUTS,2013,DE125,3,1
27,2014,NUTS,2013,DE2,1,2
28,2014,NUTS,2013,DE21,2,2
29,2014,NUTS,2013,DE212,3,2
30,2014,NUTS,2013,DE3,1,1
31,2014,NUTS,2013,DE30,2,1
32,2014,NUTS,2013,DE300,3,1
33,2014,NUTS,2013,DEA,1,4
34,2014,NUTS,2013,DEA2,2,4
35,2014,NUTS,2013,DEA23,3,3
36,2014,NUTS,2013,DEA26,3,1
37,2014,NUTS,2013,DK,0,1
38,2014,NUTS,2013,DK0,1,1
39,2014,NUTS,2013,DK01,2,1
40,2014,NUTS,2013,DK011,3,1
41,2014,NUTS,2013,EE,0,4
42,2014,NUTS,2013,EE0,1,4
43,2014,NUTS,2013,EE00,2,4
44,2014,NUTS,2013,EE001,3,2
45,2014,NUTS,2013,EE008,3,2
46,2014,NUTS,2013,ES,0,14
47,2014,NUTS,2013,ES3,1,7
48,2014,NUTS,2013,ES30,2,7
49,2014,NUTS,2013,ES300,3,7
50,2014,NUTS,2013,ES5,1,2
51,2014,NUTS,2013,ES51,2,2
52,2014,NUTS,2013,ES511,3,1
53,2014,NUTS,2013,ES512,3,1
54,2014,NUTS,2013,ES6,1,5
55,2014,NUTS,2013,ES61,2,5
56,2014,NUTS,2013,ES611,3,1
57,2014,NUTS,2013,ES614,3,1
58,2014,NUTS,2013,ES617,3,1
59,2014,NUTS,2013,ES618,3,2
60,2014,NUTS,2013,FI,0,2
61,2014,NUTS,2013,FI1,1,2
62,2014,NUTS,2013,FI1D,2,2
63,2014,NUTS,2013,FI1D6,3,2
64,2014,NUTS,2013,FR,0,12
65,2014,NUTS,2013,FR1,1,5
66,2014,NUTS,2013,FR10,2,5
67,2014,NUTS,2013,FR101,3,4
68,2014,NUTS,2013,FR105,3,1
69,2014,NUTS,2013,FR4,1,1
70,2014,NUTS,2013,FR43,2,1
71,2014,NUTS,2013,FR431,3,1
72,2014,NUTS,2013,FR5,1,3
73,2014,NUTS,2013,FR51,2,2
74,2014,NUTS,2013,FR512,3,1
75,2014,NUTS,2013,FR514,3,1
76,2014,NUTS,2013,FR52,2,1
77,2014,NUTS,2013,FR522,3,1
78,2014,NUTS,2013,FR6,1,2
79,2014,NUTS,2013,FR62,2,2
80,2014,NUTS,2013,FR623,3,2
81,2014,NUTS,2013,FR7,1,1
82,2014,NUTS,2013,FR71,2,1
83,2014,NUTS,2013,FR716,3,1
84,2014,NUTS,2013,HR,0,3
85,2014,NUTS,2013,HR0,1,3
86,2014,NUTS,2013,HR04,2,3
87,2014,NUTS,2013,HR042,3,3
88,2014,NUTS,2013,HU,0,3
89,2014,NUTS,2013,HU1,1,3
90,2014,NUTS,2013,HU10,2,3
91,2014,NUTS,2013,HU101,3,3
92,2014,NUTS,2013,IT,0,18
93,2014,NUTS,2013,ITC,1,5
94,2014,NUTS,2013,ITC1,2,5
95,2014,NUTS,2013,ITC11,3,4
96,2014,NUTS,2013,ITC12,3,1
97,2014,NUTS,2013,ITH,1,2
98,2014,NUTS,2013,ITH4,2,1
99,2014,NUTS,2013,ITH44,3,1
100,2014,NUTS,2013,ITH5,2,1
101,2014,NUTS,2013,ITH55,3,1
102,2014,NUTS,2013,ITI,1,11
103,2014,NUTS,2013,ITI1,2,1
104,2014,NUTS,2013,ITI18,3,1
105,2014,NUTS,2013,ITI3,2,1
106,2014,NUTS,2013,ITI33,3,1
107,2014,NUTS,2013,ITI4,2,9
108,2014,NUTS,2013,ITI43,3,9
109,2014,NUTS,2013,LU,0,1
110,2014,NUTS,2013,LU0,1,1
111,2014,NUTS,2013,LU00,2,1
112,2014,NUTS,2013,LU000,3,1
113,2014,NUTS,2013,LV,0,1
114,2014,NUTS,2013,LV0,1,1
115,2014,NUTS,2013,LV00,2,1
116,2014,NUTS,2013,LV006,3,1
117,2014,NUTS,2013,NL,0,7
118,2014,NUTS,2013,NL1,1,1
119,2014,NUTS,2013,NL11,2,1
120,2014,NUTS,2013,NL113,3,1
121,2014,NUTS,2013,NL2,1,1
122,2014,NUTS,2013,NL22,2,1
123,2014,NUTS,2013,NL226,3,1
124,2014,NUTS,2013,NL3,1,4
125,2014,NUTS,2013,NL31,2,1
126,2014,NUTS,2013,NL310,3,1
127,2014,NUTS,2013,NL32,2,2
128,2014,NUTS,2013,NL326,3,2
129,2014,NUTS,2013,NL33,2,1
130,2014,NUTS,2013,NL332,3,1
131,2014,NUTS,2013,NL4,1,1
132,2014,NUTS,2013,NL41,2,1
133,2014,NUTS,2013,NL413,3,1
134,2014,NUTS,2013,PL,0,4
135,2014,NUTS,2013,PL1,1,4
136,2014,NUTS,2013,PL12,2,4
137,2014,NUTS,2013,PL127,3,4
138,2014,NUTS,2013,PT,0,6
139,2014,NUTS,2013,PT1,1,6
140,2014,NUTS,2013,PT17,2,6
141,2014,NUTS,2013,PT170,3,6
142,2014,NUTS,2013,RO,0,1
143,2014,NUTS,2013,RO3,1,1
144,2014,NUTS,2013,RO32,2,1
145,2014,NUTS,2013,RO321,3,1
146,2014,NUTS,2013,SE,0,3
147,2014,NUTS,2013,SE1,1,3
148,2014,NUTS,2013,SE11,2,2
149,2014,NUTS,2013,SE110,3,2
150,2014,NUTS,2013,SE12,2,1
151,2014,NUTS,2013,SE122,3,1
152,2014,NUTS,2013,SI,0,1
153,2014,NUTS,2013,SI0,1,1
154,2014,NUTS,2013,SI04,2,1
155,2014,NUTS,2013,SI041,3,1
156,2014,NUTS,2013,UK,0,6
157,2014,NUTS,2013,UKE,1,1
158,2014,NUTS,2013,UKE4,2,1
159,2014,NUTS,2013,UKE42,3,1
160,2014,NUTS,2013,UKJ,1,1
161,2014,NUTS,2013,UKJ2,2,1
162,2014,NUTS,2013,UKJ25,3,1
163,2014,NUTS,2013,UKK,1,1
164,2014,NUTS,2013,UKK1,2,1
165,2014,NUTS,2013,UKK11,3,1
166,2014,NUTS,2013,UKM,1,2
167,2014,NUTS,2013,UKM3,2,2
168,2014,NUTS,2013,UKM34,3,2
