,year,region_type,region_year_spec,region_id,region_level,public_health_fund_spec
0,2014,NUTS,2013,AT,0,2.73
1,2014,NUTS,2013,BE,0,0.39
2,2014,NUTS,2013,DE,0,3.15
3,2014,NUTS,2013,ES,0,2.58
4,2014,NUTS,2013,FR,0,0.86
5,2014,NUTS,2013,HU,0,5.77
6,2014,NUTS,2013,IT,0,3.22
7,2014,NUTS,2013,LV,0,4.5
8,2014,NUTS,2013,NL,0,1.93
9,2014,NUTS,2013,PT,0,2.89
10,2014,NUTS,2013,UK,0,0.03
11,2014,NUTS,2013,AT1,1,2.73
12,2014,NUTS,2013,BE1,1,2.4
13,2014,NUTS,2013,DE7,1,19.1
14,2014,NUTS,2013,DEA,1,10.56
15,2014,NUTS,2013,ES3,1,3.78
16,2014,NUTS,2013,FR1,1,0.98
17,2014,NUTS,2013,HU1,1,5.77
18,2014,NUTS,2013,ITF,1,27.77
19,2014,NUTS,2013,ITH,1,8.56
20,2014,NUTS,2013,ITI,1,2.29
21,2014,NUTS,2013,LV0,1,4.5
22,2014,NUTS,2013,NL3,1,2.37
23,2014,NUTS,2013,PT1,1,2.89
24,2014,NUTS,2013,UKI,1,0.03
25,2014,NUTS,2013,AT13,2,2.88
26,2014,NUTS,2013,BE10,2,2.4
27,2014,NUTS,2013,DE71,2,27.77
28,2014,NUTS,2013,DEA2,2,16.19
29,2014,NUTS,2013,ES30,2,3.78
30,2014,NUTS,2013,FR10,2,0.98
31,2014,NUTS,2013,HU10,2,5.77
32,2014,NUTS,2013,ITF3,2,27.77
33,2014,NUTS,2013,ITH5,2,10.27
34,2014,NUTS,2013,ITI4,2,2.52
35,2014,NUTS,2013,LV00,2,4.5
36,2014,NUTS,2013,NL33,2,3.31
37,2014,NUTS,2013,PT17,2,3.9
38,2014,NUTS,2013,UKI3,2,0.03
39,2014,NUTS,2013,AT130,3,2.88
40,2014,NUTS,2013,BE100,3,2.4
41,2014,NUTS,2013,DE711,3,27.77
42,2014,NUTS,2013,DEA22,3,23.67
43,2014,NUTS,2013,DEA23,3,2.38
44,2014,NUTS,2013,ES300,3,3.78
45,2014,NUTS,2013,FR101,3,1.01
46,2014,NUTS,2013,HU101,3,5.77
47,2014,NUTS,2013,ITF33,3,27.77
48,2014,NUTS,2013,ITH55,3,10.27
49,2014,NUTS,2013,ITI43,3,2.52
50,2014,NUTS,2013,LV006,3,5.01
51,2014,NUTS,2013,NL332,3,10.09
52,2014,NUTS,2013,PT170,3,3.9
53,2014,NUTS,2013,UKI32,3,0.03
54,2015,NUTS,2013,AT,0,1.42
55,2015,NUTS,2013,BE,0,0.45
56,2015,NUTS,2013,CZ,0,0.05
57,2015,NUTS,2013,DE,0,1.49
58,2015,NUTS,2013,DK,0,1.04
59,2015,NUTS,2013,EE,0,0.54
60,2015,NUTS,2013,ES,0,1.8
61,2015,NUTS,2013,FI,0,1.43
62,2015,NUTS,2013,FR,0,0.73
63,2015,NUTS,2013,HR,0,0.06
64,2015,NUTS,2013,HU,0,0.62
65,2015,NUTS,2013,IE,0,1.08
66,2015,NUTS,2013,IT,0,0.71
67,2015,NUTS,2013,LV,0,0.07
68,2015,NUTS,2013,NL,0,1.11
69,2015,NUTS,2013,PT,0,0.35
70,2015,NUTS,2013,SE,0,1.45
71,2015,NUTS,2013,SI,0,0.08
72,2015,NUTS,2013,SK,0,0.23
73,2015,NUTS,2013,UK,0,1.15
74,2015,NUTS,2013,AT1,1,0.2
75,2015,NUTS,2013,AT2,1,4.8
76,2015,NUTS,2013,AT3,1,0.91
77,2015,NUTS,2013,BE1,1,0.14
78,2015,NUTS,2013,BE2,1,2.74
79,2015,NUTS,2013,CZ0,1,0.05
80,2015,NUTS,2013,DE1,1,1.85
81,2015,NUTS,2013,DE2,1,0.62
82,2015,NUTS,2013,DE3,1,2.55
83,2015,NUTS,2013,DE4,1,3.3
84,2015,NUTS,2013,DE5,1,2.34
85,2015,NUTS,2013,DE7,1,1.57
86,2015,NUTS,2013,DE8,1,3.77
87,2015,NUTS,2013,DE9,1,3.07
88,2015,NUTS,2013,DEA,1,0.84
89,2015,NUTS,2013,DED,1,0.82
90,2015,NUTS,2013,DEE,1,16.45
91,2015,NUTS,2013,DEG,1,3.91
92,2015,NUTS,2013,DK0,1,1.04
93,2015,NUTS,2013,EE0,1,0.54
94,2015,NUTS,2013,ES2,1,3.38
95,2015,NUTS,2013,ES3,1,0.69
96,2015,NUTS,2013,ES5,1,2.69
97,2015,NUTS,2013,ES6,1,1.76
98,2015,NUTS,2013,FI1,1,1.43
99,2015,NUTS,2013,FR1,1,0.88
100,2015,NUTS,2013,FR3,1,2.03
101,2015,NUTS,2013,FR4,1,2.13
102,2015,NUTS,2013,HR0,1,0.06
103,2015,NUTS,2013,HU1,1,0.75
104,2015,NUTS,2013,HU3,1,0.39
105,2015,NUTS,2013,IE0,1,1.08
106,2015,NUTS,2013,ITC,1,1.27
107,2015,NUTS,2013,ITH,1,0.37
108,2015,NUTS,2013,ITI,1,0.49
109,2015,NUTS,2013,LV0,1,0.07
110,2015,NUTS,2013,NL1,1,2.39
111,2015,NUTS,2013,NL2,1,0.53
112,2015,NUTS,2013,NL3,1,1.29
113,2015,NUTS,2013,NL4,1,0.05
114,2015,NUTS,2013,PT1,1,0.35
115,2015,NUTS,2013,SE1,1,1.52
116,2015,NUTS,2013,SE2,1,1.64
117,2015,NUTS,2013,SI0,1,0.08
118,2015,NUTS,2013,SK0,1,0.23
119,2015,NUTS,2013,UKD,1,1.01
120,2015,NUTS,2013,UKE,1,0.28
121,2015,NUTS,2013,UKF,1,0.3
122,2015,NUTS,2013,UKG,1,7.46
123,2015,NUTS,2013,UKI,1,1.52
124,2015,NUTS,2013,UKJ,1,0.5
125,2015,NUTS,2013,UKL,1,2.44
126,2015,NUTS,2013,UKM,1,0.62
127,2015,NUTS,2013,AT12,2,0.49
128,2015,NUTS,2013,AT13,2,0.06
129,2015,NUTS,2013,AT22,2,4.95
