year,region_type,region_year_spec,region_id,region_level,public_health_fund_amount
2014,NUTS,2013,AT,0,303231.0
2014,NUTS,2013,AT1,1,303231.0
2014,NUTS,2013,AT13,2,303231.0
2014,NUTS,2013,AT130,3,303231.0
2014,NUTS,2013,BE,0,261308.0
2014,NUTS,2013,BE1,1,261308.0
2014,NUTS,2013,BE10,2,261308.0
2014,NUTS,2013,BE100,3,261308.0
2014,NUTS,2013,DE,0,1641523.0
2014,NUTS,2013,DE7,1,162000.0
2014,NUTS,2013,DE71,2,162000.0
2014,NUTS,2013,DE711,3,162000.0
2014,NUTS,2013,DEA,1,1479523.0
2014,NUTS,2013,DEA2,2,1479523.0
2014,NUTS,2013,DEA22,3,1420505.0
2014,NUTS,2013,DEA23,3,59018.0
2014,NUTS,2013,ES,0,271827.0
2014,NUTS,2013,ES3,1,271827.0
2014,NUTS,2013,ES30,2,271827.0
2014,NUTS,2013,ES300,3,271827.0
2014,NUTS,2013,FR,0,710253.0
2014,NUTS,2013,FR1,1,710253.0
2014,NUTS,2013,FR10,2,710253.0
2014,NUTS,2013,FR101,3,710253.0
2014,NUTS,2013,HU,0,157861.0
2014,NUTS,2013,HU1,1,157861.0
2014,NUTS,2013,HU10,2,157861.0
2014,NUTS,2013,HU101,3,157861.0
2014,NUTS,2013,IT,0,773884.0
2014,NUTS,2013,ITF,1,27000.0
2014,NUTS,2013,ITF3,2,27000.0
2014,NUTS,2013,ITF33,3,27000.0
2014,NUTS,2013,ITH,1,303231.0
2014,NUTS,2013,ITH5,2,303231.0
2014,NUTS,2013,ITH55,3,303231.0
2014,NUTS,2013,ITI,1,443653.0
2014,NUTS,2013,ITI4,2,443653.0
2014,NUTS,2013,ITI43,3,443653.0
2014,NUTS,2013,LV,0,127398.0
2014,NUTS,2013,LV0,1,127398.0
2014,NUTS,2013,LV00,2,127398.0
2014,NUTS,2013,LV006,3,127398.0
2014,NUTS,2013,NL,0,645129.0
2014,NUTS,2013,NL3,1,645129.0
2014,NUTS,2013,NL33,2,645129.0
2014,NUTS,2013,NL332,3,645129.0
2014,NUTS,2013,PT,0,164844.0
2014,NUTS,2013,PT1,1,164844.0
2014,NUTS,2013,PT17,2,164844.0
2014,NUTS,2013,PT170,3,164844.0
2014,NUTS,2013,UK,0,50000.0
2014,NUTS,2013,UKI,1,50000.0
2014,NUTS,2013,UKI3,2,50000.0
2014,NUTS,2013,UKI32,3,50000.0
2015,NUTS,2013,AT,0,5141952.18
2015,NUTS,2013,AT1,1,456818.95
2015,NUTS,2013,AT12,2,364631.45
2015,NUTS,2013,AT127,3,364631.45
2015,NUTS,2013,AT13,2,92187.5
2015,NUTS,2013,AT130,3,92187.5
2015,NUTS,2013,AT2,1,4275133.23
2015,NUTS,2013,AT22,2,4275133.23
2015,NUTS,2013,AT221,3,4275133.23
2015,NUTS,2013,AT3,1,410000.0
2015,NUTS,2013,AT33,2,410000.0
2015,NUTS,2013,AT332,3,410000.0
2015,NUTS,2013,BE,0,6901319.47
2015,NUTS,2013,BE1,1,1842002.89
2015,NUTS,2013,BE10,2,1842002.89
2015,NUTS,2013,BE100,3,1842002.89
2015,NUTS,2013,BE2,1,5059316.58
2015,NUTS,2013,BE23,2,1671832.75
2015,NUTS,2013,BE234,3,1517145.0
2015,NUTS,2013,BE235,3,154687.75
2015,NUTS,2013,BE24,2,3387483.83
2015,NUTS,2013,BE241,3,253437.5
2015,NUTS,2013,BE242,3,3134046.33
2015,NUTS,2013,CZ,0,21950.0
2015,NUTS,2013,CZ0,1,21950.0
2015,NUTS,2013,CZ06,2,21950.0
2015,NUTS,2013,CZ064,3,21950.0
2015,NUTS,2013,DE,0,24010867.72
2015,NUTS,2013,DE1,1,6615189.59
2015,NUTS,2013,DE12,2,6405189.59
2015,NUTS,2013,DE122,3,300000.0
2015,NUTS,2013,DE125,3,6105189.59
2015,NUTS,2013,DE13,2,210000.0
2015,NUTS,2013,DE131,3,210000.0
2015,NUTS,2013,DE2,1,2113799.79
2015,NUTS,2013,DE21,2,1542997.29
2015,NUTS,2013,DE212,3,1328394.21
2015,NUTS,2013,DE21H,3,214603.08
2015,NUTS,2013,DE25,2,570802.5
2015,NUTS,2013,DE252,3,570802.5
