,year,region_type,region_year_spec,region_id,region_level,policy_proj_spec
0,2014,NUTS,2013,AT,0,1.73
1,2014,NUTS,2013,BE,0,1.29
2,2014,NUTS,2013,CZ,0,1.12
3,2014,NUTS,2013,DE,0,0.4
4,2014,NUTS,2013,DK,0,0.4
5,2014,NUTS,2013,EE,0,1.4
6,2014,NUTS,2013,ES,0,1.35
7,2014,NUTS,2013,FI,0,2.8
8,2014,NUTS,2013,FR,0,1.05
9,2014,NUTS,2013,HR,0,1.4
10,2014,NUTS,2013,HU,0,1.2
11,2014,NUTS,2013,IT,0,1.33
12,2014,NUTS,2013,LU,0,0.93
13,2014,NUTS,2013,LV,0,0.7
14,2014,NUTS,2013,NL,0,0.68
15,2014,NUTS,2013,PL,0,0.75
16,2014,NUTS,2013,PT,0,1.53
17,2014,NUTS,2013,RO,0,0.31
18,2014,NUTS,2013,SE,0,1.68
19,2014,NUTS,2013,SI,0,1.4
20,2014,NUTS,2013,UK,0,1.05
21,2014,NUTS,2013,AT1,1,1.73
22,2014,NUTS,2013,BE1,1,1.4
23,2014,NUTS,2013,BE2,1,1.2
24,2014,NUTS,2013,BE3,1,0.93
25,2014,NUTS,2013,CZ0,1,1.12
26,2014,NUTS,2013,DE1,1,0.25
27,2014,NUTS,2013,DE2,1,1.12
28,2014,NUTS,2013,DE3,1,0.47
29,2014,NUTS,2013,DEA,1,0.8
30,2014,NUTS,2013,DK0,1,0.4
31,2014,NUTS,2013,EE0,1,1.4
32,2014,NUTS,2013,ES3,1,2.18
33,2014,NUTS,2013,ES5,1,1.12
34,2014,NUTS,2013,ES6,1,2.8
35,2014,NUTS,2013,FI1,1,2.8
36,2014,NUTS,2013,FR1,1,0.93
37,2014,NUTS,2013,FR4,1,2.8
38,2014,NUTS,2013,FR5,1,1.68
39,2014,NUTS,2013,FR6,1,2.8
40,2014,NUTS,2013,FR7,1,0.56
41,2014,NUTS,2013,HR0,1,1.4
42,2014,NUTS,2013,HU1,1,1.2
43,2014,NUTS,2013,ITC,1,2.0
44,2014,NUTS,2013,ITH,1,0.7
45,2014,NUTS,2013,ITI,1,1.4
46,2014,NUTS,2013,LU0,1,0.93
47,2014,NUTS,2013,LV0,1,0.7
48,2014,NUTS,2013,NL1,1,2.8
49,2014,NUTS,2013,NL2,1,0.93
50,2014,NUTS,2013,NL3,1,0.56
51,2014,NUTS,2013,NL4,1,0.56
52,2014,NUTS,2013,PL1,1,2.24
53,2014,NUTS,2013,PT1,1,1.53
54,2014,NUTS,2013,RO3,1,0.56
55,2014,NUTS,2013,SE1,1,1.68
56,2014,NUTS,2013,SI0,1,1.4
57,2014,NUTS,2013,UKE,1,2.8
58,2014,NUTS,2013,UKJ,1,2.8
59,2014,NUTS,2013,UKK,1,2.8
60,2014,NUTS,2013,UKM,1,1.12
61,2014,NUTS,2013,UKN,1,1.4
62,2014,NUTS,2013,AT12,2,2.8
