year,region_type,region_year_spec,region_id,region_level,systems_proj_spec
2014,NUTS,2013,AT,0,0.29
2014,NUTS,2013,BE,0,1.03
2014,NUTS,2013,CZ,0,0.76
2014,NUTS,2013,DE,0,0.95
2014,NUTS,2013,DK,0,0.54
2014,NUTS,2013,EE,0,0.48
2014,NUTS,2013,ES,0,1.58
2014,NUTS,2013,FR,0,0.48
2014,NUTS,2013,HR,0,1.91
2014,NUTS,2013,IE,0,0.95
2014,NUTS,2013,IT,0,0.8
2014,NUTS,2013,LT,0,3.81
2014,NUTS,2013,LU,0,1.27
2014,NUTS,2013,NL,0,0.53
2014,NUTS,2013,PL,0,2.8
2014,NUTS,2013,PT,0,0.69
2014,NUTS,2013,RO,0,3.39
2014,NUTS,2013,SE,0,0.76
2014,NUTS,2013,UK,0,1.19
2014,NUTS,2013,AT1,1,0.29
2014,NUTS,2013,BE1,1,1.43
2014,NUTS,2013,BE3,1,1.27
2014,NUTS,2013,CZ0,1,0.76
2014,NUTS,2013,DE1,1,1.39
2014,NUTS,2013,DE3,1,0.64
2014,NUTS,2013,DE4,1,3.81
2014,NUTS,2013,DE9,1,2.18
2014,NUTS,2013,DEA,1,0.27
2014,NUTS,2013,DED,1,2.86
2014,NUTS,2013,DK0,1,0.54
2014,NUTS,2013,EE0,1,0.48
2014,NUTS,2013,ES1,1,3.81
2014,NUTS,2013,ES2,1,3.81
2014,NUTS,2013,ES4,1,3.05
2014,NUTS,2013,ES5,1,2.29
2014,NUTS,2013,ES7,1,3.81
2014,NUTS,2013,FR1,1,0.25
2014,NUTS,2013,FR5,1,0.76
2014,NUTS,2013,FR8,1,1.91
2014,NUTS,2013,HR0,1,1.91
2014,NUTS,2013,IE0,1,0.95
2014,NUTS,2013,ITH,1,1.43
2014,NUTS,2013,ITI,1,0.87
2014,NUTS,2013,LT0,1,3.81
2014,NUTS,2013,LU0,1,1.27
2014,NUTS,2013,NL3,1,0.57
2014,NUTS,2013,NL4,1,0.76
2014,NUTS,2013,PL1,1,0.76
