,year,region_type,region_year_spec,region_id,region_level,products_proj_spec
60,2014,NUTS,2013,DEB37,3,10.93
61,2014,NUTS,2013,DEE02,3,10.93
62,2014,NUTS,2013,DK012,3,10.93
63,2014,NUTS,2013,DK031,3,10.93
64,2014,NUTS,2013,DK041,3,10.93
65,2014,NUTS,2013,EE001,3,6.56
66,2014,NUTS,2013,FR823,3,10.93
67,2014,NUTS,2013,ITC11,3,2.19
68,2014,NUTS,2013,ITC4D,3,10.93
69,2014,NUTS,2013,ITH55,3,2.73
70,2014,NUTS,2013,LV006,3,3.64
71,2014,NUTS,2013,LV009,3,10.93
72,2014,NUTS,2013,NL213,3,10.93
73,2014,NUTS,2013,NL414,3,10.93
74,2014,NUTS,2013,NL423,3,10.93
75,2014,NUTS,2013,PT112,3,10.93
76,2014,NUTS,2013,PT11A,3,10.93
77,2015,NUTS,2013,AT,0,1.06
78,2015,NUTS,2013,BE,0,0.93
79,2015,NUTS,2013,BG,0,3.05
80,2015,NUTS,2013,CY,0,0.76
81,2015,NUTS,2013,CZ,0,0.45
82,2015,NUTS,2013,DE,0,1.32
83,2015,NUTS,2013,DK,0,0.52
84,2015,NUTS,2013,EE,0,0.15
85,2015,NUTS,2013,ES,0,1.03
86,2015,NUTS,2013,FI,0,2.25
87,2015,NUTS,2013,FR,0,1.04
88,2015,NUTS,2013,HU,0,0.5
89,2015,NUTS,2013,IE,0,0.87
90,2015,NUTS,2013,IT,0,1.21
91,2015,NUTS,2013,LT,0,0.98
92,2015,NUTS,2013,LU,0,0.57
93,2015,NUTS,2013,LV,0,0.27
94,2015,NUTS,2013,NL,0,0.86
95,2015,NUTS,2013,PL,0,1.17
96,2015,NUTS,2013,PT,0,0.4
97,2015,NUTS,2013,RO,0,1.17
98,2015,NUTS,2013,SE,0,0.91
99,2015,NUTS,2013,SI,0,1.29
100,2015,NUTS,2013,UK,0,0.76
101,2015,NUTS,2013,AT1,1,0.74
102,2015,NUTS,2013,AT2,1,1.93
103,2015,NUTS,2013,AT3,1,1.16
104,2015,NUTS,2013,BE1,1,0.7
105,2015,NUTS,2013,BE2,1,1.32
106,2015,NUTS,2013,BE3,1,1.02
107,2015,NUTS,2013,BG4,1,3.05
108,2015,NUTS,2013,CY0,1,0.76
109,2015,NUTS,2013,CZ0,1,0.45
110,2015,NUTS,2013,DE1,1,1.11
111,2015,NUTS,2013,DE2,1,1.9
112,2015,NUTS,2013,DE3,1,0.68
113,2015,NUTS,2013,DE5,1,0.34
114,2015,NUTS,2013,DE6,1,2.16
115,2015,NUTS,2013,DE7,1,1.19
116,2015,NUTS,2013,DE8,1,2.29
117,2015,NUTS,2013,DE9,1,1.36
118,2015,NUTS,2013,DEA,1,1.29
119,2015,NUTS,2013,DEB,1,1.41
120,2015,NUTS,2013,DEC,1,1.53
121,2015,NUTS,2013,DED,1,2.16
122,2015,NUTS,2013,DEF,1,1.11
123,2015,NUTS,2013,DEG,1,1.88
124,2015,NUTS,2013,DK0,1,0.52
125,2015,NUTS,2013,EE0,1,0.15
126,2015,NUTS,2013,ES2,1,1.92
127,2015,NUTS,2013,ES3,1,0.86
128,2015,NUTS,2013,ES4,1,2.44
129,2015,NUTS,2013,ES5,1,1.03
130,2015,NUTS,2013,FI1,1,2.25
131,2015,NUTS,2013,FR1,1,0.74
132,2015,NUTS,2013,FR2,1,3.49
133,2015,NUTS,2013,FR3,1,0.87
134,2015,NUTS,2013,FR4,1,2.22
135,2015,NUTS,2013,FR5,1,3.49
136,2015,NUTS,2013,FR6,1,2.22
137,2015,NUTS,2013,FR7,1,1.26
138,2015,NUTS,2013,FR8,1,0.38
139,2015,NUTS,2013,HU1,1,0.68
140,2015,NUTS,2013,IE0,1,0.87
141,2015,NUTS,2013,ITC,1,1.85
142,2015,NUTS,2013,ITF,1,0.83
143,2015,NUTS,2013,ITG,1,1.22
144,2015,NUTS,2013,ITH,1,2.13
145,2015,NUTS,2013,ITI,1,0.45
146,2015,NUTS,2013,LT0,1,0.98
147,2015,NUTS,2013,LU0,1,0.57
148,2015,NUTS,2013,LV0,1,0.27
149,2015,NUTS,2013,NL1,1,0.51
150,2015,NUTS,2013,NL2,1,0.91
151,2015,NUTS,2013,NL3,1,0.74
152,2015,NUTS,2013,NL4,1,1.94
153,2015,NUTS,2013,PL1,1,0.84
154,2015,NUTS,2013,PL2,1,3.67
155,2015,NUTS,2013,PL5,1,3.05
156,2015,NUTS,2013,PT1,1,0.41
157,2015,NUTS,2013,RO2,1,1.02
158,2015,NUTS,2013,RO3,1,1.22
159,2015,NUTS,2013,RO4,1,2.04
160,2015,NUTS,2013,SE1,1,0.9
161,2015,NUTS,2013,SE2,1,0.84
162,2015,NUTS,2013,SE3,1,1.22
163,2015,NUTS,2013,SI0,1,1.29
164,2015,NUTS,2013,UKC,1,3.05
165,2015,NUTS,2013,UKD,1,0.42
166,2015,NUTS,2013,UKE,1,1.75
167,2015,NUTS,2013,UKF,1,1.33
168,2015,NUTS,2013,UKG,1,1.53
169,2015,NUTS,2013,UKH,1,0.38
170,2015,NUTS,2013,UKI,1,0.53
171,2015,NUTS,2013,UKJ,1,0.16
172,2015,NUTS,2013,UKK,1,1.53
173,2015,NUTS,2013,UKL,1,1.02
174,2015,NUTS,2013,UKM,1,0.91
175,2015,NUTS,2013,AT12,2,1.22
176,2015,NUTS,2013,AT13,2,0.69
177,2015,NUTS,2013,AT21,2,6.11
178,2015,NUTS,2013,AT22,2,1.7
179,2015,NUTS,2013,AT31,2,0.61
180,2015,NUTS,2013,AT32,2,3.05
181,2015,NUTS,2013,AT33,2,0.87
182,2015,NUTS,2013,BE10,2,0.7
183,2015,NUTS,2013,BE21,2,1.8
184,2015,NUTS,2013,BE22,2,6.11
185,2015,NUTS,2013,BE23,2,0.94
186,2015,NUTS,2013,BE24,2,1.36
187,2015,NUTS,2013,BE31,2,1.53
188,2015,NUTS,2013,BE33,2,0.76
189,2015,NUTS,2013,BE35,2,1.53
190,2015,NUTS,2013,BG41,2,3.05
191,2015,NUTS,2013,CY00,2,0.76
192,2015,NUTS,2013,CZ01,2,0.21
193,2015,NUTS,2013,CZ05,2,6.11
194,2015,NUTS,2013,CZ06,2,0.87
195,2015,NUTS,2013,DE11,2,1.77
196,2015,NUTS,2013,DE12,2,0.56
197,2015,NUTS,2013,DE13,2,1.59
198,2015,NUTS,2013,DE14,2,1.02
199,2015,NUTS,2013,DE21,2,1.71
200,2015,NUTS,2013,DE23,2,3.05
201,2015,NUTS,2013,DE24,2,3.05
202,2015,NUTS,2013,DE25,2,1.31
203,2015,NUTS,2013,DE26,2,6.11
204,2015,NUTS,2013,DE27,2,6.11
205,2015,NUTS,2013,DE30,2,0.68
206,2015,NUTS,2013,DE50,2,0.34
207,2015,NUTS,2013,DE60,2,2.16
208,2015,NUTS,2013,DE71,2,1.19
209,2015,NUTS,2013,DE73,2,1.53
210,2015,NUTS,2013,DE80,2,2.29
211,2015,NUTS,2013,DE91,2,1.15
212,2015,NUTS,2013,DE92,2,1.53
213,2015,NUTS,2013,DE94,2,1.53
214,2015,NUTS,2013,DEA1,2,1.53
215,2015,NUTS,2013,DEA2,2,0.99
216,2015,NUTS,2013,DEA3,2,1.22
217,2015,NUTS,2013,DEA4,2,3.67
218,2015,NUTS,2013,DEA5,2,1.75
219,2015,NUTS,2013,DEB3,2,1.53
220,2015,NUTS,2013,DEC0,2,1.53
221,2015,NUTS,2013,DED2,2,3.26
222,2015,NUTS,2013,DED4,2,3.05
223,2015,NUTS,2013,DED5,2,0.47
224,2015,NUTS,2013,DEF0,2,1.11
225,2015,NUTS,2013,DEG0,2,1.88
226,2015,NUTS,2013,DK01,2,0.31
227,2015,NUTS,2013,DK02,2,1.22
228,2015,NUTS,2013,DK04,2,0.76
229,2015,NUTS,2013,DK05,2,1.53
230,2015,NUTS,2013,EE00,2,0.15
231,2015,NUTS,2013,ES21,2,2.29
232,2015,NUTS,2013,ES22,2,1.53
233,2015,NUTS,2013,ES23,2,2.04
234,2015,NUTS,2013,ES24,2,1.36
235,2015,NUTS,2013,ES30,2,0.86
236,2015,NUTS,2013,ES41,2,3.05
237,2015,NUTS,2013,ES42,2,2.04
238,2015,NUTS,2013,ES51,2,1.07
239,2015,NUTS,2013,ES52,2,0.47
240,2015,NUTS,2013,ES53,2,3.05
241,2015,NUTS,2013,FI19,2,1.63
242,2015,NUTS,2013,FI1B,2,2.21
243,2015,NUTS,2013,FI1C,2,2.04
244,2015,NUTS,2013,FI1D,2,3.05
245,2015,NUTS,2013,FR10,2,0.74
246,2015,NUTS,2013,FR23,2,6.11
247,2015,NUTS,2013,FR24,2,1.53
248,2015,NUTS,2013,FR25,2,6.11
249,2015,NUTS,2013,FR26,2,6.11
250,2015,NUTS,2013,FR30,2,0.87
251,2015,NUTS,2013,FR41,2,6.11
252,2015,NUTS,2013,FR42,2,0.87
253,2015,NUTS,2013,FR43,2,3.05
254,2015,NUTS,2013,FR51,2,4.07
255,2015,NUTS,2013,FR53,2,6.11
256,2015,NUTS,2013,FR61,2,3.67
257,2015,NUTS,2013,FR62,2,1.02
