,year,region_type,region_year_spec,region_id,region_level,diagnosis_fund_amount
0,2014,NUTS,2013,AT,0,50000.0
1,2014,NUTS,2013,AT1,1,50000.0
2,2014,NUTS,2013,AT13,2,50000.0
3,2014,NUTS,2013,AT130,3,50000.0
4,2014,NUTS,2013,HU,0,50000.0
5,2014,NUTS,2013,HU1,1,50000.0
6,2014,NUTS,2013,HU10,2,50000.0
7,2014,NUTS,2013,HU101,3,50000.0
8,2014,NUTS,2013,IE,0,50000.0
9,2014,NUTS,2013,IE0,1,50000.0
10,2014,NUTS,2013,IE02,2,50000.0
11,2014,NUTS,2013,IE021,3,50000.0
12,2014,NUTS,2013,UK,0,3430902.98
13,2014,NUTS,2013,UKI,1,3380902.98
14,2014,NUTS,2013,UKI3,2,3380902.98
15,2014,NUTS,2013,UKI32,3,3380902.98
16,2014,NUTS,2013,UKN,1,50000.0
17,2014,NUTS,2013,UKN0,2,50000.0
18,2014,NUTS,2013,UKN01,3,50000.0
19,2015,NUTS,2013,AT,0,3609020.46
20,2015,NUTS,2013,AT1,1,3304020.46
21,2015,NUTS,2013,AT13,2,3304020.46
22,2015,NUTS,2013,AT130,3,3304020.46
23,2015,NUTS,2013,AT2,1,305000.0
24,2015,NUTS,2013,AT22,2,305000.0
25,2015,NUTS,2013,AT221,3,305000.0
26,2015,NUTS,2013,BE,0,4164684.74
27,2015,NUTS,2013,BE1,1,347318.25
28,2015,NUTS,2013,BE10,2,347318.25
29,2015,NUTS,2013,BE100,3,347318.25
30,2015,NUTS,2013,BE2,1,2545491.49
31,2015,NUTS,2013,BE21,2,2500491.49
32,2015,NUTS,2013,BE211,3,2249931.49
33,2015,NUTS,2013,BE213,3,250560.0
34,2015,NUTS,2013,BE24,2,45000.0
35,2015,NUTS,2013,BE242,3,45000.0
36,2015,NUTS,2013,BE3,1,1271875.0
37,2015,NUTS,2013,BE31,2,1271875.0
38,2015,NUTS,2013,BE310,3,1271875.0
39,2015,NUTS,2013,DE,0,11305024.24
40,2015,NUTS,2013,DE1,1,1753200.5
41,2015,NUTS,2013,DE12,2,26457.5
42,2015,NUTS,2013,DE125,3,26457.5
43,2015,NUTS,2013,DE13,2,1478743.0
44,2015,NUTS,2013,DE131,3,581250.0
45,2015,NUTS,2013,DE132,3,897493.0
46,2015,NUTS,2013,DE14,2,248000.0
47,2015,NUTS,2013,DE141,3,50000.0
48,2015,NUTS,2013,DE144,3,198000.0
49,2015,NUTS,2013,DE2,1,459050.0
50,2015,NUTS,2013,DE21,2,459050.0
51,2015,NUTS,2013,DE212,3,409050.0
52,2015,NUTS,2013,DE21H,3,50000.0
53,2015,NUTS,2013,DE3,1,2398124.15
54,2015,NUTS,2013,DE30,2,2398124.15
55,2015,NUTS,2013,DE300,3,2398124.15
56,2015,NUTS,2013,DE5,1,1368432.96
57,2015,NUTS,2013,DE50,2,1368432.96
58,2015,NUTS,2013,DE501,3,1368432.96
59,2015,NUTS,2013,DE6,1,1262706.95
60,2015,NUTS,2013,DE60,2,1262706.95
61,2015,NUTS,2013,DE600,3,1262706.95
62,2015,NUTS,2013,DE7,1,1447000.0
63,2015,NUTS,2013,DE71,2,1447000.0
64,2015,NUTS,2013,DE711,3,1397000.0
65,2015,NUTS,2013,DE715,3,50000.0
66,2015,NUTS,2013,DEA,1,2172759.68
67,2015,NUTS,2013,DEA1,2,461625.0
68,2015,NUTS,2013,DEA12,3,461625.0
69,2015,NUTS,2013,DEA2,2,1478009.68
70,2015,NUTS,2013,DEA22,3,1420610.68
71,2015,NUTS,2013,DEA23,3,57399.0
72,2015,NUTS,2013,DEA3,2,233125.0
73,2015,NUTS,2013,DEA33,3,233125.0
74,2015,NUTS,2013,DEG,1,443750.0
75,2015,NUTS,2013,DEG0,2,443750.0
76,2015,NUTS,2013,DEG03,3,443750.0
77,2015,NUTS,2013,DK,0,4318428.76
78,2015,NUTS,2013,DK0,1,4318428.76
79,2015,NUTS,2013,DK01,2,2695056.88
80,2015,NUTS,2013,DK011,3,2405056.88
81,2015,NUTS,2013,DK012,3,150000.0
82,2015,NUTS,2013,DK013,3,140000.0
83,2015,NUTS,2013,DK03,2,335081.88
84,2015,NUTS,2013,DK031,3,335081.88
85,2015,NUTS,2013,DK04,2,598460.0
