,year,region_type,region_year_spec,region_id,region_level,products_fund_spec
142,2015,NUTS,2013,ITF,1,1.17
143,2015,NUTS,2013,ITG,1,1.03
144,2015,NUTS,2013,ITH,1,2.35
145,2015,NUTS,2013,ITI,1,0.54
146,2015,NUTS,2013,LT0,1,2.77
147,2015,NUTS,2013,LU0,1,0.45
148,2015,NUTS,2013,LV0,1,0.88
149,2015,NUTS,2013,NL1,1,0.38
150,2015,NUTS,2013,NL2,1,0.44
151,2015,NUTS,2013,NL3,1,0.76
152,2015,NUTS,2013,NL4,1,1.56
153,2015,NUTS,2013,PL1,1,1.3
154,2015,NUTS,2013,PL2,1,2.84
155,2015,NUTS,2013,PL5,1,5.2
156,2015,NUTS,2013,PT1,1,0.41
157,2015,NUTS,2013,RO2,1,0.58
158,2015,NUTS,2013,RO3,1,0.64
159,2015,NUTS,2013,RO4,1,1.81
160,2015,NUTS,2013,SE1,1,0.98
161,2015,NUTS,2013,SE2,1,1.52
162,2015,NUTS,2013,SE3,1,0.57
163,2015,NUTS,2013,SI0,1,2.34
164,2015,NUTS,2013,UKC,1,5.07
165,2015,NUTS,2013,UKD,1,0.14
166,2015,NUTS,2013,UKE,1,1.67
167,2015,NUTS,2013,UKF,1,2.62
168,2015,NUTS,2013,UKG,1,1.56
169,2015,NUTS,2013,UKH,1,0.12
170,2015,NUTS,2013,UKI,1,0.83
171,2015,NUTS,2013,UKJ,1,0.09
172,2015,NUTS,2013,UKK,1,1.92
173,2015,NUTS,2013,UKL,1,0.43
174,2015,NUTS,2013,UKM,1,0.87
175,2015,NUTS,2013,AT12,2,0.51
176,2015,NUTS,2013,AT13,2,0.88
177,2015,NUTS,2013,AT21,2,6.25
178,2015,NUTS,2013,AT22,2,1.86
179,2015,NUTS,2013,AT31,2,2.26
180,2015,NUTS,2013,AT32,2,2.75
181,2015,NUTS,2013,AT33,2,0.92
182,2015,NUTS,2013,BE10,2,0.17
183,2015,NUTS,2013,BE21,2,1.85
184,2015,NUTS,2013,BE22,2,6.25
185,2015,NUTS,2013,BE23,2,1.02
186,2015,NUTS,2013,BE24,2,1.63
187,2015,NUTS,2013,BE31,2,1.81
188,2015,NUTS,2013,BE33,2,2.48
189,2015,NUTS,2013,BE35,2,5.34
190,2015,NUTS,2013,BG41,2,2.02
191,2015,NUTS,2013,CY00,2,0.51
192,2015,NUTS,2013,CZ01,2,0.17
193,2015,NUTS,2013,CZ05,2,6.25
194,2015,NUTS,2013,CZ06,2,0.47
195,2015,NUTS,2013,DE11,2,1.77
196,2015,NUTS,2013,DE12,2,0.37
197,2015,NUTS,2013,DE13,2,0.9
