,year,region_type,region_year_spec,region_id,region_level,systems_fund_amount
115,2014,NUTS,2013,NL33,2,229450.0
116,2014,NUTS,2013,NL337,3,46950.0
117,2014,NUTS,2013,NL339,3,182500.0
118,2014,NUTS,2013,NL4,1,150050.0
119,2014,NUTS,2013,NL41,2,150050.0
120,2014,NUTS,2013,NL412,3,150050.0
121,2014,NUTS,2013,PL,0,555811.5
122,2014,NUTS,2013,PL1,1,163750.0
123,2014,NUTS,2013,PL12,2,163750.0
124,2014,NUTS,2013,PL127,3,163750.0
125,2014,NUTS,2013,PL2,1,173536.5
126,2014,NUTS,2013,PL21,2,173536.5
127,2014,NUTS,2013,PL213,3,173536.5
128,2014,NUTS,2013,PL4,1,218525.0
129,2014,NUTS,2013,PL41,2,78525.0
130,2014,NUTS,2013,PL415,3,78525.0
131,2014,NUTS,2013,PL42,2,140000.0
132,2014,NUTS,2013,PL424,3,140000.0
133,2014,NUTS,2013,PT,0,187287.5
134,2014,NUTS,2013,PT1,1,187287.5
135,2014,NUTS,2013,PT16,2,77225.0
136,2014,NUTS,2013,PT16D,3,77225.0
137,2014,NUTS,2013,PT17,2,110062.5
138,2014,NUTS,2013,PT170,3,110062.5
139,2014,NUTS,2013,RO,0,101716.0
140,2014,NUTS,2013,RO1,1,13125.0
141,2014,NUTS,2013,RO11,2,6875.0
142,2014,NUTS,2013,RO113,3,6875.0
143,2014,NUTS,2013,RO12,2,6250.0
144,2014,NUTS,2013,RO126,3,6250.0
145,2014,NUTS,2013,RO2,1,32641.0
146,2014,NUTS,2013,RO21,2,32641.0
147,2014,NUTS,2013,RO213,3,32641.0
148,2014,NUTS,2013,RO3,1,49075.0
149,2014,NUTS,2013,RO32,2,49075.0
150,2014,NUTS,2013,RO321,3,9375.0
151,2014,NUTS,2013,RO322,3,39700.0
152,2014,NUTS,2013,RO4,1,6875.0
153,2014,NUTS,2013,RO42,2,6875.0
154,2014,NUTS,2013,RO424,3,6875.0
155,2014,NUTS,2013,SE,0,91250.0
156,2014,NUTS,2013,SE1,1,91250.0
157,2014,NUTS,2013,SE11,2,91250.0
158,2014,NUTS,2013,SE110,3,91250.0
159,2014,NUTS,2013,UK,0,530498.75
160,2014,NUTS,2013,UKI,1,270000.0
161,2014,NUTS,2013,UKI5,2,270000.0
162,2014,NUTS,2013,UKI53,3,270000.0
163,2014,NUTS,2013,UKL,1,5421.0
164,2014,NUTS,2013,UKL1,2,5421.0
165,2014,NUTS,2013,UKL18,3,5421.0
166,2014,NUTS,2013,UKM,1,255077.75
167,2014,NUTS,2013,UKM2,2,137125.0
168,2014,NUTS,2013,UKM25,3,137125.0
169,2014,NUTS,2013,UKM3,2,117952.75
170,2014,NUTS,2013,UKM34,3,117952.75
171,2015,NUTS,2013,AT,0,12078456.98
172,2015,NUTS,2013,AT1,1,9799124.87
173,2015,NUTS,2013,AT12,2,4394880.0
174,2015,NUTS,2013,AT126,3,4394880.0
175,2015,NUTS,2013,AT13,2,5404244.87
176,2015,NUTS,2013,AT130,3,5404244.87
177,2015,NUTS,2013,AT2,1,1462310.4
178,2015,NUTS,2013,AT22,2,1462310.4
179,2015,NUTS,2013,AT221,3,1462310.4
180,2015,NUTS,2013,AT3,1,817021.71
181,2015,NUTS,2013,AT31,2,817021.71
182,2015,NUTS,2013,AT312,3,561087.63
183,2015,NUTS,2013,AT315,3,255934.08
184,2015,NUTS,2013,BE,0,193422710.28
185,2015,NUTS,2013,BE1,1,189982405.77
186,2015,NUTS,2013,BE10,2,189982405.77
187,2015,NUTS,2013,BE100,3,189982405.77
188,2015,NUTS,2013,BE2,1,3097354.51
189,2015,NUTS,2013,BE23,2,881434.07
190,2015,NUTS,2013,BE233,3,75810.94
191,2015,NUTS,2013,BE234,3,522750.0
192,2015,NUTS,2013,BE235,3,282873.13
193,2015,NUTS,2013,BE24,2,2067076.25
194,2015,NUTS,2013,BE242,3,2067076.25
195,2015,NUTS,2013,BE25,2,148844.19
196,2015,NUTS,2013,BE255,3,148844.19
197,2015,NUTS,2013,BE3,1,342950.0
198,2015,NUTS,2013,BE31,2,50687.5
199,2015,NUTS,2013,BE310,3,50687.5
200,2015,NUTS,2013,BE32,2,74375.0
201,2015,NUTS,2013,BE322,3,37187.5
202,2015,NUTS,2013,BE323,3,37187.5
203,2015,NUTS,2013,BE33,2,106062.5
204,2015,NUTS,2013,BE332,3,106062.5
205,2015,NUTS,2013,BE35,2,111825.0
206,2015,NUTS,2013,BE352,3,111825.0
207,2015,NUTS,2013,CY,0,366824.0
208,2015,NUTS,2013,CY0,1,366824.0
209,2015,NUTS,2013,CY00,2,366824.0
210,2015,NUTS,2013,CY000,3,366824.0
211,2015,NUTS,2013,CZ,0,3175377.75
212,2015,NUTS,2013,CZ0,1,3175377.75
213,2015,NUTS,2013,CZ01,2,997162.25
214,2015,NUTS,2013,CZ010,3,997162.25
215,2015,NUTS,2013,CZ06,2,1895662.5
216,2015,NUTS,2013,CZ064,3,1895662.5
217,2015,NUTS,2013,CZ08,2,282553.0
218,2015,NUTS,2013,CZ080,3,282553.0
219,2015,NUTS,2013,DE,0,50235801.33
220,2015,NUTS,2013,DE1,1,16945035.57
221,2015,NUTS,2013,DE11,2,4317917.0
222,2015,NUTS,2013,DE111,3,3485417.0
223,2015,NUTS,2013,DE113,3,832500.0
224,2015,NUTS,2013,DE12,2,11807925.46
225,2015,NUTS,2013,DE122,3,1229945.0
226,2015,NUTS,2013,DE125,3,10277480.46
227,2015,NUTS,2013,DE126,3,300500.0
228,2015,NUTS,2013,DE13,2,551996.86
229,2015,NUTS,2013,DE131,3,351967.5
230,2015,NUTS,2013,DE136,3,200029.36
231,2015,NUTS,2013,DE14,2,267196.25
232,2015,NUTS,2013,DE142,3,202546.25
233,2015,NUTS,2013,DE144,3,64650.0
234,2015,NUTS,2013,DE2,1,6474481.52
235,2015,NUTS,2013,DE21,2,6148231.52
236,2015,NUTS,2013,DE212,3,6129481.52
237,2015,NUTS,2013,DE21H,3,18750.0
238,2015,NUTS,2013,DE25,2,326250.0
239,2015,NUTS,2013,DE252,3,326250.0
240,2015,NUTS,2013,DE3,1,6059879.76
241,2015,NUTS,2013,DE30,2,6059879.76
242,2015,NUTS,2013,DE300,3,6059879.76
243,2015,NUTS,2013,DE4,1,137274.0
244,2015,NUTS,2013,DE40,2,137274.0
245,2015,NUTS,2013,DE404,3,110000.0
246,2015,NUTS,2013,DE405,3,27274.0
247,2015,NUTS,2013,DE5,1,1112425.0
248,2015,NUTS,2013,DE50,2,1112425.0
249,2015,NUTS,2013,DE501,3,1112425.0
250,2015,NUTS,2013,DE6,1,2481262.5
251,2015,NUTS,2013,DE60,2,2481262.5
252,2015,NUTS,2013,DE600,3,2481262.5
253,2015,NUTS,2013,DE7,1,2167313.48
254,2015,NUTS,2013,DE71,2,2167313.48
255,2015,NUTS,2013,DE711,3,1329629.5
256,2015,NUTS,2013,DE712,3,837683.98
257,2015,NUTS,2013,DE9,1,1039430.25
258,2015,NUTS,2013,DE91,2,942867.75
259,2015,NUTS,2013,DE911,3,875018.75
260,2015,NUTS,2013,DE915,3,67849.0
261,2015,NUTS,2013,DE94,2,96562.5
262,2015,NUTS,2013,DE943,3,22500.0
263,2015,NUTS,2013,DE94F,3,74062.5
264,2015,NUTS,2013,DEA,1,8983425.44
265,2015,NUTS,2013,DEA1,2,203025.0
266,2015,NUTS,2013,DEA11,3,203025.0
267,2015,NUTS,2013,DEA2,2,8444025.44
268,2015,NUTS,2013,DEA22,3,875052.5
269,2015,NUTS,2013,DEA23,3,1687865.23
270,2015,NUTS,2013,DEA26,3,5222674.75
271,2015,NUTS,2013,DEA2D,3,658432.96
272,2015,NUTS,2013,DEA5,2,336375.0
273,2015,NUTS,2013,DEA52,3,336375.0
274,2015,NUTS,2013,DEB,1,1977021.88
275,2015,NUTS,2013,DEB3,2,1977021.88
276,2015,NUTS,2013,DEB32,3,1977021.88
277,2015,NUTS,2013,DED,1,1145535.45
278,2015,NUTS,2013,DED2,2,124144.0
279,2015,NUTS,2013,DED21,3,76250.0
280,2015,NUTS,2013,DED2E,3,47894.0
281,2015,NUTS,2013,DED4,2,90178.2
282,2015,NUTS,2013,DED41,3,90178.2
283,2015,NUTS,2013,DED5,2,931213.25
284,2015,NUTS,2013,DED51,3,931213.25
285,2015,NUTS,2013,DEF,1,296716.48
286,2015,NUTS,2013,DEF0,2,296716.48
287,2015,NUTS,2013,DEF02,3,249216.48
288,2015,NUTS,2013,DEF06,3,31250.0
289,2015,NUTS,2013,DEF09,3,16250.0
290,2015,NUTS,2013,DEG,1,1416000.0
291,2015,NUTS,2013,DEG0,2,1416000.0
292,2015,NUTS,2013,DEG01,3,1416000.0
293,2015,NUTS,2013,DK,0,4009600.01
294,2015,NUTS,2013,DK0,1,4009600.01
295,2015,NUTS,2013,DK01,2,2912248.94
296,2015,NUTS,2013,DK011,3,2754140.56
297,2015,NUTS,2013,DK012,3,62101.25
298,2015,NUTS,2013,DK013,3,96007.13
299,2015,NUTS,2013,DK02,2,48041.78
300,2015,NUTS,2013,DK021,3,48041.78
301,2015,NUTS,2013,DK03,2,67968.03
302,2015,NUTS,2013,DK032,3,67968.03
303,2015,NUTS,2013,DK04,2,958841.26
304,2015,NUTS,2013,DK042,3,958841.26
305,2015,NUTS,2013,DK05,2,22500.0
306,2015,NUTS,2013,DK050,3,22500.0
307,2015,NUTS,2013,EE,0,816240.16
308,2015,NUTS,2013,EE0,1,816240.16
309,2015,NUTS,2013,EE00,2,816240.16
310,2015,NUTS,2013,EE001,3,265121.41
311,2015,NUTS,2013,EE008,3,551118.75
312,2015,NUTS,2013,ES,0,13164584.57
313,2015,NUTS,2013,ES1,1,821351.88
314,2015,NUTS,2013,ES11,2,296412.5
315,2015,NUTS,2013,ES114,3,296412.5
316,2015,NUTS,2013,ES12,2,77993.13
317,2015,NUTS,2013,ES120,3,77993.13
318,2015,NUTS,2013,ES13,2,446946.25
319,2015,NUTS,2013,ES130,3,446946.25
320,2015,NUTS,2013,ES2,1,215883.01
321,2015,NUTS,2013,ES21,2,112040.0
322,2015,NUTS,2013,ES213,3,112040.0
323,2015,NUTS,2013,ES22,2,15768.42
324,2015,NUTS,2013,ES220,3,15768.42
325,2015,NUTS,2013,ES23,2,42730.82
326,2015,NUTS,2013,ES230,3,42730.82
327,2015,NUTS,2013,ES24,2,45343.77
328,2015,NUTS,2013,ES243,3,45343.77
329,2015,NUTS,2013,ES3,1,4974364.1
330,2015,NUTS,2013,ES30,2,4974364.1
331,2015,NUTS,2013,ES300,3,4974364.1
332,2015,NUTS,2013,ES4,1,39456.74
333,2015,NUTS,2013,ES42,2,39456.74
334,2015,NUTS,2013,ES422,3,20064.59
335,2015,NUTS,2013,ES425,3,19392.15
336,2015,NUTS,2013,ES5,1,4613333.19
337,2015,NUTS,2013,ES51,2,4466106.19
338,2015,NUTS,2013,ES511,3,4466106.19
339,2015,NUTS,2013,ES52,2,57227.0
340,2015,NUTS,2013,ES523,3,57227.0
341,2015,NUTS,2013,ES53,2,90000.0
342,2015,NUTS,2013,ES532,3,90000.0
343,2015,NUTS,2013,ES6,1,2427202.5
344,2015,NUTS,2013,ES61,2,1499827.5
345,2015,NUTS,2013,ES614,3,1499827.5
346,2015,NUTS,2013,ES62,2,927375.0
347,2015,NUTS,2013,ES620,3,927375.0
348,2015,NUTS,2013,ES7,1,72993.15
349,2015,NUTS,2013,ES70,2,72993.15
350,2015,NUTS,2013,ES705,3,72993.15
351,2015,NUTS,2013,FI,0,1625091.73
352,2015,NUTS,2013,FI1,1,1625091.73
353,2015,NUTS,2013,FI19,2,963039.23
354,2015,NUTS,2013,FI197,3,963039.23
355,2015,NUTS,2013,FI1B,2,662052.5
356,2015,NUTS,2013,FI1B1,3,662052.5
357,2015,NUTS,2013,FR,0,24761064.15
358,2015,NUTS,2013,FR1,1,20004729.78
359,2015,NUTS,2013,FR10,2,20004729.78
360,2015,NUTS,2013,FR101,3,19009158.44
361,2015,NUTS,2013,FR103,3,155890.0
362,2015,NUTS,2013,FR104,3,129687.5
363,2015,NUTS,2013,FR105,3,190487.36
364,2015,NUTS,2013,FR106,3,519506.48
365,2015,NUTS,2013,FR2,1,1699200.0
366,2015,NUTS,2013,FR24,2,1699200.0
367,2015,NUTS,2013,FR246,3,1699200.0
368,2015,NUTS,2013,FR3,1,387859.38
369,2015,NUTS,2013,FR30,2,387859.38
370,2015,NUTS,2013,FR301,3,387859.38
371,2015,NUTS,2013,FR4,1,86237.18
372,2015,NUTS,2013,FR42,2,86237.18
373,2015,NUTS,2013,FR421,3,86237.18
374,2015,NUTS,2013,FR5,1,70193.75
375,2015,NUTS,2013,FR51,2,70193.75
376,2015,NUTS,2013,FR512,3,70193.75
377,2015,NUTS,2013,FR7,1,1690369.06
378,2015,NUTS,2013,FR71,2,1690369.06
379,2015,NUTS,2013,FR711,3,5083.06
380,2015,NUTS,2013,FR714,3,910708.75
381,2015,NUTS,2013,FR716,3,501096.0
382,2015,NUTS,2013,FR718,3,273481.25
383,2015,NUTS,2013,FR8,1,822475.0
384,2015,NUTS,2013,FR81,2,107006.25
385,2015,NUTS,2013,FR813,3,107006.25
386,2015,NUTS,2013,FR82,2,715468.75
387,2015,NUTS,2013,FR823,3,610218.75
388,2015,NUTS,2013,FR824,3,105250.0
389,2015,NUTS,2013,HR,0,915044.77
390,2015,NUTS,2013,HR0,1,915044.77
391,2015,NUTS,2013,HR03,2,97650.0
392,2015,NUTS,2013,HR035,3,97650.0
393,2015,NUTS,2013,HR04,2,817394.77
394,2015,NUTS,2013,HR041,3,663464.27
395,2015,NUTS,2013,HR042,3,153930.5
396,2015,NUTS,2013,HU,0,2754696.49
397,2015,NUTS,2013,HU1,1,2307411.49
398,2015,NUTS,2013,HU10,2,2307411.49
399,2015,NUTS,2013,HU101,3,2307411.49
400,2015,NUTS,2013,HU3,1,447285.0
401,2015,NUTS,2013,HU32,2,302800.0
402,2015,NUTS,2013,HU321,3,302800.0
403,2015,NUTS,2013,HU33,2,144485.0
404,2015,NUTS,2013,HU333,3,144485.0
405,2015,NUTS,2013,IE,0,4585631.06
406,2015,NUTS,2013,IE0,1,4585631.06
407,2015,NUTS,2013,IE01,2,2750116.93
408,2015,NUTS,2013,IE013,3,2750116.93
409,2015,NUTS,2013,IE02,2,1835514.13
410,2015,NUTS,2013,IE021,3,1703761.0
411,2015,NUTS,2013,IE025,3,131753.13
412,2015,NUTS,2013,IT,0,30968105.0
413,2015,NUTS,2013,ITC,1,7848446.41
414,2015,NUTS,2013,ITC1,2,2351967.98
415,2015,NUTS,2013,ITC11,3,2119529.35
416,2015,NUTS,2013,ITC13,3,209195.03
417,2015,NUTS,2013,ITC16,3,23243.6
418,2015,NUTS,2013,ITC3,2,375058.01
419,2015,NUTS,2013,ITC33,3,375058.01
420,2015,NUTS,2013,ITC4,2,5121420.42
421,2015,NUTS,2013,ITC41,3,497033.75
422,2015,NUTS,2013,ITC42,3,113164.0
423,2015,NUTS,2013,ITC47,3,21750.0
424,2015,NUTS,2013,ITC4C,3,4489472.67
425,2015,NUTS,2013,ITF,1,1160882.43
426,2015,NUTS,2013,ITF1,2,509810.0
427,2015,NUTS,2013,ITF13,3,509810.0
428,2015,NUTS,2013,ITF2,2,13303.59
429,2015,NUTS,2013,ITF22,3,13303.59
430,2015,NUTS,2013,ITF3,2,416157.5
431,2015,NUTS,2013,ITF33,3,416157.5
432,2015,NUTS,2013,ITF4,2,221611.34
433,2015,NUTS,2013,ITF46,3,108000.0
434,2015,NUTS,2013,ITF47,3,113611.34
435,2015,NUTS,2013,ITG,1,638403.75
436,2015,NUTS,2013,ITG1,2,522341.25
437,2015,NUTS,2013,ITG12,3,436812.5
438,2015,NUTS,2013,ITG17,3,85528.75
439,2015,NUTS,2013,ITG2,2,116062.5
440,2015,NUTS,2013,ITG25,3,116062.5
441,2015,NUTS,2013,ITH,1,4095284.4
442,2015,NUTS,2013,ITH2,2,283834.75
443,2015,NUTS,2013,ITH20,3,283834.75
444,2015,NUTS,2013,ITH3,2,799812.5
445,2015,NUTS,2013,ITH31,3,799812.5
446,2015,NUTS,2013,ITH4,2,69452.65
447,2015,NUTS,2013,ITH44,3,69452.65
448,2015,NUTS,2013,ITH5,2,2942184.5
449,2015,NUTS,2013,ITH54,3,42500.0
450,2015,NUTS,2013,ITH55,3,2378434.5
451,2015,NUTS,2013,ITH56,3,521250.0
452,2015,NUTS,2013,ITI,1,17225088.01
453,2015,NUTS,2013,ITI1,2,3632857.76
454,2015,NUTS,2013,ITI14,3,1265056.26
455,2015,NUTS,2013,ITI15,3,1339453.5
456,2015,NUTS,2013,ITI17,3,1028348.0
457,2015,NUTS,2013,ITI3,2,162093.75
458,2015,NUTS,2013,ITI32,3,162093.75
459,2015,NUTS,2013,ITI4,2,13430136.5
460,2015,NUTS,2013,ITI43,3,13430136.5
461,2015,NUTS,2013,LT,0,1198386.5
462,2015,NUTS,2013,LT0,1,1198386.5
463,2015,NUTS,2013,LT00,2,1198386.5
464,2015,NUTS,2013,LT002,3,373416.0
465,2015,NUTS,2013,LT00A,3,824970.5
466,2015,NUTS,2013,LU,0,561082.8
467,2015,NUTS,2013,LU0,1,561082.8
468,2015,NUTS,2013,LU00,2,561082.8
469,2015,NUTS,2013,LU000,3,561082.8
470,2015,NUTS,2013,LV,0,846147.5
471,2015,NUTS,2013,LV0,1,846147.5
472,2015,NUTS,2013,LV00,2,846147.5
473,2015,NUTS,2013,LV006,3,521872.5
474,2015,NUTS,2013,LV007,3,324275.0
475,2015,NUTS,2013,MT,0,24794.16
476,2015,NUTS,2013,MT0,1,24794.16
477,2015,NUTS,2013,MT00,2,24794.16
478,2015,NUTS,2013,MT001,3,24794.16
479,2015,NUTS,2013,NL,0,36562484.68
480,2015,NUTS,2013,NL1,1,1139399.28
481,2015,NUTS,2013,NL11,2,285999.28
482,2015,NUTS,2013,NL113,3,285999.28
483,2015,NUTS,2013,NL12,2,52125.0
484,2015,NUTS,2013,NL121,3,52125.0
485,2015,NUTS,2013,NL13,2,801275.0
486,2015,NUTS,2013,NL133,3,801275.0
487,2015,NUTS,2013,NL2,1,4505259.55
488,2015,NUTS,2013,NL21,2,3440023.55
489,2015,NUTS,2013,NL213,3,3440023.55
490,2015,NUTS,2013,NL22,2,1065236.0
491,2015,NUTS,2013,NL221,3,138906.0
492,2015,NUTS,2013,NL226,3,926330.0
493,2015,NUTS,2013,NL3,1,25452287.89
494,2015,NUTS,2013,NL31,2,6186748.35
495,2015,NUTS,2013,NL310,3,6186748.35
496,2015,NUTS,2013,NL32,2,14059052.25
497,2015,NUTS,2013,NL326,3,14004737.25
498,2015,NUTS,2013,NL327,3,54315.0
499,2015,NUTS,2013,NL33,2,5206487.29
500,2015,NUTS,2013,NL332,3,2449969.33
501,2015,NUTS,2013,NL333,3,1391848.41
502,2015,NUTS,2013,NL337,3,756478.25
503,2015,NUTS,2013,NL339,3,608191.3
504,2015,NUTS,2013,NL4,1,5465537.96
505,2015,NUTS,2013,NL41,2,4710913.68
506,2015,NUTS,2013,NL412,3,640932.5
507,2015,NUTS,2013,NL414,3,4069981.18
508,2015,NUTS,2013,NL42,2,754624.28
509,2015,NUTS,2013,NL423,3,754624.28
510,2015,NUTS,2013,PL,0,5271117.0
511,2015,NUTS,2013,PL1,1,1248480.0
512,2015,NUTS,2013,PL12,2,1248480.0
513,2015,NUTS,2013,PL127,3,1248480.0
514,2015,NUTS,2013,PL2,1,1044500.0
515,2015,NUTS,2013,PL21,2,1044500.0
516,2015,NUTS,2013,PL213,3,1044500.0
517,2015,NUTS,2013,PL4,1,2928012.0
518,2015,NUTS,2013,PL41,2,2928012.0
519,2015,NUTS,2013,PL415,3,2928012.0
520,2015,NUTS,2013,PL5,1,50125.0
521,2015,NUTS,2013,PL51,2,50125.0
522,2015,NUTS,2013,PL514,3,50125.0
523,2015,NUTS,2013,PT,0,4510723.41
524,2015,NUTS,2013,PT1,1,4492150.87
525,2015,NUTS,2013,PT11,2,2077568.39
526,2015,NUTS,2013,PT112,3,430094.86
527,2015,NUTS,2013,PT11A,3,1647473.53
528,2015,NUTS,2013,PT15,2,357750.0
529,2015,NUTS,2013,PT150,3,357750.0
530,2015,NUTS,2013,PT16,2,483515.03
531,2015,NUTS,2013,PT16B,3,18750.0
532,2015,NUTS,2013,PT16D,3,464765.03
533,2015,NUTS,2013,PT17,2,1573317.45
534,2015,NUTS,2013,PT170,3,1573317.45
535,2015,NUTS,2013,PT2,1,18572.54
536,2015,NUTS,2013,PT20,2,18572.54
537,2015,NUTS,2013,PT200,3,18572.54
538,2015,NUTS,2013,RO,0,208832.5
539,2015,NUTS,2013,RO3,1,174270.0
540,2015,NUTS,2013,RO32,2,174270.0
541,2015,NUTS,2013,RO321,3,56145.0
542,2015,NUTS,2013,RO322,3,118125.0
543,2015,NUTS,2013,RO4,1,34562.5
544,2015,NUTS,2013,RO42,2,34562.5
545,2015,NUTS,2013,RO424,3,34562.5
546,2015,NUTS,2013,SE,0,7191799.85
547,2015,NUTS,2013,SE1,1,4579710.57
548,2015,NUTS,2013,SE11,2,1330693.64
549,2015,NUTS,2013,SE110,3,1330693.64
550,2015,NUTS,2013,SE12,2,3249016.93
551,2015,NUTS,2013,SE121,3,1733791.25
552,2015,NUTS,2013,SE122,3,1028541.36
553,2015,NUTS,2013,SE123,3,263659.32
554,2015,NUTS,2013,SE124,3,223025.0
555,2015,NUTS,2013,SE2,1,1408866.0
556,2015,NUTS,2013,SE22,2,985051.0
557,2015,NUTS,2013,SE224,3,985051.0
558,2015,NUTS,2013,SE23,2,423815.0
559,2015,NUTS,2013,SE232,3,423815.0
560,2015,NUTS,2013,SE3,1,1203223.28
561,2015,NUTS,2013,SE31,2,1054637.28
562,2015,NUTS,2013,SE311,3,1054637.28
563,2015,NUTS,2013,SE33,2,148586.0
564,2015,NUTS,2013,SE332,3,148586.0
565,2015,NUTS,2013,SI,0,2017597.62
566,2015,NUTS,2013,SI0,1,2017597.62
567,2015,NUTS,2013,SI03,2,411625.0
568,2015,NUTS,2013,SI032,3,411625.0
569,2015,NUTS,2013,SI04,2,1605972.62
570,2015,NUTS,2013,SI041,3,1605972.62
