,year,region_type,region_year_spec,region_id,region_level,policy_fund_spec
0,2014,NUTS,2013,AT,0,6.36
1,2014,NUTS,2013,BE,0,0.76
2,2014,NUTS,2013,CZ,0,2.7
3,2014,NUTS,2013,DE,0,0.59
4,2014,NUTS,2013,DK,0,1.12
5,2014,NUTS,2013,EE,0,1.72
6,2014,NUTS,2013,ES,0,5.89
7,2014,NUTS,2013,FI,0,8.22
8,2014,NUTS,2013,FR,0,0.15
9,2014,NUTS,2013,HR,0,6.03
10,2014,NUTS,2013,HU,0,1.6
11,2014,NUTS,2013,IT,0,4.69
12,2014,NUTS,2013,LU,0,1.28
13,2014,NUTS,2013,LV,0,2.6
14,2014,NUTS,2013,NL,0,1.35
15,2014,NUTS,2013,PL,0,4.25
16,2014,NUTS,2013,PT,0,4.67
17,2014,NUTS,2013,RO,0,2.51
18,2014,NUTS,2013,SE,0,6.98
19,2014,NUTS,2013,SI,0,4.1
20,2014,NUTS,2013,UK,0,0.05
21,2014,NUTS,2013,AT1,1,6.36
22,2014,NUTS,2013,BE1,1,3.32
23,2014,NUTS,2013,BE2,1,2.59
24,2014,NUTS,2013,BE3,1,0.03
25,2014,NUTS,2013,CZ0,1,2.7
26,2014,NUTS,2013,DE1,1,0.4
27,2014,NUTS,2013,DE2,1,0.56
28,2014,NUTS,2013,DE3,1,0.4
29,2014,NUTS,2013,DEA,1,1.42
30,2014,NUTS,2013,DK0,1,1.12
31,2014,NUTS,2013,EE0,1,1.72
32,2014,NUTS,2013,ES3,1,7.1
33,2014,NUTS,2013,ES5,1,7.39
34,2014,NUTS,2013,ES6,1,8.22
35,2014,NUTS,2013,FI1,1,8.22
36,2014,NUTS,2013,FR1,1,0.09
37,2014,NUTS,2013,FR4,1,8.22
38,2014,NUTS,2013,FR5,1,3.06
39,2014,NUTS,2013,FR6,1,8.22
40,2014,NUTS,2013,FR7,1,0.15
41,2014,NUTS,2013,HR0,1,6.03
42,2014,NUTS,2013,HU1,1,1.6
43,2014,NUTS,2013,ITC,1,5.29
44,2014,NUTS,2013,ITH,1,1.02
45,2014,NUTS,2013,ITI,1,5.36
46,2014,NUTS,2013,LU0,1,1.28
47,2014,NUTS,2013,LV0,1,2.6
48,2014,NUTS,2013,NL1,1,8.22
49,2014,NUTS,2013,NL2,1,0.2
50,2014,NUTS,2013,NL3,1,1.48
51,2014,NUTS,2013,NL4,1,0.23
52,2014,NUTS,2013,PL1,1,6.45
53,2014,NUTS,2013,PT1,1,4.67
54,2014,NUTS,2013,RO3,1,3.91
55,2014,NUTS,2013,SE1,1,6.98
56,2014,NUTS,2013,SI0,1,4.1
57,2014,NUTS,2013,UKE,1,8.22
58,2014,NUTS,2013,UKJ,1,8.22
59,2014,NUTS,2013,UKK,1,8.22
60,2014,NUTS,2013,UKM,1,1.14
61,2014,NUTS,2013,UKN,1,5.28
62,2014,NUTS,2013,AT12,2,8.22
63,2014,NUTS,2013,AT13,2,6.26
64,2014,NUTS,2013,BE10,2,3.32
65,2014,NUTS,2013,BE21,2,3.92
66,2014,NUTS,2013,BE24,2,1.14
67,2014,NUTS,2013,BE35,2,8.22
68,2014,NUTS,2013,CZ01,2,3.11
69,2014,NUTS,2013,DE12,2,0.61
70,2014,NUTS,2013,DE21,2,0.56
71,2014,NUTS,2013,DE30,2,0.4
72,2014,NUTS,2013,DEA2,2,2.18
73,2014,NUTS,2013,DK01,2,1.28
74,2014,NUTS,2013,EE00,2,1.72
75,2014,NUTS,2013,ES30,2,7.1
76,2014,NUTS,2013,ES51,2,7.39
77,2014,NUTS,2013,ES61,2,8.22
78,2014,NUTS,2013,FI1D,2,8.22
79,2014,NUTS,2013,FR10,2,0.09
80,2014,NUTS,2013,FR43,2,8.22
81,2014,NUTS,2013,FR51,2,2.17
82,2014,NUTS,2013,FR52,2,8.22
83,2014,NUTS,2013,FR62,2,8.22
84,2014,NUTS,2013,FR71,2,0.15
85,2014,NUTS,2013,HR04,2,6.53
86,2014,NUTS,2013,HU10,2,1.6
87,2014,NUTS,2013,ITC1,2,6.43
88,2014,NUTS,2013,ITH4,2,8.22
89,2014,NUTS,2013,ITH5,2,0.33
90,2014,NUTS,2013,ITI1,2,8.22
91,2014,NUTS,2013,ITI3,2,8.22
92,2014,NUTS,2013,ITI4,2,5.28
93,2014,NUTS,2013,LU00,2,1.28
94,2014,NUTS,2013,LV00,2,2.6
95,2014,NUTS,2013,NL11,2,8.22
96,2014,NUTS,2013,NL22,2,8.22
97,2014,NUTS,2013,NL31,2,0.94
98,2014,NUTS,2013,NL32,2,0.83
99,2014,NUTS,2013,NL33,2,1.72
100,2014,NUTS,2013,NL41,2,0.58
101,2014,NUTS,2013,PL12,2,6.45
102,2014,NUTS,2013,PT17,2,6.29
103,2014,NUTS,2013,RO32,2,3.91
104,2014,NUTS,2013,SE11,2,6.48
105,2014,NUTS,2013,SE12,2,7.4
106,2014,NUTS,2013,SI04,2,4.1
107,2014,NUTS,2013,UKE4,2,8.22
108,2014,NUTS,2013,UKJ2,2,8.22
109,2014,NUTS,2013,UKK1,2,8.22
110,2014,NUTS,2013,UKM3,2,2.12
111,2014,NUTS,2013,UKN0,2,5.28
112,2014,NUTS,2013,AT123,3,8.22
113,2014,NUTS,2013,AT130,3,6.26
114,2014,NUTS,2013,BE100,3,3.32
115,2014,NUTS,2013,BE211,3,1.95
116,2014,NUTS,2013,BE213,3,8.22
117,2014,NUTS,2013,BE242,3,1.14
118,2014,NUTS,2013,BE352,3,8.22
119,2014,NUTS,2013,CZ010,3,3.11
120,2014,NUTS,2013,DE125,3,0.61
