year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_mio_pps_kp05_total
1995,NUTS,2010,AT,0,2853.611
1996,NUTS,2010,AT,0,3018.089
1997,NUTS,2010,AT,0,3225.785
1998,NUTS,2010,AT,0,3496.056
1999,NUTS,2010,AT,0,3858.352
2000,NUTS,2010,AT,0,4076.459
2001,NUTS,2010,AT,0,4360.335
2002,NUTS,2010,AT,0,4596.712
2003,NUTS,2010,AT,0,4883.842
2004,NUTS,2010,AT,0,4997.929
2005,NUTS,2010,AT,0,5598.709
2006,NUTS,2010,AT,0,5757.901
2007,NUTS,2010,AT,0,6122.415
2008,NUTS,2010,AT,0,6599.693
2009,NUTS,2010,AT,0,6418.711
2010,NUTS,2010,AT,0,6862.247
2011,NUTS,2010,AT,0,6914.049
2012,NUTS,2010,AT,0,7602.891
2013,NUTS,2010,AT,0,7709.711
2014,NUTS,2010,AT,0,8100.458
2015,NUTS,2010,AT,0,8090.856
2016,NUTS,2010,AT,0,8432.716
2017,NUTS,2010,AT,0,8457.204
2018,NUTS,2010,AT,0,8765.286
2019,NUTS,2010,AT,0,9008.615
2020,NUTS,2010,AT,0,8594.032
1998,NUTS,2010,AT1,1,1907.5
2002,NUTS,2010,AT1,1,2294.393
2004,NUTS,2010,AT1,1,2418.505
2006,NUTS,2010,AT1,1,2666.373
2007,NUTS,2010,AT1,1,2826.229
2009,NUTS,2010,AT1,1,2996.212
2011,NUTS,2010,AT1,1,3035.874
2013,NUTS,2010,AT1,1,3073.714
2015,NUTS,2010,AT1,1,3221.911
2017,NUTS,2010,AT1,1,3344.723
2019,NUTS,2010,AT1,1,3525.957
1998,NUTS,2010,AT11,2,8.226
2002,NUTS,2010,AT11,2,32.07
2004,NUTS,2010,AT11,2,27.919
2006,NUTS,2010,AT11,2,31.332
2007,NUTS,2010,AT11,2,33.393
2009,NUTS,2010,AT11,2,42.293
2011,NUTS,2010,AT11,2,47.489
2013,NUTS,2010,AT11,2,54.248
2015,NUTS,2010,AT11,2,61.441
2017,NUTS,2010,AT11,2,55.727
2019,NUTS,2010,AT11,2,58.052
1998,NUTS,2010,AT12,2,202.576
2002,NUTS,2010,AT12,2,279.521
2004,NUTS,2010,AT12,2,310.968
2006,NUTS,2010,AT12,2,420.576
2007,NUTS,2010,AT12,2,458.985
2009,NUTS,2010,AT12,2,511.129
2011,NUTS,2010,AT12,2,590.159
2013,NUTS,2010,AT12,2,652.333
2015,NUTS,2010,AT12,2,720.839
2017,NUTS,2010,AT12,2,784.621
2019,NUTS,2010,AT12,2,820.199
1998,NUTS,2010,AT13,2,1696.698
2002,NUTS,2010,AT13,2,1982.802
2004,NUTS,2010,AT13,2,2079.618
2006,NUTS,2010,AT13,2,2214.465
2007,NUTS,2010,AT13,2,2333.851
2009,NUTS,2010,AT13,2,2442.79
2011,NUTS,2010,AT13,2,2398.226
2013,NUTS,2010,AT13,2,2367.133
2015,NUTS,2010,AT13,2,2439.631
2017,NUTS,2010,AT13,2,2504.375
2019,NUTS,2010,AT13,2,2647.707
1998,NUTS,2010,AT2,1,742.434
2002,NUTS,2010,AT2,1,1115.196
2004,NUTS,2010,AT2,1,1197.867
2006,NUTS,2010,AT2,1,1380.953
2007,NUTS,2010,AT2,1,1511.816
2009,NUTS,2010,AT2,1,1479.057
2011,NUTS,2010,AT2,1,1776.97
2013,NUTS,2010,AT2,1,2021.085
2015,NUTS,2010,AT2,1,2173.444
2017,NUTS,2010,AT2,1,2175.773
2019,NUTS,2010,AT2,1,2396.093
1998,NUTS,2010,AT21,2,125.453
2002,NUTS,2010,AT21,2,225.24
2004,NUTS,2010,AT21,2,294.358
2006,NUTS,2010,AT21,2,358.812
2007,NUTS,2010,AT21,2,372.047
2009,NUTS,2010,AT21,2,333.971
2011,NUTS,2010,AT21,2,401.103
2013,NUTS,2010,AT21,2,408.207
2015,NUTS,2010,AT21,2,451.035
2017,NUTS,2010,AT21,2,437.609
2019,NUTS,2010,AT21,2,500.549
1998,NUTS,2010,AT22,2,616.981
2002,NUTS,2010,AT22,2,889.957
2004,NUTS,2010,AT22,2,903.51
2006,NUTS,2010,AT22,2,1022.141
2007,NUTS,2010,AT22,2,1139.77
2009,NUTS,2010,AT22,2,1145.086
2011,NUTS,2010,AT22,2,1375.867
