year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_fte_total_bes_t
1981,NUTS,2010,AT,0,11636.0
1984,NUTS,2010,AT,0,12546.0
1985,NUTS,2010,AT,0,12555.0
1989,NUTS,2010,AT,0,14854.0
1993,NUTS,2010,AT,0,15114.0
1998,NUTS,2010,AT,0,20385.0
2002,NUTS,2010,AT,0,26728.0
2004,NUTS,2010,AT,0,29143.0
2005,NUTS,2010,AT,0,32780.0
2006,NUTS,2010,AT,0,34126.0
2007,NUTS,2010,AT,0,36989.0
2008,NUTS,2010,AT,0,40296.0
2009,NUTS,2010,AT,0,38303.0
2010,NUTS,2010,AT,0,40954.0
2011,NUTS,2010,AT,0,42098.0
2012,NUTS,2010,AT,0,45468.0
2013,NUTS,2010,AT,0,46412.0
2014,NUTS,2010,AT,0,49539.0
2015,NUTS,2010,AT,0,50534.0
2016,NUTS,2010,AT,0,51895.0
2017,NUTS,2010,AT,0,52478.0
2018,NUTS,2010,AT,0,55369.0
2019,NUTS,2010,AT,0,58592.0
2020,NUTS,2010,AT,0,56377.0
1981,NUTS,2010,AT1,1,5567.0
1989,NUTS,2010,AT1,1,8170.0
1993,NUTS,2010,AT1,1,8668.0
1998,NUTS,2010,AT1,1,10230.0
2002,NUTS,2010,AT1,1,12367.0
2004,NUTS,2010,AT1,1,12820.0
2006,NUTS,2010,AT1,1,14756.0
2007,NUTS,2010,AT1,1,15704.0
2009,NUTS,2010,AT1,1,14906.0
2011,NUTS,2010,AT1,1,15678.0
2013,NUTS,2010,AT1,1,15629.0
2015,NUTS,2010,AT1,1,16619.0
2017,NUTS,2010,AT1,1,16398.0
2019,NUTS,2010,AT1,1,18449.0
1981,NUTS,2010,AT11,2,45.0
1989,NUTS,2010,AT11,2,58.0
1993,NUTS,2010,AT11,2,131.0
1998,NUTS,2010,AT11,2,77.0
2002,NUTS,2010,AT11,2,273.0
2004,NUTS,2010,AT11,2,295.0
2006,NUTS,2010,AT11,2,299.0
2007,NUTS,2010,AT11,2,351.0
2009,NUTS,2010,AT11,2,424.0
2011,NUTS,2010,AT11,2,529.0
2013,NUTS,2010,AT11,2,607.0
2015,NUTS,2010,AT11,2,668.0
2017,NUTS,2010,AT11,2,690.0
2019,NUTS,2010,AT11,2,694.0
1981,NUTS,2010,AT12,2,903.0
1989,NUTS,2010,AT12,2,1292.0
1993,NUTS,2010,AT12,2,1035.0
1998,NUTS,2010,AT12,2,1904.0
2002,NUTS,2010,AT12,2,2539.0
2004,NUTS,2010,AT12,2,2859.0
2006,NUTS,2010,AT12,2,3673.0
2007,NUTS,2010,AT12,2,3918.0
2009,NUTS,2010,AT12,2,4145.0
2011,NUTS,2010,AT12,2,4623.0
2013,NUTS,2010,AT12,2,4877.0
2015,NUTS,2010,AT12,2,5451.0
2017,NUTS,2010,AT12,2,5656.0
2019,NUTS,2010,AT12,2,6376.0
1981,NUTS,2010,AT13,2,4619.0
1989,NUTS,2010,AT13,2,6821.0
1993,NUTS,2010,AT13,2,7502.0
1998,NUTS,2010,AT13,2,8249.0
2002,NUTS,2010,AT13,2,9555.0
2004,NUTS,2010,AT13,2,9666.0
2006,NUTS,2010,AT13,2,10784.0
2007,NUTS,2010,AT13,2,11435.0
2009,NUTS,2010,AT13,2,10337.0
2011,NUTS,2010,AT13,2,10525.0
2013,NUTS,2010,AT13,2,10145.0
2015,NUTS,2010,AT13,2,10501.0
2017,NUTS,2010,AT13,2,10052.0
2019,NUTS,2010,AT13,2,11380.0
1981,NUTS,2010,AT2,1,2409.0
1989,NUTS,2010,AT2,1,2462.0
1993,NUTS,2010,AT2,1,2421.0
1998,NUTS,2010,AT2,1,4483.0
2002,NUTS,2010,AT2,1,6248.0
2004,NUTS,2010,AT2,1,7050.0
2006,NUTS,2010,AT2,1,8454.0
2007,NUTS,2010,AT2,1,9225.0
2009,NUTS,2010,AT2,1,9737.0
2011,NUTS,2010,AT2,1,11271.0
2013,NUTS,2010,AT2,1,12946.0
2015,NUTS,2010,AT2,1,14318.0
2017,NUTS,2010,AT2,1,15060.0
2019,NUTS,2010,AT2,1,16895.0
1981,NUTS,2010,AT21,2,350.0
1989,NUTS,2010,AT21,2,297.0
1993,NUTS,2010,AT21,2,256.0
1998,NUTS,2010,AT21,2,750.0
2002,NUTS,2010,AT21,2,1359.0
2004,NUTS,2010,AT21,2,1639.0
2006,NUTS,2010,AT21,2,2002.0
2007,NUTS,2010,AT21,2,2197.0
2009,NUTS,2010,AT21,2,2358.0
2011,NUTS,2010,AT21,2,2641.0
