year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_pc_emp_hc_total_t
2011,NUTS,2010,AT,0,1.0621
2013,NUTS,2010,AT,0,1.1067
2015,NUTS,2010,AT,0,1.1692
2017,NUTS,2010,AT,0,1.1556
2019,NUTS,2010,AT,0,1.2304
2011,NUTS,2010,AT1,1,1.3016
2013,NUTS,2010,AT1,1,1.3844
2019,NUTS,2010,AT1,1,1.4827
2011,NUTS,2010,AT11,2,0.0695
2013,NUTS,2010,AT11,2,0.1149
2019,NUTS,2010,AT11,2,0.1524
2011,NUTS,2010,AT12,2,0.0801
2013,NUTS,2010,AT12,2,0.158
2015,NUTS,2010,AT12,2,0.1853
2017,NUTS,2010,AT12,2,0.2451
2019,NUTS,2010,AT12,2,0.2988
2011,NUTS,2010,AT13,2,2.749
2013,NUTS,2010,AT13,2,2.8034
2015,NUTS,2010,AT13,2,2.8802
2017,NUTS,2010,AT13,2,2.7249
2019,NUTS,2010,AT13,2,2.8027
2011,NUTS,2010,AT2,1,1.1772
2013,NUTS,2010,AT2,1,1.1841
2017,NUTS,2010,AT2,1,1.2915
2019,NUTS,2010,AT2,1,1.3992
2011,NUTS,2010,AT21,2,0.3536
2013,NUTS,2010,AT21,2,0.3328
2015,NUTS,2010,AT21,2,0.3129
2017,NUTS,2010,AT21,2,0.3386
2019,NUTS,2010,AT21,2,0.4088
2011,NUTS,2010,AT22,2,1.5391
2013,NUTS,2010,AT22,2,1.559
2015,NUTS,2010,AT22,2,1.7465
2017,NUTS,2010,AT22,2,1.7051
2019,NUTS,2010,AT22,2,1.8258
2011,NUTS,2010,AT3,1,0.6843
2013,NUTS,2010,AT3,1,0.7046
2019,NUTS,2010,AT3,1,0.8014
2011,NUTS,2010,AT31,2,0.4041
2013,NUTS,2010,AT31,2,0.4053
2015,NUTS,2010,AT31,2,0.439
2017,NUTS,2010,AT31,2,0.4346
2019,NUTS,2010,AT31,2,0.465
2011,NUTS,2010,AT32,2,0.8074
2013,NUTS,2010,AT32,2,0.8619
2015,NUTS,2010,AT32,2,0.9971
2017,NUTS,2010,AT32,2,1.0143
2019,NUTS,2010,AT32,2,1.0408
2011,NUTS,2010,AT33,2,1.4821
2013,NUTS,2010,AT33,2,1.5016
2015,NUTS,2010,AT33,2,1.5108
2017,NUTS,2010,AT33,2,1.5546
2019,NUTS,2010,AT33,2,1.6593
2011,NUTS,2010,AT34,2,0.0408
2013,NUTS,2010,AT34,2,0.0502
2019,NUTS,2010,AT34,2,0.0781
2011,NUTS,2010,BE,0,0.9472
2012,NUTS,2010,BE,0,0.9457
2013,NUTS,2010,BE,0,0.9583
2014,NUTS,2010,BE,0,1.0408
2015,NUTS,2010,BE,0,0.9971
2016,NUTS,2010,BE,0,1.0101
2017,NUTS,2010,BE,0,1.0113
2018,NUTS,2010,BE,0,1.0681
2019,NUTS,2010,BE,0,1.0514
2011,NUTS,2010,BE1,1,2.1709
2012,NUTS,2010,BE1,1,2.1095
2013,NUTS,2010,BE1,1,2.1607
2014,NUTS,2010,BE1,1,2.3104
2015,NUTS,2010,BE1,1,2.0278
2016,NUTS,2010,BE1,1,2.0195
2017,NUTS,2010,BE1,1,1.9338
2018,NUTS,2010,BE1,1,2.2479
2019,NUTS,2010,BE1,1,2.1055
2011,NUTS,2010,BE10,2,2.1709
2012,NUTS,2010,BE10,2,2.1095
