year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_pc_emp_hc_total_f
2011,NUTS,2010,AT,0,1.773
2013,NUTS,2010,AT,0,1.8829
2015,NUTS,2010,AT,0,1.9804
2017,NUTS,2010,AT,0,2.028
2019,NUTS,2010,AT,0,2.1993
2011,NUTS,2010,AT1,1,2.2497
2013,NUTS,2010,AT1,1,2.3737
2015,NUTS,2010,AT1,1,2.431
2017,NUTS,2010,AT1,1,2.4442
2019,NUTS,2010,AT1,1,2.6835
2011,NUTS,2010,AT11,2,0.3938
2013,NUTS,2010,AT11,2,0.4661
2015,NUTS,2010,AT11,2,0.4094
2017,NUTS,2010,AT11,2,0.4589
2019,NUTS,2010,AT11,2,0.4188
2011,NUTS,2010,AT12,2,0.4885
2013,NUTS,2010,AT12,2,0.5934
2015,NUTS,2010,AT12,2,0.6433
2017,NUTS,2010,AT12,2,0.699
2019,NUTS,2010,AT12,2,0.8474
2011,NUTS,2010,AT13,2,4.2709
2013,NUTS,2010,AT13,2,4.3565
2015,NUTS,2010,AT13,2,4.4691
2017,NUTS,2010,AT13,2,4.4248
2019,NUTS,2010,AT13,2,4.7416
2011,NUTS,2010,AT2,1,1.8854
2013,NUTS,2010,AT2,1,1.9745
2015,NUTS,2010,AT2,1,2.1172
2017,NUTS,2010,AT2,1,2.1748
2019,NUTS,2010,AT2,1,2.403
2011,NUTS,2010,AT21,2,0.7722
2013,NUTS,2010,AT21,2,0.7741
2015,NUTS,2010,AT21,2,0.8122
2017,NUTS,2010,AT21,2,0.9926
2019,NUTS,2010,AT21,2,1.1715
2011,NUTS,2010,AT22,2,2.3742
2013,NUTS,2010,AT22,2,2.5132
2015,NUTS,2010,AT22,2,2.6927
2017,NUTS,2010,AT22,2,2.6921
2019,NUTS,2010,AT22,2,2.9341
2011,NUTS,2010,AT3,1,1.0994
2013,NUTS,2010,AT3,1,1.2087
2015,NUTS,2010,AT3,1,1.3084
2017,NUTS,2010,AT3,1,1.3928
2019,NUTS,2010,AT3,1,1.4693
2011,NUTS,2010,AT31,2,0.7645
2013,NUTS,2010,AT31,2,0.8385
2015,NUTS,2010,AT31,2,0.9401
2017,NUTS,2010,AT31,2,0.9547
2019,NUTS,2010,AT31,2,1.0984
2011,NUTS,2010,AT32,2,1.1382
2013,NUTS,2010,AT32,2,1.3446
2015,NUTS,2010,AT32,2,1.5371
2017,NUTS,2010,AT32,2,1.6582
2019,NUTS,2010,AT32,2,1.7089
2011,NUTS,2010,AT33,2,2.0607
2013,NUTS,2010,AT33,2,2.1874
2015,NUTS,2010,AT33,2,2.241
2017,NUTS,2010,AT33,2,2.4281
2019,NUTS,2010,AT33,2,2.4255
2011,NUTS,2010,AT34,2,0.4331
2013,NUTS,2010,AT34,2,0.4698
2015,NUTS,2010,AT34,2,0.546
2017,NUTS,2010,AT34,2,0.6453
2019,NUTS,2010,AT34,2,0.6472
2011,NUTS,2010,BE,0,1.6823
2013,NUTS,2010,BE,0,1.7277
2015,NUTS,2010,BE,0,1.9647
2017,NUTS,2010,BE,0,2.1833
2019,NUTS,2010,BE,0,2.297
2011,NUTS,2010,BE1,1,1.1369
2013,NUTS,2010,BE1,1,3.5102
2015,NUTS,2010,BE1,1,3.823
2017,NUTS,2010,BE1,1,4.1824
2019,NUTS,2010,BE1,1,5.0254
2011,NUTS,2010,BE10,2,1.1369
2013,NUTS,2010,BE10,2,3.5102
2015,NUTS,2010,BE10,2,3.823
2017,NUTS,2010,BE10,2,4.1824
2019,NUTS,2010,BE10,2,5.0254
2011,NUTS,2010,BE2,1,0.6911
2013,NUTS,2010,BE2,1,1.6315
2015,NUTS,2010,BE2,1,1.8356
2017,NUTS,2010,BE2,1,2.017
2019,NUTS,2010,BE2,1,2.2038
2011,NUTS,2010,BE21,2,0.9754
2013,NUTS,2010,BE21,2,1.5136
2015,NUTS,2010,BE21,2,1.7181
2011,NUTS,2010,BE22,2,0.2393
2013,NUTS,2010,BE22,2,0.6545
2015,NUTS,2010,BE22,2,0.8009
2011,NUTS,2010,BE23,2,0.6898
2013,NUTS,2010,BE23,2,2.1336
2015,NUTS,2010,BE23,2,2.353
2011,NUTS,2010,BE24,2,1.023
2013,NUTS,2010,BE24,2,3.0582
2015,NUTS,2010,BE24,2,3.4142
2011,NUTS,2010,BE25,2,0.2923
2013,NUTS,2010,BE25,2,0.4564
2015,NUTS,2010,BE25,2,0.5327
2011,NUTS,2010,BE3,1,0.6834
2013,NUTS,2010,BE3,1,1.3319
2015,NUTS,2010,BE3,1,1.5902
2017,NUTS,2010,BE3,1,1.8254
2019,NUTS,2010,BE3,1,1.5416
2011,NUTS,2010,BE31,2,3.1286
2013,NUTS,2010,BE31,2,4.8495
2015,NUTS,2010,BE31,2,5.1281
2011,NUTS,2010,BE32,2,0.4109
2013,NUTS,2010,BE32,2,0.5465
2015,NUTS,2010,BE32,2,1.0471
2011,NUTS,2010,BE33,2,0.2638
2013,NUTS,2010,BE33,2,1.3586
2015,NUTS,2010,BE33,2,1.3174
2011,NUTS,2010,BE34,2,0.2012
2013,NUTS,2010,BE34,2,0.1477
2015,NUTS,2010,BE34,2,0.1869
