year,region_type,region_year_spec,region_id,region_level,hrst_st_rcat_pc_pop_hrste
1999,NUTS,2010,AT,0,11.9
2000,NUTS,2010,AT,0,11.8
2001,NUTS,2010,AT,0,12.0
2002,NUTS,2010,AT,0,14.0
2003,NUTS,2010,AT,0,13.7
2004,NUTS,2010,AT,0,15.2
2005,NUTS,2010,AT,0,14.5
2006,NUTS,2010,AT,0,14.3
2007,NUTS,2010,AT,0,14.1
2008,NUTS,2010,AT,0,14.6
2009,NUTS,2010,AT,0,15.6
2010,NUTS,2010,AT,0,15.9
2011,NUTS,2010,AT,0,15.9
2012,NUTS,2010,AT,0,16.4
2013,NUTS,2010,AT,0,17.1
2014,NUTS,2010,AT,0,26.1
2015,NUTS,2010,AT,0,26.9
2016,NUTS,2010,AT,0,27.8
2017,NUTS,2010,AT,0,28.3
2018,NUTS,2010,AT,0,28.8
2019,NUTS,2010,AT,0,29.8
2020,NUTS,2010,AT,0,29.8
1999,NUTS,2010,AT1,1,13.4
2000,NUTS,2010,AT1,1,13.7
2001,NUTS,2010,AT1,1,13.3
2002,NUTS,2010,AT1,1,15.0
2003,NUTS,2010,AT1,1,14.5
2004,NUTS,2010,AT1,1,17.3
2005,NUTS,2010,AT1,1,16.2
2006,NUTS,2010,AT1,1,15.9
2007,NUTS,2010,AT1,1,15.2
2008,NUTS,2010,AT1,1,16.3
2009,NUTS,2010,AT1,1,17.8
2010,NUTS,2010,AT1,1,18.3
2011,NUTS,2010,AT1,1,18.0
2012,NUTS,2010,AT1,1,18.4
2013,NUTS,2010,AT1,1,19.7
2014,NUTS,2010,AT1,1,29.3
2015,NUTS,2010,AT1,1,30.2
2016,NUTS,2010,AT1,1,30.8
2017,NUTS,2010,AT1,1,31.8
2018,NUTS,2010,AT1,1,32.0
2019,NUTS,2010,AT1,1,32.8
2020,NUTS,2010,AT1,1,33.1
1999,NUTS,2010,AT11,2,8.4
2000,NUTS,2010,AT11,2,8.8
2001,NUTS,2010,AT11,2,8.3
2002,NUTS,2010,AT11,2,10.5
2003,NUTS,2010,AT11,2,10.3
2004,NUTS,2010,AT11,2,11.2
2005,NUTS,2010,AT11,2,10.3
2006,NUTS,2010,AT11,2,12.0
2007,NUTS,2010,AT11,2,10.9
2008,NUTS,2010,AT11,2,11.6
2009,NUTS,2010,AT11,2,12.5
2010,NUTS,2010,AT11,2,12.3
2011,NUTS,2010,AT11,2,12.4
2012,NUTS,2010,AT11,2,11.6
2013,NUTS,2010,AT11,2,13.3
2014,NUTS,2010,AT11,2,23.0
2015,NUTS,2010,AT11,2,24.7
2016,NUTS,2010,AT11,2,24.6
2017,NUTS,2010,AT11,2,25.0
2018,NUTS,2010,AT11,2,25.5
2019,NUTS,2010,AT11,2,27.6
2020,NUTS,2010,AT11,2,29.3
1999,NUTS,2010,AT12,2,11.4
2000,NUTS,2010,AT12,2,11.0
2001,NUTS,2010,AT12,2,10.5
