year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_t_pc_emp_fte_rse
1998,NUTS,2010,AT,0,0.163
2002,NUTS,2010,AT,0,0.1895
2004,NUTS,2010,AT,0,0.2268
2005,NUTS,2010,AT,0,0.2415
2006,NUTS,2010,AT,0,0.2448
2007,NUTS,2010,AT,0,0.2617
2008,NUTS,2010,AT,0,0.2804
2009,NUTS,2010,AT,0,0.2881
2010,NUTS,2010,AT,0,0.3031
2011,NUTS,2010,AT,0,0.3064
2012,NUTS,2010,AT,0,0.3166
2013,NUTS,2010,AT,0,0.3188
2014,NUTS,2010,AT,0,0.3337
2015,NUTS,2010,AT,0,0.3357
2016,NUTS,2010,AT,0,0.3225
2017,NUTS,2010,AT,0,0.3229
2018,NUTS,2010,AT,0,0.3362
2019,NUTS,2010,AT,0,0.3427
2020,NUTS,2010,AT,0,0.3581
2011,NUTS,2010,AT1,1,0.3905
2013,NUTS,2010,AT1,1,0.4108
2019,NUTS,2010,AT1,1,0.4348
2011,NUTS,2010,AT11,2,0.0193
2013,NUTS,2010,AT11,2,0.0267
2019,NUTS,2010,AT11,2,0.0499
2002,NUTS,2010,AT12,2,0.0034
2004,NUTS,2010,AT12,2,0.0072
2006,NUTS,2010,AT12,2,0.0125
2007,NUTS,2010,AT12,2,0.0149
2009,NUTS,2010,AT12,2,0.0218
2011,NUTS,2010,AT12,2,0.033
2013,NUTS,2010,AT12,2,0.0618
2015,NUTS,2010,AT12,2,0.0733
2017,NUTS,2010,AT12,2,0.0947
2019,NUTS,2010,AT12,2,0.1318
2002,NUTS,2010,AT13,2,0.5291
2004,NUTS,2010,AT13,2,0.6409
2006,NUTS,2010,AT13,2,0.6609
2007,NUTS,2010,AT13,2,0.7225
2009,NUTS,2010,AT13,2,0.7786
2011,NUTS,2010,AT13,2,0.8158
2013,NUTS,2010,AT13,2,0.8185
2015,NUTS,2010,AT13,2,0.8509
2017,NUTS,2010,AT13,2,0.7682
2019,NUTS,2010,AT13,2,0.7795
2006,NUTS,2010,AT2,1,0.2549
2007,NUTS,2010,AT2,1,0.2639
2009,NUTS,2010,AT2,1,0.2924
2011,NUTS,2010,AT2,1,0.3088
2013,NUTS,2010,AT2,1,0.3194
2017,NUTS,2010,AT2,1,0.3418
2019,NUTS,2010,AT2,1,0.3519
2006,NUTS,2010,AT21,2,0.0813
2007,NUTS,2010,AT21,2,0.0865
2009,NUTS,2010,AT21,2,0.0954
2011,NUTS,2010,AT21,2,0.1137
2013,NUTS,2010,AT21,2,0.1135
2015,NUTS,2010,AT21,2,0.0959
2017,NUTS,2010,AT21,2,0.1084
2019,NUTS,2010,AT21,2,0.1051
2002,NUTS,2010,AT22,2,0.281
2004,NUTS,2010,AT22,2,0.3235
2006,NUTS,2010,AT22,2,0.3317
2007,NUTS,2010,AT22,2,0.343
2009,NUTS,2010,AT22,2,0.3806
2011,NUTS,2010,AT22,2,0.3945
2013,NUTS,2010,AT22,2,0.41
2015,NUTS,2010,AT22,2,0.4544
2017,NUTS,2010,AT22,2,0.4431
2019,NUTS,2010,AT22,2,0.4582
2002,NUTS,2010,AT3,1,0.1138
2004,NUTS,2010,AT3,1,0.1451
2011,NUTS,2010,AT3,1,0.1978
2013,NUTS,2010,AT3,1,0.2013
2019,NUTS,2010,AT3,1,0.2191
2002,NUTS,2010,AT31,2,0.0663
2004,NUTS,2010,AT31,2,0.0858
2006,NUTS,2010,AT31,2,0.0976
2007,NUTS,2010,AT31,2,0.1045
2009,NUTS,2010,AT31,2,0.1178
2011,NUTS,2010,AT31,2,0.1394
2013,NUTS,2010,AT31,2,0.1413
2015,NUTS,2010,AT31,2,0.1354
2017,NUTS,2010,AT31,2,0.1319
2019,NUTS,2010,AT31,2,0.1388
2006,NUTS,2010,AT32,2,0.182
2007,NUTS,2010,AT32,2,0.1927
2009,NUTS,2010,AT32,2,0.2153
2011,NUTS,2010,AT32,2,0.2164
2013,NUTS,2010,AT32,2,0.2218
2015,NUTS,2010,AT32,2,0.2647
2017,NUTS,2010,AT32,2,0.2614
2019,NUTS,2010,AT32,2,0.2876
2002,NUTS,2010,AT33,2,0.2542
2004,NUTS,2010,AT33,2,0.3154
2006,NUTS,2010,AT33,2,0.3426
2007,NUTS,2010,AT33,2,0.3546
2009,NUTS,2010,AT33,2,0.3777
2011,NUTS,2010,AT33,2,0.3907
2013,NUTS,2010,AT33,2,0.3914
2015,NUTS,2010,AT33,2,0.4033
2017,NUTS,2010,AT33,2,0.3927
2019,NUTS,2010,AT33,2,0.4209
2011,NUTS,2010,AT34,2,0.0223
2013,NUTS,2010,AT34,2,0.0267
2019,NUTS,2010,AT34,2,0.0365
1993,NUTS,2010,BE,0,0.2484
1994,NUTS,2010,BE,0,0.26
1995,NUTS,2010,BE,0,0.261
1996,NUTS,2010,BE,0,0.2477
1997,NUTS,2010,BE,0,0.2569
1998,NUTS,2010,BE,0,0.2745
1999,NUTS,2010,BE,0,0.2933
2000,NUTS,2010,BE,0,0.2895
2001,NUTS,2010,BE,0,0.2984
2002,NUTS,2010,BE,0,0.2981
2003,NUTS,2010,BE,0,0.3061
2004,NUTS,2010,BE,0,0.3293
2005,NUTS,2010,BE,0,0.3299
2006,NUTS,2010,BE,0,0.3476
2007,NUTS,2010,BE,0,0.3556
2008,NUTS,2010,BE,0,0.373
2009,NUTS,2010,BE,0,0.3931
2010,NUTS,2010,BE,0,0.4017
2011,NUTS,2010,BE,0,0.4078
2012,NUTS,2010,BE,0,0.4099
2013,NUTS,2010,BE,0,0.4181
2014,NUTS,2010,BE,0,0.426
2015,NUTS,2010,BE,0,0.4526
2016,NUTS,2010,BE,0,0.4317
2017,NUTS,2010,BE,0,0.4296
2018,NUTS,2010,BE,0,0.4242
2019,NUTS,2010,BE,0,0.4249
2020,NUTS,2010,BE,0,0.4638
2002,NUTS,2010,BE1,1,0.7388
2003,NUTS,2010,BE1,1,0.7189
2004,NUTS,2010,BE1,1,0.7452
2005,NUTS,2010,BE1,1,0.7413
2006,NUTS,2010,BE1,1,0.7859
2007,NUTS,2010,BE1,1,0.7942
2008,NUTS,2010,BE1,1,0.8121
2009,NUTS,2010,BE1,1,0.8302
2010,NUTS,2010,BE1,1,0.7897
2011,NUTS,2010,BE1,1,0.7869
2012,NUTS,2010,BE1,1,0.7863
2013,NUTS,2010,BE1,1,0.8244
2014,NUTS,2010,BE1,1,0.8638
2015,NUTS,2010,BE1,1,0.9624
2016,NUTS,2010,BE1,1,0.9024
2017,NUTS,2010,BE1,1,0.8939
2018,NUTS,2010,BE1,1,0.8195
2019,NUTS,2010,BE1,1,0.7986
2002,NUTS,2010,BE10,2,0.7388
2003,NUTS,2010,BE10,2,0.7189
2004,NUTS,2010,BE10,2,0.7452
2005,NUTS,2010,BE10,2,0.7413
2006,NUTS,2010,BE10,2,0.7859
2007,NUTS,2010,BE10,2,0.7942
2008,NUTS,2010,BE10,2,0.8121
2009,NUTS,2010,BE10,2,0.8302
2010,NUTS,2010,BE10,2,0.7897
2011,NUTS,2010,BE10,2,0.7869
2012,NUTS,2010,BE10,2,0.7863
2013,NUTS,2010,BE10,2,0.8244
2014,NUTS,2010,BE10,2,0.8638
2015,NUTS,2010,BE10,2,0.9624
2016,NUTS,2010,BE10,2,0.9024
2017,NUTS,2010,BE10,2,0.8939
2018,NUTS,2010,BE10,2,0.8195
2019,NUTS,2010,BE10,2,0.7986
2002,NUTS,2010,BE2,1,0.2491
2003,NUTS,2010,BE2,1,0.2598
2004,NUTS,2010,BE2,1,0.2954
2005,NUTS,2010,BE2,1,0.2965
2006,NUTS,2010,BE2,1,0.3124
2007,NUTS,2010,BE2,1,0.3213
2008,NUTS,2010,BE2,1,0.3385
2009,NUTS,2010,BE2,1,0.3593
2010,NUTS,2010,BE2,1,0.379
2011,NUTS,2010,BE2,1,0.3879
2012,NUTS,2010,BE2,1,0.398
2013,NUTS,2010,BE2,1,0.4064
2014,NUTS,2010,BE2,1,0.41
2015,NUTS,2010,BE2,1,0.4134
2016,NUTS,2010,BE2,1,0.4048
2017,NUTS,2010,BE2,1,0.4048
2018,NUTS,2010,BE2,1,0.4108
2019,NUTS,2010,BE2,1,0.4172
2002,NUTS,2010,BE3,1,0.2751
2003,NUTS,2010,BE3,1,0.2798
2004,NUTS,2010,BE3,1,0.2666
2005,NUTS,2010,BE3,1,0.2679
2006,NUTS,2010,BE3,1,0.2849
2007,NUTS,2010,BE3,1,0.289
2008,NUTS,2010,BE3,1,0.3028
2009,NUTS,2010,BE3,1,0.3183
2010,NUTS,2010,BE3,1,0.3171
2011,NUTS,2010,BE3,1,0.3198
2012,NUTS,2010,BE3,1,0.3033
2013,NUTS,2010,BE3,1,0.3032
2014,NUTS,2010,BE3,1,0.3033
2015,NUTS,2010,BE3,1,0.3502
2016,NUTS,2010,BE3,1,0.3173
2017,NUTS,2010,BE3,1,0.3099
2018,NUTS,2010,BE3,1,0.3021
2019,NUTS,2010,BE3,1,0.2969
2000,NUTS,2010,BG,0,0.0681
2001,NUTS,2010,BG,0,0.0744
2002,NUTS,2010,BG,0,0.0805
2003,NUTS,2010,BG,0,0.0787
2004,NUTS,2010,BG,0,0.0821
2005,NUTS,2010,BG,0,0.0885
2006,NUTS,2010,BG,0,0.0897
2007,NUTS,2010,BG,0,0.1123
2008,NUTS,2010,BG,0,0.1142
2009,NUTS,2010,BG,0,0.1391
2010,NUTS,2010,BG,0,0.1206
2011,NUTS,2010,BG,0,0.1561
2012,NUTS,2010,BG,0,0.1315
2013,NUTS,2010,BG,0,0.142
2014,NUTS,2010,BG,0,0.1558
2015,NUTS,2010,BG,0,0.1316
2016,NUTS,2010,BG,0,0.1769
2017,NUTS,2010,BG,0,0.1262
2018,NUTS,2010,BG,0,0.1283
2019,NUTS,2010,BG,0,0.1171
2020,NUTS,2010,BG,0,0.1192
2003,NUTS,2010,BG3,1,0.0739
2004,NUTS,2010,BG3,1,0.0794
2005,NUTS,2010,BG3,1,0.0885
2006,NUTS,2010,BG3,1,0.0853
2007,NUTS,2010,BG3,1,0.0902
2008,NUTS,2010,BG3,1,0.0926
2011,NUTS,2010,BG3,1,0.1123
2012,NUTS,2010,BG3,1,0.1127
2013,NUTS,2010,BG3,1,0.1191
2014,NUTS,2010,BG3,1,0.1534
2016,NUTS,2010,BG3,1,0.1151
2019,NUTS,2010,BG3,1,0.1106
2003,NUTS,2010,BG32,2,0.0716
2004,NUTS,2010,BG32,2,0.089
2005,NUTS,2010,BG32,2,0.1728
2008,NUTS,2010,BG32,2,0.1528
2009,NUTS,2010,BG32,2,0.1343
2010,NUTS,2010,BG32,2,0.1212
2011,NUTS,2010,BG32,2,0.1481
2012,NUTS,2010,BG32,2,0.1411
2013,NUTS,2010,BG32,2,0.1509
2014,NUTS,2010,BG32,2,0.275
2015,NUTS,2010,BG32,2,0.19
2019,NUTS,2010,BG32,2,0.1153
2006,NUTS,2010,BG33,2,0.1042
2007,NUTS,2010,BG33,2,0.0842
2008,NUTS,2010,BG33,2,0.0811
2010,NUTS,2010,BG33,2,0.1356
2011,NUTS,2010,BG33,2,0.195
2012,NUTS,2010,BG33,2,0.2029
2013,NUTS,2010,BG33,2,0.2008
2014,NUTS,2010,BG33,2,0.237
2015,NUTS,2010,BG33,2,0.192
2003,NUTS,2010,BG34,2,0.0869
2004,NUTS,2010,BG34,2,0.0746
2005,NUTS,2010,BG34,2,0.0561
2006,NUTS,2010,BG34,2,0.0587
2007,NUTS,2010,BG34,2,0.0878
2010,NUTS,2010,BG34,2,0.0902
2015,NUTS,2010,BG34,2,0.0609
2016,NUTS,2010,BG34,2,0.0697
2017,NUTS,2010,BG34,2,0.0634
2003,NUTS,2010,BG4,1,0.0786
2004,NUTS,2010,BG4,1,0.0797
2005,NUTS,2010,BG4,1,0.0864
2006,NUTS,2010,BG4,1,0.0918
2007,NUTS,2010,BG4,1,0.1304
2008,NUTS,2010,BG4,1,0.1309
2011,NUTS,2010,BG4,1,0.1879
2012,NUTS,2010,BG4,1,0.1417
2013,NUTS,2010,BG4,1,0.1544
2014,NUTS,2010,BG4,1,0.1486
2016,NUTS,2010,BG4,1,0.2208
2019,NUTS,2010,BG4,1,0.1134
2000,NUTS,2010,BG41,2,0.1334
2002,NUTS,2010,BG41,2,0.1341
2003,NUTS,2010,BG41,2,0.1064
2004,NUTS,2010,BG41,2,0.1044
2005,NUTS,2010,BG41,2,0.1174
2008,NUTS,2010,BG41,2,0.1639
2009,NUTS,2010,BG41,2,0.2098
2010,NUTS,2010,BG41,2,0.1639
2013,NUTS,2010,BG41,2,0.2032
2015,NUTS,2010,BG41,2,0.1749
2017,NUTS,2010,BG41,2,0.1818
2018,NUTS,2010,BG41,2,0.1657
2019,NUTS,2010,BG41,2,0.129
2003,NUTS,2010,BG42,2,0.0368
2004,NUTS,2010,BG42,2,0.0432
2005,NUTS,2010,BG42,2,0.0376
2008,NUTS,2010,BG42,2,0.0786
2013,NUTS,2010,BG42,2,0.0735
2019,NUTS,2010,BG42,2,0.0874
2010,NUTS,2010,CH,0,0.4113
