year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_avi_p_mhab
2011,NUTS,2010,AT,0,1.134
2012,NUTS,2010,AT,0,0.714
2011,NUTS,2010,AT1,1,0.417
2012,NUTS,2010,AT1,1,0.553
2012,NUTS,2010,AT11,2,4.374
2012,NUTS,2010,AT112,3,3.322
2012,NUTS,2010,AT113,3,7.675
2011,NUTS,2010,AT12,2,0.311
2012,NUTS,2010,AT12,2,0.155
2012,NUTS,2010,AT122,3,0.988
2011,NUTS,2010,AT127,3,1.57
2011,NUTS,2010,AT13,2,0.587
2012,NUTS,2010,AT13,2,0.291
2011,NUTS,2010,AT130,3,0.587
2012,NUTS,2010,AT130,3,0.291
2012,NUTS,2010,AT2,1,1.133
2012,NUTS,2010,AT21,2,1.798
2012,NUTS,2010,AT212,3,7.878
2012,NUTS,2010,AT22,2,0.827
2012,NUTS,2010,AT221,3,2.466
2011,NUTS,2010,AT3,1,2.653
2012,NUTS,2010,AT3,1,0.661
2011,NUTS,2010,AT31,2,0.709
2012,NUTS,2010,AT31,2,1.415
2011,NUTS,2010,AT312,3,1.82
2012,NUTS,2010,AT315,3,8.704
2011,NUTS,2010,AT32,2,1.894
2011,NUTS,2010,AT323,3,2.901
2011,NUTS,2010,AT34,2,16.247
2011,NUTS,2010,AT342,3,21.32
2011,NUTS,2010,BE,0,0.082
2012,NUTS,2010,BE,0,0.09
2011,NUTS,2010,BE2,1,0.079
2011,NUTS,2010,BE21,2,0.282
2011,NUTS,2010,BE211,3,0.498
2011,NUTS,2010,BE3,1,0.113
2012,NUTS,2010,BE3,1,0.281
2012,NUTS,2010,BE31,2,1.293
2012,NUTS,2010,BE310,3,1.293
2011,NUTS,2010,BE32,2,0.152
2012,NUTS,2010,BE32,2,0.377
2012,NUTS,2010,BE321,3,5.879
2011,NUTS,2010,BE323,3,0.788
2011,NUTS,2010,BE33,2,0.185
2011,NUTS,2010,BE331,3,1.832
2012,NUTS,2010,BG,0,0.068
2012,NUTS,2010,BG3,1,0.067
2012,NUTS,2010,BG33,2,0.26
2012,NUTS,2010,BG332,3,1.329
2012,NUTS,2010,BG4,1,0.069
2012,NUTS,2010,BG42,2,0.17
2012,NUTS,2010,BG421,3,0.367
2011,NUTS,2010,CH,0,0.381
2012,NUTS,2010,CH,0,0.22
2011,NUTS,2010,CH0,1,0.381
2012,NUTS,2010,CH0,1,0.22
2012,NUTS,2010,CH01,2,0.565
2012,NUTS,2010,CH011,3,1.102
2012,NUTS,2010,CH012,3,0.158
2012,NUTS,2010,CH02,2,0.062
2012,NUTS,2010,CH022,3,0.176
2012,NUTS,2010,CH023,3,0.195
2012,NUTS,2010,CH03,2,0.343
2012,NUTS,2010,CH031,3,0.268
2012,NUTS,2010,CH032,3,0.944
2012,NUTS,2010,CH033,3,0.081
2011,NUTS,2010,CH04,2,1.457
2012,NUTS,2010,CH04,2,0.187
2011,NUTS,2010,CH040,3,1.457
2012,NUTS,2010,CH040,3,0.187
2011,NUTS,2010,CH05,2,0.906
2012,NUTS,2010,CH05,2,0.045
2011,NUTS,2010,CH055,3,2.088
2012,NUTS,2010,CH055,3,0.103
2012,NUTS,2010,CH06,2,0.145
2012,NUTS,2010,CH061,3,0.131
2012,NUTS,2010,CH063,3,0.338
2012,NUTS,2010,CZ,0,0.19
2012,NUTS,2010,CZ0,1,0.19
2012,NUTS,2010,CZ01,2,0.805
2012,NUTS,2010,CZ010,3,0.805
2012,NUTS,2010,CZ06,2,0.596
2012,NUTS,2010,CZ064,3,0.857
2011,NUTS,2010,DE,0,2.461
2012,NUTS,2010,DE,0,2.449
2011,NUTS,2010,DE1,1,2.461
2012,NUTS,2010,DE1,1,1.321
2011,NUTS,2010,DE11,2,3.303
2012,NUTS,2010,DE11,2,1.576
2011,NUTS,2010,DE111,3,0.874
2011,NUTS,2010,DE112,3,6.731
2012,NUTS,2010,DE113,3,1.121
2011,NUTS,2010,DE115,3,3.9
2012,NUTS,2010,DE115,3,0.48
2011,NUTS,2010,DE116,3,1.805
2012,NUTS,2010,DE116,3,1.203
2011,NUTS,2010,DE118,3,1.523
2012,NUTS,2010,DE118,3,0.517
2012,NUTS,2010,DE119,3,10.751
2011,NUTS,2010,DE11A,3,28.766
2012,NUTS,2010,DE11A,3,18.413
2011,NUTS,2010,DE11B,3,7.499
2011,NUTS,2010,DE11C,3,3.813
2012,NUTS,2010,DE11D,3,0.644
2011,NUTS,2010,DE12,2,0.073
2012,NUTS,2010,DE12,2,0.425
2012,NUTS,2010,DE122,3,2.79
2012,NUTS,2010,DE123,3,0.762
2011,NUTS,2010,DE12B,3,1.031
2011,NUTS,2010,DE13,2,1.364
2012,NUTS,2010,DE13,2,0.603
2011,NUTS,2010,DE131,3,0.758
2012,NUTS,2010,DE132,3,1.308
2011,NUTS,2010,DE133,3,1.074
2011,NUTS,2010,DE134,3,5.197
2012,NUTS,2010,DE134,3,1.197
2011,NUTS,2010,DE138,3,1.792
2012,NUTS,2010,DE138,3,1.782
2011,NUTS,2010,DE14,2,5.553
2012,NUTS,2010,DE14,2,2.992
2011,NUTS,2010,DE141,3,0.89
2011,NUTS,2010,DE143,3,5.308
2011,NUTS,2010,DE145,3,9.648
2011,NUTS,2010,DE146,3,1.743
2011,NUTS,2010,DE147,3,30.187
2012,NUTS,2010,DE147,3,21.074
2011,NUTS,2010,DE148,3,1.191
2012,NUTS,2010,DE148,3,3.598
2011,NUTS,2010,DE2,1,4.39
2012,NUTS,2010,DE2,1,3.281
2011,NUTS,2010,DE21,2,9.97
2012,NUTS,2010,DE21,2,6.922
2012,NUTS,2010,DE211,3,1.105
2011,NUTS,2010,DE212,3,5.712
2012,NUTS,2010,DE212,3,9.738
2011,NUTS,2010,DE216,3,6.814
2011,NUTS,2010,DE218,3,14.087
2012,NUTS,2010,DE218,3,7.644
2011,NUTS,2010,DE21A,3,12.755
2012,NUTS,2010,DE21A,3,3.9
2011,NUTS,2010,DE21B,3,3.005
2012,NUTS,2010,DE21B,3,2.973
2011,NUTS,2010,DE21C,3,2.445
2011,NUTS,2010,DE21D,3,5.791
2012,NUTS,2010,DE21D,3,5.774
2011,NUTS,2010,DE21E,3,17.448
2011,NUTS,2010,DE21F,3,66.185
2012,NUTS,2010,DE21F,3,27.508
2011,NUTS,2010,DE21G,3,15.143
2011,NUTS,2010,DE21H,3,40.617
2012,NUTS,2010,DE21H,3,25.796
2011,NUTS,2010,DE21I,3,9.081
2012,NUTS,2010,DE21I,3,2.72
2011,NUTS,2010,DE21J,3,8.52
