year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_hc_rse_t
2011,NUTS,2010,AT,0,29734.0
2013,NUTS,2010,AT,0,33643.0
2015,NUTS,2010,AT,0,36984.0
2017,NUTS,2010,AT,0,39073.0
2019,NUTS,2010,AT,0,44287.0
2011,NUTS,2010,AT1,1,12260.0
2013,NUTS,2010,AT1,1,13649.0
2015,NUTS,2010,AT1,1,14388.0
2017,NUTS,2010,AT1,1,14117.0
2019,NUTS,2010,AT1,1,15378.0
2011,NUTS,2010,AT11,2,364.0
2013,NUTS,2010,AT11,2,465.0
2015,NUTS,2010,AT11,2,487.0
2017,NUTS,2010,AT11,2,544.0
2019,NUTS,2010,AT11,2,586.0
2011,NUTS,2010,AT12,2,3326.0
2013,NUTS,2010,AT12,2,3232.0
2015,NUTS,2010,AT12,2,3511.0
2017,NUTS,2010,AT12,2,3586.0
2019,NUTS,2010,AT12,2,4358.0
2011,NUTS,2010,AT13,2,8570.0
2013,NUTS,2010,AT13,2,9952.0
2015,NUTS,2010,AT13,2,10390.0
2017,NUTS,2010,AT13,2,9987.0
2019,NUTS,2010,AT13,2,10434.0
2011,NUTS,2010,AT2,1,8099.0
2013,NUTS,2010,AT2,1,8471.0
2015,NUTS,2010,AT2,1,9671.0
2017,NUTS,2010,AT2,1,10462.0
2019,NUTS,2010,AT2,1,12947.0
2011,NUTS,2010,AT21,2,1886.0
2013,NUTS,2010,AT21,2,1936.0
2015,NUTS,2010,AT21,2,2287.0
2017,NUTS,2010,AT21,2,2437.0
2019,NUTS,2010,AT21,2,2913.0
2011,NUTS,2010,AT22,2,6213.0
2013,NUTS,2010,AT22,2,6535.0
2015,NUTS,2010,AT22,2,7384.0
2017,NUTS,2010,AT22,2,8025.0
2019,NUTS,2010,AT22,2,10034.0
2011,NUTS,2010,AT3,1,9375.0
2013,NUTS,2010,AT3,1,11523.0
2015,NUTS,2010,AT3,1,12925.0
2017,NUTS,2010,AT3,1,14494.0
2019,NUTS,2010,AT3,1,15962.0
2011,NUTS,2010,AT31,2,5104.0
2013,NUTS,2010,AT31,2,6568.0
2015,NUTS,2010,AT31,2,7431.0
2017,NUTS,2010,AT31,2,7891.0
2019,NUTS,2010,AT31,2,9093.0
2011,NUTS,2010,AT32,2,1160.0
2013,NUTS,2010,AT32,2,1231.0
2015,NUTS,2010,AT32,2,1335.0
2017,NUTS,2010,AT32,2,1912.0
2019,NUTS,2010,AT32,2,2098.0
2011,NUTS,2010,AT33,2,2107.0
2013,NUTS,2010,AT33,2,2295.0
2015,NUTS,2010,AT33,2,2540.0
2017,NUTS,2010,AT33,2,2998.0
2019,NUTS,2010,AT33,2,3082.0
2011,NUTS,2010,AT34,2,1004.0
2013,NUTS,2010,AT34,2,1429.0
2015,NUTS,2010,AT34,2,1619.0
2017,NUTS,2010,AT34,2,1693.0
2019,NUTS,2010,AT34,2,1690.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,120.0
2013,NUTS,2010,BA,0,162.0
2014,NUTS,2010,BA,0,74.0
2019,NUTS,2010,BA,0,197.0
2011,NUTS,2010,BE,0,28325.0
2013,NUTS,2010,BE,0,30374.0
2015,NUTS,2010,BE,0,36947.0
2017,NUTS,2010,BE,0,40853.0
2019,NUTS,2010,BE,0,49837.0
2011,NUTS,2010,BE1,1,3134.0
2013,NUTS,2010,BE1,1,4463.0
2015,NUTS,2010,BE1,1,5661.0
2017,NUTS,2010,BE1,1,6952.0
2019,NUTS,2010,BE1,1,8756.0
2011,NUTS,2010,BE10,2,3134.0
2013,NUTS,2010,BE10,2,4463.0
2015,NUTS,2010,BE10,2,5661.0
2017,NUTS,2010,BE10,2,6952.0
2019,NUTS,2010,BE10,2,8756.0
2011,NUTS,2010,BE2,1,17278.0
2013,NUTS,2010,BE2,1,18989.0
2015,NUTS,2010,BE2,1,22080.0
2017,NUTS,2010,BE2,1,23837.0
2019,NUTS,2010,BE2,1,31063.0
2011,NUTS,2010,BE3,1,7913.0
2013,NUTS,2010,BE3,1,6922.0
2015,NUTS,2010,BE3,1,9206.0
2017,NUTS,2010,BE3,1,10064.0
2019,NUTS,2010,BE3,1,10018.0
2015,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
2011,NUTS,2010,BG,0,1747.0
2012,NUTS,2010,BG,0,2388.0
2013,NUTS,2010,BG,0,3186.0
2014,NUTS,2010,BG,0,3969.0
2015,NUTS,2010,BG,0,6459.0
2016,NUTS,2010,BG,0,7242.0
2017,NUTS,2010,BG,0,7941.0
2018,NUTS,2010,BG,0,9367.0
2019,NUTS,2010,BG,0,9876.0
2011,NUTS,2010,BG3,1,358.0
2012,NUTS,2010,BG3,1,563.0
2014,NUTS,2010,BG3,1,667.0
2015,NUTS,2010,BG3,1,1653.0
2016,NUTS,2010,BG3,1,1498.0
2017,NUTS,2010,BG3,1,1939.0
2018,NUTS,2010,BG3,1,2332.0
2019,NUTS,2010,BG3,1,2475.0
2016,NUTS,2010,BG31,2,348.0
2017,NUTS,2010,BG31,2,520.0
2018,NUTS,2010,BG31,2,622.0
2019,NUTS,2010,BG31,2,559.0
2011,NUTS,2010,BG32,2,75.0
2012,NUTS,2010,BG32,2,98.0
2013,NUTS,2010,BG32,2,120.0
2014,NUTS,2010,BG32,2,152.0
2016,NUTS,2010,BG32,2,273.0
2017,NUTS,2010,BG32,2,438.0
2018,NUTS,2010,BG32,2,564.0
2019,NUTS,2010,BG32,2,617.0
2016,NUTS,2010,BG33,2,458.0
2017,NUTS,2010,BG33,2,502.0
2018,NUTS,2010,BG33,2,569.0
2019,NUTS,2010,BG33,2,651.0
2011,NUTS,2010,BG34,2,119.0
2012,NUTS,2010,BG34,2,162.0
2015,NUTS,2010,BG34,2,514.0
2016,NUTS,2010,BG34,2,419.0
2017,NUTS,2010,BG34,2,479.0
2018,NUTS,2010,BG34,2,577.0
2019,NUTS,2010,BG34,2,648.0
2011,NUTS,2010,BG4,1,1389.0
2012,NUTS,2010,BG4,1,1825.0
2014,NUTS,2010,BG4,1,3302.0
2015,NUTS,2010,BG4,1,4806.0
2016,NUTS,2010,BG4,1,5744.0
2017,NUTS,2010,BG4,1,6002.0
2018,NUTS,2010,BG4,1,7035.0
2019,NUTS,2010,BG4,1,7401.0
2011,NUTS,2010,BG41,2,1166.0
2012,NUTS,2010,BG41,2,1566.0
2013,NUTS,2010,BG41,2,2237.0
2015,NUTS,2010,BG41,2,4286.0
2016,NUTS,2010,BG41,2,5177.0
2017,NUTS,2010,BG41,2,5236.0
2018,NUTS,2010,BG41,2,6083.0
2019,NUTS,2010,BG41,2,6384.0
2011,NUTS,2010,BG42,2,223.0
2012,NUTS,2010,BG42,2,259.0
2015,NUTS,2010,BG42,2,520.0
2016,NUTS,2010,BG42,2,567.0
2017,NUTS,2010,BG42,2,766.0
2018,NUTS,2010,BG42,2,952.0
2019,NUTS,2010,BG42,2,1017.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,CH,0,17904.0
2015,NUTS,2010,CH,0,23807.0
2017,NUTS,2010,CH,0,23142.0
2019,NUTS,2010,CH,0,25578.0
2012,NUTS,2010,CH01,2,2476.0
2015,NUTS,2010,CH01,2,4310.0
2017,NUTS,2010,CH01,2,3418.0
2019,NUTS,2010,CH01,2,3910.0
2012,NUTS,2010,CH02,2,3778.0
2015,NUTS,2010,CH02,2,3334.0
2017,NUTS,2010,CH02,2,3765.0
2019,NUTS,2010,CH02,2,3407.0
2012,NUTS,2010,CH03,2,3001.0
2015,NUTS,2010,CH03,2,6743.0
2017,NUTS,2010,CH03,2,7218.0
2019,NUTS,2010,CH03,2,7864.0
2012,NUTS,2010,CH04,2,4361.0
2015,NUTS,2010,CH04,2,4475.0
2017,NUTS,2010,CH04,2,3811.0
2019,NUTS,2010,CH04,2,4314.0
2012,NUTS,2010,CH05,2,2353.0
2015,NUTS,2010,CH05,2,2442.0
2017,NUTS,2010,CH05,2,1950.0
2019,NUTS,2010,CH05,2,3213.0
2012,NUTS,2010,CH06,2,1469.0
2015,NUTS,2010,CH06,2,2175.0
2017,NUTS,2010,CH06,2,2439.0
2019,NUTS,2010,CH06,2,2465.0
2012,NUTS,2010,CH07,2,466.0
2015,NUTS,2010,CH07,2,327.0
2017,NUTS,2010,CH07,2,542.0
2019,NUTS,2010,CH07,2,403.0
2011,NUTS,2010,CN_X_HK,5,1072087.0
2012,NUTS,2010,CN_X_HK,5,1176429.0
2011,NUTS,2010,CY,0,359.0
2012,NUTS,2010,CY,0,338.0
2013,NUTS,2010,CY,0,339.0
2014,NUTS,2010,CY,0,325.0
2015,NUTS,2010,CY,0,290.0
2016,NUTS,2010,CY,0,369.0
2017,NUTS,2010,CY,0,439.0
2018,NUTS,2010,CY,0,630.0
2019,NUTS,2010,CY,0,692.0
2011,NUTS,2010,CZ,0,15984.0
2012,NUTS,2010,CZ,0,17610.0
2013,NUTS,2010,CZ,0,19124.0
2014,NUTS,2010,CZ,0,21473.0
2015,NUTS,2010,CZ,0,22538.0
2016,NUTS,2010,CZ,0,22681.0
2017,NUTS,2010,CZ,0,23978.0
2018,NUTS,2010,CZ,0,25275.0
2019,NUTS,2010,CZ,0,25865.0
2020,NUTS,2010,CZ,0,26522.0
2011,NUTS,2010,CZ0,1,15984.0
2012,NUTS,2010,CZ0,1,17610.0
2013,NUTS,2010,CZ0,1,19124.0
2014,NUTS,2010,CZ0,1,21473.0
2015,NUTS,2010,CZ0,1,22538.0
2016,NUTS,2010,CZ0,1,22681.0
2017,NUTS,2010,CZ0,1,23978.0
2018,NUTS,2010,CZ0,1,25275.0
2019,NUTS,2010,CZ0,1,25865.0
2020,NUTS,2010,CZ0,1,26522.0
2011,NUTS,2010,CZ01,2,3766.0
2012,NUTS,2010,CZ01,2,4450.0
2013,NUTS,2010,CZ01,2,4986.0
2014,NUTS,2010,CZ01,2,5173.0
2015,NUTS,2010,CZ01,2,5396.0
2016,NUTS,2010,CZ01,2,5862.0
2017,NUTS,2010,CZ01,2,6562.0
2018,NUTS,2010,CZ01,2,7633.0
2019,NUTS,2010,CZ01,2,6833.0
2020,NUTS,2010,CZ01,2,7266.0
2011,NUTS,2010,CZ02,2,2781.0
2012,NUTS,2010,CZ02,2,2763.0
2013,NUTS,2010,CZ02,2,2575.0
2014,NUTS,2010,CZ02,2,2591.0
2015,NUTS,2010,CZ02,2,2752.0
2016,NUTS,2010,CZ02,2,2276.0
2017,NUTS,2010,CZ02,2,2471.0
2018,NUTS,2010,CZ02,2,2840.0
2019,NUTS,2010,CZ02,2,3060.0
2020,NUTS,2010,CZ02,2,3060.0
2011,NUTS,2010,CZ03,2,971.0
2012,NUTS,2010,CZ03,2,1111.0
2013,NUTS,2010,CZ03,2,1144.0
2014,NUTS,2010,CZ03,2,1405.0
2015,NUTS,2010,CZ03,2,1448.0
2016,NUTS,2010,CZ03,2,1410.0
2017,NUTS,2010,CZ03,2,1466.0
2018,NUTS,2010,CZ03,2,1644.0
2019,NUTS,2010,CZ03,2,1948.0
2020,NUTS,2010,CZ03,2,1930.0
2011,NUTS,2010,CZ04,2,386.0
2012,NUTS,2010,CZ04,2,421.0
2013,NUTS,2010,CZ04,2,373.0
2014,NUTS,2010,CZ04,2,483.0
2015,NUTS,2010,CZ04,2,436.0
2016,NUTS,2010,CZ04,2,415.0
2017,NUTS,2010,CZ04,2,487.0
2018,NUTS,2010,CZ04,2,480.0
2019,NUTS,2010,CZ04,2,478.0
2020,NUTS,2010,CZ04,2,477.0
2011,NUTS,2010,CZ05,2,2097.0
2012,NUTS,2010,CZ05,2,2371.0
2013,NUTS,2010,CZ05,2,2560.0
2014,NUTS,2010,CZ05,2,2650.0
2015,NUTS,2010,CZ05,2,2493.0
2016,NUTS,2010,CZ05,2,2433.0
2017,NUTS,2010,CZ05,2,2515.0
2018,NUTS,2010,CZ05,2,2468.0
2019,NUTS,2010,CZ05,2,2634.0
2020,NUTS,2010,CZ05,2,2704.0
2011,NUTS,2010,CZ06,2,3372.0
2012,NUTS,2010,CZ06,2,3636.0
2013,NUTS,2010,CZ06,2,4416.0
2014,NUTS,2010,CZ06,2,5634.0
2015,NUTS,2010,CZ06,2,6281.0
2016,NUTS,2010,CZ06,2,6321.0
2017,NUTS,2010,CZ06,2,6107.0
2018,NUTS,2010,CZ06,2,5764.0
2019,NUTS,2010,CZ06,2,6324.0
2020,NUTS,2010,CZ06,2,6788.0
2011,NUTS,2010,CZ07,2,1505.0
2012,NUTS,2010,CZ07,2,1683.0
2013,NUTS,2010,CZ07,2,1876.0
2014,NUTS,2010,CZ07,2,2214.0
2015,NUTS,2010,CZ07,2,2132.0
2016,NUTS,2010,CZ07,2,2203.0
2017,NUTS,2010,CZ07,2,2405.0
