year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_rse_pc_emp_hc_f
2011,NUTS,2010,AT,0,0.0788
2013,NUTS,2010,AT,0,0.0837
2015,NUTS,2010,AT,0,0.0906
2017,NUTS,2010,AT,0,0.1367
2019,NUTS,2010,AT,0,0.1474
2011,NUTS,2010,AT1,1,0.1414
2013,NUTS,2010,AT1,1,0.1468
2019,NUTS,2010,AT1,1,0.2773
2011,NUTS,2010,AT11,2,0.0131
2013,NUTS,2010,AT11,2,0.0129
2011,NUTS,2010,AT12,2,0.0168
2013,NUTS,2010,AT12,2,0.0195
2015,NUTS,2010,AT12,2,0.0312
2017,NUTS,2010,AT12,2,0.0461
2011,NUTS,2010,AT13,2,0.284
2013,NUTS,2010,AT13,2,0.2883
2015,NUTS,2010,AT13,2,0.3047
2017,NUTS,2010,AT13,2,0.4847
2019,NUTS,2010,AT13,2,0.5337
2015,NUTS,2010,AT2,1,0.0284
2019,NUTS,2010,AT2,1,0.0541
2011,NUTS,2010,AT21,2,0.0262
2019,NUTS,2010,AT3,1,0.0458
2011,NUTS,2010,AT31,2,0.0161
2013,NUTS,2010,AT31,2,0.012
2015,NUTS,2010,AT31,2,0.0193
2017,NUTS,2010,AT31,2,0.0267
2019,NUTS,2010,AT31,2,0.0259
2015,NUTS,2010,AT32,2,0.1151
2017,NUTS,2010,AT32,2,0.1074
2019,NUTS,2010,AT32,2,0.1012
2013,NUTS,2010,AT33,2,0.0272
2019,NUTS,2010,AT33,2,0.0402
2011,NUTS,2010,AT34,2,0.0328
2013,NUTS,2010,AT34,2,0.0337
2015,NUTS,2010,AT34,2,0.0404
2017,NUTS,2010,AT34,2,0.0435
2019,NUTS,2010,AT34,2,0.051
2011,NUTS,2010,BE,0,0.0529
2012,NUTS,2010,BE,0,0.0694
2013,NUTS,2010,BE,0,0.0717
2014,NUTS,2010,BE,0,0.0784
2015,NUTS,2010,BE,0,0.0797
2016,NUTS,2010,BE,0,0.0823
2017,NUTS,2010,BE,0,0.0852
2018,NUTS,2010,BE,0,0.0939
2019,NUTS,2010,BE,0,0.0951
2011,NUTS,2010,BE1,1,0.1594
2012,NUTS,2010,BE1,1,0.2737
2013,NUTS,2010,BE1,1,0.2821
2014,NUTS,2010,BE1,1,0.2796
2015,NUTS,2010,BE1,1,0.2954
2016,NUTS,2010,BE1,1,0.3021
2017,NUTS,2010,BE1,1,0.2966
2018,NUTS,2010,BE1,1,0.309
2019,NUTS,2010,BE1,1,0.3268
2011,NUTS,2010,BE10,2,0.1594
2012,NUTS,2010,BE10,2,0.2737
2013,NUTS,2010,BE10,2,0.2821
2014,NUTS,2010,BE10,2,0.2796
2015,NUTS,2010,BE10,2,0.2954
2016,NUTS,2010,BE10,2,0.3021
2017,NUTS,2010,BE10,2,0.2966
2018,NUTS,2010,BE10,2,0.309
2019,NUTS,2010,BE10,2,0.3268
2011,NUTS,2010,BE2,1,0.0582
2012,NUTS,2010,BE2,1,0.0655
2013,NUTS,2010,BE2,1,0.068
2014,NUTS,2010,BE2,1,0.0751
2015,NUTS,2010,BE2,1,0.074
2016,NUTS,2010,BE2,1,0.0796
2017,NUTS,2010,BE2,1,0.0852
2018,NUTS,2010,BE2,1,0.0955
2019,NUTS,2010,BE2,1,0.096
2011,NUTS,2010,BE3,1,0.0075
2012,NUTS,2010,BE3,1,0.0126
2013,NUTS,2010,BE3,1,0.0122
2014,NUTS,2010,BE3,1,0.0196
2015,NUTS,2010,BE3,1,0.0205
2016,NUTS,2010,BE3,1,0.0145
2017,NUTS,2010,BE3,1,0.0144
2018,NUTS,2010,BE3,1,0.0156
2019,NUTS,2010,BE3,1,0.0152
2011,NUTS,2010,BG,0,0.237
2012,NUTS,2010,BG,0,0.2232
2013,NUTS,2010,BG,0,0.2281
2014,NUTS,2010,BG,0,0.2216
2015,NUTS,2010,BG,0,0.1946
2016,NUTS,2010,BG,0,0.2133
2017,NUTS,2010,BG,0,0.2017
2018,NUTS,2010,BG,0,0.1935
2019,NUTS,2010,BG,0,0.1931
2011,NUTS,2010,BG3,1,0.0416
2012,NUTS,2010,BG3,1,0.049
2013,NUTS,2010,BG3,1,0.0487
2014,NUTS,2010,BG3,1,0.0409
2015,NUTS,2010,BG3,1,0.0369
2017,NUTS,2010,BG3,1,0.0372
2018,NUTS,2010,BG3,1,0.0367
2011,NUTS,2010,BG31,2,0.055
2012,NUTS,2010,BG31,2,0.0672
2013,NUTS,2010,BG31,2,0.0596
2014,NUTS,2010,BG31,2,0.0513
2015,NUTS,2010,BG31,2,0.0516
2016,NUTS,2010,BG31,2,0.054
2018,NUTS,2010,BG31,2,0.0565
2011,NUTS,2010,BG32,2,0.0193
2012,NUTS,2010,BG32,2,0.018
2013,NUTS,2010,BG32,2,0.0303
2014,NUTS,2010,BG32,2,0.0178
2019,NUTS,2010,BG32,2,0.0105
2011,NUTS,2010,BG33,2,0.0598
2012,NUTS,2010,BG33,2,0.0745
2013,NUTS,2010,BG33,2,0.0718
2014,NUTS,2010,BG33,2,0.0629
2015,NUTS,2010,BG33,2,0.0536
2016,NUTS,2010,BG33,2,0.057
2018,NUTS,2010,BG33,2,0.0552
2019,NUTS,2010,BG33,2,0.0627
2011,NUTS,2010,BG34,2,0.0336
2012,NUTS,2010,BG34,2,0.0385
2013,NUTS,2010,BG34,2,0.0341
2014,NUTS,2010,BG34,2,0.0305
2016,NUTS,2010,BG34,2,0.0278
2011,NUTS,2010,BG4,1,0.397
2012,NUTS,2010,BG4,1,0.3636
2013,NUTS,2010,BG4,1,0.3688
2014,NUTS,2010,BG4,1,0.3625
2015,NUTS,2010,BG4,1,0.3186
2017,NUTS,2010,BG4,1,0.3261
2018,NUTS,2010,BG4,1,0.3104
2011,NUTS,2010,BG41,2,0.5773
2012,NUTS,2010,BG41,2,0.5352
2013,NUTS,2010,BG41,2,0.5496
2014,NUTS,2010,BG41,2,0.5301
2015,NUTS,2010,BG41,2,0.4636
2016,NUTS,2010,BG41,2,0.5121
2018,NUTS,2010,BG41,2,0.4515
2019,NUTS,2010,BG41,2,0.4475
2011,NUTS,2010,BG42,2,0.0701
2012,NUTS,2010,BG42,2,0.0673
2013,NUTS,2010,BG42,2,0.065
2014,NUTS,2010,BG42,2,0.0767
2015,NUTS,2010,BG42,2,0.0611
2018,NUTS,2010,BG42,2,0.061
2012,NUTS,2010,CH,0,0.0168
2014,NUTS,2010,CH,0,0.0189
2015,NUTS,2010,CH,0,0.0193
2017,NUTS,2010,CH,0,0.0182
2019,NUTS,2010,CH,0,0.0246
2011,NUTS,2010,CY,0,0.0554
2012,NUTS,2010,CY,0,0.0541
