year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pc_emp_fte_rse_bes_t
1998,NUTS,2010,AT,0,0.3207
2002,NUTS,2010,AT,0,0.4346
2004,NUTS,2010,AT,0,0.4522
2005,NUTS,2010,AT,0,0.4892
2006,NUTS,2010,AT,0,0.4883
2007,NUTS,2010,AT,0,0.5191
2008,NUTS,2010,AT,0,0.5562
2009,NUTS,2010,AT,0,0.5525
2010,NUTS,2010,AT,0,0.5781
2011,NUTS,2010,AT,0,0.5811
2012,NUTS,2010,AT,0,0.6275
2013,NUTS,2010,AT,0,0.639
2014,NUTS,2010,AT,0,0.6782
2015,NUTS,2010,AT,0,0.6852
2016,NUTS,2010,AT,0,0.7148
2017,NUTS,2010,AT,0,0.7156
2018,NUTS,2010,AT,0,0.7451
2019,NUTS,2010,AT,0,0.7913
2020,NUTS,2010,AT,0,0.7787
2002,NUTS,2010,AT1,1,0.5243
2004,NUTS,2010,AT1,1,0.4971
2006,NUTS,2010,AT1,1,0.5077
2007,NUTS,2010,AT1,1,0.5387
2009,NUTS,2010,AT1,1,0.5412
2011,NUTS,2010,AT1,1,0.5525
2013,NUTS,2010,AT1,1,0.5758
2015,NUTS,2010,AT1,1,0.5852
2017,NUTS,2010,AT1,1,0.5648
2019,NUTS,2010,AT1,1,0.5883
2002,NUTS,2010,AT11,2,0.123
2004,NUTS,2010,AT11,2,0.1161
2006,NUTS,2010,AT11,2,0.113
2007,NUTS,2010,AT11,2,0.1261
2009,NUTS,2010,AT11,2,0.1094
2011,NUTS,2010,AT11,2,0.1947
2013,NUTS,2010,AT11,2,0.2537
2015,NUTS,2010,AT11,2,0.2676
2017,NUTS,2010,AT11,2,0.316
2019,NUTS,2010,AT11,2,0.3232
2002,NUTS,2010,AT12,2,0.2053
2004,NUTS,2010,AT12,2,0.1997
2006,NUTS,2010,AT12,2,0.2436
2007,NUTS,2010,AT12,2,0.2373
2009,NUTS,2010,AT12,2,0.2497
2011,NUTS,2010,AT12,2,0.3115
2013,NUTS,2010,AT12,2,0.3015
2015,NUTS,2010,AT12,2,0.3045
2017,NUTS,2010,AT12,2,0.3113
2019,NUTS,2010,AT12,2,0.3782
2002,NUTS,2010,AT13,2,0.9083
2004,NUTS,2010,AT13,2,0.8641
2006,NUTS,2010,AT13,2,0.8426
2007,NUTS,2010,AT13,2,0.9216
2009,NUTS,2010,AT13,2,0.9121
2011,NUTS,2010,AT13,2,0.8579
2013,NUTS,2010,AT13,2,0.8996
2015,NUTS,2010,AT13,2,0.9155
2017,NUTS,2010,AT13,2,0.8516
2019,NUTS,2010,AT13,2,0.8272
2002,NUTS,2010,AT2,1,0.471
2004,NUTS,2010,AT2,1,0.5573
2006,NUTS,2010,AT2,1,0.6263
2007,NUTS,2010,AT2,1,0.6407
2009,NUTS,2010,AT2,1,0.7069
2011,NUTS,2010,AT2,1,0.7645
2013,NUTS,2010,AT2,1,0.7807
2015,NUTS,2010,AT2,1,0.889
2017,NUTS,2010,AT2,1,0.9846
2019,NUTS,2010,AT2,1,1.1862
2002,NUTS,2010,AT21,2,0.4145
2004,NUTS,2010,AT21,2,0.5448
2006,NUTS,2010,AT21,2,0.6099
2007,NUTS,2010,AT21,2,0.6333
2009,NUTS,2010,AT21,2,0.6944
2011,NUTS,2010,AT21,2,0.6568
2013,NUTS,2010,AT21,2,0.6664
2015,NUTS,2010,AT21,2,0.7714
2017,NUTS,2010,AT21,2,0.8319
