year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_fte_total_f
2011,NUTS,2010,AT,0,1165.0
2013,NUTS,2010,AT,0,1176.0
2015,NUTS,2010,AT,0,1242.0
2017,NUTS,2010,AT,0,2135.0
2019,NUTS,2010,AT,0,2252.0
2012,NUTS,2010,BA,0,53.0
2013,NUTS,2010,BA,0,72.0
2014,NUTS,2010,BA,0,66.0
2019,NUTS,2010,BA,0,29.0
2011,NUTS,2010,BE,0,1617.0
2012,NUTS,2010,BE,0,2238.0
2013,NUTS,2010,BE,0,2272.0
2014,NUTS,2010,BE,0,2438.0
2015,NUTS,2010,BE,0,2512.0
2016,NUTS,2010,BE,0,2552.0
2017,NUTS,2010,BE,0,2726.0
2018,NUTS,2010,BE,0,2991.0
2019,NUTS,2010,BE,0,3065.0
2011,NUTS,2010,BG,0,5418.0
2012,NUTS,2010,BG,0,5411.0
2013,NUTS,2010,BG,0,5240.0
2014,NUTS,2010,BG,0,5134.0
2015,NUTS,2010,BG,0,4757.0
2016,NUTS,2010,BG,0,4653.0
2017,NUTS,2010,BG,0,4550.0
2018,NUTS,2010,BG,0,4586.0
2019,NUTS,2010,BG,0,4633.0
2011,NUTS,2010,CY,0,114.0
2012,NUTS,2010,CY,0,112.0
2013,NUTS,2010,CY,0,109.0
2014,NUTS,2010,CY,0,110.0
2015,NUTS,2010,CY,0,109.0
2016,NUTS,2010,CY,0,118.0
2017,NUTS,2010,CY,0,130.0
2018,NUTS,2010,CY,0,123.0
2019,NUTS,2010,CY,0,128.0
2011,NUTS,2010,CZ,0,5486.0
2012,NUTS,2010,CZ,0,5591.0
2013,NUTS,2010,CZ,0,5787.0
2014,NUTS,2010,CZ,0,5789.0
2015,NUTS,2010,CZ,0,6201.0
2016,NUTS,2010,CZ,0,6191.0
2017,NUTS,2010,CZ,0,6538.0
2018,NUTS,2010,CZ,0,6827.0
2019,NUTS,2010,CZ,0,7024.0
2020,NUTS,2010,CZ,0,6842.0
2011,NUTS,2010,DE,0,36504.0
2012,NUTS,2010,DE,0,37618.0
2013,NUTS,2010,DE,0,38931.0
2014,NUTS,2010,DE,0,40493.0
2015,NUTS,2010,DE,0,40891.0
2016,NUTS,2010,DE,0,41748.0
2017,NUTS,2010,DE,0,43160.0
2018,NUTS,2010,DE,0,44888.0
2019,NUTS,2010,DE,0,46252.0
2011,NUTS,2010,DK,0,590.0
2012,NUTS,2010,DK,0,738.0
2013,NUTS,2010,DK,0,771.0
2014,NUTS,2010,DK,0,860.0
2015,NUTS,2010,DK,0,935.0
2016,NUTS,2010,DK,0,911.0
2017,NUTS,2010,DK,0,1155.0
2018,NUTS,2010,DK,0,1249.0
2019,NUTS,2010,DK,0,1189.0
2011,NUTS,2010,EE,0,499.0
2012,NUTS,2010,EE,0,504.0
2013,NUTS,2010,EE,0,543.0
2014,NUTS,2010,EE,0,506.0
2015,NUTS,2010,EE,0,508.0
2016,NUTS,2010,EE,0,492.0
2017,NUTS,2010,EE,0,531.0
2018,NUTS,2010,EE,0,448.0
2019,NUTS,2010,EE,0,464.0
2011,NUTS,2010,EL,0,4107.0
2013,NUTS,2010,EL,0,4852.0
2015,NUTS,2010,EL,0,6029.0
2017,NUTS,2010,EL,0,5129.0
2019,NUTS,2010,EL,0,6130.0
2011,NUTS,2010,ES,0,22513.0
2012,NUTS,2010,ES,0,21384.0
2013,NUTS,2010,ES,0,20223.0
2014,NUTS,2010,ES,0,19758.0
2015,NUTS,2010,ES,0,20270.0
2016,NUTS,2010,ES,0,20469.0
2017,NUTS,2010,ES,0,20928.0
2018,NUTS,2010,ES,0,21200.0
