year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_hes_mio_pps
2013,NUTS,2010,BG,0,47.853
2014,NUTS,2010,BG,0,63.434
2015,NUTS,2010,BG,0,48.569
2016,NUTS,2010,BG,0,40.024
2017,NUTS,2010,BG,0,44.113
2018,NUTS,2010,BG,0,45.015
2019,NUTS,2010,BG,0,70.774
2020,NUTS,2010,BG,0,59.033
2011,NUTS,2010,BG3,1,7.975
2012,NUTS,2010,BG3,1,7.859
2014,NUTS,2010,BG3,1,16.653
2015,NUTS,2010,BG3,1,9.284
2016,NUTS,2010,BG3,1,9.738
2017,NUTS,2010,BG3,1,10.455
2018,NUTS,2010,BG3,1,11.301
2019,NUTS,2010,BG3,1,21.015
2011,NUTS,2010,BG32,2,1.579
2012,NUTS,2010,BG32,2,1.242
2013,NUTS,2010,BG32,2,1.37
2014,NUTS,2010,BG32,2,1.506
2015,NUTS,2010,BG32,2,1.519
2016,NUTS,2010,BG32,2,1.809
2017,NUTS,2010,BG32,2,2.017
2018,NUTS,2010,BG32,2,1.914
2019,NUTS,2010,BG32,2,1.89
2012,NUTS,2010,BG33,2,2.977
2013,NUTS,2010,BG33,2,3.742
2014,NUTS,2010,BG33,2,12.095
2015,NUTS,2010,BG33,2,4.379
2013,NUTS,2010,BG34,2,2.659
2016,NUTS,2010,BG34,2,3.323
2017,NUTS,2010,BG34,2,3.635
2011,NUTS,2010,BG4,1,38.805
2012,NUTS,2010,BG4,1,34.651
2014,NUTS,2010,BG4,1,46.781
2015,NUTS,2010,BG4,1,39.285
2016,NUTS,2010,BG4,1,30.286
2017,NUTS,2010,BG4,1,33.658
2018,NUTS,2010,BG4,1,33.714
2019,NUTS,2010,BG4,1,49.76
2012,NUTS,2010,BG41,2,28.436
2013,NUTS,2010,BG41,2,35.445
2014,NUTS,2010,BG41,2,43.243
2015,NUTS,2010,BG41,2,30.982
2016,NUTS,2010,BG41,2,25.939
2017,NUTS,2010,BG41,2,28.59
2018,NUTS,2010,BG41,2,27.943
2019,NUTS,2010,BG41,2,30.197
2012,NUTS,2010,BG42,2,6.216
2014,NUTS,2010,BG42,2,3.538
2015,NUTS,2010,BG42,2,8.303
2016,NUTS,2010,BG42,2,4.348
2017,NUTS,2010,BG42,2,5.068
2018,NUTS,2010,BG42,2,5.771
2019,NUTS,2010,BG42,2,19.563
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,CH,0,2839.063
2014,NUTS,2010,CH,0,3163.496
2015,NUTS,2010,CH,0,3423.074
2017,NUTS,2010,CH,0,3594.679
2019,NUTS,2010,CH,0,3817.438
2012,NUTS,2010,CH0,1,2839.063
2014,NUTS,2010,CH0,1,3163.496
2015,NUTS,2010,CH0,1,3423.074
2017,NUTS,2010,CH0,1,3594.679
2019,NUTS,2010,CH0,1,3817.438
2011,NUTS,2010,CN_X_HK,5,14821.971
2012,NUTS,2010,CN_X_HK,5,16611.105
2013,NUTS,2010,CN_X_HK,5,17656.196
2014,NUTS,2010,CN_X_HK,5,18735.947
2015,NUTS,2010,CN_X_HK,5,21576.639
2011,NUTS,2010,CY,0,50.695
2012,NUTS,2010,CY,0,48.778
2013,NUTS,2010,CY,0,49.472
2014,NUTS,2010,CY,0,45.994
2015,NUTS,2010,CY,0,46.153
2016,NUTS,2010,CY,0,43.888
2017,NUTS,2010,CY,0,50.663
2018,NUTS,2010,CY,0,59.12
2019,NUTS,2010,CY,0,69.533
2020,NUTS,2010,CY,0,70.961
2011,NUTS,2010,CY0,1,50.695
2012,NUTS,2010,CY0,1,48.778
2013,NUTS,2010,CY0,1,49.472
2014,NUTS,2010,CY0,1,45.994
2015,NUTS,2010,CY0,1,46.153
2016,NUTS,2010,CY0,1,43.888
2017,NUTS,2010,CY0,1,50.663
2018,NUTS,2010,CY0,1,59.12
2019,NUTS,2010,CY0,1,69.533
2020,NUTS,2010,CY0,1,70.961
2011,NUTS,2010,CY00,2,50.695
2012,NUTS,2010,CY00,2,48.778
2013,NUTS,2010,CY00,2,49.472
2014,NUTS,2010,CY00,2,45.994
2015,NUTS,2010,CY00,2,46.153
2016,NUTS,2010,CY00,2,43.888
2017,NUTS,2010,CY00,2,50.663
2018,NUTS,2010,CY00,2,59.12
2019,NUTS,2010,CY00,2,69.533
2020,NUTS,2010,CY00,2,70.961
2011,NUTS,2010,CZ,0,853.953
2012,NUTS,2010,CZ,0,1104.32
2013,NUTS,2010,CZ,0,1196.093
2014,NUTS,2010,CZ,0,1219.866
2015,NUTS,2010,CZ,0,1226.953
2016,NUTS,2010,CZ,0,904.481
2017,NUTS,2010,CZ,0,980.505
2018,NUTS,2010,CZ,0,1210.018
2019,NUTS,2010,CZ,0,1306.868
2020,NUTS,2010,CZ,0,1279.837
2011,NUTS,2010,CZ0,1,853.953
2012,NUTS,2010,CZ0,1,1104.32
2013,NUTS,2010,CZ0,1,1196.093
2014,NUTS,2010,CZ0,1,1219.866
2015,NUTS,2010,CZ0,1,1226.953
2016,NUTS,2010,CZ0,1,904.481
2017,NUTS,2010,CZ0,1,980.505
2018,NUTS,2010,CZ0,1,1210.018
2019,NUTS,2010,CZ0,1,1306.868
2020,NUTS,2010,CZ0,1,1279.837
2011,NUTS,2010,CZ01,2,295.02
2012,NUTS,2010,CZ01,2,291.191
2013,NUTS,2010,CZ01,2,335.442
2014,NUTS,2010,CZ01,2,361.237
2015,NUTS,2010,CZ01,2,410.301
2016,NUTS,2010,CZ01,2,350.681
2017,NUTS,2010,CZ01,2,383.97
2018,NUTS,2010,CZ01,2,479.883
2019,NUTS,2010,CZ01,2,511.086
2020,NUTS,2010,CZ01,2,489.761
2011,NUTS,2010,CZ02,2,2.215
2012,NUTS,2010,CZ02,2,5.818
2013,NUTS,2010,CZ02,2,22.283
2014,NUTS,2010,CZ02,2,25.301
2015,NUTS,2010,CZ02,2,15.282
2016,NUTS,2010,CZ02,2,10.51
2017,NUTS,2010,CZ02,2,12.231
2018,NUTS,2010,CZ02,2,13.944
2019,NUTS,2010,CZ02,2,20.612
2020,NUTS,2010,CZ02,2,21.515
2011,NUTS,2010,CZ03,2,63.931
2012,NUTS,2010,CZ03,2,89.825
2013,NUTS,2010,CZ03,2,120.129
2014,NUTS,2010,CZ03,2,133.421
2015,NUTS,2010,CZ03,2,113.983
2016,NUTS,2010,CZ03,2,73.977
2017,NUTS,2010,CZ03,2,77.121
2018,NUTS,2010,CZ03,2,92.155
2019,NUTS,2010,CZ03,2,97.952
2020,NUTS,2010,CZ03,2,94.434
2011,NUTS,2010,CZ04,2,7.943
2012,NUTS,2010,CZ04,2,9.848
2013,NUTS,2010,CZ04,2,13.041
2014,NUTS,2010,CZ04,2,16.155
2015,NUTS,2010,CZ04,2,7.687
2016,NUTS,2010,CZ04,2,8.109
2017,NUTS,2010,CZ04,2,9.902
