year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_t_rse_pc_act_hc_gov
1998,NUTS,2010,AT,0,0.0599
2002,NUTS,2010,AT,0,0.0617
2004,NUTS,2010,AT,0,0.0599
2006,NUTS,2010,AT,0,0.0698
2007,NUTS,2010,AT,0,0.0685
2009,NUTS,2010,AT,0,0.0758
2011,NUTS,2010,AT,0,0.0796
2013,NUTS,2010,AT,0,0.0811
2015,NUTS,2010,AT,0,0.0864
2017,NUTS,2010,AT,0,0.1482
2019,NUTS,2010,AT,0,0.1564
2002,NUTS,2010,AT1,1,0.1162
2004,NUTS,2010,AT1,1,0.1123
2011,NUTS,2010,AT1,1,0.1408
2013,NUTS,2010,AT1,1,0.1402
2019,NUTS,2010,AT1,1,0.2786
2002,NUTS,2010,AT11,2,0.0234
2004,NUTS,2010,AT11,2,0.0254
2011,NUTS,2010,AT11,2,0.0194
2013,NUTS,2010,AT11,2,0.0207
2002,NUTS,2010,AT12,2,0.0121
2004,NUTS,2010,AT12,2,0.0143
2006,NUTS,2010,AT12,2,0.0145
2007,NUTS,2010,AT12,2,0.0142
2009,NUTS,2010,AT12,2,0.0162
2011,NUTS,2010,AT12,2,0.0195
2013,NUTS,2010,AT12,2,0.0214
2015,NUTS,2010,AT12,2,0.0369
2017,NUTS,2010,AT12,2,0.0523
2002,NUTS,2010,AT13,2,0.2313
2004,NUTS,2010,AT13,2,0.2195
2006,NUTS,2010,AT13,2,0.2507
2007,NUTS,2010,AT13,2,0.2543
2009,NUTS,2010,AT13,2,0.2794
2011,NUTS,2010,AT13,2,0.2789
2013,NUTS,2010,AT13,2,0.2707
2015,NUTS,2010,AT13,2,0.2767
2017,NUTS,2010,AT13,2,0.4893
2019,NUTS,2010,AT13,2,0.5179
2002,NUTS,2010,AT2,1,0.0216
2004,NUTS,2010,AT2,1,0.0269
2006,NUTS,2010,AT2,1,0.0296
2015,NUTS,2010,AT2,1,0.0281
2019,NUTS,2010,AT2,1,0.0742
2002,NUTS,2010,AT21,2,0.0169
2004,NUTS,2010,AT21,2,0.0223
2006,NUTS,2010,AT21,2,0.024
2011,NUTS,2010,AT21,2,0.0213
2002,NUTS,2010,AT22,2,0.0238
2004,NUTS,2010,AT22,2,0.029
2006,NUTS,2010,AT22,2,0.0321
2009,NUTS,2010,AT22,2,0.0333
2002,NUTS,2010,AT3,1,0.0206
2004,NUTS,2010,AT3,1,0.0197
2007,NUTS,2010,AT3,1,0.0223
2019,NUTS,2010,AT3,1,0.0527
2002,NUTS,2010,AT31,2,0.0122
2004,NUTS,2010,AT31,2,0.0121
2006,NUTS,2010,AT31,2,0.0203
2007,NUTS,2010,AT31,2,0.0182
2009,NUTS,2010,AT31,2,0.0175
2011,NUTS,2010,AT31,2,0.0194
2013,NUTS,2010,AT31,2,0.016
2015,NUTS,2010,AT31,2,0.0205
2017,NUTS,2010,AT31,2,0.0427
2019,NUTS,2010,AT31,2,0.041
2002,NUTS,2010,AT32,2,0.0461
2004,NUTS,2010,AT32,2,0.0379
2006,NUTS,2010,AT32,2,0.0444
2009,NUTS,2010,AT32,2,0.0607
2015,NUTS,2010,AT32,2,0.1124
2017,NUTS,2010,AT32,2,0.1019
2019,NUTS,2010,AT32,2,0.1024
2002,NUTS,2010,AT33,2,0.0171
2004,NUTS,2010,AT33,2,0.0193
2006,NUTS,2010,AT33,2,0.0228
2013,NUTS,2010,AT33,2,0.0262
2019,NUTS,2010,AT33,2,0.0488
2002,NUTS,2010,AT34,2,0.0217
2004,NUTS,2010,AT34,2,0.0226
2011,NUTS,2010,AT34,2,0.0287
2013,NUTS,2010,AT34,2,0.0273
2015,NUTS,2010,AT34,2,0.0324
2017,NUTS,2010,AT34,2,0.0331
2019,NUTS,2010,AT34,2,0.0342
2002,NUTS,2010,BE,0,0.0484
2003,NUTS,2010,BE,0,0.0494
2004,NUTS,2010,BE,0,0.0541
2005,NUTS,2010,BE,0,0.0547
2006,NUTS,2010,BE,0,0.0556
2007,NUTS,2010,BE,0,0.0564
2008,NUTS,2010,BE,0,0.0651
2009,NUTS,2010,BE,0,0.0681
2010,NUTS,2010,BE,0,0.0631
2011,NUTS,2010,BE,0,0.0667
2012,NUTS,2010,BE,0,0.0817
2013,NUTS,2010,BE,0,0.0828
2014,NUTS,2010,BE,0,0.0908
2015,NUTS,2010,BE,0,0.0913
2016,NUTS,2010,BE,0,0.0967
2017,NUTS,2010,BE,0,0.1002
2018,NUTS,2010,BE,0,0.1155
2019,NUTS,2010,BE,0,0.1191
2002,NUTS,2010,BE1,1,0.1539
2003,NUTS,2010,BE1,1,0.1516
2004,NUTS,2010,BE1,1,0.1685
2005,NUTS,2010,BE1,1,0.1673
2006,NUTS,2010,BE1,1,0.1988
2007,NUTS,2010,BE1,1,0.1967
2008,NUTS,2010,BE1,1,0.1793
2009,NUTS,2010,BE1,1,0.1776
2010,NUTS,2010,BE1,1,0.1588
2011,NUTS,2010,BE1,1,0.1589
2012,NUTS,2010,BE1,1,0.2372
2013,NUTS,2010,BE1,1,0.2411
2014,NUTS,2010,BE1,1,0.2239
2015,NUTS,2010,BE1,1,0.2394
2016,NUTS,2010,BE1,1,0.2504
2017,NUTS,2010,BE1,1,0.2537
2018,NUTS,2010,BE1,1,0.272
2019,NUTS,2010,BE1,1,0.2801
2002,NUTS,2010,BE10,2,0.1539
2003,NUTS,2010,BE10,2,0.1516
2004,NUTS,2010,BE10,2,0.1685
2005,NUTS,2010,BE10,2,0.1673
2006,NUTS,2010,BE10,2,0.1988
2007,NUTS,2010,BE10,2,0.1967
2008,NUTS,2010,BE10,2,0.1793
2009,NUTS,2010,BE10,2,0.1776
2010,NUTS,2010,BE10,2,0.1588
2011,NUTS,2010,BE10,2,0.1589
2012,NUTS,2010,BE10,2,0.2372
2013,NUTS,2010,BE10,2,0.2411
2014,NUTS,2010,BE10,2,0.2239
2015,NUTS,2010,BE10,2,0.2394
2016,NUTS,2010,BE10,2,0.2504
2017,NUTS,2010,BE10,2,0.2537
2018,NUTS,2010,BE10,2,0.272
2019,NUTS,2010,BE10,2,0.2801
2002,NUTS,2010,BE2,1,0.0513
2003,NUTS,2010,BE2,1,0.0528
2004,NUTS,2010,BE2,1,0.0588
2005,NUTS,2010,BE2,1,0.0588
2006,NUTS,2010,BE2,1,0.0556
2007,NUTS,2010,BE2,1,0.0568
2008,NUTS,2010,BE2,1,0.0685
2009,NUTS,2010,BE2,1,0.0731
2010,NUTS,2010,BE2,1,0.0746
2011,NUTS,2010,BE2,1,0.0778
2012,NUTS,2010,BE2,1,0.0885
2013,NUTS,2010,BE2,1,0.09
2014,NUTS,2010,BE2,1,0.1015
2015,NUTS,2010,BE2,1,0.0992
2016,NUTS,2010,BE2,1,0.108
2017,NUTS,2010,BE2,1,0.1129
2018,NUTS,2010,BE2,1,0.1356
2019,NUTS,2010,BE2,1,0.1392
2002,NUTS,2010,BE3,1,0.0118
2003,NUTS,2010,BE3,1,0.0119
2004,NUTS,2010,BE3,1,0.0103
2005,NUTS,2010,BE3,1,0.0102
2006,NUTS,2010,BE3,1,0.01
2007,NUTS,2010,BE3,1,0.01
2008,NUTS,2010,BE3,1,0.0204
2009,NUTS,2010,BE3,1,0.0214
2010,NUTS,2010,BE3,1,0.0076
2011,NUTS,2010,BE3,1,0.0123
2012,NUTS,2010,BE3,1,0.0135
2013,NUTS,2010,BE3,1,0.0133
2014,NUTS,2010,BE3,1,0.0212
2015,NUTS,2010,BE3,1,0.0217
2016,NUTS,2010,BE3,1,0.0173
2017,NUTS,2010,BE3,1,0.0173
2018,NUTS,2010,BE3,1,0.0155
2019,NUTS,2010,BE3,1,0.0157
2000,NUTS,2010,BG,0,0.2027
2001,NUTS,2010,BG,0,0.1902
2002,NUTS,2010,BG,0,0.1908
2003,NUTS,2010,BG,0,0.1972
2004,NUTS,2010,BG,0,0.1976
2005,NUTS,2010,BG,0,0.1973
2006,NUTS,2010,BG,0,0.1923
2007,NUTS,2010,BG,0,0.1868
2008,NUTS,2010,BG,0,0.1785
2009,NUTS,2010,BG,0,0.1753
2010,NUTS,2010,BG,0,0.1739
2011,NUTS,2010,BG,0,0.1786
2012,NUTS,2010,BG,0,0.1664
2013,NUTS,2010,BG,0,0.1633
2014,NUTS,2010,BG,0,0.1567
2015,NUTS,2010,BG,0,0.1477
2016,NUTS,2010,BG,0,0.1558
2017,NUTS,2010,BG,0,0.1509
2018,NUTS,2010,BG,0,0.1492
2019,NUTS,2010,BG,0,0.1519
2003,NUTS,2010,BG3,1,0.0288
2004,NUTS,2010,BG3,1,0.0314
2005,NUTS,2010,BG3,1,0.0328
2006,NUTS,2010,BG3,1,0.0326
2007,NUTS,2010,BG3,1,0.0319
2008,NUTS,2010,BG3,1,0.0325
2009,NUTS,2010,BG3,1,0.0295
2010,NUTS,2010,BG3,1,0.0363
2011,NUTS,2010,BG3,1,0.0304
2012,NUTS,2010,BG3,1,0.0339
2013,NUTS,2010,BG3,1,0.0338
2014,NUTS,2010,BG3,1,0.0298
2015,NUTS,2010,BG3,1,0.0269
2016,NUTS,2010,BG3,1,0.0271
2017,NUTS,2010,BG3,1,0.0282
2018,NUTS,2010,BG3,1,0.0287
2003,NUTS,2010,BG31,2,0.0414
2004,NUTS,2010,BG31,2,0.0374
2005,NUTS,2010,BG31,2,0.0414
2006,NUTS,2010,BG31,2,0.0396
2007,NUTS,2010,BG31,2,0.0353
2009,NUTS,2010,BG31,2,0.0307
2010,NUTS,2010,BG31,2,0.0452
2011,NUTS,2010,BG31,2,0.0397
2012,NUTS,2010,BG31,2,0.0469
2013,NUTS,2010,BG31,2,0.0435
2014,NUTS,2010,BG31,2,0.0396
2015,NUTS,2010,BG31,2,0.0398
2016,NUTS,2010,BG31,2,0.0404
2018,NUTS,2010,BG31,2,0.0508
2003,NUTS,2010,BG32,2,0.0125
2004,NUTS,2010,BG32,2,0.0149
2005,NUTS,2010,BG32,2,0.016
2006,NUTS,2010,BG32,2,0.0145
2007,NUTS,2010,BG32,2,0.0133
2008,NUTS,2010,BG32,2,0.0127
2009,NUTS,2010,BG32,2,0.0163
2010,NUTS,2010,BG32,2,0.0187
2011,NUTS,2010,BG32,2,0.0133
2012,NUTS,2010,BG32,2,0.0135
2013,NUTS,2010,BG32,2,0.0248
2014,NUTS,2010,BG32,2,0.0125
2016,NUTS,2010,BG32,2,0.0092
2017,NUTS,2010,BG32,2,0.0089
2018,NUTS,2010,BG32,2,0.009
2019,NUTS,2010,BG32,2,0.0096
2003,NUTS,2010,BG33,2,0.0441
2004,NUTS,2010,BG33,2,0.0529
2005,NUTS,2010,BG33,2,0.054
2006,NUTS,2010,BG33,2,0.0532
2007,NUTS,2010,BG33,2,0.0559
2008,NUTS,2010,BG33,2,0.0605
2009,NUTS,2010,BG33,2,0.0505
2010,NUTS,2010,BG33,2,0.06
2011,NUTS,2010,BG33,2,0.0476
2012,NUTS,2010,BG33,2,0.0523
2013,NUTS,2010,BG33,2,0.0483
2014,NUTS,2010,BG33,2,0.048
2015,NUTS,2010,BG33,2,0.0407
2016,NUTS,2010,BG33,2,0.0424
2017,NUTS,2010,BG33,2,0.0385
2018,NUTS,2010,BG33,2,0.0419
2019,NUTS,2010,BG33,2,0.0453
2003,NUTS,2010,BG34,2,0.0188
2004,NUTS,2010,BG34,2,0.0211
2005,NUTS,2010,BG34,2,0.0201
2006,NUTS,2010,BG34,2,0.0229
2007,NUTS,2010,BG34,2,0.022
