year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_t_total_hc_pnp
1981,NUTS,2010,AT,0,1017.0
1985,NUTS,2010,AT,0,1155.0
1998,NUTS,2010,AT,0,349.0
2002,NUTS,2010,AT,0,623.0
2004,NUTS,2010,AT,0,565.0
2006,NUTS,2010,AT,0,404.0
2007,NUTS,2010,AT,0,337.0
2009,NUTS,2010,AT,0,742.0
2011,NUTS,2010,AT,0,830.0
2013,NUTS,2010,AT,0,890.0
2015,NUTS,2010,AT,0,969.0
2017,NUTS,2010,AT,0,1028.0
2019,NUTS,2010,AT,0,1228.0
2007,NUTS,2010,AT1,1,264.0
2009,NUTS,2010,AT1,1,694.0
2011,NUTS,2010,AT1,1,728.0
2013,NUTS,2010,AT1,1,774.0
2015,NUTS,2010,AT1,1,895.0
2017,NUTS,2010,AT1,1,931.0
2019,NUTS,2010,AT1,1,1092.0
2007,NUTS,2010,AT11,2,0.0
2009,NUTS,2010,AT11,2,0.0
2011,NUTS,2010,AT11,2,0.0
2013,NUTS,2010,AT11,2,0.0
2015,NUTS,2010,AT11,2,0.0
2017,NUTS,2010,AT11,2,0.0
2002,NUTS,2010,AT12,2,34.0
2004,NUTS,2010,AT12,2,30.0
2006,NUTS,2010,AT12,2,25.0
2007,NUTS,2010,AT12,2,33.0
2009,NUTS,2010,AT12,2,324.0
2011,NUTS,2010,AT12,2,332.0
2013,NUTS,2010,AT12,2,362.0
2015,NUTS,2010,AT12,2,398.0
2017,NUTS,2010,AT12,2,426.0
2002,NUTS,2010,AT13,2,367.0
2004,NUTS,2010,AT13,2,342.0
2006,NUTS,2010,AT13,2,286.0
2007,NUTS,2010,AT13,2,231.0
2009,NUTS,2010,AT13,2,370.0
2011,NUTS,2010,AT13,2,396.0
2013,NUTS,2010,AT13,2,412.0
2015,NUTS,2010,AT13,2,497.0
2017,NUTS,2010,AT13,2,505.0
2019,NUTS,2010,AT13,2,609.0
2006,NUTS,2010,AT2,1,39.0
2019,NUTS,2010,AT2,1,45.0
2006,NUTS,2010,AT21,2,0.0
2011,NUTS,2010,AT21,2,14.0
2002,NUTS,2010,AT22,2,60.0
2004,NUTS,2010,AT22,2,63.0
2006,NUTS,2010,AT22,2,39.0
2009,NUTS,2010,AT22,2,0.0
2002,NUTS,2010,AT3,1,144.0
2004,NUTS,2010,AT3,1,130.0
2007,NUTS,2010,AT3,1,67.0
2019,NUTS,2010,AT3,1,91.0
2002,NUTS,2010,AT31,2,44.0
2004,NUTS,2010,AT31,2,30.0
2006,NUTS,2010,AT31,2,38.0
2009,NUTS,2010,AT31,2,28.0
2011,NUTS,2010,AT31,2,59.0
2013,NUTS,2010,AT31,2,82.0
2015,NUTS,2010,AT31,2,19.0
2017,NUTS,2010,AT31,2,21.0
2019,NUTS,2010,AT31,2,29.0
2006,NUTS,2010,AT32,2,0.0
2009,NUTS,2010,AT32,2,0.0
2015,NUTS,2010,AT32,2,38.0
2017,NUTS,2010,AT32,2,49.0
2019,NUTS,2010,AT32,2,49.0
2002,NUTS,2010,AT33,2,94.0
2004,NUTS,2010,AT33,2,98.0
2006,NUTS,2010,AT33,2,16.0
2013,NUTS,2010,AT33,2,8.0
2019,NUTS,2010,AT33,2,13.0
2007,NUTS,2010,AT34,2,0.0
2009,NUTS,2010,AT34,2,0.0
2011,NUTS,2010,AT34,2,0.0
2013,NUTS,2010,AT34,2,0.0
2019,NUTS,2010,AT34,2,0.0
2002,NUTS,2010,ATZ,1,0.0
2004,NUTS,2010,ATZ,1,0.0
2006,NUTS,2010,ATZ,1,0.0
2007,NUTS,2010,ATZ,1,0.0
2009,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2002,NUTS,2010,ATZZ,2,0.0
2004,NUTS,2010,ATZZ,2,0.0
2006,NUTS,2010,ATZZ,2,0.0
2007,NUTS,2010,ATZZ,2,0.0
2009,NUTS,2010,ATZZ,2,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,3.0
2013,NUTS,2010,BA,0,0.0
2014,NUTS,2010,BA,0,16.0
2019,NUTS,2010,BA,0,0.0
2002,NUTS,2010,BE,0,602.0
2003,NUTS,2010,BE,0,617.0
2004,NUTS,2010,BE,0,599.0
2005,NUTS,2010,BE,0,575.0
2006,NUTS,2010,BE,0,591.0
2007,NUTS,2010,BE,0,605.0
2008,NUTS,2010,BE,0,616.0
2009,NUTS,2010,BE,0,619.0
