year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_pc_emp_fte_total_t
2011,NUTS,2010,AT,0,1.5362
2012,NUTS,2010,AT,0,1.6219
2013,NUTS,2010,AT,0,1.6423
2014,NUTS,2010,AT,0,1.7387
2015,NUTS,2010,AT,0,1.7551
2016,NUTS,2010,AT,0,1.8143
2017,NUTS,2010,AT,0,1.8162
2018,NUTS,2010,AT,0,1.891
2019,NUTS,2010,AT,0,1.9547
2020,NUTS,2010,AT,0,1.9548
2011,NUTS,2010,AT1,1,1.5774
2013,NUTS,2010,AT1,1,1.5749
2015,NUTS,2010,AT1,1,1.6468
2017,NUTS,2010,AT1,1,1.6942
2019,NUTS,2010,AT1,1,1.8241
2011,NUTS,2010,AT11,2,0.4284
2013,NUTS,2010,AT11,2,0.497
2015,NUTS,2010,AT11,2,0.5425
2017,NUTS,2010,AT11,2,0.5568
2019,NUTS,2010,AT11,2,0.5778
2011,NUTS,2010,AT12,2,0.6821
2013,NUTS,2010,AT12,2,0.7476
2015,NUTS,2010,AT12,2,0.838
2017,NUTS,2010,AT12,2,0.9052
2019,NUTS,2010,AT12,2,1.035
2011,NUTS,2010,AT13,2,2.6808
2013,NUTS,2010,AT13,2,2.5695
2015,NUTS,2010,AT13,2,2.6301
2017,NUTS,2010,AT13,2,2.6451
2019,NUTS,2010,AT13,2,2.7601
2011,NUTS,2010,AT2,1,1.8053
2013,NUTS,2010,AT2,1,2.0056
2015,NUTS,2010,AT2,1,2.197
2017,NUTS,2010,AT2,1,2.2995
2019,NUTS,2010,AT2,1,2.4716
2011,NUTS,2010,AT21,2,1.1885
2013,NUTS,2010,AT21,2,1.2381
2015,NUTS,2010,AT21,2,1.2928
2017,NUTS,2010,AT21,2,1.3068
2019,NUTS,2010,AT21,2,1.4425
2011,NUTS,2010,AT22,2,2.0764
2013,NUTS,2010,AT22,2,2.3436
2015,NUTS,2010,AT22,2,2.5915
2017,NUTS,2010,AT22,2,2.7304
2019,NUTS,2010,AT22,2,2.9149
2011,NUTS,2010,AT3,1,1.2711
2013,NUTS,2010,AT3,1,1.4403
2015,NUTS,2010,AT3,1,1.548
2017,NUTS,2010,AT3,1,1.6096
2019,NUTS,2010,AT3,1,1.7342
2011,NUTS,2010,AT31,2,1.4052
2013,NUTS,2010,AT31,2,1.6588
2015,NUTS,2010,AT31,2,1.7849
2017,NUTS,2010,AT31,2,1.8248
2019,NUTS,2010,AT31,2,1.9924
2011,NUTS,2010,AT32,2,0.9502
2013,NUTS,2010,AT32,2,1.0936
2015,NUTS,2010,AT32,2,1.1901
2017,NUTS,2010,AT32,2,1.3084
2019,NUTS,2010,AT32,2,1.4214
2011,NUTS,2010,AT33,2,1.4044
2013,NUTS,2010,AT33,2,1.4676
