year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pc_emp_hc_total_rse_f
1998,NUTS,2010,AT,0,0.374
2002,NUTS,2010,AT,0,0.4947
2004,NUTS,2010,AT,0,0.6327
2006,NUTS,2010,AT,0,0.727
2007,NUTS,2010,AT,0,0.8039
2009,NUTS,2010,AT,0,0.9263
2011,NUTS,2010,AT,0,1.0215
2013,NUTS,2010,AT,0,1.1147
2015,NUTS,2010,AT,0,1.1971
2017,NUTS,2010,AT,0,1.2718
2019,NUTS,2010,AT,0,1.4061
2002,NUTS,2010,AT1,1,0.7096
2004,NUTS,2010,AT1,1,0.9029
2006,NUTS,2010,AT1,1,1.0122
2007,NUTS,2010,AT1,1,1.1107
2009,NUTS,2010,AT1,1,1.2774
2011,NUTS,2010,AT1,1,1.3664
2013,NUTS,2010,AT1,1,1.463
2015,NUTS,2010,AT1,1,1.5364
2017,NUTS,2010,AT1,1,1.5713
2019,NUTS,2010,AT1,1,1.7649
2002,NUTS,2010,AT11,2,0.1055
2004,NUTS,2010,AT11,2,0.1364
2006,NUTS,2010,AT11,2,0.1327
2007,NUTS,2010,AT11,2,0.1293
2009,NUTS,2010,AT11,2,0.1367
2011,NUTS,2010,AT11,2,0.1699
2013,NUTS,2010,AT11,2,0.1952
2015,NUTS,2010,AT11,2,0.2217
2017,NUTS,2010,AT11,2,0.2358
2019,NUTS,2010,AT11,2,0.2516
2002,NUTS,2010,AT12,2,0.0877
2004,NUTS,2010,AT12,2,0.1095
2006,NUTS,2010,AT12,2,0.1553
2007,NUTS,2010,AT12,2,0.1558
2009,NUTS,2010,AT12,2,0.2012
2011,NUTS,2010,AT12,2,0.2614
2013,NUTS,2010,AT12,2,0.3148
2015,NUTS,2010,AT12,2,0.3496
2017,NUTS,2010,AT12,2,0.3852
2019,NUTS,2010,AT12,2,0.511
2002,NUTS,2010,AT13,2,1.377
2004,NUTS,2010,AT13,2,1.8002
2006,NUTS,2010,AT13,2,1.9801
2007,NUTS,2010,AT13,2,2.2217
2009,NUTS,2010,AT13,2,2.5194
2011,NUTS,2010,AT13,2,2.6399
2013,NUTS,2010,AT13,2,2.7479
2015,NUTS,2010,AT13,2,2.8852
2017,NUTS,2010,AT13,2,2.9152
2019,NUTS,2010,AT13,2,3.1654
2002,NUTS,2010,AT2,1,0.422
2004,NUTS,2010,AT2,1,0.5448
2006,NUTS,2010,AT2,1,0.6415
2007,NUTS,2010,AT2,1,0.7369
2009,NUTS,2010,AT2,1,0.8722
2011,NUTS,2010,AT2,1,0.9912
2013,NUTS,2010,AT2,1,1.0479
2015,NUTS,2010,AT2,1,1.1591
2017,NUTS,2010,AT2,1,1.2755
2019,NUTS,2010,AT2,1,1.4726
2002,NUTS,2010,AT21,2,0.2045
2004,NUTS,2010,AT21,2,0.3267
2006,NUTS,2010,AT21,2,0.3582
2007,NUTS,2010,AT21,2,0.4235
2009,NUTS,2010,AT21,2,0.4547
2011,NUTS,2010,AT21,2,0.4591
2013,NUTS,2010,AT21,2,0.4485
2015,NUTS,2010,AT21,2,0.475
2017,NUTS,2010,AT21,2,0.6727
2019,NUTS,2010,AT21,2,0.8236
2002,NUTS,2010,AT22,2,0.5216
2004,NUTS,2010,AT22,2,0.6443
2006,NUTS,2010,AT22,2,0.766
2007,NUTS,2010,AT22,2,0.8756
2009,NUTS,2010,AT22,2,1.0577
2011,NUTS,2010,AT22,2,1.2249
2013,NUTS,2010,AT22,2,1.3168
2015,NUTS,2010,AT22,2,1.4608
2017,NUTS,2010,AT22,2,1.5392
2019,NUTS,2010,AT22,2,1.7528
2002,NUTS,2010,AT3,1,0.2836
2004,NUTS,2010,AT3,1,0.378
