year,region_type,region_year_spec,region_id,region_level,hrst_st_rcat_hrste_ths
1999,NUTS,2010,AT,0,715.0
2000,NUTS,2010,AT,0,716.2
2001,NUTS,2010,AT,0,725.9
2002,NUTS,2010,AT,0,839.1
2003,NUTS,2010,AT,0,831.7
2004,NUTS,2010,AT,0,929.8
2005,NUTS,2010,AT,0,897.9
2006,NUTS,2010,AT,0,889.0
2007,NUTS,2010,AT,0,883.8
2008,NUTS,2010,AT,0,922.1
2009,NUTS,2010,AT,0,991.1
2010,NUTS,2010,AT,0,1010.6
2011,NUTS,2010,AT,0,1017.0
2012,NUTS,2010,AT,0,1059.0
2013,NUTS,2010,AT,0,1110.7
2014,NUTS,2010,AT,0,1705.2
2015,NUTS,2010,AT,0,1760.5
2016,NUTS,2010,AT,0,1835.7
2017,NUTS,2010,AT,0,1875.1
2018,NUTS,2010,AT,0,1912.5
2019,NUTS,2010,AT,0,1978.5
2020,NUTS,2010,AT,0,1991.4
1999,NUTS,2010,AT1,1,344.9
2000,NUTS,2010,AT1,1,352.1
2001,NUTS,2010,AT1,1,343.6
2002,NUTS,2010,AT1,1,379.3
2003,NUTS,2010,AT1,1,374.2
2004,NUTS,2010,AT1,1,449.0
2005,NUTS,2010,AT1,1,428.8
2006,NUTS,2010,AT1,1,423.0
2007,NUTS,2010,AT1,1,409.3
2008,NUTS,2010,AT1,1,440.0
2009,NUTS,2010,AT1,1,484.4
2010,NUTS,2010,AT1,1,501.6
2011,NUTS,2010,AT1,1,494.9
2012,NUTS,2010,AT1,1,511.8
2013,NUTS,2010,AT1,1,554.7
2014,NUTS,2010,AT1,1,831.0
2015,NUTS,2010,AT1,1,860.9
2016,NUTS,2010,AT1,1,889.4
2017,NUTS,2010,AT1,1,919.5
2018,NUTS,2010,AT1,1,930.6
2019,NUTS,2010,AT1,1,954.4
2020,NUTS,2010,AT1,1,968.0
1999,NUTS,2010,AT11,2,17.8
2000,NUTS,2010,AT11,2,18.7
2001,NUTS,2010,AT11,2,17.6
2002,NUTS,2010,AT11,2,21.9
2003,NUTS,2010,AT11,2,21.6
2004,NUTS,2010,AT11,2,23.5
2005,NUTS,2010,AT11,2,21.7
2006,NUTS,2010,AT11,2,25.5
2007,NUTS,2010,AT11,2,23.1
2008,NUTS,2010,AT11,2,24.8
2009,NUTS,2010,AT11,2,27.0
2010,NUTS,2010,AT11,2,26.6
2011,NUTS,2010,AT11,2,26.8
2012,NUTS,2010,AT11,2,25.2
2013,NUTS,2010,AT11,2,29.1
2014,NUTS,2010,AT11,2,50.3
2015,NUTS,2010,AT11,2,54.1
2016,NUTS,2010,AT11,2,53.9
2017,NUTS,2010,AT11,2,54.8
2018,NUTS,2010,AT11,2,56.2
2019,NUTS,2010,AT11,2,60.9
2020,NUTS,2010,AT11,2,64.9
1999,NUTS,2010,AT12,2,130.8
2000,NUTS,2010,AT12,2,126.2
2001,NUTS,2010,AT12,2,120.8
2002,NUTS,2010,AT12,2,146.9
2003,NUTS,2010,AT12,2,133.7
2004,NUTS,2010,AT12,2,161.0
2005,NUTS,2010,AT12,2,161.7
2006,NUTS,2010,AT12,2,148.8
2007,NUTS,2010,AT12,2,146.2
2008,NUTS,2010,AT12,2,158.6
2009,NUTS,2010,AT12,2,176.2
2010,NUTS,2010,AT12,2,178.5
2011,NUTS,2010,AT12,2,175.1
2012,NUTS,2010,AT12,2,178.2
2013,NUTS,2010,AT12,2,179.8
2014,NUTS,2010,AT12,2,310.2
2015,NUTS,2010,AT12,2,328.8
2016,NUTS,2010,AT12,2,338.1
2017,NUTS,2010,AT12,2,345.5
2018,NUTS,2010,AT12,2,352.0
2019,NUTS,2010,AT12,2,359.8
2020,NUTS,2010,AT12,2,367.2
1999,NUTS,2010,AT13,2,196.3
2000,NUTS,2010,AT13,2,207.2
2001,NUTS,2010,AT13,2,205.2
2002,NUTS,2010,AT13,2,210.4
2003,NUTS,2010,AT13,2,218.8
2004,NUTS,2010,AT13,2,264.5
2005,NUTS,2010,AT13,2,245.4
2006,NUTS,2010,AT13,2,248.7
2007,NUTS,2010,AT13,2,240.0
2008,NUTS,2010,AT13,2,256.6
2009,NUTS,2010,AT13,2,281.3
2010,NUTS,2010,AT13,2,296.5
2011,NUTS,2010,AT13,2,293.0
2012,NUTS,2010,AT13,2,308.4
2013,NUTS,2010,AT13,2,345.8
2014,NUTS,2010,AT13,2,470.4
2015,NUTS,2010,AT13,2,478.0
2016,NUTS,2010,AT13,2,497.3
2017,NUTS,2010,AT13,2,519.2
2018,NUTS,2010,AT13,2,522.5
2019,NUTS,2010,AT13,2,533.7
2020,NUTS,2010,AT13,2,535.9
1999,NUTS,2010,AT2,1,139.3
2000,NUTS,2010,AT2,1,129.0
2001,NUTS,2010,AT2,1,136.1
2002,NUTS,2010,AT2,1,167.9
2003,NUTS,2010,AT2,1,164.7
2004,NUTS,2010,AT2,1,174.3
2005,NUTS,2010,AT2,1,176.3
2006,NUTS,2010,AT2,1,173.4
2007,NUTS,2010,AT2,1,173.4
2008,NUTS,2010,AT2,1,173.3
2009,NUTS,2010,AT2,1,184.8
2010,NUTS,2010,AT2,1,176.7
2011,NUTS,2010,AT2,1,185.4
2012,NUTS,2010,AT2,1,200.1
2013,NUTS,2010,AT2,1,197.3
2014,NUTS,2010,AT2,1,319.3
2015,NUTS,2010,AT2,1,331.4
2016,NUTS,2010,AT2,1,340.8
