year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_pc_act_fte_total_f
2011,NUTS,2010,AT,0,0.3508
2013,NUTS,2010,AT,0,0.3645
2015,NUTS,2010,AT,0,0.3893
2017,NUTS,2010,AT,0,0.394
2019,NUTS,2010,AT,0,0.4358
2011,NUTS,2010,BE,0,0.4063
2011,NUTS,2010,BG,0,0.0744
2012,NUTS,2010,BG,0,0.0876
2013,NUTS,2010,BG,0,0.1092
2014,NUTS,2010,BG,0,0.1398
2015,NUTS,2010,BG,0,0.24
2016,NUTS,2010,BG,0,0.2889
2017,NUTS,2010,BG,0,0.2778
2018,NUTS,2010,BG,0,0.3257
2019,NUTS,2010,BG,0,0.3441
2011,NUTS,2010,CY,0,0.0452
2012,NUTS,2010,CY,0,0.0431
2013,NUTS,2010,CY,0,0.045
2014,NUTS,2010,CY,0,0.0463
2015,NUTS,2010,CY,0,0.0449
2016,NUTS,2010,CY,0,0.061
2017,NUTS,2010,CY,0,0.0678
2018,NUTS,2010,CY,0,0.0945
2019,NUTS,2010,CY,0,0.1048
2011,NUTS,2010,CZ,0,0.2427
2012,NUTS,2010,CZ,0,0.2607
2013,NUTS,2010,CZ,0,0.2709
2014,NUTS,2010,CZ,0,0.2822
2015,NUTS,2010,CZ,0,0.2758
2016,NUTS,2010,CZ,0,0.275
2017,NUTS,2010,CZ,0,0.2897
2018,NUTS,2010,CZ,0,0.3042
2019,NUTS,2010,CZ,0,0.3254
2020,NUTS,2010,CZ,0,0.3483
2011,NUTS,2010,DE,0,0.3732
2013,NUTS,2010,DE,0,0.3633
2015,NUTS,2010,DE,0,0.399
2017,NUTS,2010,DE,0,0.4206
2019,NUTS,2010,DE,0,0.4518
2011,NUTS,2010,DK,0,0.7931
2012,NUTS,2010,DK,0,0.7903
2013,NUTS,2010,DK,0,0.7864
2015,NUTS,2010,DK,0,0.7853
2017,NUTS,2010,DK,0,0.878
2019,NUTS,2010,DK,0,0.8526
2011,NUTS,2010,EE,0,0.203
2012,NUTS,2010,EE,0,0.1845
2013,NUTS,2010,EE,0,0.1957
2014,NUTS,2010,EE,0,0.1809
2015,NUTS,2010,EE,0,0.1663
2016,NUTS,2010,EE,0,0.1724
2017,NUTS,2010,EE,0,0.1877
2018,NUTS,2010,EE,0,0.1978
2019,NUTS,2010,EE,0,0.2368
2011,NUTS,2010,EL,0,0.1024
2013,NUTS,2010,EL,0,0.0984
2015,NUTS,2010,EL,0,0.1206
2017,NUTS,2010,EL,0,0.1941
2019,NUTS,2010,EL,0,0.2227
2011,NUTS,2010,ES,0,0.2631
2012,NUTS,2010,ES,0,0.2575
2013,NUTS,2010,ES,0,0.2618
2014,NUTS,2010,ES,0,0.2562
2015,NUTS,2010,ES,0,0.2604
2016,NUTS,2010,ES,0,0.2647
2017,NUTS,2010,ES,0,0.2851
2018,NUTS,2010,ES,0,0.3136
2019,NUTS,2010,ES,0,0.3183
2011,NUTS,2010,FR,0,0.3951
2012,NUTS,2010,FR,0,0.408
2013,NUTS,2010,FR,0,0.4149
2014,NUTS,2010,FR,0,0.4129
2016,NUTS,2010,FR,0,0.4221
2017,NUTS,2010,FR,0,0.4396
2011,NUTS,2010,HR,0,0.1284
2012,NUTS,2010,HR,0,0.1262
2013,NUTS,2010,HR,0,0.1192
2014,NUTS,2010,HR,0,0.1169
2015,NUTS,2010,HR,0,0.1259
2016,NUTS,2010,HR,0,0.148
2017,NUTS,2010,HR,0,0.1592
2018,NUTS,2010,HR,0,0.199
2019,NUTS,2010,HR,0,0.2204
2020,NUTS,2010,HR,0,0.2481
2011,NUTS,2010,HU,0,0.2182
2012,NUTS,2010,HU,0,0.2476
2013,NUTS,2010,HU,0,0.2662
2014,NUTS,2010,HU,0,0.2625
2015,NUTS,2010,HU,0,0.2497
2016,NUTS,2010,HU,0,0.2335
2017,NUTS,2010,HU,0,0.272
2018,NUTS,2010,HU,0,0.3286
2019,NUTS,2010,HU,0,0.3424
2011,NUTS,2010,IE,0,0.3386
2013,NUTS,2010,IE,0,0.3952
2015,NUTS,2010,IE,0,0.4494
2017,NUTS,2010,IE,0,0.4834
2019,NUTS,2010,IE,0,0.4933
2011,NUTS,2010,IS,0,0.4732
2011,NUTS,2010,IT,0,0.2277
2012,NUTS,2010,IT,0,0.2418
2013,NUTS,2010,IT,0,0.2511
2014,NUTS,2010,IT,0,0.2595
2015,NUTS,2010,IT,0,0.2785
2016,NUTS,2010,IT,0,0.3242
2017,NUTS,2010,IT,0,0.3759
2018,NUTS,2010,IT,0,0.4393
2019,NUTS,2010,IT,0,0.4645
2011,NUTS,2010,LT,0,0.1008
2012,NUTS,2010,LT,0,0.0845
2013,NUTS,2010,LT,0,0.1172
2014,NUTS,2010,LT,0,0.1395
2015,NUTS,2010,LT,0,0.1236
2016,NUTS,2010,LT,0,0.1304
2017,NUTS,2010,LT,0,0.1636
2018,NUTS,2010,LT,0,0.177
2019,NUTS,2010,LT,0,0.2195
2011,NUTS,2010,LU,0,0.5233
2013,NUTS,2010,LU,0,0.3142
2015,NUTS,2010,LU,0,0.3126
2017,NUTS,2010,LU,0,0.3685
2019,NUTS,2010,LU,0,0.3341
2011,NUTS,2010,LV,0,0.0877
2012,NUTS,2010,LV,0,0.0832
2013,NUTS,2010,LV,0,0.0872
2015,NUTS,2010,LV,0,0.0994
2016,NUTS,2010,LV,0,0.0763
2017,NUTS,2010,LV,0,0.0868
2018,NUTS,2010,LV,0,0.1047
2019,NUTS,2010,LV,0,0.0985
2011,NUTS,2010,ME,0,0.0424
2013,NUTS,2010,ME,0,0.0468
2014,NUTS,2010,ME,0,0.0388
2015,NUTS,2010,ME,0,0.027
2017,NUTS,2010,ME,0,0.0201
2018,NUTS,2010,ME,0,0.0374
2019,NUTS,2010,ME,0,0.0377
2011,NUTS,2010,MK,0,0.0307
2012,NUTS,2010,MK,0,0.0297
2015,NUTS,2010,MK,0,0.061
2016,NUTS,2010,MK,0,0.0724
2017,NUTS,2010,MK,0,0.073
2018,NUTS,2010,MK,0,0.0807
2019,NUTS,2010,MK,0,0.0842
2011,NUTS,2010,MT,0,0.3048
2012,NUTS,2010,MT,0,0.3312
2013,NUTS,2010,MT,0,0.2671
2014,NUTS,2010,MT,0,0.2455
2015,NUTS,2010,MT,0,0.2142
2016,NUTS,2010,MT,0,0.2448
2017,NUTS,2010,MT,0,0.2687
2018,NUTS,2010,MT,0,0.2305
2019,NUTS,2010,MT,0,0.2419
2011,NUTS,2010,NL,0,0.3376
2012,NUTS,2010,NL,0,0.3461
2015,NUTS,2010,PL,0,0.1257
2016,NUTS,2010,PL,0,0.1879
2017,NUTS,2010,PL,0,0.2519
2018,NUTS,2010,PL,0,0.2927
2019,NUTS,2010,PL,0,0.2919
2011,NUTS,2010,PT,0,0.1844
2012,NUTS,2010,PT,0,0.1881
2013,NUTS,2010,PT,0,0.1973
2014,NUTS,2010,PT,0,0.217
2015,NUTS,2010,PT,0,0.2331
2016,NUTS,2010,PT,0,0.2343
2017,NUTS,2010,PT,0,0.2728
2018,NUTS,2010,PT,0,0.2892
2019,NUTS,2010,PT,0,0.3276
2020,NUTS,2010,PT,0,0.3843
2011,NUTS,2010,RO,0,0.1205
2012,NUTS,2010,RO,0,0.1327
2013,NUTS,2010,RO,0,0.1254
2014,NUTS,2010,RO,0,0.1202
2015,NUTS,2010,RO,0,0.1065
2016,NUTS,2010,RO,0,0.1124
2017,NUTS,2010,RO,0,0.1187
2018,NUTS,2010,RO,0,0.1147
2019,NUTS,2010,RO,0,0.1129
2011,NUTS,2010,RS,0,0.0122
2012,NUTS,2010,RS,0,0.021
2013,NUTS,2010,RS,0,0.028
2014,NUTS,2010,RS,0,0.0795
2015,NUTS,2010,RS,0,0.0822
2016,NUTS,2010,RS,0,0.0887
2017,NUTS,2010,RS,0,0.0795
2018,NUTS,2010,RS,0,0.0759
2019,NUTS,2010,RS,0,0.0795
2020,NUTS,2010,RS,0,0.0816
2011,NUTS,2010,SE,0,0.5975
2013,NUTS,2010,SE,0,0.5848
2015,NUTS,2010,SE,0,0.5921
2017,NUTS,2010,SE,0,0.6512
2019,NUTS,2010,SE,0,0.6552
2011,NUTS,2010,SI,0,0.5767
2012,NUTS,2010,SI,0,0.5505
2013,NUTS,2010,SI,0,0.5878
2014,NUTS,2010,SI,0,0.5815
2015,NUTS,2010,SI,0,0.528
2016,NUTS,2010,SI,0,0.5484
2017,NUTS,2010,SI,0,0.5623
2018,NUTS,2010,SI,0,0.6251
2019,NUTS,2010,SI,0,0.6693
2011,NUTS,2010,SK,0,0.0621
2012,NUTS,2010,SK,0,0.0647
2013,NUTS,2010,SK,0,0.0614
2014,NUTS,2010,SK,0,0.0681
2015,NUTS,2010,SK,0,0.0676
2016,NUTS,2010,SK,0,0.0647
2017,NUTS,2010,SK,0,0.0803
2018,NUTS,2010,SK,0,0.0916
2019,NUTS,2010,SK,0,0.0988
2020,NUTS,2010,SK,0,0.1132
2011,NUTS,2010,TR,0,0.1323
2012,NUTS,2010,TR,0,0.1482
2013,NUTS,2010,TR,0,0.1611
2014,NUTS,2010,TR,0,0.168
2015,NUTS,2010,TR,0,0.1782
2016,NUTS,2010,TR,0,0.1869
2017,NUTS,2010,TR,0,0.2226
2018,NUTS,2010,TR,0,0.2608
2019,NUTS,2010,TR,0,0.2826
2020,NUTS,2010,TR,0,0.3549
