year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_rse_pc_act_hc_f
2011,NUTS,2010,AT,0,0.2483
2013,NUTS,2010,AT,0,0.2941
2015,NUTS,2010,AT,0,0.3101
2017,NUTS,2010,AT,0,0.3305
2019,NUTS,2010,AT,0,0.3712
2011,NUTS,2010,AT1,1,0.3174
2013,NUTS,2010,AT1,1,0.3467
2015,NUTS,2010,AT1,1,0.36
2017,NUTS,2010,AT1,1,0.3268
2019,NUTS,2010,AT1,1,0.3651
2011,NUTS,2010,AT11,2,0.0737
2013,NUTS,2010,AT11,2,0.0738
2015,NUTS,2010,AT11,2,0.0823
2017,NUTS,2010,AT11,2,0.1119
2019,NUTS,2010,AT11,2,0.0975
2011,NUTS,2010,AT12,2,0.1567
2013,NUTS,2010,AT12,2,0.1577
2015,NUTS,2010,AT12,2,0.1615
2017,NUTS,2010,AT12,2,0.1529
2019,NUTS,2010,AT12,2,0.2126
2011,NUTS,2010,AT13,2,0.5078
2013,NUTS,2010,AT13,2,0.5601
2015,NUTS,2010,AT13,2,0.5854
2017,NUTS,2010,AT13,2,0.5175
2019,NUTS,2010,AT13,2,0.5402
2011,NUTS,2010,AT2,1,0.2692
2013,NUTS,2010,AT2,1,0.3183
2015,NUTS,2010,AT2,1,0.3433
2017,NUTS,2010,AT2,1,0.4093
2019,NUTS,2010,AT2,1,0.5028
2011,NUTS,2010,AT21,2,0.1755
2013,NUTS,2010,AT21,2,0.1569
2015,NUTS,2010,AT21,2,0.2099
2017,NUTS,2010,AT21,2,0.3497
2019,NUTS,2010,AT21,2,0.4336
2011,NUTS,2010,AT22,2,0.3107
2013,NUTS,2010,AT22,2,0.3913
2015,NUTS,2010,AT22,2,0.4027
2017,NUTS,2010,AT22,2,0.4356
2019,NUTS,2010,AT22,2,0.5333
2011,NUTS,2010,AT3,1,0.1482
2013,NUTS,2010,AT3,1,0.2106
2015,NUTS,2010,AT3,1,0.2226
2017,NUTS,2010,AT3,1,0.2819
2019,NUTS,2010,AT3,1,0.2966
2011,NUTS,2010,AT31,2,0.1428
2013,NUTS,2010,AT31,2,0.2218
2015,NUTS,2010,AT31,2,0.2353
2017,NUTS,2010,AT31,2,0.2667
2019,NUTS,2010,AT31,2,0.3331
2011,NUTS,2010,AT32,2,0.0978
2013,NUTS,2010,AT32,2,0.1197
2015,NUTS,2010,AT32,2,0.1321
2017,NUTS,2010,AT32,2,0.1861
2019,NUTS,2010,AT32,2,0.2073
2011,NUTS,2010,AT33,2,0.2238
2013,NUTS,2010,AT33,2,0.2929
2015,NUTS,2010,AT33,2,0.3083
2017,NUTS,2010,AT33,2,0.4398
2019,NUTS,2010,AT33,2,0.3553
2011,NUTS,2010,AT34,2,0.0958
2013,NUTS,2010,AT34,2,0.138
2015,NUTS,2010,AT34,2,0.1393
2017,NUTS,2010,AT34,2,0.1691
2019,NUTS,2010,AT34,2,0.1757
2011,NUTS,2010,BE,0,0.3365
2013,NUTS,2010,BE,0,0.3364
2015,NUTS,2010,BE,0,0.4391
2017,NUTS,2010,BE,0,0.511
2019,NUTS,2010,BE,0,0.5273
2011,NUTS,2010,BE1,1,0.424
2013,NUTS,2010,BE1,1,0.4636
2015,NUTS,2010,BE1,1,0.6691
2017,NUTS,2010,BE1,1,0.8152
2019,NUTS,2010,BE1,1,0.9827
2011,NUTS,2010,BE10,2,0.424
2013,NUTS,2010,BE10,2,0.4636
2015,NUTS,2010,BE10,2,0.6691
2017,NUTS,2010,BE10,2,0.8152
2019,NUTS,2010,BE10,2,0.9827
2011,NUTS,2010,BE2,1,0.308
2013,NUTS,2010,BE2,1,0.3394
