year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_hc_total_t
2011,NUTS,2010,AT,0,58643.0
2013,NUTS,2010,AT,0,65320.0
2015,NUTS,2010,AT,0,71008.0
2017,NUTS,2010,AT,0,71327.0
2019,NUTS,2010,AT,0,79274.0
2011,NUTS,2010,AT1,1,22352.0
2013,NUTS,2010,AT1,1,23501.0
2015,NUTS,2010,AT1,1,25009.0
2017,NUTS,2010,AT1,1,23452.0
2019,NUTS,2010,AT1,1,26758.0
2011,NUTS,2010,AT11,2,846.0
2013,NUTS,2010,AT11,2,972.0
2015,NUTS,2010,AT11,2,1038.0
2017,NUTS,2010,AT11,2,1093.0
2019,NUTS,2010,AT11,2,1130.0
2011,NUTS,2010,AT12,2,6745.0
2013,NUTS,2010,AT12,2,7321.0
2015,NUTS,2010,AT12,2,8075.0
2017,NUTS,2010,AT12,2,8053.0
2019,NUTS,2010,AT12,2,8932.0
2011,NUTS,2010,AT13,2,14761.0
2013,NUTS,2010,AT13,2,15208.0
2015,NUTS,2010,AT13,2,15896.0
2017,NUTS,2010,AT13,2,14306.0
2019,NUTS,2010,AT13,2,16696.0
2011,NUTS,2010,AT2,1,15365.0
2013,NUTS,2010,AT2,1,18015.0
2015,NUTS,2010,AT2,1,19726.0
2017,NUTS,2010,AT2,1,19593.0
2019,NUTS,2010,AT2,1,22037.0
2011,NUTS,2010,AT21,2,3194.0
2013,NUTS,2010,AT21,2,3385.0
2015,NUTS,2010,AT21,2,3722.0
2017,NUTS,2010,AT21,2,3624.0
2019,NUTS,2010,AT21,2,4232.0
2011,NUTS,2010,AT22,2,12171.0
2013,NUTS,2010,AT22,2,14630.0
2015,NUTS,2010,AT22,2,16004.0
2017,NUTS,2010,AT22,2,15969.0
2019,NUTS,2010,AT22,2,17805.0
2011,NUTS,2010,AT3,1,20926.0
2013,NUTS,2010,AT3,1,23804.0
2015,NUTS,2010,AT3,1,26273.0
2017,NUTS,2010,AT3,1,28282.0
2019,NUTS,2010,AT3,1,30479.0
2011,NUTS,2010,AT31,2,12183.0
2013,NUTS,2010,AT31,2,14145.0
2015,NUTS,2010,AT31,2,15814.0
2017,NUTS,2010,AT31,2,16321.0
2019,NUTS,2010,AT31,2,17949.0
2011,NUTS,2010,AT32,2,2454.0
2013,NUTS,2010,AT32,2,2711.0
2015,NUTS,2010,AT32,2,2858.0
2017,NUTS,2010,AT32,2,3435.0
2019,NUTS,2010,AT32,2,3915.0
2011,NUTS,2010,AT33,2,3904.0
2013,NUTS,2010,AT33,2,4364.0
2015,NUTS,2010,AT33,2,4566.0
2017,NUTS,2010,AT33,2,5020.0
2019,NUTS,2010,AT33,2,5285.0
2011,NUTS,2010,AT34,2,2385.0
2013,NUTS,2010,AT34,2,2584.0
2015,NUTS,2010,AT34,2,3035.0
2017,NUTS,2010,AT34,2,3506.0
2019,NUTS,2010,AT34,2,3330.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,662.0
2013,NUTS,2010,BA,0,586.0
2014,NUTS,2010,BA,0,373.0
2019,NUTS,2010,BA,0,508.0
2011,NUTS,2010,BE,0,46044.0
2013,NUTS,2010,BE,0,50493.0
2015,NUTS,2010,BE,0,61023.0
2017,NUTS,2010,BE,0,74287.0
2019,NUTS,2010,BE,0,86563.0
2011,NUTS,2010,BE1,1,4818.0
2013,NUTS,2010,BE1,1,6311.0
2015,NUTS,2010,BE1,1,8425.0
2017,NUTS,2010,BE1,1,10755.0
2019,NUTS,2010,BE1,1,13050.0
2011,NUTS,2010,BE10,2,4818.0
2013,NUTS,2010,BE10,2,6311.0
2015,NUTS,2010,BE10,2,8425.0
2017,NUTS,2010,BE10,2,10755.0
2019,NUTS,2010,BE10,2,13050.0
2011,NUTS,2010,BE2,1,28410.0
2013,NUTS,2010,BE2,1,32262.0
2015,NUTS,2010,BE2,1,38397.0
2017,NUTS,2010,BE2,1,46222.0
2019,NUTS,2010,BE2,1,58271.0
2011,NUTS,2010,BE3,1,12816.0
2013,NUTS,2010,BE3,1,11920.0
2015,NUTS,2010,BE3,1,14201.0
2017,NUTS,2010,BE3,1,17310.0
2019,NUTS,2010,BE3,1,15242.0
2015,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
2011,NUTS,2010,BG,0,2970.0
2012,NUTS,2010,BG,0,3533.0
2013,NUTS,2010,BG,0,4541.0
2014,NUTS,2010,BG,0,6384.0
2015,NUTS,2010,BG,0,11356.0
2016,NUTS,2010,BG,0,13565.0
2017,NUTS,2010,BG,0,13114.0
2018,NUTS,2010,BG,0,15949.0
2019,NUTS,2010,BG,0,16529.0
2011,NUTS,2010,BG3,1,914.0
2012,NUTS,2010,BG3,1,955.0
2013,NUTS,2010,BG3,1,1163.0
2014,NUTS,2010,BG3,1,1427.0
2015,NUTS,2010,BG3,1,3381.0
2016,NUTS,2010,BG3,1,3458.0
2017,NUTS,2010,BG3,1,3507.0
2018,NUTS,2010,BG3,1,4503.0
2019,NUTS,2010,BG3,1,4590.0
2015,NUTS,2010,BG31,2,759.0
2016,NUTS,2010,BG31,2,864.0
2017,NUTS,2010,BG31,2,852.0
2018,NUTS,2010,BG31,2,1134.0
2019,NUTS,2010,BG31,2,979.0
2012,NUTS,2010,BG32,2,205.0
2013,NUTS,2010,BG32,2,282.0
2014,NUTS,2010,BG32,2,398.0
2015,NUTS,2010,BG32,2,800.0
2016,NUTS,2010,BG32,2,735.0
2017,NUTS,2010,BG32,2,922.0
2018,NUTS,2010,BG32,2,1107.0
2019,NUTS,2010,BG32,2,1268.0
2011,NUTS,2010,BG33,2,219.0
2013,NUTS,2010,BG33,2,300.0
2015,NUTS,2010,BG33,2,722.0
2016,NUTS,2010,BG33,2,785.0
2017,NUTS,2010,BG33,2,722.0
2018,NUTS,2010,BG33,2,900.0
2019,NUTS,2010,BG33,2,951.0
2012,NUTS,2010,BG34,2,287.0
2014,NUTS,2010,BG34,2,406.0
2015,NUTS,2010,BG34,2,1100.0
2016,NUTS,2010,BG34,2,1074.0
2017,NUTS,2010,BG34,2,1011.0
2018,NUTS,2010,BG34,2,1362.0
2019,NUTS,2010,BG34,2,1392.0
2011,NUTS,2010,BG4,1,2056.0
2012,NUTS,2010,BG4,1,2578.0
2013,NUTS,2010,BG4,1,3378.0
2014,NUTS,2010,BG4,1,4957.0
2015,NUTS,2010,BG4,1,7975.0
2016,NUTS,2010,BG4,1,10107.0
2017,NUTS,2010,BG4,1,9607.0
2018,NUTS,2010,BG4,1,11446.0
2019,NUTS,2010,BG4,1,11939.0
2011,NUTS,2010,BG41,2,1625.0
2012,NUTS,2010,BG41,2,2108.0
2015,NUTS,2010,BG41,2,6586.0
2016,NUTS,2010,BG41,2,8290.0
2017,NUTS,2010,BG41,2,8015.0
2018,NUTS,2010,BG41,2,9473.0
2019,NUTS,2010,BG41,2,9903.0
2011,NUTS,2010,BG42,2,431.0
2012,NUTS,2010,BG42,2,470.0
2015,NUTS,2010,BG42,2,1389.0
2016,NUTS,2010,BG42,2,1817.0
2017,NUTS,2010,BG42,2,1592.0
2018,NUTS,2010,BG42,2,1973.0
2019,NUTS,2010,BG42,2,2036.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,CH,0,51715.0
2015,NUTS,2010,CH,0,56933.0
2017,NUTS,2010,CH,0,52366.0
2019,NUTS,2010,CH,0,58669.0
2012,NUTS,2010,CH01,2,5927.0
2015,NUTS,2010,CH01,2,8139.0
2017,NUTS,2010,CH01,2,6972.0
2019,NUTS,2010,CH01,2,7828.0
2012,NUTS,2010,CH02,2,9209.0
2015,NUTS,2010,CH02,2,9753.0
2017,NUTS,2010,CH02,2,9104.0
2019,NUTS,2010,CH02,2,9291.0
2012,NUTS,2010,CH03,2,15369.0
2015,NUTS,2010,CH03,2,16151.0
2017,NUTS,2010,CH03,2,15021.0
2019,NUTS,2010,CH03,2,16067.0
2012,NUTS,2010,CH04,2,8253.0
2015,NUTS,2010,CH04,2,9138.0
2017,NUTS,2010,CH04,2,8668.0
2019,NUTS,2010,CH04,2,10014.0
2012,NUTS,2010,CH05,2,6914.0
2015,NUTS,2010,CH05,2,7190.0
2017,NUTS,2010,CH05,2,5387.0
2019,NUTS,2010,CH05,2,9119.0
2012,NUTS,2010,CH06,2,4496.0
2015,NUTS,2010,CH06,2,5723.0
2017,NUTS,2010,CH06,2,5616.0
2019,NUTS,2010,CH06,2,5195.0
2012,NUTS,2010,CH07,2,1546.0
2015,NUTS,2010,CH07,2,840.0
2017,NUTS,2010,CH07,2,1598.0
2019,NUTS,2010,CH07,2,1155.0
2011,NUTS,2010,CN_X_HK,5,2845963.0
2012,NUTS,2010,CN_X_HK,5,3366426.0
2013,NUTS,2010,CN_X_HK,5,3712375.0
2014,NUTS,2010,CN_X_HK,5,3981611.0
2015,NUTS,2010,CN_X_HK,5,4017913.0
2016,NUTS,2010,CN_X_HK,5,4331234.0
2017,NUTS,2010,CN_X_HK,5,4626672.0
2018,NUTS,2010,CN_X_HK,5,4903191.0
2019,NUTS,2010,CN_X_HK,5,5177353.0
2011,NUTS,2010,CY,0,536.0
2012,NUTS,2010,CY,0,482.0
2013,NUTS,2010,CY,0,478.0
2014,NUTS,2010,CY,0,452.0
2015,NUTS,2010,CY,0,429.0
2016,NUTS,2010,CY,0,602.0
2017,NUTS,2010,CY,0,705.0
2018,NUTS,2010,CY,0,1027.0
2019,NUTS,2010,CY,0,1101.0
2011,NUTS,2010,CZ,0,37437.0
2012,NUTS,2010,CZ,0,41445.0
2013,NUTS,2010,CZ,0,44255.0
2014,NUTS,2010,CZ,0,48194.0
2015,NUTS,2010,CZ,0,49252.0
2016,NUTS,2010,CZ,0,51069.0
2017,NUTS,2010,CZ,0,55232.0
2018,NUTS,2010,CZ,0,58409.0
2019,NUTS,2010,CZ,0,60247.0
2020,NUTS,2010,CZ,0,60695.0
2011,NUTS,2010,CZ0,1,37437.0
2012,NUTS,2010,CZ0,1,41445.0
2013,NUTS,2010,CZ0,1,44255.0
2014,NUTS,2010,CZ0,1,48194.0
2015,NUTS,2010,CZ0,1,49252.0
2016,NUTS,2010,CZ0,1,51069.0
2017,NUTS,2010,CZ0,1,55232.0
2018,NUTS,2010,CZ0,1,58409.0
2019,NUTS,2010,CZ0,1,60247.0
2020,NUTS,2010,CZ0,1,60695.0
2011,NUTS,2010,CZ01,2,8739.0
2012,NUTS,2010,CZ01,2,10217.0
2013,NUTS,2010,CZ01,2,11206.0
2014,NUTS,2010,CZ01,2,11624.0
2015,NUTS,2010,CZ01,2,11654.0
2016,NUTS,2010,CZ01,2,12113.0
2017,NUTS,2010,CZ01,2,13275.0
2018,NUTS,2010,CZ01,2,14455.0
