year,region_type,region_year_spec,region_id,region_level,hrst_st_rcat_ths_se
2013,NUTS,2010,BE,0,380.7
2014,NUTS,2010,BE,0,398.3
2015,NUTS,2010,BE,0,414.7
2016,NUTS,2010,BE,0,447.1
2017,NUTS,2010,BE,0,487.8
2018,NUTS,2010,BE,0,494.9
2019,NUTS,2010,BE,0,510.0
2020,NUTS,2010,BE,0,526.5
2011,NUTS,2010,BE1,1,39.3
2012,NUTS,2010,BE1,1,42.3
2013,NUTS,2010,BE1,1,39.6
2014,NUTS,2010,BE1,1,43.1
2015,NUTS,2010,BE1,1,42.9
2016,NUTS,2010,BE1,1,45.3
2017,NUTS,2010,BE1,1,48.7
2018,NUTS,2010,BE1,1,49.2
2019,NUTS,2010,BE1,1,53.1
2020,NUTS,2010,BE1,1,56.3
2011,NUTS,2010,BE10,2,39.3
2012,NUTS,2010,BE10,2,42.3
2013,NUTS,2010,BE10,2,39.6
2014,NUTS,2010,BE10,2,43.1
2015,NUTS,2010,BE10,2,42.9
2016,NUTS,2010,BE10,2,45.3
2017,NUTS,2010,BE10,2,48.7
2018,NUTS,2010,BE10,2,49.2
2019,NUTS,2010,BE10,2,53.1
2020,NUTS,2010,BE10,2,56.3
2011,NUTS,2010,BE2,1,202.5
2012,NUTS,2010,BE2,1,216.1
2013,NUTS,2010,BE2,1,228.8
2014,NUTS,2010,BE2,1,242.2
2015,NUTS,2010,BE2,1,257.9
2016,NUTS,2010,BE2,1,265.2
2017,NUTS,2010,BE2,1,299.5
2018,NUTS,2010,BE2,1,293.7
2019,NUTS,2010,BE2,1,298.4
2020,NUTS,2010,BE2,1,315.0
2011,NUTS,2010,BE21,2,58.2
2012,NUTS,2010,BE21,2,62.9
2013,NUTS,2010,BE21,2,67.5
2014,NUTS,2010,BE21,2,76.5
2015,NUTS,2010,BE21,2,72.4
2016,NUTS,2010,BE21,2,73.9
2017,NUTS,2010,BE21,2,84.5
2018,NUTS,2010,BE21,2,86.8
2019,NUTS,2010,BE21,2,83.4
2020,NUTS,2010,BE21,2,80.2
2011,NUTS,2010,BE22,2,26.4
2012,NUTS,2010,BE22,2,29.8
2013,NUTS,2010,BE22,2,31.8
2014,NUTS,2010,BE22,2,32.2
2015,NUTS,2010,BE22,2,33.7
2016,NUTS,2010,BE22,2,36.3
2017,NUTS,2010,BE22,2,39.3
2018,NUTS,2010,BE22,2,35.0
2019,NUTS,2010,BE22,2,38.5
2020,NUTS,2010,BE22,2,46.7
2011,NUTS,2010,BE23,2,46.0
2012,NUTS,2010,BE23,2,48.0
2013,NUTS,2010,BE23,2,50.6
2014,NUTS,2010,BE23,2,55.1
2015,NUTS,2010,BE23,2,64.3
2016,NUTS,2010,BE23,2,63.1
2017,NUTS,2010,BE23,2,72.5
2018,NUTS,2010,BE23,2,70.3
2019,NUTS,2010,BE23,2,72.2
2020,NUTS,2010,BE23,2,77.3
2011,NUTS,2010,BE24,2,40.5
2012,NUTS,2010,BE24,2,45.7
2013,NUTS,2010,BE24,2,43.3
2014,NUTS,2010,BE24,2,46.5
2015,NUTS,2010,BE24,2,50.1
2016,NUTS,2010,BE24,2,49.5
2017,NUTS,2010,BE24,2,56.7
2018,NUTS,2010,BE24,2,56.9
2019,NUTS,2010,BE24,2,59.6
2020,NUTS,2010,BE24,2,63.3
2011,NUTS,2010,BE25,2,31.4
2012,NUTS,2010,BE25,2,29.7
2013,NUTS,2010,BE25,2,35.5
2014,NUTS,2010,BE25,2,31.9
2015,NUTS,2010,BE25,2,37.3
2016,NUTS,2010,BE25,2,42.4
2017,NUTS,2010,BE25,2,46.3
2018,NUTS,2010,BE25,2,44.8
2019,NUTS,2010,BE25,2,44.7
2020,NUTS,2010,BE25,2,47.4
2011,NUTS,2010,BE3,1,96.1
2012,NUTS,2010,BE3,1,108.8
2013,NUTS,2010,BE3,1,112.2
2014,NUTS,2010,BE3,1,113.0
2015,NUTS,2010,BE3,1,113.9
2016,NUTS,2010,BE3,1,136.6
2017,NUTS,2010,BE3,1,139.6
2018,NUTS,2010,BE3,1,152.0
2019,NUTS,2010,BE3,1,158.5
2020,NUTS,2010,BE3,1,155.3
2011,NUTS,2010,BE31,2,16.0
2012,NUTS,2010,BE31,2,19.5
2013,NUTS,2010,BE31,2,21.3
2014,NUTS,2010,BE31,2,18.6
2015,NUTS,2010,BE31,2,21.5
2016,NUTS,2010,BE31,2,22.5
2017,NUTS,2010,BE31,2,24.6
2018,NUTS,2010,BE31,2,24.1
2019,NUTS,2010,BE31,2,26.7
2020,NUTS,2010,BE31,2,28.0
2011,NUTS,2010,BE32,2,27.7
2012,NUTS,2010,BE32,2,29.7
2013,NUTS,2010,BE32,2,30.5
2014,NUTS,2010,BE32,2,29.9
2015,NUTS,2010,BE32,2,29.2
2016,NUTS,2010,BE32,2,40.9
2017,NUTS,2010,BE32,2,35.7
2018,NUTS,2010,BE32,2,41.5
2019,NUTS,2010,BE32,2,44.8
2020,NUTS,2010,BE32,2,39.5
2011,NUTS,2010,BE33,2,30.9
2012,NUTS,2010,BE33,2,36.1
2013,NUTS,2010,BE33,2,36.0
2014,NUTS,2010,BE33,2,41.0
2015,NUTS,2010,BE33,2,38.8
2016,NUTS,2010,BE33,2,45.5
2017,NUTS,2010,BE33,2,47.6
2018,NUTS,2010,BE33,2,51.8
2019,NUTS,2010,BE33,2,53.7
2020,NUTS,2010,BE33,2,52.1
2011,NUTS,2010,BE34,2,8.5
2012,NUTS,2010,BE34,2,9.2
2013,NUTS,2010,BE34,2,10.2
2014,NUTS,2010,BE34,2,9.4
2015,NUTS,2010,BE34,2,10.6
2016,NUTS,2010,BE34,2,10.5
2017,NUTS,2010,BE34,2,13.2
2018,NUTS,2010,BE34,2,11.6
2019,NUTS,2010,BE34,2,11.5
2020,NUTS,2010,BE34,2,12.3
2011,NUTS,2010,BE35,2,12.9
2012,NUTS,2010,BE35,2,14.3
2013,NUTS,2010,BE35,2,14.2
2014,NUTS,2010,BE35,2,14.1
2015,NUTS,2010,BE35,2,13.7
2016,NUTS,2010,BE35,2,17.1
2017,NUTS,2010,BE35,2,18.6
2018,NUTS,2010,BE35,2,23.0
2019,NUTS,2010,BE35,2,22.0
2020,NUTS,2010,BE35,2,23.3
2011,NUTS,2010,BG,0,162.9
2012,NUTS,2010,BG,0,160.9
2013,NUTS,2010,BG,0,168.4
2014,NUTS,2010,BG,0,188.2
2015,NUTS,2010,BG,0,197.4
2016,NUTS,2010,BG,0,194.2
2017,NUTS,2010,BG,0,198.3
2018,NUTS,2010,BG,0,207.9
2019,NUTS,2010,BG,0,210.4
2020,NUTS,2010,BG,0,218.4
2011,NUTS,2010,BG3,1,62.3
