year,region_type,region_year_spec,region_id,region_level,hrst_st_rcat_ths_se
2017,NUTS,2010,DE2,1,593.6
2018,NUTS,2010,DE2,1,611.2
2019,NUTS,2010,DE2,1,608.8
2020,NUTS,2010,DE2,1,641.8
2011,NUTS,2010,DE21,2,242.7
2012,NUTS,2010,DE21,2,251.8
2013,NUTS,2010,DE21,2,254.1
2014,NUTS,2010,DE21,2,271.4
2015,NUTS,2010,DE21,2,268.1
2016,NUTS,2010,DE21,2,281.2
2017,NUTS,2010,DE21,2,287.6
2018,NUTS,2010,DE21,2,296.9
2019,NUTS,2010,DE21,2,286.2
2020,NUTS,2010,DE21,2,284.2
2011,NUTS,2010,DE22,2,34.9
2012,NUTS,2010,DE22,2,33.0
2013,NUTS,2010,DE22,2,30.6
2014,NUTS,2010,DE22,2,31.3
2015,NUTS,2010,DE22,2,31.5
2016,NUTS,2010,DE22,2,37.4
2017,NUTS,2010,DE22,2,36.1
2018,NUTS,2010,DE22,2,40.2
2019,NUTS,2010,DE22,2,41.0
2020,NUTS,2010,DE22,2,42.7
2011,NUTS,2010,DE23,2,35.7
2012,NUTS,2010,DE23,2,37.8
2013,NUTS,2010,DE23,2,38.5
2014,NUTS,2010,DE23,2,41.2
2015,NUTS,2010,DE23,2,43.7
2016,NUTS,2010,DE23,2,40.3
2017,NUTS,2010,DE23,2,40.7
2018,NUTS,2010,DE23,2,42.4
2019,NUTS,2010,DE23,2,44.4
2020,NUTS,2010,DE23,2,62.3
2011,NUTS,2010,DE24,2,35.7
2012,NUTS,2010,DE24,2,34.4
2013,NUTS,2010,DE24,2,32.7
2014,NUTS,2010,DE24,2,32.7
2015,NUTS,2010,DE24,2,33.0
2016,NUTS,2010,DE24,2,33.9
2017,NUTS,2010,DE24,2,33.1
2018,NUTS,2010,DE24,2,33.0
2019,NUTS,2010,DE24,2,33.9
2020,NUTS,2010,DE24,2,43.4
2011,NUTS,2010,DE25,2,74.9
2012,NUTS,2010,DE25,2,69.6
2013,NUTS,2010,DE25,2,68.3
2014,NUTS,2010,DE25,2,68.1
2015,NUTS,2010,DE25,2,73.0
2016,NUTS,2010,DE25,2,80.1
2017,NUTS,2010,DE25,2,78.0
2018,NUTS,2010,DE25,2,77.3
2019,NUTS,2010,DE25,2,81.0
2020,NUTS,2010,DE25,2,80.9
2011,NUTS,2010,DE26,2,43.7
2012,NUTS,2010,DE26,2,44.7
2013,NUTS,2010,DE26,2,43.6
2014,NUTS,2010,DE26,2,46.8
2015,NUTS,2010,DE26,2,50.5
2016,NUTS,2010,DE26,2,45.4
2017,NUTS,2010,DE26,2,48.8
2018,NUTS,2010,DE26,2,50.5
2019,NUTS,2010,DE26,2,51.7
2020,NUTS,2010,DE26,2,46.1
2011,NUTS,2010,DE27,2,62.6
2012,NUTS,2010,DE27,2,54.1
2013,NUTS,2010,DE27,2,61.3
2014,NUTS,2010,DE27,2,62.6
2015,NUTS,2010,DE27,2,64.1
2016,NUTS,2010,DE27,2,67.7
2017,NUTS,2010,DE27,2,69.4
2018,NUTS,2010,DE27,2,70.9
2019,NUTS,2010,DE27,2,70.5
2020,NUTS,2010,DE27,2,82.2
2011,NUTS,2010,DE3,1,156.7
2012,NUTS,2010,DE3,1,151.5
2013,NUTS,2010,DE3,1,150.9
2014,NUTS,2010,DE3,1,163.5
2015,NUTS,2010,DE3,1,169.1
2016,NUTS,2010,DE3,1,187.4
2017,NUTS,2010,DE3,1,201.0
2018,NUTS,2010,DE3,1,207.2
2019,NUTS,2010,DE3,1,221.2
2020,NUTS,2010,DE3,1,217.9
2011,NUTS,2010,DE30,2,156.7
2012,NUTS,2010,DE30,2,151.5
2013,NUTS,2010,DE30,2,150.9
2014,NUTS,2010,DE30,2,163.5
2015,NUTS,2010,DE30,2,169.1
2016,NUTS,2010,DE30,2,187.4
2017,NUTS,2010,DE30,2,201.0
2018,NUTS,2010,DE30,2,207.2
2019,NUTS,2010,DE30,2,221.2
2020,NUTS,2010,DE30,2,217.9
2011,NUTS,2010,DE4,1,75.6
2012,NUTS,2010,DE4,1,68.2
2013,NUTS,2010,DE4,1,73.9
2014,NUTS,2010,DE4,1,72.4
2015,NUTS,2010,DE4,1,70.9
2016,NUTS,2010,DE4,1,80.2
2017,NUTS,2010,DE4,1,80.2
2018,NUTS,2010,DE4,1,75.0
2019,NUTS,2010,DE4,1,76.7
2020,NUTS,2010,DE4,1,81.4
2011,NUTS,2010,DE40,2,75.6
2012,NUTS,2010,DE40,2,68.2
2013,NUTS,2010,DE40,2,73.9
2014,NUTS,2010,DE40,2,72.4
2015,NUTS,2010,DE40,2,70.9
2016,NUTS,2010,DE40,2,80.2
2017,NUTS,2010,DE40,2,80.2
2018,NUTS,2010,DE40,2,75.0
2019,NUTS,2010,DE40,2,76.7
2020,NUTS,2010,DE40,2,81.4
2011,NUTS,2010,DE5,1,22.9
2012,NUTS,2010,DE5,1,23.0
2013,NUTS,2010,DE5,1,22.3
2014,NUTS,2010,DE5,1,23.2
2015,NUTS,2010,DE5,1,21.9
2016,NUTS,2010,DE5,1,25.6
2017,NUTS,2010,DE5,1,29.0
2018,NUTS,2010,DE5,1,30.7
2019,NUTS,2010,DE5,1,31.2
2020,NUTS,2010,DE5,1,28.5
2011,NUTS,2010,DE50,2,22.9
2012,NUTS,2010,DE50,2,23.0
2013,NUTS,2010,DE50,2,22.3
2014,NUTS,2010,DE50,2,23.2
2015,NUTS,2010,DE50,2,21.9
2016,NUTS,2010,DE50,2,25.6
2017,NUTS,2010,DE50,2,29.0
2018,NUTS,2010,DE50,2,30.7
2019,NUTS,2010,DE50,2,31.2
2020,NUTS,2010,DE50,2,28.5
2011,NUTS,2010,DE6,1,91.7
2012,NUTS,2010,DE6,1,80.0
2013,NUTS,2010,DE6,1,84.7
2014,NUTS,2010,DE6,1,85.5
2015,NUTS,2010,DE6,1,95.9
2016,NUTS,2010,DE6,1,97.5
2017,NUTS,2010,DE6,1,107.6
2018,NUTS,2010,DE6,1,112.0
2019,NUTS,2010,DE6,1,108.0
2020,NUTS,2010,DE6,1,107.0
2011,NUTS,2010,DE60,2,91.7
2012,NUTS,2010,DE60,2,80.0
2013,NUTS,2010,DE60,2,84.7
2014,NUTS,2010,DE60,2,85.5
2015,NUTS,2010,DE60,2,95.9
2016,NUTS,2010,DE60,2,97.5
2017,NUTS,2010,DE60,2,107.6
2018,NUTS,2010,DE60,2,112.0
2019,NUTS,2010,DE60,2,108.0
2020,NUTS,2010,DE60,2,107.0
2011,NUTS,2010,DE7,1,227.1
2012,NUTS,2010,DE7,1,227.3
2013,NUTS,2010,DE7,1,234.3
2014,NUTS,2010,DE7,1,234.2
2015,NUTS,2010,DE7,1,234.3
2016,NUTS,2010,DE7,1,242.9
2017,NUTS,2010,DE7,1,260.8
2018,NUTS,2010,DE7,1,246.6
2019,NUTS,2010,DE7,1,257.6
2020,NUTS,2010,DE7,1,248.7
2011,NUTS,2010,DE71,2,163.4
2012,NUTS,2010,DE71,2,164.9
2013,NUTS,2010,DE71,2,169.8
2014,NUTS,2010,DE71,2,168.3
2015,NUTS,2010,DE71,2,167.5
2016,NUTS,2010,DE71,2,172.6
2017,NUTS,2010,DE71,2,187.5
2018,NUTS,2010,DE71,2,175.0
2019,NUTS,2010,DE71,2,184.7
2020,NUTS,2010,DE71,2,174.5
2011,NUTS,2010,DE72,2,31.9
2012,NUTS,2010,DE72,2,29.9
2013,NUTS,2010,DE72,2,31.1
2014,NUTS,2010,DE72,2,33.8
2015,NUTS,2010,DE72,2,35.2
2016,NUTS,2010,DE72,2,32.3
2017,NUTS,2010,DE72,2,30.7
2018,NUTS,2010,DE72,2,30.4
2019,NUTS,2010,DE72,2,33.3
2020,NUTS,2010,DE72,2,34.7
2011,NUTS,2010,DE73,2,31.9
2012,NUTS,2010,DE73,2,32.5
2013,NUTS,2010,DE73,2,33.5
2014,NUTS,2010,DE73,2,32.1
2015,NUTS,2010,DE73,2,31.5
2016,NUTS,2010,DE73,2,38.0
2017,NUTS,2010,DE73,2,42.6
2018,NUTS,2010,DE73,2,41.2
2019,NUTS,2010,DE73,2,39.5
2020,NUTS,2010,DE73,2,39.5
2011,NUTS,2010,DE8,1,44.8
2012,NUTS,2010,DE8,1,34.1
2013,NUTS,2010,DE8,1,36.7
2014,NUTS,2010,DE8,1,40.9
2015,NUTS,2010,DE8,1,46.5
2016,NUTS,2010,DE8,1,46.4
2017,NUTS,2010,DE8,1,42.8
2018,NUTS,2010,DE8,1,46.0
2019,NUTS,2010,DE8,1,45.2
2020,NUTS,2010,DE8,1,40.1
2011,NUTS,2010,DE80,2,44.8
2012,NUTS,2010,DE80,2,34.1
2013,NUTS,2010,DE80,2,36.7
2014,NUTS,2010,DE80,2,40.9
2015,NUTS,2010,DE80,2,46.5
2016,NUTS,2010,DE80,2,46.4
2017,NUTS,2010,DE80,2,42.8
2018,NUTS,2010,DE80,2,46.0
2019,NUTS,2010,DE80,2,45.2
2020,NUTS,2010,DE80,2,40.1
2011,NUTS,2010,DE9,1,253.2
2012,NUTS,2010,DE9,1,241.1
2013,NUTS,2010,DE9,1,244.2
2014,NUTS,2010,DE9,1,248.1
2015,NUTS,2010,DE9,1,258.5
2016,NUTS,2010,DE9,1,260.9
2017,NUTS,2010,DE9,1,264.9
2018,NUTS,2010,DE9,1,265.5
2019,NUTS,2010,DE9,1,272.6
2020,NUTS,2010,DE9,1,298.4
2011,NUTS,2010,DE91,2,56.6
2012,NUTS,2010,DE91,2,56.2
2013,NUTS,2010,DE91,2,57.9
2014,NUTS,2010,DE91,2,59.4
2015,NUTS,2010,DE91,2,63.3
2016,NUTS,2010,DE91,2,59.8
2017,NUTS,2010,DE91,2,60.9
2018,NUTS,2010,DE91,2,64.8
2019,NUTS,2010,DE91,2,66.9
2020,NUTS,2010,DE91,2,74.5
2011,NUTS,2010,DE92,2,78.6
2012,NUTS,2010,DE92,2,72.6
2013,NUTS,2010,DE92,2,74.4
2014,NUTS,2010,DE92,2,76.7
2015,NUTS,2010,DE92,2,77.3
2016,NUTS,2010,DE92,2,81.8
2017,NUTS,2010,DE92,2,81.1
2018,NUTS,2010,DE92,2,80.7
2019,NUTS,2010,DE92,2,81.0
2020,NUTS,2010,DE92,2,99.5
2011,NUTS,2010,DE93,2,57.1
2012,NUTS,2010,DE93,2,50.9
2013,NUTS,2010,DE93,2,48.1
2014,NUTS,2010,DE93,2,50.9
2015,NUTS,2010,DE93,2,54.9
2016,NUTS,2010,DE93,2,53.1
2017,NUTS,2010,DE93,2,55.8
2018,NUTS,2010,DE93,2,52.9
2019,NUTS,2010,DE93,2,54.7
2020,NUTS,2010,DE93,2,52.7
2011,NUTS,2010,DE94,2,60.9
2012,NUTS,2010,DE94,2,61.4
2013,NUTS,2010,DE94,2,63.8
2014,NUTS,2010,DE94,2,61.1
2015,NUTS,2010,DE94,2,63.1
2016,NUTS,2010,DE94,2,66.2
2017,NUTS,2010,DE94,2,67.2
2018,NUTS,2010,DE94,2,67.1
2019,NUTS,2010,DE94,2,69.9
2020,NUTS,2010,DE94,2,71.7
2011,NUTS,2010,DEA,1,577.6
2012,NUTS,2010,DEA,1,543.0
2013,NUTS,2010,DEA,1,547.4
2014,NUTS,2010,DEA,1,561.9
2015,NUTS,2010,DEA,1,571.3
2016,NUTS,2010,DEA,1,632.1
2017,NUTS,2010,DEA,1,635.5
2018,NUTS,2010,DEA,1,630.2
2019,NUTS,2010,DEA,1,657.1
2020,NUTS,2010,DEA,1,688.7
2011,NUTS,2010,DEA1,2,169.4
2012,NUTS,2010,DEA1,2,153.6
2013,NUTS,2010,DEA1,2,161.2
2014,NUTS,2010,DEA1,2,163.7
2015,NUTS,2010,DEA1,2,164.3
2016,NUTS,2010,DEA1,2,185.7
2017,NUTS,2010,DEA1,2,176.5
2018,NUTS,2010,DEA1,2,180.0
2019,NUTS,2010,DEA1,2,191.8
2020,NUTS,2010,DEA1,2,208.7
2011,NUTS,2010,DEA2,2,166.1
2012,NUTS,2010,DEA2,2,161.9
2013,NUTS,2010,DEA2,2,158.1
2014,NUTS,2010,DEA2,2,162.9
2015,NUTS,2010,DEA2,2,164.6
2016,NUTS,2010,DEA2,2,184.6
2017,NUTS,2010,DEA2,2,192.9
2018,NUTS,2010,DEA2,2,192.0
2019,NUTS,2010,DEA2,2,193.6
2020,NUTS,2010,DEA2,2,189.4
2011,NUTS,2010,DEA3,2,72.0
2012,NUTS,2010,DEA3,2,68.0
2013,NUTS,2010,DEA3,2,73.3
2014,NUTS,2010,DEA3,2,71.8
2015,NUTS,2010,DEA3,2,73.0
2016,NUTS,2010,DEA3,2,82.4
2017,NUTS,2010,DEA3,2,82.7
2018,NUTS,2010,DEA3,2,82.7
2019,NUTS,2010,DEA3,2,86.4
2020,NUTS,2010,DEA3,2,100.3
2011,NUTS,2010,DEA4,2,59.8
2012,NUTS,2010,DEA4,2,56.9
2013,NUTS,2010,DEA4,2,56.3
2014,NUTS,2010,DEA4,2,57.9
2015,NUTS,2010,DEA4,2,62.1
2016,NUTS,2010,DEA4,2,66.6
2017,NUTS,2010,DEA4,2,68.9
2018,NUTS,2010,DEA4,2,64.6
2019,NUTS,2010,DEA4,2,66.6
2020,NUTS,2010,DEA4,2,69.9
2011,NUTS,2010,DEA5,2,110.4
2012,NUTS,2010,DEA5,2,102.5
2013,NUTS,2010,DEA5,2,98.5
2014,NUTS,2010,DEA5,2,105.5
2015,NUTS,2010,DEA5,2,107.3
2016,NUTS,2010,DEA5,2,112.7
2017,NUTS,2010,DEA5,2,114.5
2018,NUTS,2010,DEA5,2,110.8
2019,NUTS,2010,DEA5,2,118.6
2020,NUTS,2010,DEA5,2,120.4
2011,NUTS,2010,DEB,1,133.9
2012,NUTS,2010,DEB,1,131.8
2013,NUTS,2010,DEB,1,133.7
2014,NUTS,2010,DEB,1,129.0
2015,NUTS,2010,DEB,1,135.8
2016,NUTS,2010,DEB,1,135.2
2017,NUTS,2010,DEB,1,144.1
2018,NUTS,2010,DEB,1,140.9
2019,NUTS,2010,DEB,1,151.6
2020,NUTS,2010,DEB,1,156.8
2011,NUTS,2010,DEB1,2,43.2
2012,NUTS,2010,DEB1,2,41.3
2013,NUTS,2010,DEB1,2,39.2
2014,NUTS,2010,DEB1,2,37.6
2015,NUTS,2010,DEB1,2,43.8
2016,NUTS,2010,DEB1,2,44.9
2017,NUTS,2010,DEB1,2,47.3
2018,NUTS,2010,DEB1,2,47.7
2019,NUTS,2010,DEB1,2,50.7
2020,NUTS,2010,DEB1,2,44.3
2011,NUTS,2010,DEB2,2,15.7
2012,NUTS,2010,DEB2,2,18.6
2013,NUTS,2010,DEB2,2,16.2
2014,NUTS,2010,DEB2,2,15.4
2015,NUTS,2010,DEB2,2,13.4
2016,NUTS,2010,DEB2,2,13.3
2017,NUTS,2010,DEB2,2,16.3
2018,NUTS,2010,DEB2,2,15.2
2019,NUTS,2010,DEB2,2,16.8
2011,NUTS,2010,DEB3,2,74.9
2012,NUTS,2010,DEB3,2,72.0
2013,NUTS,2010,DEB3,2,78.2
2014,NUTS,2010,DEB3,2,75.9
2015,NUTS,2010,DEB3,2,78.5
2016,NUTS,2010,DEB3,2,77.0
2017,NUTS,2010,DEB3,2,80.6
2018,NUTS,2010,DEB3,2,78.0
2019,NUTS,2010,DEB3,2,84.1
2020,NUTS,2010,DEB3,2,93.5
2011,NUTS,2010,DEC,1,31.9
2012,NUTS,2010,DEC,1,30.2
2013,NUTS,2010,DEC,1,30.5
2014,NUTS,2010,DEC,1,25.4
2015,NUTS,2010,DEC,1,29.6
2016,NUTS,2010,DEC,1,32.4
2017,NUTS,2010,DEC,1,32.4
2018,NUTS,2010,DEC,1,31.3
2019,NUTS,2010,DEC,1,33.5
2020,NUTS,2010,DEC,1,28.1
2011,NUTS,2010,DEC0,2,31.9
2012,NUTS,2010,DEC0,2,30.2
2013,NUTS,2010,DEC0,2,30.5
2014,NUTS,2010,DEC0,2,25.4
2015,NUTS,2010,DEC0,2,29.6
2016,NUTS,2010,DEC0,2,32.4
2017,NUTS,2010,DEC0,2,32.4
2018,NUTS,2010,DEC0,2,31.3
2019,NUTS,2010,DEC0,2,33.5
2020,NUTS,2010,DEC0,2,28.1
2011,NUTS,2010,DED,1,140.9
2012,NUTS,2010,DED,1,133.3
2013,NUTS,2010,DED,1,138.5
2014,NUTS,2010,DED,1,134.5
2015,NUTS,2010,DED,1,143.1
2016,NUTS,2010,DED,1,148.7
2017,NUTS,2010,DED,1,150.7
2018,NUTS,2010,DED,1,154.6
2019,NUTS,2010,DED,1,151.2
2020,NUTS,2010,DED,1,148.6
2011,NUTS,2010,DED2,2,60.9
2012,NUTS,2010,DED2,2,59.1
2013,NUTS,2010,DED2,2,61.2
2014,NUTS,2010,DED2,2,58.3
2015,NUTS,2010,DED2,2,65.2
2016,NUTS,2010,DED2,2,68.7
2017,NUTS,2010,DED2,2,69.1
2018,NUTS,2010,DED2,2,67.8
2019,NUTS,2010,DED2,2,67.3
2020,NUTS,2010,DED2,2,67.6
2011,NUTS,2010,DED4,2,46.2
2012,NUTS,2010,DED4,2,42.0
2013,NUTS,2010,DED4,2,41.2
2014,NUTS,2010,DED4,2,40.0
2015,NUTS,2010,DED4,2,40.1
2016,NUTS,2010,DED4,2,37.7
2017,NUTS,2010,DED4,2,39.3
2018,NUTS,2010,DED4,2,41.6
2019,NUTS,2010,DED4,2,39.5
2020,NUTS,2010,DED4,2,36.7
2011,NUTS,2010,DED5,2,33.7
2012,NUTS,2010,DED5,2,32.2
2013,NUTS,2010,DED5,2,36.1
2014,NUTS,2010,DED5,2,36.1
2015,NUTS,2010,DED5,2,37.8
2016,NUTS,2010,DED5,2,42.3
2017,NUTS,2010,DED5,2,42.2
2018,NUTS,2010,DED5,2,45.3
2019,NUTS,2010,DED5,2,44.5
2020,NUTS,2010,DED5,2,44.2
2011,NUTS,2010,DEE,1,56.7
2012,NUTS,2010,DEE,1,55.9
2013,NUTS,2010,DEE,1,58.8
2014,NUTS,2010,DEE,1,59.6
2015,NUTS,2010,DEE,1,60.4
2016,NUTS,2010,DEE,1,57.5
2017,NUTS,2010,DEE,1,51.1
2018,NUTS,2010,DEE,1,55.4
2019,NUTS,2010,DEE,1,53.6
2020,NUTS,2010,DEE,1,61.2
2011,NUTS,2010,DEE0,2,56.7
2012,NUTS,2010,DEE0,2,55.9
2013,NUTS,2010,DEE0,2,58.8
2014,NUTS,2010,DEE0,2,59.6
2015,NUTS,2010,DEE0,2,60.4
2016,NUTS,2010,DEE0,2,57.5
2017,NUTS,2010,DEE0,2,51.1
2018,NUTS,2010,DEE0,2,55.4
2019,NUTS,2010,DEE0,2,53.6
2020,NUTS,2010,DEE0,2,61.2
2011,NUTS,2010,DEF,1,92.5
2012,NUTS,2010,DEF,1,86.4
2013,NUTS,2010,DEF,1,89.1
2014,NUTS,2010,DEF,1,96.0
2015,NUTS,2010,DEF,1,99.6
2016,NUTS,2010,DEF,1,100.0
2017,NUTS,2010,DEF,1,98.4
2018,NUTS,2010,DEF,1,102.0
2019,NUTS,2010,DEF,1,97.7
2020,NUTS,2010,DEF,1,111.2
2011,NUTS,2010,DEF0,2,92.5
2012,NUTS,2010,DEF0,2,86.4
2013,NUTS,2010,DEF0,2,89.1
2014,NUTS,2010,DEF0,2,96.0
2015,NUTS,2010,DEF0,2,99.6
2016,NUTS,2010,DEF0,2,100.0
2017,NUTS,2010,DEF0,2,98.4
2018,NUTS,2010,DEF0,2,102.0
2019,NUTS,2010,DEF0,2,97.7
2020,NUTS,2010,DEF0,2,111.2
2011,NUTS,2010,DEG,1,70.3
2012,NUTS,2010,DEG,1,69.3
2013,NUTS,2010,DEG,1,65.3
2014,NUTS,2010,DEG,1,63.8
2015,NUTS,2010,DEG,1,59.4
2016,NUTS,2010,DEG,1,69.9
2017,NUTS,2010,DEG,1,64.1
2018,NUTS,2010,DEG,1,61.6
2019,NUTS,2010,DEG,1,65.1
2020,NUTS,2010,DEG,1,54.8
2011,NUTS,2010,DEG0,2,70.3
2012,NUTS,2010,DEG0,2,69.3
2013,NUTS,2010,DEG0,2,65.3
2014,NUTS,2010,DEG0,2,63.8
2015,NUTS,2010,DEG0,2,59.4
2016,NUTS,2010,DEG0,2,69.9
2017,NUTS,2010,DEG0,2,64.1
2018,NUTS,2010,DEG0,2,61.6
2019,NUTS,2010,DEG0,2,65.1
2020,NUTS,2010,DEG0,2,54.8
2011,NUTS,2010,DK,0,248.7
2012,NUTS,2010,DK,0,257.3
2013,NUTS,2010,DK,0,264.0
2014,NUTS,2010,DK,0,262.9
2015,NUTS,2010,DK,0,261.4
2016,NUTS,2010,DK,0,278.3
2017,NUTS,2010,DK,0,287.4
2018,NUTS,2010,DK,0,300.8
2019,NUTS,2010,DK,0,313.8
2020,NUTS,2010,DK,0,318.5
2011,NUTS,2010,DK0,1,248.7
2012,NUTS,2010,DK0,1,257.3
2013,NUTS,2010,DK0,1,264.0
2014,NUTS,2010,DK0,1,262.9
2015,NUTS,2010,DK0,1,261.4
2016,NUTS,2010,DK0,1,278.3
2017,NUTS,2010,DK0,1,287.4
2018,NUTS,2010,DK0,1,300.8
2019,NUTS,2010,DK0,1,313.8
2020,NUTS,2010,DK0,1,318.5
2011,NUTS,2010,DK01,2,110.8
2012,NUTS,2010,DK01,2,115.2
2013,NUTS,2010,DK01,2,118.1
2014,NUTS,2010,DK01,2,117.5
2015,NUTS,2010,DK01,2,115.2
2016,NUTS,2010,DK01,2,122.5
2017,NUTS,2010,DK01,2,126.2
2018,NUTS,2010,DK01,2,129.4
2019,NUTS,2010,DK01,2,140.7
2020,NUTS,2010,DK01,2,140.7
2011,NUTS,2010,DK02,2,29.0
2012,NUTS,2010,DK02,2,29.0
2013,NUTS,2010,DK02,2,31.7
2014,NUTS,2010,DK02,2,29.9
2015,NUTS,2010,DK02,2,29.4
2016,NUTS,2010,DK02,2,29.9
2017,NUTS,2010,DK02,2,31.5
2018,NUTS,2010,DK02,2,34.3
2019,NUTS,2010,DK02,2,33.4
2020,NUTS,2010,DK02,2,34.6
2011,NUTS,2010,DK03,2,39.5
2012,NUTS,2010,DK03,2,41.6
2013,NUTS,2010,DK03,2,41.7
2014,NUTS,2010,DK03,2,44.2
2015,NUTS,2010,DK03,2,44.5
2016,NUTS,2010,DK03,2,47.4
2017,NUTS,2010,DK03,2,47.6
2018,NUTS,2010,DK03,2,47.3
2019,NUTS,2010,DK03,2,49.5
2020,NUTS,2010,DK03,2,49.5
2011,NUTS,2010,DK04,2,51.5
2012,NUTS,2010,DK04,2,51.6
2013,NUTS,2010,DK04,2,53.5
2014,NUTS,2010,DK04,2,51.2
2015,NUTS,2010,DK04,2,52.0
2016,NUTS,2010,DK04,2,57.2
2017,NUTS,2010,DK04,2,59.5
2018,NUTS,2010,DK04,2,64.8
2019,NUTS,2010,DK04,2,67.0
2020,NUTS,2010,DK04,2,70.0
2011,NUTS,2010,DK05,2,18.0
2012,NUTS,2010,DK05,2,19.9
2013,NUTS,2010,DK05,2,19.1
2014,NUTS,2010,DK05,2,20.1
2015,NUTS,2010,DK05,2,20.3
2016,NUTS,2010,DK05,2,21.2
2017,NUTS,2010,DK05,2,22.6
2018,NUTS,2010,DK05,2,25.0
2019,NUTS,2010,DK05,2,23.3
2020,NUTS,2010,DK05,2,23.7
2011,NUTS,2010,EA19,2,9516.8
2012,NUTS,2010,EA19,2,9585.6
2013,NUTS,2010,EA19,2,9717.2
2014,NUTS,2010,EA19,2,9754.9
2015,NUTS,2010,EA19,2,9972.6
2016,NUTS,2010,EA19,2,10384.8
2017,NUTS,2010,EA19,2,10684.8
2018,NUTS,2010,EA19,2,11095.1
2019,NUTS,2010,EA19,2,11591.0
2020,NUTS,2010,EA19,2,12107.5
2011,NUTS,2010,EE,0,37.5
2012,NUTS,2010,EE,0,37.2
2013,NUTS,2010,EE,0,40.1
2014,NUTS,2010,EE,0,39.7
2015,NUTS,2010,EE,0,43.5
2016,NUTS,2010,EE,0,45.5
2017,NUTS,2010,EE,0,45.8
2018,NUTS,2010,EE,0,46.8
2019,NUTS,2010,EE,0,54.3
2020,NUTS,2010,EE,0,55.4
2011,NUTS,2010,EE0,1,37.5
2012,NUTS,2010,EE0,1,37.2
2013,NUTS,2010,EE0,1,40.1
2014,NUTS,2010,EE0,1,39.7
2015,NUTS,2010,EE0,1,43.5
2016,NUTS,2010,EE0,1,45.5
2017,NUTS,2010,EE0,1,45.8
2018,NUTS,2010,EE0,1,46.8
2019,NUTS,2010,EE0,1,54.3
2020,NUTS,2010,EE0,1,55.4
2011,NUTS,2010,EE00,2,37.5
2012,NUTS,2010,EE00,2,37.2
2013,NUTS,2010,EE00,2,40.1
2014,NUTS,2010,EE00,2,39.7
2015,NUTS,2010,EE00,2,43.5
2016,NUTS,2010,EE00,2,45.5
2017,NUTS,2010,EE00,2,45.8
2018,NUTS,2010,EE00,2,46.8
2019,NUTS,2010,EE00,2,54.3
2020,NUTS,2010,EE00,2,55.4
2011,NUTS,2010,EL,0,229.5
2012,NUTS,2010,EL,0,230.0
2013,NUTS,2010,EL,0,239.4
2014,NUTS,2010,EL,0,226.6
2015,NUTS,2010,EL,0,223.5
2016,NUTS,2010,EL,0,244.6
2017,NUTS,2010,EL,0,257.5
2018,NUTS,2010,EL,0,255.6
2019,NUTS,2010,EL,0,260.1
2020,NUTS,2010,EL,0,281.3
2011,NUTS,2010,EL3,1,117.4
2012,NUTS,2010,EL3,1,118.5
2013,NUTS,2010,EL3,1,123.2
2014,NUTS,2010,EL3,1,118.4
2015,NUTS,2010,EL3,1,112.3
2016,NUTS,2010,EL3,1,126.4
2017,NUTS,2010,EL3,1,131.1
2018,NUTS,2010,EL3,1,124.0
2019,NUTS,2010,EL3,1,120.1
2020,NUTS,2010,EL3,1,127.5
2011,NUTS,2010,EL30,2,117.4
2012,NUTS,2010,EL30,2,118.5
2013,NUTS,2010,EL30,2,123.2
2014,NUTS,2010,EL30,2,118.4
2015,NUTS,2010,EL30,2,112.3
2016,NUTS,2010,EL30,2,126.4
2017,NUTS,2010,EL30,2,131.1
2018,NUTS,2010,EL30,2,124.0
2019,NUTS,2010,EL30,2,120.1
2020,NUTS,2010,EL30,2,127.5
2011,NUTS,2010,EL4,1,16.1
2012,NUTS,2010,EL4,1,18.3
2013,NUTS,2010,EL4,1,18.0
2014,NUTS,2010,EL4,1,15.3
2015,NUTS,2010,EL4,1,14.2
2016,NUTS,2010,EL4,1,15.8
2017,NUTS,2010,EL4,1,16.6
2018,NUTS,2010,EL4,1,15.3
2019,NUTS,2010,EL4,1,18.6
2020,NUTS,2010,EL4,1,21.9
2011,NUTS,2010,EL41,2,2.6
2012,NUTS,2010,EL41,2,3.2
2013,NUTS,2010,EL41,2,3.8
2014,NUTS,2010,EL41,2,3.3
2015,NUTS,2010,EL41,2,2.3
2016,NUTS,2010,EL41,2,3.3
2017,NUTS,2010,EL41,2,3.6
2018,NUTS,2010,EL41,2,2.8
2019,NUTS,2010,EL41,2,3.4
2020,NUTS,2010,EL41,2,3.7
2011,NUTS,2010,EL42,2,5.2
2012,NUTS,2010,EL42,2,5.8
2013,NUTS,2010,EL42,2,4.5
2014,NUTS,2010,EL42,2,3.1
2015,NUTS,2010,EL42,2,4.5
2016,NUTS,2010,EL42,2,3.7
2017,NUTS,2010,EL42,2,3.1
2018,NUTS,2010,EL42,2,3.0
2019,NUTS,2010,EL42,2,3.6
2020,NUTS,2010,EL42,2,4.5
2011,NUTS,2010,EL43,2,8.3
2012,NUTS,2010,EL43,2,9.3
2013,NUTS,2010,EL43,2,9.7
2014,NUTS,2010,EL43,2,8.9
2015,NUTS,2010,EL43,2,7.3
2016,NUTS,2010,EL43,2,8.7
2017,NUTS,2010,EL43,2,9.9
