year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_t_hes_total_pc_emp_fte
1998,NUTS,2010,AT,0,0.2373
2002,NUTS,2010,AT,0,0.2683
2004,NUTS,2010,AT,0,0.315
2005,NUTS,2010,AT,0,0.3329
2006,NUTS,2010,AT,0,0.3349
2007,NUTS,2010,AT,0,0.3523
2008,NUTS,2010,AT,0,0.3775
2009,NUTS,2010,AT,0,0.3852
2010,NUTS,2010,AT,0,0.4026
2011,NUTS,2010,AT,0,0.4042
2012,NUTS,2010,AT,0,0.4156
2013,NUTS,2010,AT,0,0.4179
2014,NUTS,2010,AT,0,0.4333
2015,NUTS,2010,AT,0,0.4347
2016,NUTS,2010,AT,0,0.422
2017,NUTS,2010,AT,0,0.4225
2018,NUTS,2010,AT,0,0.4399
2019,NUTS,2010,AT,0,0.4432
2020,NUTS,2010,AT,0,0.4631
2002,NUTS,2010,AT1,1,
2004,NUTS,2010,AT1,1,
2006,NUTS,2010,AT1,1,
2007,NUTS,2010,AT1,1,
2009,NUTS,2010,AT1,1,
2011,NUTS,2010,AT1,1,0.5138
2013,NUTS,2010,AT1,1,0.5362
2015,NUTS,2010,AT1,1,
2017,NUTS,2010,AT1,1,
2019,NUTS,2010,AT1,1,0.5619
2002,NUTS,2010,AT11,2,
2004,NUTS,2010,AT11,2,
2006,NUTS,2010,AT11,2,
2007,NUTS,2010,AT11,2,
2009,NUTS,2010,AT11,2,
2011,NUTS,2010,AT11,2,0.0193
2013,NUTS,2010,AT11,2,0.0302
2015,NUTS,2010,AT11,2,
2017,NUTS,2010,AT11,2,
2019,NUTS,2010,AT11,2,0.0535
2002,NUTS,2010,AT12,2,0.0056
2004,NUTS,2010,AT12,2,0.0089
2006,NUTS,2010,AT12,2,0.0168
2007,NUTS,2010,AT12,2,0.019
2009,NUTS,2010,AT12,2,0.0279
2011,NUTS,2010,AT12,2,0.0372
2013,NUTS,2010,AT12,2,0.0729
2015,NUTS,2010,AT12,2,0.0851
2017,NUTS,2010,AT12,2,0.124
2019,NUTS,2010,AT12,2,0.1611
2002,NUTS,2010,AT13,2,0.762
2004,NUTS,2010,AT13,2,0.9021
2006,NUTS,2010,AT13,2,0.9128
2007,NUTS,2010,AT13,2,0.9742
2009,NUTS,2010,AT13,2,1.043
2011,NUTS,2010,AT13,2,1.0808
2013,NUTS,2010,AT13,2,1.0767
2015,NUTS,2010,AT13,2,1.1014
2017,NUTS,2010,AT13,2,1.0136
2019,NUTS,2010,AT13,2,1.0177
2002,NUTS,2010,AT2,1,
2004,NUTS,2010,AT2,1,
2006,NUTS,2010,AT2,1,0.3519
2007,NUTS,2010,AT2,1,0.3597
2009,NUTS,2010,AT2,1,0.3987
2011,NUTS,2010,AT2,1,0.4165
2013,NUTS,2010,AT2,1,0.4268
2015,NUTS,2010,AT2,1,
2017,NUTS,2010,AT2,1,0.4543
2019,NUTS,2010,AT2,1,0.4675
2002,NUTS,2010,AT21,2,
2004,NUTS,2010,AT21,2,
2006,NUTS,2010,AT21,2,0.111
2007,NUTS,2010,AT21,2,0.1107
2009,NUTS,2010,AT21,2,0.1226
