year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_rse_t_pc_act_fte
2017,NUTS,2010,BG41,2,0.1758
2018,NUTS,2010,BG41,2,0.1613
2019,NUTS,2010,BG41,2,0.1261
2013,NUTS,2010,BG42,2,0.0636
2019,NUTS,2010,BG42,2,0.0848
2012,NUTS,2010,CH,0,0.4246
2015,NUTS,2010,CH,0,0.465
2017,NUTS,2010,CH,0,0.4848
2019,NUTS,2010,CH,0,0.5066
2011,NUTS,2010,CY,0,0.133
2012,NUTS,2010,CY,0,0.1236
2013,NUTS,2010,CY,0,0.1292
2014,NUTS,2010,CY,0,0.1264
2015,NUTS,2010,CY,0,0.128
2016,NUTS,2010,CY,0,0.1291
2017,NUTS,2010,CY,0,0.1442
2018,NUTS,2010,CY,0,0.1521
2019,NUTS,2010,CY,0,0.1646
2020,NUTS,2010,CY,0,0.1663
2011,NUTS,2010,CZ,0,0.1999
2012,NUTS,2010,CZ,0,0.2222
2013,NUTS,2010,CZ,0,0.2109
2014,NUTS,2010,CZ,0,0.2106
2015,NUTS,2010,CZ,0,0.2184
2016,NUTS,2010,CZ,0,0.2011
2017,NUTS,2010,CZ,0,0.2072
2018,NUTS,2010,CZ,0,0.2279
2019,NUTS,2010,CZ,0,0.2408
2020,NUTS,2010,CZ,0,0.2552
2011,NUTS,2010,CZ0,1,0.197
2012,NUTS,2010,CZ0,1,0.2187
2013,NUTS,2010,CZ0,1,0.2072
2014,NUTS,2010,CZ0,1,0.207
2015,NUTS,2010,CZ0,1,0.2139
2016,NUTS,2010,CZ0,1,0.1965
2017,NUTS,2010,CZ0,1,0.2023
2018,NUTS,2010,CZ0,1,0.2216
2019,NUTS,2010,CZ0,1,0.234
2020,NUTS,2010,CZ0,1,0.2482
2011,NUTS,2010,CZ01,2,0.6639
2012,NUTS,2010,CZ01,2,0.6318
2013,NUTS,2010,CZ01,2,0.7118
2014,NUTS,2010,CZ01,2,0.6636
2015,NUTS,2010,CZ01,2,0.6653
2016,NUTS,2010,CZ01,2,0.5514
2017,NUTS,2010,CZ01,2,0.6125
2018,NUTS,2010,CZ01,2,0.6926
2019,NUTS,2010,CZ01,2,0.7593
2020,NUTS,2010,CZ01,2,0.7913
2011,NUTS,2010,CZ02,2,0.0121
2012,NUTS,2010,CZ02,2,0.0135
2013,NUTS,2010,CZ02,2,0.0137
2014,NUTS,2010,CZ02,2,0.0194
2015,NUTS,2010,CZ02,2,0.0244
2016,NUTS,2010,CZ02,2,0.0195
2017,NUTS,2010,CZ02,2,0.0231
2018,NUTS,2010,CZ02,2,0.0246
2019,NUTS,2010,CZ02,2,0.0274
2020,NUTS,2010,CZ02,2,0.0264
2011,NUTS,2010,CZ03,2,0.1624
2012,NUTS,2010,CZ03,2,0.1517
2013,NUTS,2010,CZ03,2,0.1706
2014,NUTS,2010,CZ03,2,0.1841
2015,NUTS,2010,CZ03,2,0.1661
2016,NUTS,2010,CZ03,2,0.1613
2017,NUTS,2010,CZ03,2,0.1695
2018,NUTS,2010,CZ03,2,0.1804
2019,NUTS,2010,CZ03,2,0.1862
2020,NUTS,2010,CZ03,2,0.1957
2011,NUTS,2010,CZ04,2,0.0241
2012,NUTS,2010,CZ04,2,0.0285
2013,NUTS,2010,CZ04,2,0.0365
2014,NUTS,2010,CZ04,2,0.0366
2015,NUTS,2010,CZ04,2,0.0419
2016,NUTS,2010,CZ04,2,0.0383
2017,NUTS,2010,CZ04,2,0.0455
2018,NUTS,2010,CZ04,2,0.056
2019,NUTS,2010,CZ04,2,0.0407
2020,NUTS,2010,CZ04,2,0.033
2011,NUTS,2010,CZ05,2,0.1373
2012,NUTS,2010,CZ05,2,0.1167
2013,NUTS,2010,CZ05,2,0.1119
2014,NUTS,2010,CZ05,2,0.1165
2015,NUTS,2010,CZ05,2,0.1217
2016,NUTS,2010,CZ05,2,0.1173
2017,NUTS,2010,CZ05,2,0.1271
2018,NUTS,2010,CZ05,2,0.137
2019,NUTS,2010,CZ05,2,0.1448
2020,NUTS,2010,CZ05,2,0.1471
2011,NUTS,2010,CZ06,2,0.2215
2012,NUTS,2010,CZ06,2,0.3164
2013,NUTS,2010,CZ06,2,0.2247
2014,NUTS,2010,CZ06,2,0.2273
2015,NUTS,2010,CZ06,2,0.244
2016,NUTS,2010,CZ06,2,0.2414
2017,NUTS,2010,CZ06,2,0.2426
2018,NUTS,2010,CZ06,2,0.2478
2019,NUTS,2010,CZ06,2,0.2371
2020,NUTS,2010,CZ06,2,0.2867
2011,NUTS,2010,CZ07,2,0.1334
2012,NUTS,2010,CZ07,2,0.1801
2013,NUTS,2010,CZ07,2,0.2089
2014,NUTS,2010,CZ07,2,0.2234
2015,NUTS,2010,CZ07,2,0.2455
2016,NUTS,2010,CZ07,2,0.2454
2017,NUTS,2010,CZ07,2,0.1806
2018,NUTS,2010,CZ07,2,0.186
2019,NUTS,2010,CZ07,2,0.2189
2020,NUTS,2010,CZ07,2,0.2138
2011,NUTS,2010,CZ08,2,0.1807
2012,NUTS,2010,CZ08,2,0.254
2013,NUTS,2010,CZ08,2,0.1459
2014,NUTS,2010,CZ08,2,0.1593
2015,NUTS,2010,CZ08,2,0.1719
2016,NUTS,2010,CZ08,2,0.1646
2017,NUTS,2010,CZ08,2,0.1667
2018,NUTS,2010,CZ08,2,0.1892
2019,NUTS,2010,CZ08,2,0.1924
2020,NUTS,2010,CZ08,2,0.2156
2011,NUTS,2010,DE,0,0.2359
2012,NUTS,2010,DE,0,0.2438
2013,NUTS,2010,DE,0,0.2469
2014,NUTS,2010,DE,0,0.2504
2015,NUTS,2010,DE,0,0.2549
2016,NUTS,2010,DE,0,0.2662
2017,NUTS,2010,DE,0,0.2706
2018,NUTS,2010,DE,0,0.2771
2019,NUTS,2010,DE,0,0.274
2020,NUTS,2010,DE,0,0.2878
2011,NUTS,2010,DE1,1,0.2356
2012,NUTS,2010,DE1,1,0.2508
2013,NUTS,2010,DE1,1,0.2509
2014,NUTS,2010,DE1,1,0.2501
2015,NUTS,2010,DE1,1,0.2463
2016,NUTS,2010,DE1,1,0.263
2017,NUTS,2010,DE1,1,0.267
2018,NUTS,2010,DE1,1,0.2703
2019,NUTS,2010,DE1,1,0.2631
2011,NUTS,2010,DE11,2,0.1377
2012,NUTS,2010,DE11,2,0.1505
2013,NUTS,2010,DE11,2,0.1513
2014,NUTS,2010,DE11,2,0.147
2015,NUTS,2010,DE11,2,0.1468
2016,NUTS,2010,DE11,2,0.1638
2017,NUTS,2010,DE11,2,0.1647
2018,NUTS,2010,DE11,2,0.1623
2019,NUTS,2010,DE11,2,0.1581
2011,NUTS,2010,DE12,2,0.3638
2012,NUTS,2010,DE12,2,0.3765
2013,NUTS,2010,DE12,2,0.3718
2014,NUTS,2010,DE12,2,0.37
2015,NUTS,2010,DE12,2,0.3466
2016,NUTS,2010,DE12,2,0.3779
2017,NUTS,2010,DE12,2,0.38
2018,NUTS,2010,DE12,2,0.3886
2019,NUTS,2010,DE12,2,0.3645
2011,NUTS,2010,DE13,2,0.242
2012,NUTS,2010,DE13,2,0.246
2013,NUTS,2010,DE13,2,0.2525
2014,NUTS,2010,DE13,2,0.253
2015,NUTS,2010,DE13,2,0.259
2016,NUTS,2010,DE13,2,0.2695
2017,NUTS,2010,DE13,2,0.2689
2018,NUTS,2010,DE13,2,0.2727
2019,NUTS,2010,DE13,2,0.273
2011,NUTS,2010,DE14,2,0.251
2012,NUTS,2010,DE14,2,0.2894
2013,NUTS,2010,DE14,2,0.2859
2014,NUTS,2010,DE14,2,0.2982
2015,NUTS,2010,DE14,2,0.3052
2016,NUTS,2010,DE14,2,0.3087
2017,NUTS,2010,DE14,2,0.3269
2018,NUTS,2010,DE14,2,0.3348
2019,NUTS,2010,DE14,2,0.3357
2011,NUTS,2010,DE2,1,0.1888
2012,NUTS,2010,DE2,1,0.1959
2013,NUTS,2010,DE2,1,0.2027
2014,NUTS,2010,DE2,1,0.2038
2015,NUTS,2010,DE2,1,0.2042
2016,NUTS,2010,DE2,1,0.2113
2017,NUTS,2010,DE2,1,0.2114
2018,NUTS,2010,DE2,1,0.2178
2019,NUTS,2010,DE2,1,0.2219
2011,NUTS,2010,DE21,2,0.2728
2012,NUTS,2010,DE21,2,0.2792
2013,NUTS,2010,DE21,2,0.2904
2014,NUTS,2010,DE21,2,0.2877
2015,NUTS,2010,DE21,2,0.2914
