year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_rse_pc_act_fte_f
2016,NUTS,2010,HU1,1,0.6749
2017,NUTS,2010,HU1,1,0.7554
2018,NUTS,2010,HU1,1,0.895
2019,NUTS,2010,HU1,1,1.0081
2011,NUTS,2010,HU10,2,0.7238
2012,NUTS,2010,HU10,2,0.6793
2013,NUTS,2010,HU10,2,0.6772
2014,NUTS,2010,HU10,2,0.687
2015,NUTS,2010,HU10,2,0.6759
2016,NUTS,2010,HU10,2,0.6749
2017,NUTS,2010,HU11,2,1.1229
2018,NUTS,2010,HU11,2,1.333
2019,NUTS,2010,HU11,2,1.5678
2017,NUTS,2010,HU12,2,0.1788
2018,NUTS,2010,HU12,2,0.2292
2019,NUTS,2010,HU12,2,0.1991
2011,NUTS,2010,HU2,1,0.1471
2012,NUTS,2010,HU2,1,0.1583
2013,NUTS,2010,HU2,1,0.1605
2014,NUTS,2010,HU2,1,0.158
2015,NUTS,2010,HU2,1,0.1467
2016,NUTS,2010,HU2,1,0.1439
2017,NUTS,2010,HU2,1,0.1655
2018,NUTS,2010,HU2,1,0.2068
2019,NUTS,2010,HU2,1,0.2366
2011,NUTS,2010,HU21,2,0.1227
2012,NUTS,2010,HU21,2,0.1634
2013,NUTS,2010,HU21,2,0.1817
2014,NUTS,2010,HU21,2,0.1785
2015,NUTS,2010,HU21,2,0.1734
2016,NUTS,2010,HU21,2,0.1721
2017,NUTS,2010,HU21,2,0.1884
2018,NUTS,2010,HU21,2,0.2251
2019,NUTS,2010,HU21,2,0.2352
2011,NUTS,2010,HU22,2,0.1187
2012,NUTS,2010,HU22,2,0.1175
2013,NUTS,2010,HU22,2,0.1382
2014,NUTS,2010,HU22,2,0.1206
2015,NUTS,2010,HU22,2,0.1183
2016,NUTS,2010,HU22,2,0.1024
2017,NUTS,2010,HU22,2,0.1164
2018,NUTS,2010,HU22,2,0.1472
2019,NUTS,2010,HU22,2,0.1847
2011,NUTS,2010,HU23,2,0.2112
2012,NUTS,2010,HU23,2,0.2012
2013,NUTS,2010,HU23,2,0.1605
2014,NUTS,2010,HU23,2,0.1759
2015,NUTS,2010,HU23,2,0.1459
2016,NUTS,2010,HU23,2,0.1573
2017,NUTS,2010,HU23,2,0.1947
2018,NUTS,2010,HU23,2,0.2558
2019,NUTS,2010,HU23,2,0.3033
2011,NUTS,2010,HU3,1,0.2049
2012,NUTS,2010,HU3,1,0.1949
2013,NUTS,2010,HU3,1,0.1914
2014,NUTS,2010,HU3,1,0.1818
2015,NUTS,2010,HU3,1,0.1768
2016,NUTS,2010,HU3,1,0.1744
2017,NUTS,2010,HU3,1,0.1842
2018,NUTS,2010,HU3,1,0.2302
2019,NUTS,2010,HU3,1,0.2616
2011,NUTS,2010,HU31,2,0.1185
2012,NUTS,2010,HU31,2,0.1046
2013,NUTS,2010,HU31,2,0.1061
2014,NUTS,2010,HU31,2,0.095
2015,NUTS,2010,HU31,2,0.0945
2016,NUTS,2010,HU31,2,0.0934
2017,NUTS,2010,HU31,2,0.1036
2018,NUTS,2010,HU31,2,0.1157
2019,NUTS,2010,HU31,2,0.1495
2011,NUTS,2010,HU32,2,0.207
2012,NUTS,2010,HU32,2,0.2121
2013,NUTS,2010,HU32,2,0.1915
2014,NUTS,2010,HU32,2,0.1785
2015,NUTS,2010,HU32,2,0.1787
2016,NUTS,2010,HU32,2,0.1809
2017,NUTS,2010,HU32,2,0.1927
2018,NUTS,2010,HU32,2,0.2446
2019,NUTS,2010,HU32,2,0.2592
2011,NUTS,2010,HU33,2,0.2797
2012,NUTS,2010,HU33,2,0.254
2013,NUTS,2010,HU33,2,0.2633
2014,NUTS,2010,HU33,2,0.2603
2015,NUTS,2010,HU33,2,0.2449
2016,NUTS,2010,HU33,2,0.2349
2017,NUTS,2010,HU33,2,0.2437
2018,NUTS,2010,HU33,2,0.3155
2019,NUTS,2010,HU33,2,0.3594
2011,NUTS,2010,IE,0,0.463
2012,NUTS,2010,IE,0,0.5615
2013,NUTS,2010,IE,0,0.8176
2015,NUTS,2010,IE,0,0.7533
2017,NUTS,2010,IE,0,0.8662
2019,NUTS,2010,IE,0,0.787
2011,NUTS,2010,IE0,1,0.4558
2013,NUTS,2010,IE0,1,0.4836
2017,NUTS,2010,IE0,1,0.8243
2013,NUTS,2010,IE01,2,0.3442
2017,NUTS,2010,IE01,2,1.2104
2013,NUTS,2010,IE02,2,0.5312
2017,NUTS,2010,IE02,2,0.7699
2011,NUTS,2010,IS,0,0.9902
2011,NUTS,2010,IT,0,0.3664
2012,NUTS,2010,IT,0,0.3781
2013,NUTS,2010,IT,0,0.401
2014,NUTS,2010,IT,0,0.4025
2015,NUTS,2010,IT,0,0.4328
2016,NUTS,2010,IT,0,0.4452
2017,NUTS,2010,IT,0,0.4519
2018,NUTS,2010,IT,0,0.4822
2019,NUTS,2010,IT,0,0.515
2011,NUTS,2010,ITC,1,0.3557
2012,NUTS,2010,ITC,1,0.3705
2013,NUTS,2010,ITC,1,0.3838
2014,NUTS,2010,ITC,1,0.385
2015,NUTS,2010,ITC,1,0.4296
2016,NUTS,2010,ITC,1,0.4398
2017,NUTS,2010,ITC,1,0.4429
2018,NUTS,2010,ITC,1,0.4714
2019,NUTS,2010,ITC,1,0.5024
2011,NUTS,2010,ITC1,2,0.2849
2012,NUTS,2010,ITC1,2,0.3066
2013,NUTS,2010,ITC1,2,0.3405
2014,NUTS,2010,ITC1,2,0.3381
2015,NUTS,2010,ITC1,2,0.4052
2016,NUTS,2010,ITC1,2,0.3706
2017,NUTS,2010,ITC1,2,0.3819
2018,NUTS,2010,ITC1,2,0.406
2019,NUTS,2010,ITC1,2,0.4221
2011,NUTS,2010,ITC2,2,0.1714
2012,NUTS,2010,ITC2,2,0.1674
2013,NUTS,2010,ITC2,2,0.2117
2014,NUTS,2010,ITC2,2,0.1873
2015,NUTS,2010,ITC2,2,0.1887
2016,NUTS,2010,ITC2,2,0.2058
2017,NUTS,2010,ITC2,2,0.2699
2018,NUTS,2010,ITC2,2,0.1899
2019,NUTS,2010,ITC2,2,0.2129
2011,NUTS,2010,ITC3,2,0.343
2012,NUTS,2010,ITC3,2,0.4009
2013,NUTS,2010,ITC3,2,0.4387
2014,NUTS,2010,ITC3,2,0.4201
2015,NUTS,2010,ITC3,2,0.5074
2016,NUTS,2010,ITC3,2,0.4658
2017,NUTS,2010,ITC3,2,0.471
2018,NUTS,2010,ITC3,2,0.4581
2019,NUTS,2010,ITC3,2,0.5437
2011,NUTS,2010,ITC4,2,0.3937
2012,NUTS,2010,ITC4,2,0.3979
2013,NUTS,2010,ITC4,2,0.3969
2014,NUTS,2010,ITC4,2,0.4032
2015,NUTS,2010,ITC4,2,0.432
2016,NUTS,2010,ITC4,2,0.4697
2017,NUTS,2010,ITC4,2,0.468
2018,NUTS,2010,ITC4,2,0.5054
2019,NUTS,2010,ITC4,2,0.5346
2011,NUTS,2010,ITF,1,0.2913
2012,NUTS,2010,ITF,1,0.3
2013,NUTS,2010,ITF,1,0.3175
2014,NUTS,2010,ITF,1,0.3366
2017,NUTS,2010,ITF,1,0.364
2018,NUTS,2010,ITF,1,0.3814
2019,NUTS,2010,ITF,1,0.4279
2011,NUTS,2010,ITF1,2,0.2538
2012,NUTS,2010,ITF1,2,0.2368
2013,NUTS,2010,ITF1,2,0.2568
2014,NUTS,2010,ITF1,2,0.2471
2015,NUTS,2010,ITF1,2,0.2991
2016,NUTS,2010,ITF1,2,0.3227
2017,NUTS,2010,ITF1,2,0.3572
2018,NUTS,2010,ITF1,2,0.3203
2019,NUTS,2010,ITF1,2,0.3419
2012,NUTS,2010,ITF2,2,0.1857
2013,NUTS,2010,ITF2,2,0.2194
2014,NUTS,2010,ITF2,2,0.225
2017,NUTS,2010,ITF2,2,0.3854
2018,NUTS,2010,ITF2,2,0.3998
2019,NUTS,2010,ITF2,2,0.4892
2011,NUTS,2010,ITF3,2,0.3728
2012,NUTS,2010,ITF3,2,0.3989
2013,NUTS,2010,ITF3,2,0.4044
2014,NUTS,2010,ITF3,2,0.4397
2015,NUTS,2010,ITF3,2,0.4777
2016,NUTS,2010,ITF3,2,0.4822
2017,NUTS,2010,ITF3,2,0.4569
2018,NUTS,2010,ITF3,2,0.4836
2019,NUTS,2010,ITF3,2,0.5601
2011,NUTS,2010,ITF4,2,0.2748
2012,NUTS,2010,ITF4,2,0.2659
2013,NUTS,2010,ITF4,2,0.265
2014,NUTS,2010,ITF4,2,0.288
2015,NUTS,2010,ITF4,2,0.31
2016,NUTS,2010,ITF4,2,0.3009
2017,NUTS,2010,ITF4,2,0.314
2018,NUTS,2010,ITF4,2,0.33
2019,NUTS,2010,ITF4,2,0.358
2012,NUTS,2010,ITF5,2,0.2835
2013,NUTS,2010,ITF5,2,0.266
2014,NUTS,2010,ITF5,2,0.2794
2015,NUTS,2010,ITF5,2,0.2972
2017,NUTS,2010,ITF5,2,0.2768
2018,NUTS,2010,ITF5,2,0.2885
2019,NUTS,2010,ITF5,2,0.3289
2011,NUTS,2010,ITF6,2,0.1687
2012,NUTS,2010,ITF6,2,0.1817
2013,NUTS,2010,ITF6,2,0.259
2014,NUTS,2010,ITF6,2,0.2593
2015,NUTS,2010,ITF6,2,0.2743
2016,NUTS,2010,ITF6,2,0.2386
2017,NUTS,2010,ITF6,2,0.2246
2018,NUTS,2010,ITF6,2,0.27
2019,NUTS,2010,ITF6,2,0.2769
2011,NUTS,2010,ITG,1,0.2778
2012,NUTS,2010,ITG,1,0.2959
2013,NUTS,2010,ITG,1,0.331
2014,NUTS,2010,ITG,1,0.3485
2015,NUTS,2010,ITG,1,0.3441
2016,NUTS,2010,ITG,1,0.2932
2017,NUTS,2010,ITG,1,0.2911
2018,NUTS,2010,ITG,1,0.2983
2019,NUTS,2010,ITG,1,0.3184
2011,NUTS,2010,ITG1,2,0.2672
2012,NUTS,2010,ITG1,2,0.2789
2013,NUTS,2010,ITG1,2,0.3174
2014,NUTS,2010,ITG1,2,0.3364
2015,NUTS,2010,ITG1,2,0.3251
2016,NUTS,2010,ITG1,2,0.2986
2017,NUTS,2010,ITG1,2,0.2909
2018,NUTS,2010,ITG1,2,0.3071
2019,NUTS,2010,ITG1,2,0.3347
2011,NUTS,2010,ITG2,2,0.3004
2012,NUTS,2010,ITG2,2,0.3326
2013,NUTS,2010,ITG2,2,0.3617
2014,NUTS,2010,ITG2,2,0.3752
2015,NUTS,2010,ITG2,2,0.3848
2016,NUTS,2010,ITG2,2,0.2813
2017,NUTS,2010,ITG2,2,0.2917
2018,NUTS,2010,ITG2,2,0.2785
2019,NUTS,2010,ITG2,2,0.2835
2011,NUTS,2010,ITH,1,0.3411
2012,NUTS,2010,ITH,1,0.3531
2013,NUTS,2010,ITH,1,0.3874
2014,NUTS,2010,ITH,1,0.3913
2015,NUTS,2010,ITH,1,0.3914
2016,NUTS,2010,ITH,1,0.4286
2017,NUTS,2010,ITH,1,0.4496
2018,NUTS,2010,ITH,1,0.482
2019,NUTS,2010,ITH,1,0.4957
2011,NUTS,2010,ITH1,2,0.1805
2012,NUTS,2010,ITH1,2,0.1605
2013,NUTS,2010,ITH1,2,0.1934
2014,NUTS,2010,ITH1,2,0.2353
2015,NUTS,2010,ITH1,2,0.2274
2016,NUTS,2010,ITH1,2,0.2683
2017,NUTS,2010,ITH1,2,0.2984
2018,NUTS,2010,ITH1,2,0.3251
2019,NUTS,2010,ITH1,2,0.3661
2011,NUTS,2010,ITH2,2,0.4179
2012,NUTS,2010,ITH2,2,0.4511
2013,NUTS,2010,ITH2,2,0.5253
2014,NUTS,2010,ITH2,2,0.5222
2015,NUTS,2010,ITH2,2,0.5327
2016,NUTS,2010,ITH2,2,0.5888
2017,NUTS,2010,ITH2,2,0.5738
2018,NUTS,2010,ITH2,2,0.6355
2019,NUTS,2010,ITH2,2,0.6355
2011,NUTS,2010,ITH3,2,0.2737
2012,NUTS,2010,ITH3,2,0.2787
2013,NUTS,2010,ITH3,2,0.2994
2014,NUTS,2010,ITH3,2,0.2992
2015,NUTS,2010,ITH3,2,0.307
2016,NUTS,2010,ITH3,2,0.3244
2017,NUTS,2010,ITH3,2,0.3375
2018,NUTS,2010,ITH3,2,0.3674
2019,NUTS,2010,ITH3,2,0.3872
2011,NUTS,2010,ITH4,2,0.4369
2012,NUTS,2010,ITH4,2,0.4588
2013,NUTS,2010,ITH4,2,0.4434
2014,NUTS,2010,ITH4,2,0.4827
2015,NUTS,2010,ITH4,2,0.5011
2016,NUTS,2010,ITH4,2,0.5036
2017,NUTS,2010,ITH4,2,0.5322
2018,NUTS,2010,ITH4,2,0.5419
2019,NUTS,2010,ITH4,2,0.5418
2011,NUTS,2010,ITH5,2,0.395
2012,NUTS,2010,ITH5,2,0.4133
2013,NUTS,2010,ITH5,2,0.4686
2014,NUTS,2010,ITH5,2,0.4669
2015,NUTS,2010,ITH5,2,0.4516
2016,NUTS,2010,ITH5,2,0.5144
2017,NUTS,2010,ITH5,2,0.5467
2018,NUTS,2010,ITH5,2,0.5866
2019,NUTS,2010,ITH5,2,0.5951
2011,NUTS,2010,ITI,1,0.4787
2012,NUTS,2010,ITI,1,0.4828
2013,NUTS,2010,ITI,1,0.4973
2014,NUTS,2010,ITI,1,0.4715
2017,NUTS,2010,ITI,1,0.5453
2018,NUTS,2010,ITI,1,0.5869
2019,NUTS,2010,ITI,1,0.6251
2011,NUTS,2010,ITI1,2,0.4345
2012,NUTS,2010,ITI1,2,0.4613
2013,NUTS,2010,ITI1,2,0.4612
2014,NUTS,2010,ITI1,2,0.4192
2015,NUTS,2010,ITI1,2,0.4686
2016,NUTS,2010,ITI1,2,0.4754
2017,NUTS,2010,ITI1,2,0.4901
2018,NUTS,2010,ITI1,2,0.5698
2019,NUTS,2010,ITI1,2,0.5784
2011,NUTS,2010,ITI2,2,0.3093
2012,NUTS,2010,ITI2,2,0.3346
2013,NUTS,2010,ITI2,2,0.3229
2014,NUTS,2010,ITI2,2,0.3324
2017,NUTS,2010,ITI2,2,0.3281
2018,NUTS,2010,ITI2,2,0.3874
2019,NUTS,2010,ITI2,2,0.383
2011,NUTS,2010,ITI3,2,0.1736
2012,NUTS,2010,ITI3,2,0.1731
2013,NUTS,2010,ITI3,2,0.2021
2014,NUTS,2010,ITI3,2,0.2117
2015,NUTS,2010,ITI3,2,0.2254
2016,NUTS,2010,ITI3,2,0.2633
2017,NUTS,2010,ITI3,2,0.3109
2018,NUTS,2010,ITI3,2,0.3128
2019,NUTS,2010,ITI3,2,0.3112
2011,NUTS,2010,ITI4,2,0.6257
2012,NUTS,2010,ITI4,2,0.609
2013,NUTS,2010,ITI4,2,0.6311
2014,NUTS,2010,ITI4,2,0.597
2015,NUTS,2010,ITI4,2,0.6506
2016,NUTS,2010,ITI4,2,0.6957
2017,NUTS,2010,ITI4,2,0.6761
2018,NUTS,2010,ITI4,2,0.699
2019,NUTS,2010,ITI4,2,0.7775
2011,NUTS,2010,LT,0,0.56
2012,NUTS,2010,LT,0,0.553
2013,NUTS,2010,LT,0,0.5742
2014,NUTS,2010,LT,0,0.583
2015,NUTS,2010,LT,0,0.5287
2016,NUTS,2010,LT,0,0.5507
2017,NUTS,2010,LT,0,0.5672
2018,NUTS,2010,LT,0,0.5706
2019,NUTS,2010,LT,0,0.6093
2015,NUTS,2010,LT01,2,1.0322
2016,NUTS,2010,LT01,2,1.0055
2017,NUTS,2010,LT01,2,0.976
2018,NUTS,2010,LT01,2,0.985
2019,NUTS,2010,LT01,2,1.0444
2015,NUTS,2010,LT02,2,0.2934
2016,NUTS,2010,LT02,2,0.3202
2017,NUTS,2010,LT02,2,0.3423
2018,NUTS,2010,LT02,2,0.3401
2019,NUTS,2010,LT02,2,0.3746
2011,NUTS,2010,LU,0,0.6288
2013,NUTS,2010,LU,0,0.6102
2014,NUTS,2010,LU,0,0.5346
2015,NUTS,2010,LU,0,0.5792
2017,NUTS,2010,LU,0,0.6032
2019,NUTS,2010,LU,0,0.5992
2011,NUTS,2010,LV,0,0.4058
2012,NUTS,2010,LV,0,0.3923
2013,NUTS,2010,LV,0,0.371
2015,NUTS,2010,LV,0,0.3777
2016,NUTS,2010,LV,0,0.3312
2017,NUTS,2010,LV,0,0.3756
2018,NUTS,2010,LV,0,0.3611
2019,NUTS,2010,LV,0,0.3838
2011,NUTS,2010,ME,0,0.1866
2013,NUTS,2010,ME,0,0.1641
2014,NUTS,2010,ME,0,0.1703
2015,NUTS,2010,ME,0,0.1996
2017,NUTS,2010,ME,0,0.1744
2018,NUTS,2010,ME,0,0.1855
2019,NUTS,2010,ME,0,0.1927
2011,NUTS,2010,MK,0,0.1449
2012,NUTS,2010,MK,0,0.1868
2015,NUTS,2010,MK,0,0.2425
2016,NUTS,2010,MK,0,0.2636
2017,NUTS,2010,MK,0,0.232
2018,NUTS,2010,MK,0,0.2522
2019,NUTS,2010,MK,0,0.2375
2011,NUTS,2010,MT,0,0.2941
2012,NUTS,2010,MT,0,0.3384
2013,NUTS,2010,MT,0,0.3237
2014,NUTS,2010,MT,0,0.299
2015,NUTS,2010,MT,0,0.2685
2016,NUTS,2010,MT,0,0.2771
2017,NUTS,2010,MT,0,0.3016
2018,NUTS,2010,MT,0,0.2751
2019,NUTS,2010,MT,0,0.2846
2011,NUTS,2010,NL,0,0.3768
2012,NUTS,2010,NL,0,0.438
2011,NUTS,2010,NL1,1,0.2465
2012,NUTS,2010,NL1,1,0.2834
2011,NUTS,2010,NL11,2,0.5611
2012,NUTS,2010,NL11,2,0.6132
2011,NUTS,2010,NL12,2,0.0652
2012,NUTS,2010,NL12,2,0.1096
2011,NUTS,2010,NL13,2,0.0985
2012,NUTS,2010,NL13,2,0.1111
2011,NUTS,2010,NL2,1,0.3197
2012,NUTS,2010,NL2,1,0.4081
2011,NUTS,2010,NL21,2,0.2362
2012,NUTS,2010,NL21,2,0.2733
2011,NUTS,2010,NL22,2,0.3964
2012,NUTS,2010,NL22,2,0.5084
2011,NUTS,2010,NL23,2,0.1698
2012,NUTS,2010,NL23,2,0.281
2011,NUTS,2010,NL3,1,0.4857
2012,NUTS,2010,NL3,1,0.5365
2011,NUTS,2010,NL31,2,0.5404
2012,NUTS,2010,NL31,2,0.6375
2011,NUTS,2010,NL32,2,0.5848
2012,NUTS,2010,NL32,2,0.637
2011,NUTS,2010,NL33,2,0.4303
2012,NUTS,2010,NL33,2,0.4662
2011,NUTS,2010,NL34,2,0.039
2012,NUTS,2010,NL34,2,0.0523
2011,NUTS,2010,NL4,1,0.2971
2012,NUTS,2010,NL4,1,0.37
2011,NUTS,2010,NL41,2,0.2735
2012,NUTS,2010,NL41,2,0.3411
2011,NUTS,2010,NL42,2,0.352
2012,NUTS,2010,NL42,2,0.4362
2011,NUTS,2010,PL,0,0.3288
2012,NUTS,2010,PL,0,0.3266
2013,NUTS,2010,PL,0,0.3437
2014,NUTS,2010,PL,0,0.366
2015,NUTS,2010,PL,0,0.3841
2016,NUTS,2010,PL,0,0.399
2017,NUTS,2010,PL,0,0.5383
2018,NUTS,2010,PL,0,0.5514
2019,NUTS,2010,PL,0,0.5755
2011,NUTS,2010,PL1,1,0.688
2012,NUTS,2010,PL1,1,0.6991
2013,NUTS,2010,PL1,1,0.4914
2014,NUTS,2010,PL1,1,0.4958
2015,NUTS,2010,PL1,1,0.5102
2011,NUTS,2010,PL11,2,0.2617
2012,NUTS,2010,PL11,2,0.312
2013,NUTS,2010,PL11,2,0.2804
2014,NUTS,2010,PL11,2,0.2865
2015,NUTS,2010,PL11,2,0.3062
2011,NUTS,2010,PL12,2,0.5548
2012,NUTS,2010,PL12,2,0.5422
2013,NUTS,2010,PL12,2,0.6036
2014,NUTS,2010,PL12,2,0.5987
2015,NUTS,2010,PL12,2,0.6038
2011,NUTS,2010,PL2,1,0.3293
2012,NUTS,2010,PL2,1,0.3189
2013,NUTS,2010,PL2,1,0.3343
2014,NUTS,2010,PL2,1,0.3765
2015,NUTS,2010,PL2,1,0.4255
2016,NUTS,2010,PL2,1,0.3932
2017,NUTS,2010,PL2,1,0.5352
2018,NUTS,2010,PL2,1,0.5403
2019,NUTS,2010,PL2,1,0.6248
2011,NUTS,2010,PL21,2,0.4986
2012,NUTS,2010,PL21,2,0.4609
2013,NUTS,2010,PL21,2,0.496
2014,NUTS,2010,PL21,2,0.5631
2015,NUTS,2010,PL21,2,0.6413
2016,NUTS,2010,PL21,2,0.564
2017,NUTS,2010,PL21,2,0.8305
2018,NUTS,2010,PL21,2,0.827
2019,NUTS,2010,PL21,2,0.8567
2011,NUTS,2010,PL22,2,0.2098
2012,NUTS,2010,PL22,2,0.2198
2013,NUTS,2010,PL22,2,0.2219
2014,NUTS,2010,PL22,2,0.2439
2015,NUTS,2010,PL22,2,0.271
2016,NUTS,2010,PL22,2,0.268
2017,NUTS,2010,PL22,2,0.3153
2018,NUTS,2010,PL22,2,0.3235
2019,NUTS,2010,PL22,2,0.4478
2011,NUTS,2010,PL3,1,0.1946
2012,NUTS,2010,PL3,1,0.1927
2013,NUTS,2010,PL3,1,0.2127
2014,NUTS,2010,PL3,1,0.2264
2015,NUTS,2010,PL3,1,0.2528
2011,NUTS,2010,PL31,2,0.2625
2012,NUTS,2010,PL31,2,0.2707
2013,NUTS,2010,PL31,2,0.2706
2014,NUTS,2010,PL31,2,0.2708
2015,NUTS,2010,PL31,2,0.2675
2011,NUTS,2010,PL32,2,0.1416
2012,NUTS,2010,PL32,2,0.145
2013,NUTS,2010,PL32,2,0.1717
2014,NUTS,2010,PL32,2,0.1972
2015,NUTS,2010,PL32,2,0.2675
2011,NUTS,2010,PL33,2,0.1005
2012,NUTS,2010,PL33,2,0.0372
2013,NUTS,2010,PL33,2,0.1217
2014,NUTS,2010,PL33,2,0.1349
2015,NUTS,2010,PL33,2,0.1598
2011,NUTS,2010,PL34,2,0.2688
2012,NUTS,2010,PL34,2,0.317
2013,NUTS,2010,PL34,2,0.276
2014,NUTS,2010,PL34,2,0.2939
2015,NUTS,2010,PL34,2,0.3093
2011,NUTS,2010,PL4,1,0.2553
2012,NUTS,2010,PL4,1,0.2421
2013,NUTS,2010,PL4,1,0.2247
2014,NUTS,2010,PL4,1,0.2673
2015,NUTS,2010,PL4,1,0.2878
2016,NUTS,2010,PL4,1,0.2447
2017,NUTS,2010,PL4,1,0.312
2018,NUTS,2010,PL4,1,0.3187
2019,NUTS,2010,PL4,1,0.3032
2011,NUTS,2010,PL41,2,0.2927
2012,NUTS,2010,PL41,2,0.2788
2013,NUTS,2010,PL41,2,0.2457
2014,NUTS,2010,PL41,2,0.2901
2015,NUTS,2010,PL41,2,0.3246
2016,NUTS,2010,PL41,2,0.2757
2017,NUTS,2010,PL41,2,0.3169
2019,NUTS,2010,PL41,2,0.3294
2012,NUTS,2010,PL42,2,0.2583
2013,NUTS,2010,PL42,2,0.2347
2014,NUTS,2010,PL42,2,0.2971
2015,NUTS,2010,PL42,2,0.2979
2016,NUTS,2010,PL42,2,0.2342
2017,NUTS,2010,PL42,2,0.3751
2018,NUTS,2010,PL42,2,0.3881
2012,NUTS,2010,PL43,2,0.0995
2013,NUTS,2010,PL43,2,0.1412
2014,NUTS,2010,PL43,2,0.151
2015,NUTS,2010,PL43,2,0.1605
2016,NUTS,2010,PL43,2,0.1507
2017,NUTS,2010,PL43,2,0.1891
2011,NUTS,2010,PL5,1,0.3197
2012,NUTS,2010,PL5,1,0.3337
2013,NUTS,2010,PL5,1,0.394
2014,NUTS,2010,PL5,1,0.4044
2015,NUTS,2010,PL5,1,0.4018
2016,NUTS,2010,PL5,1,0.3816
2017,NUTS,2010,PL5,1,0.523
2018,NUTS,2010,PL5,1,0.5308
2011,NUTS,2010,PL51,2,0.362
2012,NUTS,2010,PL51,2,0.3789
2013,NUTS,2010,PL51,2,0.4555
2014,NUTS,2010,PL51,2,0.4741
2015,NUTS,2010,PL51,2,0.47
2016,NUTS,2010,PL51,2,0.4302
2018,NUTS,2010,PL51,2,0.6097
2019,NUTS,2010,PL51,2,0.6216
2011,NUTS,2010,PL52,2,0.1829
2012,NUTS,2010,PL52,2,0.1895
2013,NUTS,2010,PL52,2,0.197
2014,NUTS,2010,PL52,2,0.1931
2015,NUTS,2010,PL52,2,0.2039
2016,NUTS,2010,PL52,2,0.2223
2018,NUTS,2010,PL52,2,0.2774
2011,NUTS,2010,PL6,1,0.2886
2012,NUTS,2010,PL6,1,0.2846
2013,NUTS,2010,PL6,1,0.2855
2014,NUTS,2010,PL6,1,0.2908
2015,NUTS,2010,PL6,1,0.2843
2016,NUTS,2010,PL6,1,0.3096
2017,NUTS,2010,PL6,1,0.429
2018,NUTS,2010,PL6,1,0.4218
2019,NUTS,2010,PL6,1,0.4762
2012,NUTS,2010,PL61,2,0.255
2013,NUTS,2010,PL61,2,0.2539
2014,NUTS,2010,PL61,2,0.2501
2015,NUTS,2010,PL61,2,0.2654
2016,NUTS,2010,PL61,2,0.231
2017,NUTS,2010,PL61,2,0.4357
2012,NUTS,2010,PL62,2,0.2176
2013,NUTS,2010,PL62,2,0.1984
2014,NUTS,2010,PL62,2,0.2237
2015,NUTS,2010,PL62,2,0.2041
2016,NUTS,2010,PL62,2,0.2317
2017,NUTS,2010,PL62,2,0.2923
2011,NUTS,2010,PL63,2,0.3889
2012,NUTS,2010,PL63,2,0.3517
2013,NUTS,2010,PL63,2,0.3654
2014,NUTS,2010,PL63,2,0.3674
2015,NUTS,2010,PL63,2,0.3474
2016,NUTS,2010,PL63,2,0.422
2017,NUTS,2010,PL63,2,0.4996
2018,NUTS,2010,PL63,2,0.6053
2019,NUTS,2010,PL63,2,0.5659
2016,NUTS,2010,PL7,1,0.336
2017,NUTS,2010,PL7,1,0.3886
2018,NUTS,2010,PL7,1,0.3883
2016,NUTS,2010,PL71,2,0.4058
2017,NUTS,2010,PL71,2,0.4947
2019,NUTS,2010,PL71,2,0.5421
2016,NUTS,2010,PL72,2,0.1842
2017,NUTS,2010,PL72,2,0.1573
2016,NUTS,2010,PL8,1,0.2964
2017,NUTS,2010,PL8,1,0.3494
2018,NUTS,2010,PL8,1,0.4388
2016,NUTS,2010,PL81,2,0.346
2017,NUTS,2010,PL81,2,0.4321
2016,NUTS,2010,PL82,2,0.2676
2017,NUTS,2010,PL82,2,0.2695
2019,NUTS,2010,PL82,2,0.2564
2016,NUTS,2010,PL84,2,0.2562
2017,NUTS,2010,PL84,2,0.3433
2018,NUTS,2010,PL84,2,0.422
2019,NUTS,2010,PL84,2,0.4344
2016,NUTS,2010,PL9,1,0.7257
2017,NUTS,2010,PL9,1,1.0606
2018,NUTS,2010,PL9,1,1.0517
2019,NUTS,2010,PL9,1,1.0272
2016,NUTS,2010,PL91,2,1.2125
2017,NUTS,2010,PL91,2,1.7739
2016,NUTS,2010,PL92,2,0.0618
2017,NUTS,2010,PL92,2,0.0805
2011,NUTS,2010,PT,0,0.8031
2012,NUTS,2010,PT,0,0.7859
2013,NUTS,2010,PT,0,0.705
2014,NUTS,2010,PT,0,0.6923
2015,NUTS,2010,PT,0,0.6949
2016,NUTS,2010,PT,0,0.736
2017,NUTS,2010,PT,0,0.7941
2018,NUTS,2010,PT,0,0.8309
2019,NUTS,2010,PT,0,0.8598
2020,NUTS,2010,PT,0,0.9118
2011,NUTS,2010,PT1,1,0.7696
2012,NUTS,2010,PT1,1,0.7533
2013,NUTS,2010,PT1,1,0.6836
2014,NUTS,2010,PT1,1,0.6786
2015,NUTS,2010,PT1,1,0.6842
2016,NUTS,2010,PT1,1,0.7274
2017,NUTS,2010,PT1,1,0.7858
2018,NUTS,2010,PT1,1,0.8222
2019,NUTS,2010,PT1,1,0.8513
2020,NUTS,2010,PT1,1,0.9066
2011,NUTS,2010,PT11,2,0.6356
2012,NUTS,2010,PT11,2,0.6234
