year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_rse_pc_emp_hc_gov
1998,NUTS,2010,AT,0,0.0463
2002,NUTS,2010,AT,0,0.0495
2004,NUTS,2010,AT,0,0.0509
2006,NUTS,2010,AT,0,0.0635
2007,NUTS,2010,AT,0,0.0621
2009,NUTS,2010,AT,0,0.0744
2011,NUTS,2010,AT,0,0.0788
2013,NUTS,2010,AT,0,0.0837
2015,NUTS,2010,AT,0,0.0906
2017,NUTS,2010,AT,0,0.1367
2019,NUTS,2010,AT,0,0.1474
2002,NUTS,2010,AT1,1,0.095
2004,NUTS,2010,AT1,1,0.0967
2011,NUTS,2010,AT1,1,0.1414
2013,NUTS,2010,AT1,1,0.1468
2019,NUTS,2010,AT1,1,0.2773
2002,NUTS,2010,AT11,2,0.0169
2004,NUTS,2010,AT11,2,0.015
2011,NUTS,2010,AT11,2,0.0131
2013,NUTS,2010,AT11,2,0.0129
2002,NUTS,2010,AT12,2,0.0083
2004,NUTS,2010,AT12,2,0.011
2006,NUTS,2010,AT12,2,0.0111
2007,NUTS,2010,AT12,2,0.0107
2009,NUTS,2010,AT12,2,0.0129
2011,NUTS,2010,AT12,2,0.0168
2013,NUTS,2010,AT12,2,0.0195
2015,NUTS,2010,AT12,2,0.0312
2017,NUTS,2010,AT12,2,0.0461
2002,NUTS,2010,AT13,2,0.1872
2004,NUTS,2010,AT13,2,0.1934
2006,NUTS,2010,AT13,2,0.2362
2007,NUTS,2010,AT13,2,0.2381
2009,NUTS,2010,AT13,2,0.2783
2011,NUTS,2010,AT13,2,0.284
2013,NUTS,2010,AT13,2,0.2883
2015,NUTS,2010,AT13,2,0.3047
2017,NUTS,2010,AT13,2,0.4847
2019,NUTS,2010,AT13,2,0.5337
2002,NUTS,2010,AT2,1,0.0169
2004,NUTS,2010,AT2,1,0.0229
2006,NUTS,2010,AT2,1,0.0291
2015,NUTS,2010,AT2,1,0.0284
2019,NUTS,2010,AT2,1,0.0541
2002,NUTS,2010,AT21,2,0.0132
2004,NUTS,2010,AT21,2,0.019
2006,NUTS,2010,AT21,2,0.0245
2011,NUTS,2010,AT21,2,0.0262
2002,NUTS,2010,AT22,2,0.0186
2004,NUTS,2010,AT22,2,0.0247
2006,NUTS,2010,AT22,2,0.0312
2009,NUTS,2010,AT22,2,0.0326
2002,NUTS,2010,AT3,1,0.0146
2004,NUTS,2010,AT3,1,0.0143
2007,NUTS,2010,AT3,1,0.0196
2019,NUTS,2010,AT3,1,0.0458
2002,NUTS,2010,AT31,2,0.0074
2004,NUTS,2010,AT31,2,0.0079
2006,NUTS,2010,AT31,2,0.0147
2007,NUTS,2010,AT31,2,0.0159
2009,NUTS,2010,AT31,2,0.016
2011,NUTS,2010,AT31,2,0.0161
2013,NUTS,2010,AT31,2,0.012
2015,NUTS,2010,AT31,2,0.0193
2017,NUTS,2010,AT31,2,0.0267
2019,NUTS,2010,AT31,2,0.0259
2002,NUTS,2010,AT32,2,0.0273
2004,NUTS,2010,AT32,2,0.0239
2006,NUTS,2010,AT32,2,0.0292
2009,NUTS,2010,AT32,2,0.0522
2015,NUTS,2010,AT32,2,0.1151
2017,NUTS,2010,AT32,2,0.1074
2019,NUTS,2010,AT32,2,0.1012
2002,NUTS,2010,AT33,2,0.0177
2004,NUTS,2010,AT33,2,0.0196
2006,NUTS,2010,AT33,2,0.0258
2013,NUTS,2010,AT33,2,0.0272
2019,NUTS,2010,AT33,2,0.0402
2002,NUTS,2010,AT34,2,0.0161
2004,NUTS,2010,AT34,2,0.0138
2011,NUTS,2010,AT34,2,0.0328
2013,NUTS,2010,AT34,2,0.0337
2015,NUTS,2010,AT34,2,0.0404
