year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_hc_total_f
2015,NUTS,2010,BE35,2,1020.0
2013,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
2011,NUTS,2010,BG,0,10834.0
2012,NUTS,2010,BG,0,11211.0
2013,NUTS,2010,BG,0,11480.0
2014,NUTS,2010,BG,0,12762.0
2015,NUTS,2010,BG,0,14167.0
2016,NUTS,2010,BG,0,15418.0
2017,NUTS,2010,BG,0,15031.0
2018,NUTS,2010,BG,0,16123.0
2019,NUTS,2010,BG,0,16424.0
2011,NUTS,2010,BG3,1,2839.0
2012,NUTS,2010,BG3,1,3066.0
2013,NUTS,2010,BG3,1,3216.0
2014,NUTS,2010,BG3,1,3772.0
2015,NUTS,2010,BG3,1,4531.0
2016,NUTS,2010,BG3,1,4233.0
2017,NUTS,2010,BG3,1,4306.0
2018,NUTS,2010,BG3,1,4821.0
2019,NUTS,2010,BG3,1,4889.0
2011,NUTS,2010,BG31,2,325.0
2012,NUTS,2010,BG31,2,479.0
2013,NUTS,2010,BG31,2,448.0
2014,NUTS,2010,BG31,2,429.0
2015,NUTS,2010,BG31,2,589.0
2016,NUTS,2010,BG31,2,661.0
2017,NUTS,2010,BG31,2,627.0
2018,NUTS,2010,BG31,2,708.0
2019,NUTS,2010,BG31,2,665.0
2011,NUTS,2010,BG32,2,717.0
2012,NUTS,2010,BG32,2,670.0
2013,NUTS,2010,BG32,2,733.0
2014,NUTS,2010,BG32,2,890.0
2015,NUTS,2010,BG32,2,1115.0
2016,NUTS,2010,BG32,2,902.0
2017,NUTS,2010,BG32,2,1004.0
2018,NUTS,2010,BG32,2,1078.0
2019,NUTS,2010,BG32,2,1047.0
2011,NUTS,2010,BG33,2,1035.0
2012,NUTS,2010,BG33,2,1121.0
