year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_pc_emp_hc_total_t
2011,NUTS,2010,AT,0,0.1553
2013,NUTS,2010,AT,0,0.1546
2015,NUTS,2010,AT,0,0.163
2017,NUTS,2010,AT,0,0.2465
2019,NUTS,2010,AT,0,0.2559
2011,NUTS,2010,AT1,1,0.266
2013,NUTS,2010,AT1,1,0.2623
2019,NUTS,2010,AT1,1,0.4521
2011,NUTS,2010,AT11,2,0.0478
2013,NUTS,2010,AT11,2,0.0507
2011,NUTS,2010,AT12,2,0.0548
2013,NUTS,2010,AT12,2,0.0574
2015,NUTS,2010,AT12,2,0.0819
2017,NUTS,2010,AT12,2,0.1098
2011,NUTS,2010,AT13,2,0.5172
2013,NUTS,2010,AT13,2,0.4993
2015,NUTS,2010,AT13,2,0.5089
2017,NUTS,2010,AT13,2,0.7961
2019,NUTS,2010,AT13,2,0.8382
2015,NUTS,2010,AT2,1,0.0719
2019,NUTS,2010,AT2,1,0.143
2011,NUTS,2010,AT21,2,0.0398
2019,NUTS,2010,AT3,1,0.0851
2011,NUTS,2010,AT31,2,0.0398
2013,NUTS,2010,AT31,2,0.038
2015,NUTS,2010,AT31,2,0.0478
2017,NUTS,2010,AT31,2,0.0683
2019,NUTS,2010,AT31,2,0.0669
2015,NUTS,2010,AT32,2,0.1441
2017,NUTS,2010,AT32,2,0.1309
2019,NUTS,2010,AT32,2,0.1269
2013,NUTS,2010,AT33,2,0.0587
2019,NUTS,2010,AT33,2,0.0765
2011,NUTS,2010,AT34,2,0.0929
2013,NUTS,2010,AT34,2,0.0987
2015,NUTS,2010,AT34,2,0.1136
2017,NUTS,2010,AT34,2,0.1166
2019,NUTS,2010,AT34,2,0.1109
2011,NUTS,2010,BE,0,0.1209
2012,NUTS,2010,BE,0,0.144
2013,NUTS,2010,BE,0,0.1468
2014,NUTS,2010,BE,0,0.1568
2015,NUTS,2010,BE,0,0.1611
2016,NUTS,2010,BE,0,0.162
2017,NUTS,2010,BE,0,0.1658
2018,NUTS,2010,BE,0,0.1763
2019,NUTS,2010,BE,0,0.1792
2011,NUTS,2010,BE1,1,0.3099
2012,NUTS,2010,BE1,1,0.4701
2013,NUTS,2010,BE1,1,0.4765
2014,NUTS,2010,BE1,1,0.4011
2015,NUTS,2010,BE1,1,0.433
2016,NUTS,2010,BE1,1,0.4333
2017,NUTS,2010,BE1,1,0.4318
2018,NUTS,2010,BE1,1,0.4589
2019,NUTS,2010,BE1,1,0.4513
2011,NUTS,2010,BE10,2,0.3099
2012,NUTS,2010,BE10,2,0.4701
2013,NUTS,2010,BE10,2,0.4765
2014,NUTS,2010,BE10,2,0.4011
2015,NUTS,2010,BE10,2,0.433
2016,NUTS,2010,BE10,2,0.4333
2017,NUTS,2010,BE10,2,0.4318
2018,NUTS,2010,BE10,2,0.4589
2019,NUTS,2010,BE10,2,0.4513
2011,NUTS,2010,BE2,1,0.1356
2012,NUTS,2010,BE2,1,0.1489
2013,NUTS,2010,BE2,1,0.1532
2014,NUTS,2010,BE2,1,0.1697
2015,NUTS,2010,BE2,1,0.1694
2016,NUTS,2010,BE2,1,0.1783
2017,NUTS,2010,BE2,1,0.1839
2018,NUTS,2010,BE2,1,0.1946
2019,NUTS,2010,BE2,1,0.1998
2011,NUTS,2010,BE3,1,0.0284
2012,NUTS,2010,BE3,1,0.0275
2013,NUTS,2010,BE3,1,0.0273
2014,NUTS,2010,BE3,1,0.0454
2015,NUTS,2010,BE3,1,0.0484
2016,NUTS,2010,BE3,1,0.0331
2017,NUTS,2010,BE3,1,0.0328
2018,NUTS,2010,BE3,1,0.0348
2019,NUTS,2010,BE3,1,0.0356
2011,NUTS,2010,BG,0,0.3271
2012,NUTS,2010,BG,0,0.3357
2013,NUTS,2010,BG,0,0.3239
2014,NUTS,2010,BG,0,0.3161
2015,NUTS,2010,BG,0,0.297
2016,NUTS,2010,BG,0,0.2965
2017,NUTS,2010,BG,0,0.2829
2018,NUTS,2010,BG,0,0.2879
2019,NUTS,2010,BG,0,0.287
2011,NUTS,2010,BG3,1,0.1022
2012,NUTS,2010,BG3,1,0.1166
2013,NUTS,2010,BG3,1,0.1124
2014,NUTS,2010,BG3,1,0.1183
2015,NUTS,2010,BG3,1,0.1
2016,NUTS,2010,BG3,1,0.103
2017,NUTS,2010,BG3,1,0.0976
2018,NUTS,2010,BG3,1,0.1075
2019,NUTS,2010,BG3,1,0.1086
2011,NUTS,2010,BG31,2,0.1484
2012,NUTS,2010,BG31,2,0.1808
2013,NUTS,2010,BG31,2,0.1772
2014,NUTS,2010,BG31,2,0.1745
2015,NUTS,2010,BG31,2,0.1605
2016,NUTS,2010,BG31,2,0.1615
2018,NUTS,2010,BG31,2,0.1706
2019,NUTS,2010,BG31,2,0.1719
2011,NUTS,2010,BG32,2,0.0357
2012,NUTS,2010,BG32,2,0.0462
2013,NUTS,2010,BG32,2,0.0458
2014,NUTS,2010,BG32,2,0.0442
2015,NUTS,2010,BG32,2,0.0296
2016,NUTS,2010,BG32,2,0.0291
2017,NUTS,2010,BG32,2,0.0282
2018,NUTS,2010,BG32,2,0.0279
2019,NUTS,2010,BG32,2,0.0293
2011,NUTS,2010,BG33,2,0.1603
2012,NUTS,2010,BG33,2,0.1749
2013,NUTS,2010,BG33,2,0.1559
2014,NUTS,2010,BG33,2,0.1822
2015,NUTS,2010,BG33,2,0.1585
2016,NUTS,2010,BG33,2,0.1614
2017,NUTS,2010,BG33,2,0.1539
2018,NUTS,2010,BG33,2,0.1761
2019,NUTS,2010,BG33,2,0.1762
2011,NUTS,2010,BG34,2,0.0693
2012,NUTS,2010,BG34,2,0.076
2013,NUTS,2010,BG34,2,0.0792
2014,NUTS,2010,BG34,2,0.077
2015,NUTS,2010,BG34,2,0.0583
2016,NUTS,2010,BG34,2,0.0683
2018,NUTS,2010,BG34,2,0.066
2019,NUTS,2010,BG34,2,0.071
2011,NUTS,2010,BG4,1,0.5148
2012,NUTS,2010,BG4,1,0.5154
2013,NUTS,2010,BG4,1,0.4931
2014,NUTS,2010,BG4,1,0.4716
2015,NUTS,2010,BG4,1,0.4557
2016,NUTS,2010,BG4,1,0.45
2017,NUTS,2010,BG4,1,0.4247
2018,NUTS,2010,BG4,1,0.4231
2019,NUTS,2010,BG4,1,0.4198
2011,NUTS,2010,BG41,2,0.7544
2012,NUTS,2010,BG41,2,0.7593
2013,NUTS,2010,BG41,2,0.7332
2014,NUTS,2010,BG41,2,0.7061
2015,NUTS,2010,BG41,2,0.6769
2016,NUTS,2010,BG41,2,0.6662
2017,NUTS,2010,BG41,2,0.6351
2018,NUTS,2010,BG41,2,0.6231
2019,NUTS,2010,BG41,2,0.6176
2011,NUTS,2010,BG42,2,0.0952
2012,NUTS,2010,BG42,2,0.0953
2013,NUTS,2010,BG42,2,0.0952
2014,NUTS,2010,BG42,2,0.0902
2015,NUTS,2010,BG42,2,0.0857
2016,NUTS,2010,BG42,2,0.0849
2017,NUTS,2010,BG42,2,0.08
2018,NUTS,2010,BG42,2,0.0855
2019,NUTS,2010,BG42,2,0.0903
2012,NUTS,2010,CH,0,0.037
