year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_lsr_p_mact
2011,NUTS,2010,LT00,2,0.675
2012,NUTS,2010,LT00,2,3.056
2011,NUTS,2010,NL,0,0.516
2012,NUTS,2010,NL,0,1.354
2011,NUTS,2010,NL3,1,0.241
2012,NUTS,2010,NL3,1,0.709
2011,NUTS,2010,NL33,2,0.542
2012,NUTS,2010,NL33,2,1.599
2011,NUTS,2010,NL4,1,1.877
2012,NUTS,2010,NL4,1,4.769
2011,NUTS,2010,NL41,2,2.689
2012,NUTS,2010,NL41,2,6.833
2011,NUTS,2010,PT,0,0.074
2011,NUTS,2010,PT1,1,0.077
2011,NUTS,2010,PT11,2,0.208
2011,NUTS,2010,SE,0,0.319
2012,NUTS,2010,SE,0,0.198
2011,NUTS,2010,SE1,1,0.506
2012,NUTS,2010,SE1,1,0.499
2011,NUTS,2010,SE11,2,0.856
2012,NUTS,2010,SE11,2,0.632
2012,NUTS,2010,SE12,2,0.306
2011,NUTS,2010,SE2,1,0.277
2011,NUTS,2010,SE22,2,0.82
2012,NUTS,2010,TR,0,0.037
2012,NUTS,2010,TR4,1,0.362
2012,NUTS,2010,TR42,2,0.727
2011,NUTS,2010,UK,0,0.325
2012,NUTS,2010,UK,0,0.475
2011,NUTS,2010,UKD,1,0.288
2012,NUTS,2010,UKD,1,0.428
2011,NUTS,2010,UKD3,2,0.745
2012,NUTS,2010,UKD3,2,0.372
2012,NUTS,2010,UKD6,2,2.182
2011,NUTS,2010,UKG,1,0.092
2011,NUTS,2010,UKG3,2,0.198
2011,NUTS,2010,UKI,1,0.175
2012,NUTS,2010,UKI,1,0.458
2011,NUTS,2010,UKI1,2,0.432
2011,NUTS,2010,UKJ,1,0.477
2012,NUTS,2010,UKJ,1,1.075
2011,NUTS,2010,UKJ1,2,0.815
2012,NUTS,2010,UKJ1,2,2.405
2011,NUTS,2010,UKJ2,2,0.235
2012,NUTS,2010,UKJ2,2,0.706
2011,NUTS,2010,UKJ3,2,0.823
2012,NUTS,2010,UKJ3,2,0.849
2011,NUTS,2010,UKK,1,0.498
2012,NUTS,2010,UKK,1,0.093
2011,NUTS,2010,UKK1,2,0.27
2011,NUTS,2010,UKK4,2,1.752
2012,NUTS,2010,UKK4,2,0.44
2011,NUTS,2010,UKM,1,1.601
2012,NUTS,2010,UKM,1,1.788
2011,NUTS,2010,UKM2,2,0.956
2012,NUTS,2010,UKM2,2,0.48
2011,NUTS,2010,UKM3,2,2.852
2012,NUTS,2010,UKM3,2,3.968
