year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_rse_pc_act_hc_t
2014,NUTS,2010,BG,0,0.1202
2015,NUTS,2010,BG,0,0.1975
2016,NUTS,2010,BG,0,0.2267
2017,NUTS,2010,BG,0,0.2427
2018,NUTS,2010,BG,0,0.2896
2019,NUTS,2010,BG,0,0.3019
2011,NUTS,2010,BG3,1,0.022
2012,NUTS,2010,BG3,1,0.0347
2014,NUTS,2010,BG3,1,0.0416
2015,NUTS,2010,BG3,1,0.1028
2016,NUTS,2010,BG3,1,0.0956
2017,NUTS,2010,BG3,1,0.1209
2018,NUTS,2010,BG3,1,0.1475
2019,NUTS,2010,BG3,1,0.1542
2016,NUTS,2010,BG31,2,0.1163
2017,NUTS,2010,BG31,2,0.1679
2018,NUTS,2010,BG31,2,0.2013
2019,NUTS,2010,BG31,2,0.1823
2011,NUTS,2010,BG32,2,0.0203
2012,NUTS,2010,BG32,2,0.0264
2013,NUTS,2010,BG32,2,0.0323
2014,NUTS,2010,BG32,2,0.0414
2016,NUTS,2010,BG32,2,0.0758
2017,NUTS,2010,BG32,2,0.1221
2018,NUTS,2010,BG32,2,0.1579
2019,NUTS,2010,BG32,2,0.1651
2016,NUTS,2010,BG33,2,0.1034
2017,NUTS,2010,BG33,2,0.1105
2018,NUTS,2010,BG33,2,0.1296
2019,NUTS,2010,BG33,2,0.1468
2011,NUTS,2010,BG34,2,0.0249
2012,NUTS,2010,BG34,2,0.0338
2015,NUTS,2010,BG34,2,0.1095
2016,NUTS,2010,BG34,2,0.0903
2017,NUTS,2010,BG34,2,0.0995
2018,NUTS,2010,BG34,2,0.1212
2019,NUTS,2010,BG34,2,0.1347
2011,NUTS,2010,BG4,1,0.0809
2012,NUTS,2010,BG4,1,0.1059
2014,NUTS,2010,BG4,1,0.1874
2015,NUTS,2010,BG4,1,0.2779
2016,NUTS,2010,BG4,1,0.3383
2017,NUTS,2010,BG4,1,0.3424
2018,NUTS,2010,BG4,1,0.4032
2019,NUTS,2010,BG4,1,0.4179
2011,NUTS,2010,BG41,2,0.1092
2012,NUTS,2010,BG41,2,0.147
2013,NUTS,2010,BG41,2,0.2078
2015,NUTS,2010,BG41,2,0.4001
2016,NUTS,2010,BG41,2,0.4888
2017,NUTS,2010,BG41,2,0.4847
2018,NUTS,2010,BG41,2,0.5585
2019,NUTS,2010,BG41,2,0.5787
2011,NUTS,2010,BG42,2,0.0344
2012,NUTS,2010,BG42,2,0.0393
2015,NUTS,2010,BG42,2,0.079
2016,NUTS,2010,BG42,2,0.0888
2017,NUTS,2010,BG42,2,0.1139
2018,NUTS,2010,BG42,2,0.1452
2019,NUTS,2010,BG42,2,0.1523
2012,NUTS,2010,CH,0,0.4053
2015,NUTS,2010,CH,0,0.5179
2017,NUTS,2010,CH,0,0.4937
2019,NUTS,2010,CH,0,0.5394
2012,NUTS,2010,CH01,2,0.3077
2015,NUTS,2010,CH01,2,0.5102
2017,NUTS,2010,CH01,2,0.3938
2019,NUTS,2010,CH01,2,0.443
2012,NUTS,2010,CH02,2,0.3705
2015,NUTS,2010,CH02,2,0.3137
2017,NUTS,2010,CH02,2,0.3474
2019,NUTS,2010,CH02,2,0.3143
2012,NUTS,2010,CH03,2,0.4829
2015,NUTS,2010,CH03,2,1.0449
2017,NUTS,2010,CH03,2,1.089
2019,NUTS,2010,CH03,2,1.1781
2012,NUTS,2010,CH04,2,0.5271
2015,NUTS,2010,CH04,2,0.5124
2017,NUTS,2010,CH04,2,0.4249
2019,NUTS,2010,CH04,2,0.4695
2012,NUTS,2010,CH05,2,0.3581
2015,NUTS,2010,CH05,2,0.3583
2017,NUTS,2010,CH05,2,0.2813
2019,NUTS,2010,CH05,2,0.4643
2012,NUTS,2010,CH06,2,0.3241
2015,NUTS,2010,CH06,2,0.4542
2017,NUTS,2010,CH06,2,0.5077
2019,NUTS,2010,CH06,2,0.4952
2012,NUTS,2010,CH07,2,0.2703
2015,NUTS,2010,CH07,2,0.1811
2017,NUTS,2010,CH07,2,0.2925
2019,NUTS,2010,CH07,2,0.225
2011,NUTS,2010,CY,0,0.0855
2012,NUTS,2010,CY,0,0.0793
2013,NUTS,2010,CY,0,0.0798
2014,NUTS,2010,CY,0,0.0765
2015,NUTS,2010,CY,0,0.0702
2016,NUTS,2010,CY,0,0.0904
2017,NUTS,2010,CY,0,0.1053
2018,NUTS,2010,CY,0,0.1479
2019,NUTS,2010,CY,0,0.1591
2011,NUTS,2010,CZ,0,0.3106
2012,NUTS,2010,CZ,0,0.3403
2013,NUTS,2010,CZ,0,0.3669
2014,NUTS,2010,CZ,0,0.4125
2015,NUTS,2010,CZ,0,0.4333
2016,NUTS,2010,CZ,0,0.434
2017,NUTS,2010,CZ,0,0.4569
2018,NUTS,2010,CZ,0,0.4799
2019,NUTS,2010,CZ,0,0.4918
2020,NUTS,2010,CZ,0,0.5077
2011,NUTS,2010,CZ0,1,0.306
2012,NUTS,2010,CZ0,1,0.335
2013,NUTS,2010,CZ0,1,0.3604
2014,NUTS,2010,CZ0,1,0.4053
2015,NUTS,2010,CZ0,1,0.4245
2016,NUTS,2010,CZ0,1,0.4239
2017,NUTS,2010,CZ0,1,0.4459
2018,NUTS,2010,CZ0,1,0.4667
2019,NUTS,2010,CZ0,1,0.4779
2020,NUTS,2010,CZ0,1,0.4937
2011,NUTS,2010,CZ01,2,0.5714
2012,NUTS,2010,CZ01,2,0.6657
2013,NUTS,2010,CZ01,2,0.7438
2014,NUTS,2010,CZ01,2,0.7785
2015,NUTS,2010,CZ01,2,0.8074
2016,NUTS,2010,CZ01,2,0.864
2017,NUTS,2010,CZ01,2,0.9404
2018,NUTS,2010,CZ01,2,1.0662
2019,NUTS,2010,CZ01,2,0.9451
2020,NUTS,2010,CZ01,2,1.0128
2011,NUTS,2010,CZ02,2,0.4325
2012,NUTS,2010,CZ02,2,0.4227
2013,NUTS,2010,CZ02,2,0.3899
2014,NUTS,2010,CZ02,2,0.388
2015,NUTS,2010,CZ02,2,0.4092
2016,NUTS,2010,CZ02,2,0.3382
2017,NUTS,2010,CZ02,2,0.3628
2018,NUTS,2010,CZ02,2,0.4094
2019,NUTS,2010,CZ02,2,0.4361
2020,NUTS,2010,CZ02,2,0.4331
2011,NUTS,2010,CZ03,2,0.1597
2012,NUTS,2010,CZ03,2,0.1839
2013,NUTS,2010,CZ03,2,0.1883
2014,NUTS,2010,CZ03,2,0.2288
2015,NUTS,2010,CZ03,2,0.2355
2016,NUTS,2010,CZ03,2,0.2286
2017,NUTS,2010,CZ03,2,0.2368
2018,NUTS,2010,CZ03,2,0.2661
2019,NUTS,2010,CZ03,2,0.3143
2020,NUTS,2010,CZ03,2,0.3125
2011,NUTS,2010,CZ04,2,0.0693
2012,NUTS,2010,CZ04,2,0.0764
2013,NUTS,2010,CZ04,2,0.0667
2014,NUTS,2010,CZ04,2,0.0869
2015,NUTS,2010,CZ04,2,0.0792
2016,NUTS,2010,CZ04,2,0.0744
2017,NUTS,2010,CZ04,2,0.0879
2018,NUTS,2010,CZ04,2,0.0863
2019,NUTS,2010,CZ04,2,0.0867
2020,NUTS,2010,CZ04,2,0.0869
2011,NUTS,2010,CZ05,2,0.2844
2012,NUTS,2010,CZ05,2,0.319
2013,NUTS,2010,CZ05,2,0.3405
2014,NUTS,2010,CZ05,2,0.353
2015,NUTS,2010,CZ05,2,0.3306
2016,NUTS,2010,CZ05,2,0.321
2017,NUTS,2010,CZ05,2,0.333
2018,NUTS,2010,CZ05,2,0.3273
2019,NUTS,2010,CZ05,2,0.349
2020,NUTS,2010,CZ05,2,0.3606
2011,NUTS,2010,CZ06,2,0.408
2012,NUTS,2010,CZ06,2,0.4365
2013,NUTS,2010,CZ06,2,0.5192
2014,NUTS,2010,CZ06,2,0.6657
2015,NUTS,2010,CZ06,2,0.7412
2016,NUTS,2010,CZ06,2,0.742
2017,NUTS,2010,CZ06,2,0.7159
2018,NUTS,2010,CZ06,2,0.674
2019,NUTS,2010,CZ06,2,0.7378
2020,NUTS,2010,CZ06,2,0.7967
2011,NUTS,2010,CZ07,2,0.2525
2012,NUTS,2010,CZ07,2,0.2794
2013,NUTS,2010,CZ07,2,0.3113
2014,NUTS,2010,CZ07,2,0.3704
2015,NUTS,2010,CZ07,2,0.354
2016,NUTS,2010,CZ07,2,0.3658
2017,NUTS,2010,CZ07,2,0.3964
2018,NUTS,2010,CZ07,2,0.4144
2019,NUTS,2010,CZ07,2,0.45
2020,NUTS,2010,CZ07,2,0.4216
2011,NUTS,2010,CZ08,2,0.1857
2012,NUTS,2010,CZ08,2,0.1956
2013,NUTS,2010,CZ08,2,0.1978
2014,NUTS,2010,CZ08,2,0.2201
2015,NUTS,2010,CZ08,2,0.2668
2016,NUTS,2010,CZ08,2,0.2877
2017,NUTS,2010,CZ08,2,0.322
2018,NUTS,2010,CZ08,2,0.313
2019,NUTS,2010,CZ08,2,0.3116
2020,NUTS,2010,CZ08,2,0.3067
2011,NUTS,2010,DE,0,0.544
2013,NUTS,2010,DE,0,0.5514
2015,NUTS,2010,DE,0,0.6251
2017,NUTS,2010,DE,0,0.6758
2019,NUTS,2010,DE,0,0.7399
2011,NUTS,2010,DE1,1,1.1111
2013,NUTS,2010,DE1,1,1.1218
2015,NUTS,2010,DE1,1,1.2423
2017,NUTS,2010,DE1,1,1.4401
2019,NUTS,2010,DE1,1,1.5297
2011,NUTS,2010,DE11,2,1.7058
2013,NUTS,2010,DE11,2,1.7852
2015,NUTS,2010,DE11,2,1.9538
2017,NUTS,2010,DE11,2,2.3167
2019,NUTS,2010,DE11,2,2.3984
2011,NUTS,2010,DE12,2,0.8299
2013,NUTS,2010,DE12,2,0.7687
2015,NUTS,2010,DE12,2,0.8865
2017,NUTS,2010,DE12,2,1.0823
2019,NUTS,2010,DE12,2,1.1363
2011,NUTS,2010,DE13,2,0.5056
2013,NUTS,2010,DE13,2,0.479
2015,NUTS,2010,DE13,2,0.5273
2017,NUTS,2010,DE13,2,0.5644
2019,NUTS,2010,DE13,2,0.6519
2011,NUTS,2010,DE14,2,0.9803
2013,NUTS,2010,DE14,2,0.9853
2015,NUTS,2010,DE14,2,1.0475
2017,NUTS,2010,DE14,2,1.0736
2019,NUTS,2010,DE14,2,1.221
2011,NUTS,2010,DE2,1,0.7384
2013,NUTS,2010,DE2,1,0.7354
2015,NUTS,2010,DE2,1,0.8432
2017,NUTS,2010,DE2,1,0.8656
2019,NUTS,2010,DE2,1,0.9876
2011,NUTS,2010,DE21,2,1.2438
2013,NUTS,2010,DE21,2,1.2403
2015,NUTS,2010,DE21,2,1.3839
2017,NUTS,2010,DE21,2,1.327
2019,NUTS,2010,DE21,2,1.5242
2011,NUTS,2010,DE22,2,0.2846
2013,NUTS,2010,DE22,2,0.2843
2015,NUTS,2010,DE22,2,0.3229
2017,NUTS,2010,DE22,2,0.4135
2019,NUTS,2010,DE22,2,0.477
2011,NUTS,2010,DE23,2,0.4215
2013,NUTS,2010,DE23,2,0.3717
2015,NUTS,2010,DE23,2,0.4623
2017,NUTS,2010,DE23,2,0.5992
2019,NUTS,2010,DE23,2,0.7262
2011,NUTS,2010,DE24,2,0.3443
2013,NUTS,2010,DE24,2,0.3493
2015,NUTS,2010,DE24,2,0.4029
2017,NUTS,2010,DE24,2,0.4408
2019,NUTS,2010,DE24,2,0.6282
2011,NUTS,2010,DE25,2,0.7955
2013,NUTS,2010,DE25,2,0.69
2015,NUTS,2010,DE25,2,0.83
2017,NUTS,2010,DE25,2,0.7934
2019,NUTS,2010,DE25,2,0.9293
2011,NUTS,2010,DE26,2,0.5322
2013,NUTS,2010,DE26,2,0.5607
2015,NUTS,2010,DE26,2,0.5832
2017,NUTS,2010,DE26,2,0.8325
2019,NUTS,2010,DE26,2,0.8393
2011,NUTS,2010,DE27,2,0.3057
2013,NUTS,2010,DE27,2,0.3718
2015,NUTS,2010,DE27,2,0.4877
2017,NUTS,2010,DE27,2,0.4676
2019,NUTS,2010,DE27,2,0.4676
2011,NUTS,2010,DE3,1,0.4499
2013,NUTS,2010,DE3,1,0.4308
2015,NUTS,2010,DE3,1,0.515
2017,NUTS,2010,DE3,1,0.4907
2019,NUTS,2010,DE3,1,0.5255
2011,NUTS,2010,DE30,2,0.4499
2013,NUTS,2010,DE30,2,0.4308
2015,NUTS,2010,DE30,2,0.515
2017,NUTS,2010,DE30,2,0.4907
2019,NUTS,2010,DE30,2,0.5255
2011,NUTS,2010,DE4,1,0.142
2013,NUTS,2010,DE4,1,0.1619
2015,NUTS,2010,DE4,1,0.1867
2017,NUTS,2010,DE4,1,0.2252
2019,NUTS,2010,DE4,1,0.2323
2011,NUTS,2010,DE40,2,0.142
2013,NUTS,2010,DE40,2,0.1619
2015,NUTS,2010,DE40,2,0.1867
2017,NUTS,2010,DE40,2,0.2252
2019,NUTS,2010,DE40,2,0.2323
2011,NUTS,2010,DE5,1,0.8136
2013,NUTS,2010,DE5,1,0.4599
2015,NUTS,2010,DE5,1,0.5489
2017,NUTS,2010,DE5,1,0.4881
2019,NUTS,2010,DE5,1,0.5942
2011,NUTS,2010,DE50,2,0.8136
2013,NUTS,2010,DE50,2,0.4599
2015,NUTS,2010,DE50,2,0.5489
2017,NUTS,2010,DE50,2,0.4881
2019,NUTS,2010,DE50,2,0.5942
2011,NUTS,2010,DE6,1,0.3928
2013,NUTS,2010,DE6,1,0.5038
2015,NUTS,2010,DE6,1,0.5301
2017,NUTS,2010,DE6,1,0.616
2019,NUTS,2010,DE6,1,0.6338
2011,NUTS,2010,DE60,2,0.3928
2013,NUTS,2010,DE60,2,0.5038
2015,NUTS,2010,DE60,2,0.5301
2017,NUTS,2010,DE60,2,0.616
2019,NUTS,2010,DE60,2,0.6338
2011,NUTS,2010,DE7,1,0.6039
2013,NUTS,2010,DE7,1,0.5534
2015,NUTS,2010,DE7,1,0.7084
2017,NUTS,2010,DE7,1,0.7098
2019,NUTS,2010,DE7,1,0.7275
2011,NUTS,2010,DE71,2,0.7998
2013,NUTS,2010,DE71,2,0.6906
2015,NUTS,2010,DE71,2,0.89
2017,NUTS,2010,DE71,2,0.8958
2019,NUTS,2010,DE71,2,0.9244
2011,NUTS,2010,DE72,2,0.3853
2013,NUTS,2010,DE72,2,0.4123
2015,NUTS,2010,DE72,2,0.4213
2017,NUTS,2010,DE72,2,0.4276
2019,NUTS,2010,DE72,2,0.4419
2011,NUTS,2010,DE73,2,0.1686
2013,NUTS,2010,DE73,2,0.2301
2015,NUTS,2010,DE73,2,0.3615
2017,NUTS,2010,DE73,2,0.3274
2019,NUTS,2010,DE73,2,0.3036
2011,NUTS,2010,DE8,1,0.2175
2013,NUTS,2010,DE8,1,0.1611
2015,NUTS,2010,DE8,1,0.1657
2017,NUTS,2010,DE8,1,0.1923
2019,NUTS,2010,DE8,1,0.2117
2011,NUTS,2010,DE80,2,0.2175
2013,NUTS,2010,DE80,2,0.1611
2015,NUTS,2010,DE80,2,0.1657
2017,NUTS,2010,DE80,2,0.1923
2019,NUTS,2010,DE80,2,0.2117
2011,NUTS,2010,DE9,1,0.4102
2013,NUTS,2010,DE9,1,0.4426
2015,NUTS,2010,DE9,1,0.451
2017,NUTS,2010,DE9,1,0.4667
2019,NUTS,2010,DE9,1,0.5143
2011,NUTS,2010,DE91,2,1.0916
2013,NUTS,2010,DE91,2,1.2259
2015,NUTS,2010,DE91,2,1.1931
2017,NUTS,2010,DE91,2,1.2765
2019,NUTS,2010,DE91,2,1.3667
2011,NUTS,2010,DE92,2,0.4494
2013,NUTS,2010,DE92,2,0.4184
2015,NUTS,2010,DE92,2,0.464
2017,NUTS,2010,DE92,2,0.4206
2019,NUTS,2010,DE92,2,0.4586
2011,NUTS,2010,DE93,2,0.1355
2013,NUTS,2010,DE93,2,0.1665
2015,NUTS,2010,DE93,2,0.1689
2017,NUTS,2010,DE93,2,0.1865
2019,NUTS,2010,DE93,2,0.2039
2011,NUTS,2010,DE94,2,0.1262
2013,NUTS,2010,DE94,2,0.1621
2015,NUTS,2010,DE94,2,0.1701
2017,NUTS,2010,DE94,2,0.2013
2019,NUTS,2010,DE94,2,0.2493
2011,NUTS,2010,DEA,1,0.353
2013,NUTS,2010,DEA,1,0.3605
2015,NUTS,2010,DEA,1,0.4095
2017,NUTS,2010,DEA,1,0.4299
2019,NUTS,2010,DEA,1,0.4648
2011,NUTS,2010,DEA1,2,0.3564
2013,NUTS,2010,DEA1,2,0.3361
2015,NUTS,2010,DEA1,2,0.4234
2017,NUTS,2010,DEA1,2,0.436
2019,NUTS,2010,DEA1,2,0.4581
2011,NUTS,2010,DEA2,2,0.4695
2013,NUTS,2010,DEA2,2,0.423
2015,NUTS,2010,DEA2,2,0.4941
2017,NUTS,2010,DEA2,2,0.5271
2019,NUTS,2010,DEA2,2,0.5922
2011,NUTS,2010,DEA3,2,0.1369
2013,NUTS,2010,DEA3,2,0.1542
2015,NUTS,2010,DEA3,2,0.1565
2017,NUTS,2010,DEA3,2,0.1691
2019,NUTS,2010,DEA3,2,0.1979
2011,NUTS,2010,DEA4,2,0.4611
2013,NUTS,2010,DEA4,2,0.5505
2015,NUTS,2010,DEA4,2,0.5735
2017,NUTS,2010,DEA4,2,0.6057
2019,NUTS,2010,DEA4,2,0.6757
2011,NUTS,2010,DEA5,2,0.3005
2013,NUTS,2010,DEA5,2,0.3587
2015,NUTS,2010,DEA5,2,0.3754
2017,NUTS,2010,DEA5,2,0.3855
2019,NUTS,2010,DEA5,2,0.3923
2011,NUTS,2010,DEB,1,0.3056
2013,NUTS,2010,DEB,1,0.3227
2015,NUTS,2010,DEB,1,0.3723
2017,NUTS,2010,DEB,1,0.3689
2019,NUTS,2010,DEB,1,0.4466
2011,NUTS,2010,DEB1,2,0.1852
2013,NUTS,2010,DEB1,2,0.1741
2015,NUTS,2010,DEB1,2,0.148
2017,NUTS,2010,DEB1,2,0.1736
2019,NUTS,2010,DEB1,2,0.227
2011,NUTS,2010,DEB2,2,0.1767
2013,NUTS,2010,DEB2,2,0.1848
2015,NUTS,2010,DEB2,2,0.1504
2017,NUTS,2010,DEB2,2,0.1426
2019,NUTS,2010,DEB2,2,0.1504
2011,NUTS,2010,DEB3,2,0.4292
2013,NUTS,2010,DEB3,2,0.4673
2015,NUTS,2010,DEB3,2,0.5981
2017,NUTS,2010,DEB3,2,0.5733
2019,NUTS,2010,DEB3,2,0.6874
2011,NUTS,2010,DEC,1,0.2222
2013,NUTS,2010,DEC,1,0.2295
2015,NUTS,2010,DEC,1,0.2312
2017,NUTS,2010,DEC,1,0.3559
2019,NUTS,2010,DEC,1,0.3819
2011,NUTS,2010,DEC0,2,0.2222
2013,NUTS,2010,DEC0,2,0.2295
2015,NUTS,2010,DEC0,2,0.2312
2017,NUTS,2010,DEC0,2,0.3559
2019,NUTS,2010,DEC0,2,0.3819
2011,NUTS,2010,DED,1,0.375
2013,NUTS,2010,DED,1,0.3777
2015,NUTS,2010,DED,1,0.4036
2017,NUTS,2010,DED,1,0.4486
2019,NUTS,2010,DED,1,0.497
2011,NUTS,2010,DED2,2,0.5194
2013,NUTS,2010,DED2,2,0.4908
2015,NUTS,2010,DED2,2,0.5519
2017,NUTS,2010,DED2,2,0.6302
2019,NUTS,2010,DED2,2,0.6871
2011,NUTS,2010,DED4,2,0.3482
2013,NUTS,2010,DED4,2,0.4085
2015,NUTS,2010,DED4,2,0.3921
2017,NUTS,2010,DED4,2,0.4197
2019,NUTS,2010,DED4,2,0.5001
2011,NUTS,2010,DED5,2,0.1851
2013,NUTS,2010,DED5,2,0.1606
2015,NUTS,2010,DED5,2,0.1906
2017,NUTS,2010,DED5,2,0.2118
2019,NUTS,2010,DED5,2,0.2102
2011,NUTS,2010,DEE,1,0.1497
2013,NUTS,2010,DEE,1,0.1642
2015,NUTS,2010,DEE,1,0.1396
2017,NUTS,2010,DEE,1,0.1538
2019,NUTS,2010,DEE,1,0.1777
2011,NUTS,2010,DEE0,2,0.1497
2013,NUTS,2010,DEE0,2,0.1642
2015,NUTS,2010,DEE0,2,0.1396
2017,NUTS,2010,DEE0,2,0.1538
2019,NUTS,2010,DEE0,2,0.1777
2011,NUTS,2010,DEF,1,0.2049
2013,NUTS,2010,DEF,1,0.2168
2015,NUTS,2010,DEF,1,0.2307
2017,NUTS,2010,DEF,1,0.2507
2019,NUTS,2010,DEF,1,0.2494
2011,NUTS,2010,DEF0,2,0.2049
2013,NUTS,2010,DEF0,2,0.2168
2015,NUTS,2010,DEF0,2,0.2307
2017,NUTS,2010,DEF0,2,0.2507
2019,NUTS,2010,DEF0,2,0.2494
2011,NUTS,2010,DEG,1,0.3395
2013,NUTS,2010,DEG,1,0.3315
2015,NUTS,2010,DEG,1,0.3474
2017,NUTS,2010,DEG,1,0.4026
2019,NUTS,2010,DEG,1,0.4602
2011,NUTS,2010,DEG0,2,0.3395
2013,NUTS,2010,DEG0,2,0.3315
2015,NUTS,2010,DEG0,2,0.3474
2017,NUTS,2010,DEG0,2,0.4026
2019,NUTS,2010,DEG0,2,0.4602
2011,NUTS,2010,DK,0,1.0217
2012,NUTS,2010,DK,0,1.0502
2013,NUTS,2010,DK,0,1.021
2014,NUTS,2010,DK,0,1.0317
2015,NUTS,2010,DK,0,1.0577
2016,NUTS,2010,DK,0,1.1075
2017,NUTS,2010,DK,0,1.0938
2018,NUTS,2010,DK,0,1.0353
2019,NUTS,2010,DK,0,1.0583
2020,NUTS,2010,DK,0,1.0526
2011,NUTS,2010,DK0,1,0.9662
2012,NUTS,2010,DK0,1,1.0207
2013,NUTS,2010,DK0,1,0.9925
2014,NUTS,2010,DK0,1,1.001
2015,NUTS,2010,DK0,1,1.0257
2016,NUTS,2010,DK0,1,1.072
2017,NUTS,2010,DK0,1,1.06
2018,NUTS,2010,DK0,1,1.0029
2019,NUTS,2010,DK0,1,1.0235
2011,NUTS,2010,DK01,2,1.9874
2012,NUTS,2010,DK01,2,1.9993
2013,NUTS,2010,DK01,2,1.8868
2014,NUTS,2010,DK01,2,1.8406
2015,NUTS,2010,DK01,2,1.905
2016,NUTS,2010,DK01,2,1.9232
2017,NUTS,2010,DK01,2,1.9273
2019,NUTS,2010,DK01,2,1.7925
2011,NUTS,2010,DK02,2,0.2326
2012,NUTS,2010,DK02,2,0.3065
2013,NUTS,2010,DK02,2,0.2984
2014,NUTS,2010,DK02,2,0.2289
2015,NUTS,2010,DK02,2,0.2265
2016,NUTS,2010,DK02,2,0.2357
2017,NUTS,2010,DK02,2,0.3516
2019,NUTS,2010,DK02,2,0.2921
2011,NUTS,2010,DK03,2,0.5084
2012,NUTS,2010,DK03,2,0.5731
2013,NUTS,2010,DK03,2,0.6125
2014,NUTS,2010,DK03,2,0.6877
2015,NUTS,2010,DK03,2,0.6761
2016,NUTS,2010,DK03,2,0.7815
2017,NUTS,2010,DK03,2,0.6939
2019,NUTS,2010,DK03,2,0.6279
2011,NUTS,2010,DK04,2,0.696
2012,NUTS,2010,DK04,2,0.7867
2013,NUTS,2010,DK04,2,0.8033
2014,NUTS,2010,DK04,2,0.8463
2015,NUTS,2010,DK04,2,0.8473
2016,NUTS,2010,DK04,2,0.8545
2017,NUTS,2010,DK04,2,0.8089
2019,NUTS,2010,DK04,2,1.0072
2011,NUTS,2010,DK05,2,0.2791
2012,NUTS,2010,DK05,2,0.3095
2013,NUTS,2010,DK05,2,0.2499
2014,NUTS,2010,DK05,2,0.2975
2015,NUTS,2010,DK05,2,0.3088
2016,NUTS,2010,DK05,2,0.4242
2017,NUTS,2010,DK05,2,0.4191
2019,NUTS,2010,DK05,2,0.2859
2011,NUTS,2010,EA19,2,0.4551
2013,NUTS,2010,EA19,2,0.4996
