year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_rse_pc_act_hc_t
2011,NUTS,2010,AT,0,0.7095
2013,NUTS,2010,AT,0,0.7862
2015,NUTS,2010,AT,0,0.8526
2017,NUTS,2010,AT,0,0.8777
2019,NUTS,2010,AT,0,0.9842
2011,NUTS,2010,AT1,1,0.6822
2013,NUTS,2010,AT1,1,0.7416
2015,NUTS,2010,AT1,1,0.7633
2017,NUTS,2010,AT1,1,0.7255
2019,NUTS,2010,AT1,1,0.7829
2011,NUTS,2010,AT11,2,0.2615
2013,NUTS,2010,AT11,2,0.3319
2015,NUTS,2010,AT11,2,0.3466
2017,NUTS,2010,AT11,2,0.3807
2019,NUTS,2010,AT11,2,0.4135
2011,NUTS,2010,AT12,2,0.4069
2013,NUTS,2010,AT12,2,0.3926
2015,NUTS,2010,AT12,2,0.4167
2017,NUTS,2010,AT12,2,0.4159
2019,NUTS,2010,AT12,2,0.5083
2011,NUTS,2010,AT13,2,1.0196
2013,NUTS,2010,AT13,2,1.1345
2015,NUTS,2010,AT13,2,1.152
2017,NUTS,2010,AT13,2,1.0619
2019,NUTS,2010,AT13,2,1.081
2011,NUTS,2010,AT2,1,0.9266
2013,NUTS,2010,AT2,1,0.9567
2015,NUTS,2010,AT2,1,1.0899
2017,NUTS,2010,AT2,1,1.1644
2019,NUTS,2010,AT2,1,1.4218
2011,NUTS,2010,AT21,2,0.7037
2013,NUTS,2010,AT21,2,0.711
2015,NUTS,2010,AT21,2,0.8402
2017,NUTS,2010,AT21,2,0.8943
2019,NUTS,2010,AT21,2,1.0581
2011,NUTS,2010,AT22,2,1.0251
2013,NUTS,2010,AT22,2,1.0659
2015,NUTS,2010,AT22,2,1.2005
2017,NUTS,2010,AT22,2,1.2817
2019,NUTS,2010,AT22,2,1.5792
2011,NUTS,2010,AT3,1,0.5952
2013,NUTS,2010,AT3,1,0.7157
2015,NUTS,2010,AT3,1,0.794
2017,NUTS,2010,AT3,1,0.871
2019,NUTS,2010,AT3,1,0.9476
2011,NUTS,2010,AT31,2,0.6912
2013,NUTS,2010,AT31,2,0.8741
2015,NUTS,2010,AT31,2,0.9761
2017,NUTS,2010,AT31,2,1.0206
2019,NUTS,2010,AT31,2,1.1623
2011,NUTS,2010,AT32,2,0.4179
2013,NUTS,2010,AT32,2,0.4354
2015,NUTS,2010,AT32,2,0.4749
2017,NUTS,2010,AT32,2,0.6625
2019,NUTS,2010,AT32,2,0.7138
2011,NUTS,2010,AT33,2,0.5738
2013,NUTS,2010,AT33,2,0.6013
2015,NUTS,2010,AT33,2,0.6601
2017,NUTS,2010,AT33,2,0.7609
2019,NUTS,2010,AT33,2,0.7746
2011,NUTS,2010,AT34,2,0.5235
2013,NUTS,2010,AT34,2,0.7355
2015,NUTS,2010,AT34,2,0.8071
2017,NUTS,2010,AT34,2,0.8124
2019,NUTS,2010,AT34,2,0.8029
2011,NUTS,2010,BE,0,0.5877
2013,NUTS,2010,BE,0,0.619
2015,NUTS,2010,BE,0,0.7496
2017,NUTS,2010,BE,0,0.8263
2019,NUTS,2010,BE,0,0.9873
2011,NUTS,2010,BE1,1,0.6305
2013,NUTS,2010,BE1,1,0.8742
2015,NUTS,2010,BE1,1,1.0773
2017,NUTS,2010,BE1,1,1.3063
2019,NUTS,2010,BE1,1,1.6321
2011,NUTS,2010,BE10,2,0.6305
2013,NUTS,2010,BE10,2,0.8742
2015,NUTS,2010,BE10,2,1.0773
2017,NUTS,2010,BE10,2,1.3063
2019,NUTS,2010,BE10,2,1.6321
2011,NUTS,2010,BE2,1,0.5994
2013,NUTS,2010,BE2,1,0.6499
2015,NUTS,2010,BE2,1,0.7511
2017,NUTS,2010,BE2,1,0.8056
2019,NUTS,2010,BE2,1,1.012
2011,NUTS,2010,BE3,1,0.536
2013,NUTS,2010,BE3,1,0.457
2015,NUTS,2010,BE3,1,0.6104
2017,NUTS,2010,BE3,1,0.6707
2019,NUTS,2010,BE3,1,0.668
2011,NUTS,2010,BG,0,0.053
2012,NUTS,2010,BG,0,0.0724
2013,NUTS,2010,BG,0,0.0961
