year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_total_t_pc_emp_fte
2014,NUTS,2010,CZ03,2,0.492
2015,NUTS,2010,CZ03,2,0.507
2016,NUTS,2010,CZ03,2,0.509
2017,NUTS,2010,CZ03,2,0.5085
2018,NUTS,2010,CZ03,2,0.5399
2019,NUTS,2010,CZ03,2,0.6415
2020,NUTS,2010,CZ03,2,0.6237
2011,NUTS,2010,CZ04,2,0.1557
2012,NUTS,2010,CZ04,2,0.1799
2013,NUTS,2010,CZ04,2,0.1745
2014,NUTS,2010,CZ04,2,0.1904
2015,NUTS,2010,CZ04,2,0.1872
2016,NUTS,2010,CZ04,2,0.1641
2017,NUTS,2010,CZ04,2,0.1875
2018,NUTS,2010,CZ04,2,0.1861
2019,NUTS,2010,CZ04,2,0.1982
2020,NUTS,2010,CZ04,2,0.199
2011,NUTS,2010,CZ05,2,0.6623
2012,NUTS,2010,CZ05,2,0.7063
2013,NUTS,2010,CZ05,2,0.7465
2014,NUTS,2010,CZ05,2,0.7156
2015,NUTS,2010,CZ05,2,0.6945
2016,NUTS,2010,CZ05,2,0.6935
2017,NUTS,2010,CZ05,2,0.7408
2018,NUTS,2010,CZ05,2,0.7595
2019,NUTS,2010,CZ05,2,0.7836
2020,NUTS,2010,CZ05,2,0.7541
2011,NUTS,2010,CZ06,2,0.6728
2012,NUTS,2010,CZ06,2,0.7438
2013,NUTS,2010,CZ06,2,0.7864
2014,NUTS,2010,CZ06,2,0.9604
2015,NUTS,2010,CZ06,2,1.0233
2016,NUTS,2010,CZ06,2,1.0181
2017,NUTS,2010,CZ06,2,1.0069
2018,NUTS,2010,CZ06,2,1.0118
2019,NUTS,2010,CZ06,2,1.078
2020,NUTS,2010,CZ06,2,1.2179
2011,NUTS,2010,CZ07,2,0.5193
2012,NUTS,2010,CZ07,2,0.5333
2013,NUTS,2010,CZ07,2,0.5729
2014,NUTS,2010,CZ07,2,0.5756
2015,NUTS,2010,CZ07,2,0.5755
2016,NUTS,2010,CZ07,2,0.6119
2017,NUTS,2010,CZ07,2,0.6734
2018,NUTS,2010,CZ07,2,0.6907
2019,NUTS,2010,CZ07,2,0.7524
2020,NUTS,2010,CZ07,2,0.7525
2011,NUTS,2010,CZ08,2,0.4182
2012,NUTS,2010,CZ08,2,0.432
2013,NUTS,2010,CZ08,2,0.4474
2014,NUTS,2010,CZ08,2,0.5214
2015,NUTS,2010,CZ08,2,0.5152
2016,NUTS,2010,CZ08,2,0.5038
2017,NUTS,2010,CZ08,2,0.544
2018,NUTS,2010,CZ08,2,0.5543
2019,NUTS,2010,CZ08,2,0.5079
2020,NUTS,2010,CZ08,2,0.5254
2011,NUTS,2010,DE,0,0.9513
2012,NUTS,2010,DE,0,0.9718
2013,NUTS,2010,DE,0,0.9451
2014,NUTS,2010,DE,0,0.9682
2015,NUTS,2010,DE,0,1.0471
2016,NUTS,2010,DE,0,1.0421
2017,NUTS,2010,DE,0,1.0929
2018,NUTS,2010,DE,0,1.1249
2019,NUTS,2010,DE,0,1.1739
2020,NUTS,2010,DE,0,1.1773
2011,NUTS,2010,DE1,1,1.837
2013,NUTS,2010,DE1,1,1.8539
2015,NUTS,2010,DE1,1,2.021
2017,NUTS,2010,DE1,1,2.2524
2019,NUTS,2010,DE1,1,2.3651
2011,NUTS,2010,DE11,2,2.7432
2013,NUTS,2010,DE11,2,2.8413
2015,NUTS,2010,DE11,2,3.0961
2017,NUTS,2010,DE11,2,3.5409
2019,NUTS,2010,DE11,2,3.6162
2011,NUTS,2010,DE12,2,1.4057
2013,NUTS,2010,DE12,2,1.3233
2015,NUTS,2010,DE12,2,1.5002
2017,NUTS,2010,DE12,2,1.7443
2019,NUTS,2010,DE12,2,1.8337
2011,NUTS,2010,DE13,2,0.8524
2013,NUTS,2010,DE13,2,0.8172
2015,NUTS,2010,DE13,2,0.8657
2017,NUTS,2010,DE13,2,0.9167
2019,NUTS,2010,DE13,2,1.02
2011,NUTS,2010,DE14,2,1.7232
2013,NUTS,2010,DE14,2,1.7662
2015,NUTS,2010,DE14,2,1.8061
2017,NUTS,2010,DE14,2,1.7489
2019,NUTS,2010,DE14,2,1.9678
2011,NUTS,2010,DE2,1,1.2388
2013,NUTS,2010,DE2,1,1.2106
2015,NUTS,2010,DE2,1,1.3546
2017,NUTS,2010,DE2,1,1.3494
2019,NUTS,2010,DE2,1,1.5258
2011,NUTS,2010,DE21,2,2.0617
2013,NUTS,2010,DE21,2,1.9691
2015,NUTS,2010,DE21,2,2.191
2017,NUTS,2010,DE21,2,2.0725
2019,NUTS,2010,DE21,2,2.3303
2011,NUTS,2010,DE22,2,0.4413
2013,NUTS,2010,DE22,2,0.4511
