year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_total_t_pc_emp_fte
2019,NUTS,2010,DK0,1,1.3064
2011,NUTS,2010,DK01,2,2.6834
2012,NUTS,2010,DK01,2,2.6922
2013,NUTS,2010,DK01,2,2.5821
2014,NUTS,2010,DK01,2,2.5425
2015,NUTS,2010,DK01,2,2.5988
2016,NUTS,2010,DK01,2,2.5772
2017,NUTS,2010,DK01,2,2.5098
2019,NUTS,2010,DK01,2,2.4978
2011,NUTS,2010,DK02,2,0.3776
2012,NUTS,2010,DK02,2,0.3993
2013,NUTS,2010,DK02,2,0.3465
2014,NUTS,2010,DK02,2,0.3194
2015,NUTS,2010,DK02,2,0.3287
2016,NUTS,2010,DK02,2,0.3617
2017,NUTS,2010,DK02,2,0.409
2019,NUTS,2010,DK02,2,0.3863
2011,NUTS,2010,DK03,2,0.781
2012,NUTS,2010,DK03,2,0.8492
2013,NUTS,2010,DK03,2,0.8614
2014,NUTS,2010,DK03,2,0.9351
2015,NUTS,2010,DK03,2,0.9392
2016,NUTS,2010,DK03,2,0.9962
2017,NUTS,2010,DK03,2,0.6335
2019,NUTS,2010,DK03,2,0.683
2011,NUTS,2010,DK04,2,0.8961
2012,NUTS,2010,DK04,2,0.9676
2013,NUTS,2010,DK04,2,0.987
2014,NUTS,2010,DK04,2,0.9926
2015,NUTS,2010,DK04,2,1.0065
2016,NUTS,2010,DK04,2,1.0246
2017,NUTS,2010,DK04,2,0.9995
2019,NUTS,2010,DK04,2,1.085
2011,NUTS,2010,DK05,2,0.3941
2012,NUTS,2010,DK05,2,0.353
2013,NUTS,2010,DK05,2,0.3484
2014,NUTS,2010,DK05,2,0.3436
2015,NUTS,2010,DK05,2,0.3565
2016,NUTS,2010,DK05,2,0.5745
2017,NUTS,2010,DK05,2,0.422
2019,NUTS,2010,DK05,2,0.3471
2011,NUTS,2010,EA19,2,0.742
2012,NUTS,2010,EA19,2,0.7726
2013,NUTS,2010,EA19,2,0.7953
2014,NUTS,2010,EA19,2,0.8067
2015,NUTS,2010,EA19,2,0.8351
2016,NUTS,2010,EA19,2,0.8575
2017,NUTS,2010,EA19,2,0.9064
2018,NUTS,2010,EA19,2,0.9483
2019,NUTS,2010,EA19,2,0.9772
2020,NUTS,2010,EA19,2,1.0019
2011,NUTS,2010,EE,0,0.3626
2012,NUTS,2010,EE,0,0.3324
2013,NUTS,2010,EE,0,0.3431
2014,NUTS,2010,EE,0,0.2972
2015,NUTS,2010,EE,0,0.2773
2016,NUTS,2010,EE,0,0.3031
2017,NUTS,2010,EE,0,0.3338
2018,NUTS,2010,EE,0,0.3429
2019,NUTS,2010,EE,0,0.4176
2020,NUTS,2010,EE,0,0.4448
2011,NUTS,2010,EL,0,0.1596
2012,NUTS,2010,EL,0,0.181
2013,NUTS,2010,EL,0,0.1987
2014,NUTS,2010,EL,0,0.2236
2015,NUTS,2010,EL,0,0.2295
2016,NUTS,2010,EL,0,0.2535
2017,NUTS,2010,EL,0,0.355
2018,NUTS,2010,EL,0,0.3744
2019,NUTS,2010,EL,0,0.3774
2020,NUTS,2010,EL,0,0.4403
2011,NUTS,2010,EL3,1,0.2524
2013,NUTS,2010,EL3,1,0.3818
2015,NUTS,2010,EL3,1,0.4477
2017,NUTS,2010,EL3,1,0.6621
2019,NUTS,2010,EL3,1,0.691
2011,NUTS,2010,EL30,2,0.2524
2013,NUTS,2010,EL30,2,0.3818
2015,NUTS,2010,EL30,2,0.4477
2017,NUTS,2010,EL30,2,0.6621
2019,NUTS,2010,EL30,2,0.691
2011,NUTS,2010,EL4,1,0.0376
2013,NUTS,2010,EL4,1,0.0306
2015,NUTS,2010,EL4,1,0.0563
2017,NUTS,2010,EL4,1,0.0895
2019,NUTS,2010,EL4,1,0.0894
2011,NUTS,2010,EL41,2,0.0121
2013,NUTS,2010,EL41,2,0.0096
2015,NUTS,2010,EL41,2,0.0382
2017,NUTS,2010,EL41,2,0.0305
2019,NUTS,2010,EL41,2,0.0582
2011,NUTS,2010,EL42,2,0.023
2013,NUTS,2010,EL42,2,0.0057
2015,NUTS,2010,EL42,2,0.0042
2017,NUTS,2010,EL42,2,0.0186
2019,NUTS,2010,EL42,2,0.0118
2011,NUTS,2010,EL43,2,0.0521
2013,NUTS,2010,EL43,2,0.0513
2015,NUTS,2010,EL43,2,0.0948
2017,NUTS,2010,EL43,2,0.1455
2019,NUTS,2010,EL43,2,0.1394
2011,NUTS,2010,EL5,1,0.1361
2013,NUTS,2010,EL5,1,0.1003
2015,NUTS,2010,EL5,1,0.1087
2017,NUTS,2010,EL5,1,0.208
2019,NUTS,2010,EL5,1,0.2037
2011,NUTS,2010,EL51,2,0.0842
2013,NUTS,2010,EL51,2,0.0731
2015,NUTS,2010,EL51,2,0.0727
2017,NUTS,2010,EL51,2,0.1551
2019,NUTS,2010,EL51,2,0.0838
2011,NUTS,2010,EL52,2,0.1827
2013,NUTS,2010,EL52,2,0.1207
2015,NUTS,2010,EL52,2,0.1357
2017,NUTS,2010,EL52,2,0.2593
2019,NUTS,2010,EL52,2,0.2659
2011,NUTS,2010,EL53,2,0.0555
2013,NUTS,2010,EL53,2,0.0733
2015,NUTS,2010,EL53,2,0.0651
2017,NUTS,2010,EL53,2,0.08
2019,NUTS,2010,EL53,2,0.079
2011,NUTS,2010,EL54,2,0.0341
2013,NUTS,2010,EL54,2,0.0606
2015,NUTS,2010,EL54,2,0.0563
2017,NUTS,2010,EL54,2,0.1092
2019,NUTS,2010,EL54,2,0.1743
2011,NUTS,2010,EL6,1,0.0814
2013,NUTS,2010,EL6,1,0.0885
2015,NUTS,2010,EL6,1,0.0962
2017,NUTS,2010,EL6,1,0.1552
2019,NUTS,2010,EL6,1,0.19
2011,NUTS,2010,EL61,2,0.0154
2013,NUTS,2010,EL61,2,0.0242
2015,NUTS,2010,EL61,2,0.0299
2017,NUTS,2010,EL61,2,0.1025
2019,NUTS,2010,EL61,2,0.1587
2011,NUTS,2010,EL62,2,0.0171
2013,NUTS,2010,EL62,2,0.006
2015,NUTS,2010,EL62,2,0.0354
2017,NUTS,2010,EL62,2,0.0296
2019,NUTS,2010,EL62,2,0.1434
2011,NUTS,2010,EL63,2,0.1036
2013,NUTS,2010,EL63,2,0.1606
2015,NUTS,2010,EL63,2,0.1559
2017,NUTS,2010,EL63,2,0.2358
2019,NUTS,2010,EL63,2,0.2397
2011,NUTS,2010,EL64,2,0.1877
2013,NUTS,2010,EL64,2,0.1919
2015,NUTS,2010,EL64,2,0.2107
2017,NUTS,2010,EL64,2,0.2637
2019,NUTS,2010,EL64,2,0.2822
2011,NUTS,2010,EL65,2,0.0654
2013,NUTS,2010,EL65,2,0.0313
2015,NUTS,2010,EL65,2,0.0271
2017,NUTS,2010,EL65,2,0.0797
2019,NUTS,2010,EL65,2,0.1094
2011,NUTS,2010,ES,0,0.4917
2012,NUTS,2010,ES,0,0.5113
2013,NUTS,2010,ES,0,0.5213
2014,NUTS,2010,ES,0,0.5092
2015,NUTS,2010,ES,0,0.4935
2016,NUTS,2010,ES,0,0.4957
2017,NUTS,2010,ES,0,0.513
2018,NUTS,2010,ES,0,0.546
2019,NUTS,2010,ES,0,0.5439
2020,NUTS,2010,ES,0,0.5524
2011,NUTS,2010,ES1,1,0.3386
2012,NUTS,2010,ES1,1,0.3451
2013,NUTS,2010,ES1,1,0.3555
2014,NUTS,2010,ES1,1,0.3603
2015,NUTS,2010,ES1,1,0.318
2016,NUTS,2010,ES1,1,0.3373
2017,NUTS,2010,ES1,1,0.3873
2018,NUTS,2010,ES1,1,0.3989
2019,NUTS,2010,ES1,1,0.4211
2011,NUTS,2010,ES11,2,0.3275
2012,NUTS,2010,ES11,2,0.3447
2013,NUTS,2010,ES11,2,0.3585
2014,NUTS,2010,ES11,2,0.3785
2015,NUTS,2010,ES11,2,0.3369
2016,NUTS,2010,ES11,2,0.363
2017,NUTS,2010,ES11,2,0.4387
2018,NUTS,2010,ES11,2,0.4446
2019,NUTS,2010,ES11,2,0.4667
2011,NUTS,2010,ES12,2,0.3907
2012,NUTS,2010,ES12,2,0.3769
2013,NUTS,2010,ES12,2,0.3987
2014,NUTS,2010,ES12,2,0.3695
2015,NUTS,2010,ES12,2,0.3146
2016,NUTS,2010,ES12,2,0.3249
2017,NUTS,2010,ES12,2,0.3313
2018,NUTS,2010,ES12,2,0.3519
2019,NUTS,2010,ES12,2,0.3973
2011,NUTS,2010,ES13,2,0.302
2012,NUTS,2010,ES13,2,0.2944
2013,NUTS,2010,ES13,2,0.2707
2014,NUTS,2010,ES13,2,0.2642
2015,NUTS,2010,ES13,2,0.2393
2016,NUTS,2010,ES13,2,0.2442
2017,NUTS,2010,ES13,2,0.2523
2018,NUTS,2010,ES13,2,0.2711
2019,NUTS,2010,ES13,2,0.2539
2011,NUTS,2010,ES2,1,0.9931
2012,NUTS,2010,ES2,1,1.0295
2013,NUTS,2010,ES2,1,1.0285
2014,NUTS,2010,ES2,1,1.008
2015,NUTS,2010,ES2,1,0.9841
2016,NUTS,2010,ES2,1,0.9628
2017,NUTS,2010,ES2,1,0.9954
2018,NUTS,2010,ES2,1,1.0281
2019,NUTS,2010,ES2,1,1.016
2011,NUTS,2010,ES21,2,1.3738
2012,NUTS,2010,ES21,2,1.475
2013,NUTS,2010,ES21,2,1.4738
2014,NUTS,2010,ES21,2,1.4591
2015,NUTS,2010,ES21,2,1.4234
2016,NUTS,2010,ES21,2,1.3903
2017,NUTS,2010,ES21,2,1.4432
2018,NUTS,2010,ES21,2,1.4988
2019,NUTS,2010,ES21,2,1.4777
2011,NUTS,2010,ES22,2,1.0149
2012,NUTS,2010,ES22,2,0.9616
2013,NUTS,2010,ES22,2,0.9788
2014,NUTS,2010,ES22,2,0.9059
2015,NUTS,2010,ES22,2,0.9698
2016,NUTS,2010,ES22,2,0.9383
2017,NUTS,2010,ES22,2,0.9397
2018,NUTS,2010,ES22,2,0.936
2019,NUTS,2010,ES22,2,0.9393
2011,NUTS,2010,ES23,2,0.5008
2012,NUTS,2010,ES23,2,0.5277
2013,NUTS,2010,ES23,2,0.4658
2014,NUTS,2010,ES23,2,0.5065
2015,NUTS,2010,ES23,2,0.4782
2016,NUTS,2010,ES23,2,0.395
2017,NUTS,2010,ES23,2,0.4768
2018,NUTS,2010,ES23,2,0.3826
2019,NUTS,2010,ES23,2,0.3611
2011,NUTS,2010,ES24,2,0.4404
2012,NUTS,2010,ES24,2,0.4427
2013,NUTS,2010,ES24,2,0.4345
2014,NUTS,2010,ES24,2,0.4319
2015,NUTS,2010,ES24,2,0.4016
2016,NUTS,2010,ES24,2,0.4148
2017,NUTS,2010,ES24,2,0.4302
2018,NUTS,2010,ES24,2,0.4712
2019,NUTS,2010,ES24,2,0.4751
2011,NUTS,2010,ES3,1,0.7602
2012,NUTS,2010,ES3,1,0.764
2013,NUTS,2010,ES3,1,0.8082
2014,NUTS,2010,ES3,1,0.7781
2015,NUTS,2010,ES3,1,0.785
2016,NUTS,2010,ES3,1,0.7863
2017,NUTS,2010,ES3,1,0.7883
2018,NUTS,2010,ES3,1,0.8401
2019,NUTS,2010,ES3,1,0.8267
2011,NUTS,2010,ES30,2,0.7602
2012,NUTS,2010,ES30,2,0.764
2013,NUTS,2010,ES30,2,0.8082
2014,NUTS,2010,ES30,2,0.7781
2015,NUTS,2010,ES30,2,0.785
2016,NUTS,2010,ES30,2,0.7863
2017,NUTS,2010,ES30,2,0.7883
2018,NUTS,2010,ES30,2,0.8401
2019,NUTS,2010,ES30,2,0.8267
2011,NUTS,2010,ES4,1,0.2827
2012,NUTS,2010,ES4,1,0.3096
2013,NUTS,2010,ES4,1,0.2765
2014,NUTS,2010,ES4,1,0.2741
2015,NUTS,2010,ES4,1,0.2553
2016,NUTS,2010,ES4,1,0.2581
2017,NUTS,2010,ES4,1,0.2767
2018,NUTS,2010,ES4,1,0.295
2019,NUTS,2010,ES4,1,0.3079
2011,NUTS,2010,ES41,2,0.4045
2012,NUTS,2010,ES41,2,0.4438
2013,NUTS,2010,ES41,2,0.3843
2014,NUTS,2010,ES41,2,0.3896
2015,NUTS,2010,ES41,2,0.3717
2016,NUTS,2010,ES41,2,0.3531
2017,NUTS,2010,ES41,2,0.3952
2018,NUTS,2010,ES41,2,0.4371
2019,NUTS,2010,ES41,2,0.465
2011,NUTS,2010,ES42,2,0.2075
2012,NUTS,2010,ES42,2,0.2138
2013,NUTS,2010,ES42,2,0.1935
2014,NUTS,2010,ES42,2,0.1962
2015,NUTS,2010,ES42,2,0.1713
2016,NUTS,2010,ES42,2,0.2045
2017,NUTS,2010,ES42,2,0.1917
2018,NUTS,2010,ES42,2,0.1861
2019,NUTS,2010,ES42,2,0.1999
2011,NUTS,2010,ES43,2,0.1163
2012,NUTS,2010,ES43,2,0.1372
2013,NUTS,2010,ES43,2,0.1597
2014,NUTS,2010,ES43,2,0.1309
2015,NUTS,2010,ES43,2,0.1205
2016,NUTS,2010,ES43,2,0.117
2017,NUTS,2010,ES43,2,0.1437
2018,NUTS,2010,ES43,2,0.1575
2019,NUTS,2010,ES43,2,0.1375
2011,NUTS,2010,ES5,1,0.4905
2012,NUTS,2010,ES5,1,0.5174
2013,NUTS,2010,ES5,1,0.5312
2014,NUTS,2010,ES5,1,0.52
2015,NUTS,2010,ES5,1,0.5144
2016,NUTS,2010,ES5,1,0.5238
2017,NUTS,2010,ES5,1,0.5381
2018,NUTS,2010,ES5,1,0.5948
2019,NUTS,2010,ES5,1,0.5948
2011,NUTS,2010,ES51,2,0.6304
2012,NUTS,2010,ES51,2,0.6768
2013,NUTS,2010,ES51,2,0.7037
2014,NUTS,2010,ES51,2,0.6759
2015,NUTS,2010,ES51,2,0.6833
2016,NUTS,2010,ES51,2,0.693
2017,NUTS,2010,ES51,2,0.7133
2018,NUTS,2010,ES51,2,0.7958
2019,NUTS,2010,ES51,2,0.778
2011,NUTS,2010,ES52,2,0.3591
2012,NUTS,2010,ES52,2,0.3709
2013,NUTS,2010,ES52,2,0.3723
2014,NUTS,2010,ES52,2,0.384
2015,NUTS,2010,ES52,2,0.3597
2016,NUTS,2010,ES52,2,0.3696
2017,NUTS,2010,ES52,2,0.3762
2018,NUTS,2010,ES52,2,0.3937
2019,NUTS,2010,ES52,2,0.4233
2011,NUTS,2010,ES53,2,0.0604
2012,NUTS,2010,ES53,2,0.0537
2013,NUTS,2010,ES53,2,0.0463
2014,NUTS,2010,ES53,2,0.0487
2015,NUTS,2010,ES53,2,0.063
2016,NUTS,2010,ES53,2,0.0695
2017,NUTS,2010,ES53,2,0.0703
2018,NUTS,2010,ES53,2,0.1217
2019,NUTS,2010,ES53,2,0.1176
2011,NUTS,2010,ES6,1,0.2609
2012,NUTS,2010,ES6,1,0.2701
2013,NUTS,2010,ES6,1,0.288
2014,NUTS,2010,ES6,1,0.2874
2015,NUTS,2010,ES6,1,0.2572
2016,NUTS,2010,ES6,1,0.258
2017,NUTS,2010,ES6,1,0.2734
2018,NUTS,2010,ES6,1,0.2773
2019,NUTS,2010,ES6,1,0.2625
2011,NUTS,2010,ES61,2,0.2667
2012,NUTS,2010,ES61,2,0.2726
2013,NUTS,2010,ES61,2,0.2975
2014,NUTS,2010,ES61,2,0.2914
2015,NUTS,2010,ES61,2,0.2522
2016,NUTS,2010,ES61,2,0.2466
2017,NUTS,2010,ES61,2,0.2603
2018,NUTS,2010,ES61,2,0.2618
2019,NUTS,2010,ES61,2,0.2436
2011,NUTS,2010,ES62,2,0.2553
2012,NUTS,2010,ES62,2,0.2807
2013,NUTS,2010,ES62,2,0.267
2014,NUTS,2010,ES62,2,0.2931
2015,NUTS,2010,ES62,2,0.3077
2016,NUTS,2010,ES62,2,0.3399
2017,NUTS,2010,ES62,2,0.3658
2018,NUTS,2010,ES62,2,0.3826
2019,NUTS,2010,ES62,2,0.3821
2012,NUTS,2010,ES63,2,0.0198
2015,NUTS,2010,ES63,2,0.0
2012,NUTS,2010,ES64,2,0.0375
2015,NUTS,2010,ES64,2,0.0
2011,NUTS,2010,ES7,1,0.0922
2012,NUTS,2010,ES7,1,0.0881
2013,NUTS,2010,ES7,1,0.0793
2014,NUTS,2010,ES7,1,0.0726
2015,NUTS,2010,ES7,1,0.0638
2016,NUTS,2010,ES7,1,0.0639
2017,NUTS,2010,ES7,1,0.0687
2018,NUTS,2010,ES7,1,0.0814
2019,NUTS,2010,ES7,1,0.0758
2011,NUTS,2010,ES70,2,0.0922
2012,NUTS,2010,ES70,2,0.0881
2013,NUTS,2010,ES70,2,0.0793
2014,NUTS,2010,ES70,2,0.0726
2015,NUTS,2010,ES70,2,0.0638
2016,NUTS,2010,ES70,2,0.0639
2017,NUTS,2010,ES70,2,0.0687
2018,NUTS,2010,ES70,2,0.0814
2019,NUTS,2010,ES70,2,0.0758
2011,NUTS,2010,EU27_2020,7,0.6651
2012,NUTS,2010,EU27_2020,7,0.6949
2013,NUTS,2010,EU27_2020,7,0.7163
2014,NUTS,2010,EU27_2020,7,0.7287
2015,NUTS,2010,EU27_2020,7,0.754
2016,NUTS,2010,EU27_2020,7,0.7836
2017,NUTS,2010,EU27_2020,7,0.8292
2018,NUTS,2010,EU27_2020,7,0.8754
2019,NUTS,2010,EU27_2020,7,0.8999
2020,NUTS,2010,EU27_2020,7,0.9289
2011,NUTS,2010,FI,0,1.3024
2012,NUTS,2010,FI,0,1.292
2013,NUTS,2010,FI,0,1.2792
2014,NUTS,2010,FI,0,1.2562
2015,NUTS,2010,FI,0,1.2755
2016,NUTS,2010,FI,0,1.1759
2017,NUTS,2010,FI,0,1.1867
2018,NUTS,2010,FI,0,1.1804
2019,NUTS,2010,FI,0,1.2103
2020,NUTS,2010,FI,0,1.3008
2011,NUTS,2010,FI1,1,1.2662
2012,NUTS,2010,FI1,1,1.254
2013,NUTS,2010,FI1,1,1.2426
2015,NUTS,2010,FI1,1,1.2285
2016,NUTS,2010,FI1,1,1.1338
2017,NUTS,2010,FI1,1,1.1437
2018,NUTS,2010,FI1,1,1.135
2019,NUTS,2010,FI1,1,1.1633
2011,NUTS,2010,FI19,2,1.2382
2012,NUTS,2010,FI19,2,1.1821
2013,NUTS,2010,FI19,2,1.1608
2015,NUTS,2010,FI19,2,1.1568
2016,NUTS,2010,FI19,2,0.9526
2017,NUTS,2010,FI19,2,1.0038
2018,NUTS,2010,FI19,2,1.0092
2019,NUTS,2010,FI19,2,1.0381
2011,NUTS,2010,FI1B,2,1.7477
2012,NUTS,2010,FI1B,2,1.7304
2013,NUTS,2010,FI1B,2,1.7404
2015,NUTS,2010,FI1B,2,1.8093
2016,NUTS,2010,FI1B,2,1.6859
2017,NUTS,2010,FI1B,2,1.6829
2018,NUTS,2010,FI1B,2,1.6579
2019,NUTS,2010,FI1B,2,1.6905
2011,NUTS,2010,FI1C,2,0.7957
2012,NUTS,2010,FI1C,2,0.8147
2013,NUTS,2010,FI1C,2,0.8399
2015,NUTS,2010,FI1C,2,0.7502
2016,NUTS,2010,FI1C,2,0.7231
2017,NUTS,2010,FI1C,2,0.6881
2018,NUTS,2010,FI1C,2,0.6565
2019,NUTS,2010,FI1C,2,0.6742
2011,NUTS,2010,FI1D,2,1.0398
2012,NUTS,2010,FI1D,2,1.0529
2013,NUTS,2010,FI1D,2,0.9756
2015,NUTS,2010,FI1D,2,0.8793
2016,NUTS,2010,FI1D,2,0.8816
2017,NUTS,2010,FI1D,2,0.9067
2018,NUTS,2010,FI1D,2,0.927
2019,NUTS,2010,FI1D,2,0.947
2011,NUTS,2010,FI2,1,0.3054
2012,NUTS,2010,FI2,1,0.3157
2013,NUTS,2010,FI2,1,0.2607
2015,NUTS,2010,FI2,1,0.1628
2016,NUTS,2010,FI2,1,0.3665
2017,NUTS,2010,FI2,1,0.2673
2018,NUTS,2010,FI2,1,0.434
2019,NUTS,2010,FI2,1,0.282
2011,NUTS,2010,FI20,2,0.3054
2012,NUTS,2010,FI20,2,0.3157
2013,NUTS,2010,FI20,2,0.2607
2015,NUTS,2010,FI20,2,0.1628
2016,NUTS,2010,FI20,2,0.3665
2017,NUTS,2010,FI20,2,0.2673
2018,NUTS,2010,FI20,2,0.434
2019,NUTS,2010,FI20,2,0.282
2011,NUTS,2010,FR,0,0.9082
2012,NUTS,2010,FR,0,0.9358
2013,NUTS,2010,FR,0,0.9557
2014,NUTS,2010,FR,0,0.9422
2015,NUTS,2010,FR,0,0.9561
2016,NUTS,2010,FR,0,0.9674
2017,NUTS,2010,FR,0,0.9968
2018,NUTS,2010,FR,0,1.0286
2019,NUTS,2010,FR,0,1.0516
2020,NUTS,2010,FR,0,1.0835
2011,NUTS,2010,FR1,1,1.8403
2012,NUTS,2010,FR1,1,1.8599
2013,NUTS,2010,FR1,1,1.8934
2011,NUTS,2010,FR10,2,1.8403
2012,NUTS,2010,FR10,2,1.8599
2013,NUTS,2010,FR10,2,1.8934
2011,NUTS,2010,FR2,1,0.5317
2012,NUTS,2010,FR2,1,0.5388
2013,NUTS,2010,FR2,1,0.5498
2011,NUTS,2010,FR21,2,0.35
2012,NUTS,2010,FR21,2,0.3478
2013,NUTS,2010,FR21,2,0.3275
2011,NUTS,2010,FR22,2,0.5421
2012,NUTS,2010,FR22,2,0.5423
2013,NUTS,2010,FR22,2,0.6104
2011,NUTS,2010,FR23,2,0.6122
2012,NUTS,2010,FR23,2,0.6667
2013,NUTS,2010,FR23,2,0.6843
2011,NUTS,2010,FR24,2,0.6757
2012,NUTS,2010,FR24,2,0.6466
2013,NUTS,2010,FR24,2,0.6669
2011,NUTS,2010,FR25,2,0.4501
2012,NUTS,2010,FR25,2,0.4606
2013,NUTS,2010,FR25,2,0.4365
2011,NUTS,2010,FR26,2,0.4162
2012,NUTS,2010,FR26,2,0.445
2013,NUTS,2010,FR26,2,0.4252
2011,NUTS,2010,FR3,1,0.3209
2012,NUTS,2010,FR3,1,0.3117
2013,NUTS,2010,FR3,1,0.3253
2011,NUTS,2010,FR30,2,0.3209
2012,NUTS,2010,FR30,2,0.3117
2013,NUTS,2010,FR30,2,0.3253
2011,NUTS,2010,FR4,1,0.6444
2012,NUTS,2010,FR4,1,0.6492
2013,NUTS,2010,FR4,1,0.6338
2011,NUTS,2010,FR41,2,0.334
2012,NUTS,2010,FR41,2,0.3327
2013,NUTS,2010,FR41,2,0.3388
2011,NUTS,2010,FR42,2,0.6406
2012,NUTS,2010,FR42,2,0.6502
2013,NUTS,2010,FR42,2,0.6087
2011,NUTS,2010,FR43,2,1.2668
2012,NUTS,2010,FR43,2,1.2521
2013,NUTS,2010,FR43,2,1.2465
2011,NUTS,2010,FR5,1,0.5684
2012,NUTS,2010,FR5,1,0.5792
2013,NUTS,2010,FR5,1,0.5756
2011,NUTS,2010,FR51,2,0.5719
2012,NUTS,2010,FR51,2,0.5631
2013,NUTS,2010,FR51,2,0.576
2011,NUTS,2010,FR52,2,0.7165
2012,NUTS,2010,FR52,2,0.746
2013,NUTS,2010,FR52,2,0.7078
2011,NUTS,2010,FR53,2,0.2923
2012,NUTS,2010,FR53,2,0.3115
2013,NUTS,2010,FR53,2,0.3275
2011,NUTS,2010,FR6,1,0.9396
2012,NUTS,2010,FR6,1,0.9986
2013,NUTS,2010,FR6,1,1.0239
2011,NUTS,2010,FR61,2,0.6072
2012,NUTS,2010,FR61,2,0.5874
2013,NUTS,2010,FR61,2,0.5866
2011,NUTS,2010,FR62,2,1.4266
2012,NUTS,2010,FR62,2,1.5776
2013,NUTS,2010,FR62,2,1.6423
2011,NUTS,2010,FR63,2,0.3851
2012,NUTS,2010,FR63,2,0.4325
2013,NUTS,2010,FR63,2,0.4221
2011,NUTS,2010,FR7,1,1.1389
2012,NUTS,2010,FR7,1,1.1468
2013,NUTS,2010,FR7,1,1.1308
2011,NUTS,2010,FR71,2,1.1805
2012,NUTS,2010,FR71,2,1.187
2013,NUTS,2010,FR71,2,1.1762
2011,NUTS,2010,FR72,2,0.9368
2012,NUTS,2010,FR72,2,0.9465
2013,NUTS,2010,FR72,2,0.9028
2011,NUTS,2010,FR8,1,0.6031
2012,NUTS,2010,FR8,1,0.6913
2013,NUTS,2010,FR8,1,0.7692
2011,NUTS,2010,FR81,2,0.4506
2012,NUTS,2010,FR81,2,0.5239
2013,NUTS,2010,FR81,2,0.5195
2011,NUTS,2010,FR82,2,0.7029
2012,NUTS,2010,FR82,2,0.798
2013,NUTS,2010,FR82,2,0.9158
2011,NUTS,2010,FR83,2,0.0906
2011,NUTS,2010,FRA,1,0.0386
2012,NUTS,2010,FRA,1,0.0425
2013,NUTS,2010,FRA,1,0.0583
2011,NUTS,2010,HR,0,0.1598
2012,NUTS,2010,HR,0,0.1607
2013,NUTS,2010,HR,0,0.1667
2014,NUTS,2010,HR,0,0.1614
2015,NUTS,2010,HR,0,0.1741
2016,NUTS,2010,HR,0,0.2011
2017,NUTS,2010,HR,0,0.2099
2018,NUTS,2010,HR,0,0.2773
2019,NUTS,2010,HR,0,0.3173
2020,NUTS,2010,HR,0,0.3536
2011,NUTS,2010,HR0,1,0.1558
2012,NUTS,2010,HR0,1,0.1568
2013,NUTS,2010,HR0,1,0.1634
2014,NUTS,2010,HR0,1,0.159
2015,NUTS,2010,HR0,1,0.1712
2016,NUTS,2010,HR0,1,0.1982
2017,NUTS,2010,HR0,1,0.2071
2018,NUTS,2010,HR0,1,0.2731
2019,NUTS,2010,HR0,1,0.3117
2020,NUTS,2010,HR0,1,0.3478
2011,NUTS,2010,HR03,2,0.0426
2012,NUTS,2010,HR03,2,0.0467
2013,NUTS,2010,HR03,2,0.045
2014,NUTS,2010,HR03,2,0.0485
2015,NUTS,2010,HR03,2,0.0469
2016,NUTS,2010,HR03,2,0.0582
2017,NUTS,2010,HR03,2,0.0571
2018,NUTS,2010,HR03,2,0.0564
2019,NUTS,2010,HR03,2,0.072
2020,NUTS,2010,HR03,2,0.0914
2011,NUTS,2010,HR04,2,0.2079
2012,NUTS,2010,HR04,2,0.2089
2013,NUTS,2010,HR04,2,0.2194
2014,NUTS,2010,HR04,2,0.2128
2015,NUTS,2010,HR04,2,0.2306
2016,NUTS,2010,HR04,2,0.264
2017,NUTS,2010,HR04,2,0.2803
2018,NUTS,2010,HR04,2,0.3736
2019,NUTS,2010,HR04,2,0.4247
2011,NUTS,2010,HU,0,0.4452
2012,NUTS,2010,HU,0,0.5096
2013,NUTS,2010,HU,0,0.5565
2014,NUTS,2010,HU,0,0.529
2015,NUTS,2010,HU,0,0.4891
2016,NUTS,2010,HU,0,0.469
2017,NUTS,2010,HU,0,0.5493
2018,NUTS,2010,HU,0,0.6822
2019,NUTS,2010,HU,0,0.7251
2020,NUTS,2010,HU,0,0.7732
2011,NUTS,2010,HU1,1,0.9132
2012,NUTS,2010,HU1,1,0.9953
2013,NUTS,2010,HU1,1,1.11
2014,NUTS,2010,HU1,1,1.1458
2015,NUTS,2010,HU1,1,1.1025
2016,NUTS,2010,HU1,1,1.021
2017,NUTS,2010,HU1,1,1.1594
2018,NUTS,2010,HU1,1,1.4598
2019,NUTS,2010,HU1,1,1.5107
2011,NUTS,2010,HU10,2,0.9132
2012,NUTS,2010,HU10,2,0.9953
2013,NUTS,2010,HU10,2,1.11
2014,NUTS,2010,HU10,2,1.1458
2015,NUTS,2010,HU10,2,1.1025
2016,NUTS,2010,HU10,2,1.021
2017,NUTS,2010,HU11,2,1.7701
2018,NUTS,2010,HU11,2,2.2305
2019,NUTS,2010,HU11,2,2.3008
2017,NUTS,2010,HU12,2,0.2659
2018,NUTS,2010,HU12,2,0.38
2019,NUTS,2010,HU12,2,0.4205
2011,NUTS,2010,HU2,1,0.2526
2012,NUTS,2010,HU2,1,0.3134
2013,NUTS,2010,HU2,1,0.3464
2014,NUTS,2010,HU2,1,0.2805
2015,NUTS,2010,HU2,1,0.2422
