year,nuts_id,nuts_year_spec,rd_government_eur_hab
2016,DE91,2016,466.6
2017,DE91,2016,505.9
2018,DE91,2016,480.7
2014,DE92,2016,100.6
2015,DE92,2016,79.8
2016,DE92,2016,77.7
2017,DE92,2016,77.0
2018,DE92,2016,96.0
2014,DE93,2016,17.2
2015,DE93,2016,15.7
2016,DE93,2016,15.6
2017,DE93,2016,16.8
2018,DE93,2016,14.9
2014,DE94,2016,22.4
2015,DE94,2016,22.7
2016,DE94,2016,21.2
2017,DE94,2016,22.3
2018,DE94,2016,24.4
2014,DEA1,2016,47.7
2015,DEA1,2016,52.7
2016,DEA1,2016,50.0
2017,DEA1,2016,53.8
2018,DEA1,2016,63.3
2014,DEA2,2016,357.3
2015,DEA2,2016,345.8
2016,DEA2,2016,331.1
2017,DEA2,2016,334.8
2018,DEA2,2016,360.5
2014,DEA3,2016,28.6
2015,DEA3,2016,20.1
2016,DEA3,2016,21.2
2017,DEA3,2016,23.9
2018,DEA3,2016,24.7
2014,DEA4,2016,20.4
2015,DEA4,2016,22.1
2016,DEA4,2016,24.2
2017,DEA4,2016,31.8
2018,DEA4,2016,28.6
2014,DEA5,2016,48.7
2015,DEA5,2016,51.9
2016,DEA5,2016,51.8
2017,DEA5,2016,54.1
2018,DEA5,2016,55.5
2014,DEB1,2016,15.1
2015,DEB1,2016,12.9
2016,DEB1,2016,12.1
2017,DEB1,2016,13.5
2018,DEB1,2016,13.9
2014,DEB2,2016,7.9
2015,DEB2,2016,7.7
2016,DEB2,2016,8.3
2017,DEB2,2016,8.0
2018,DEB2,2016,9.4
2014,DEB3,2016,79.1
2015,DEB3,2016,92.3
2016,DEB3,2016,104.7
2017,DEB3,2016,116.3
2018,DEB3,2016,121.0
2014,DEC0,2016,138.2
2015,DEC0,2016,132.0
2016,DEC0,2016,117.8
2017,DEC0,2016,127.5
2018,DEC0,2016,130.7
2014,DED2,2016,314.6
2015,DED2,2016,333.6
2016,DED2,2016,356.9
2017,DED2,2016,372.6
2018,DED2,2016,384.2
2014,DED4,2016,62.1
2015,DED4,2016,64.0
2016,DED4,2016,67.0
2017,DED4,2016,70.5
2018,DED4,2016,76.1
2014,DED5,2016,191.8
2015,DED5,2016,259.3
2016,DED5,2016,240.9
2017,DED5,2016,255.6
2018,DED5,2016,270.2
2014,DEE0,2016,121.6
2015,DEE0,2016,125.9
2016,DEE0,2016,129.9
2017,DEE0,2016,139.9
2018,DEE0,2016,146.3
2014,DEF0,2016,118.8
2015,DEF0,2016,104.6
2016,DEF0,2016,103.9
2017,DEF0,2016,109.0
2018,DEF0,2016,111.3
2014,DEG0,2016,126.3
2015,DEG0,2016,125.4
2016,DEG0,2016,129.5
2017,DEG0,2016,139.2
2018,DEG0,2016,150.3
2014,DK01,2016,55.8
2015,DK01,2016,49.1
2016,DK01,2016,47.0
2017,DK01,2016,87.0
2014,DK02,2016,15.8
2015,DK02,2016,36.3
2016,DK02,2016,27.1
2017,DK02,2016,36.3
2014,DK03,2016,22.3
2015,DK03,2016,23.0
2016,DK03,2016,26.3
2017,DK03,2016,26.5
2014,DK04,2016,29.8
2015,DK04,2016,30.8
2016,DK04,2016,40.8
2017,DK04,2016,29.4
2014,DK05,2016,3.7
2015,DK05,2016,4.1
2016,DK05,2016,4.8
2017,DK05,2016,11.7
2014,EA19,2016,82.8
2015,EA19,2016,84.4
2016,EA19,2016,85.1
2017,EA19,2016,88.0
2018,EA19,2016,91.8
2014,EE00,2016,23.9
2015,EE00,2016,24.9
2016,EE00,2016,23.5
2017,EE00,2016,27.2
2018,EE00,2016,31.7
2015,EL30,2016,60.2
2017,EL30,2016,65.7
2018,EL30,2016,71.5
2015,EL41,2016,34.6
2017,EL41,2016,28.7
2018,EL41,2016,31.9
2015,EL42,2016,20.6
2017,EL42,2016,16.1
2018,EL42,2016,20.3
2015,EL43,2016,106.0
2017,EL43,2016,99.6
2018,EL43,2016,99.5
2015,EL51,2016,16.3
2017,EL51,2016,8.0
2018,EL51,2016,12.8
2015,EL52,2016,31.4
2017,EL52,2016,39.7
2018,EL52,2016,39.3
2015,EL53,2016,40.3
2017,EL53,2016,18.8
2018,EL53,2016,21.2
2015,EL54,2016,21.7
2017,EL54,2016,15.4
2018,EL54,2016,20.8
2015,EL61,2016,25.8
2017,EL61,2016,10.9
2018,EL61,2016,12.8
2015,EL62,2016,27.7
2017,EL62,2016,8.7
2018,EL62,2016,11.3
2015,EL63,2016,44.6
2017,EL63,2016,25.4
2018,EL63,2016,18.7
2015,EL64,2016,15.0
2017,EL64,2016,6.3
2018,EL64,2016,12.4
2015,EL65,2016,30.2
2017,EL65,2016,15.8
2018,EL65,2016,31.2
2014,ES11,2016,25.4
2015,ES11,2016,28.2
2016,ES11,2016,30.1
2017,ES11,2016,31.4
2018,ES11,2016,31.4
2014,ES12,2016,25.3
2015,ES12,2016,27.6
2016,ES12,2016,27.9
2017,ES12,2016,25.1
2018,ES12,2016,23.4
2014,ES13,2016,32.3
2015,ES13,2016,34.2
2016,ES13,2016,39.5
2017,ES13,2016,36.1
2018,ES13,2016,32.7
2014,ES21,2016,42.3
2015,ES21,2016,44.3
2016,ES21,2016,44.4
2017,ES21,2016,45.7
2018,ES21,2016,44.2
2014,ES22,2016,39.9
2015,ES22,2016,
2016,ES22,2016,42.4
2017,ES22,2016,46.8
2018,ES22,2016,49.7
2014,ES23,2016,45.7
2015,ES23,2016,47.8
2016,ES23,2016,51.1
2017,ES23,2016,51.2
2018,ES23,2016,54.3
2014,ES24,2016,48.9
2015,ES24,2016,54.3
2016,ES24,2016,59.9
2017,ES24,2016,50.1
2018,ES24,2016,56.4
2014,ES30,2016,134.4
2015,ES30,2016,140.2
2016,ES30,2016,134.6
2017,ES30,2016,136.8
2018,ES30,2016,135.6
2014,ES41,2016,19.7
2015,ES41,2016,20.2
2016,ES41,2016,20.4
2017,ES41,2016,19.7
2018,ES41,2016,21.1
2014,ES42,2016,11.7
2015,ES42,2016,16.0
2016,ES42,2016,13.2
2017,ES42,2016,13.7
2018,ES42,2016,14.8
2014,ES43,2016,22.4
2015,ES43,2016,22.0
2016,ES43,2016,23.0
2017,ES43,2016,22.3
2018,ES43,2016,25.2
2014,ES51,2016,79.7
2015,ES51,2016,81.8
2016,ES51,2016,80.9
2017,ES51,2016,83.3
2018,ES51,2016,82.5
2014,ES52,2016,24.9
2015,ES52,2016,25.7
2016,ES52,2016,26.6
2017,ES52,2016,25.5
2018,ES52,2016,25.9
2014,ES53,2016,26.9
2015,ES53,2016,28.4
2016,ES53,2016,28.2
2017,ES53,2016,30.4
2018,ES53,2016,29.1
2014,ES61,2016,36.1
2015,ES61,2016,38.0
2016,ES61,2016,32.8
2017,ES61,2016,32.6
2018,ES61,2016,33.7
2014,ES62,2016,22.2
2015,ES62,2016,24.6
2016,ES62,2016,23.9
2017,ES62,2016,23.8
2018,ES62,2016,22.4
2014,ES63,2016,
2015,ES63,2016,
2016,ES63,2016,
2017,ES63,2016,
2018,ES63,2016,
2014,ES64,2016,
2015,ES64,2016,
2016,ES64,2016,
2017,ES64,2016,
2018,ES64,2016,
2014,ES70,2016,29.3
2015,ES70,2016,30.1
2016,ES70,2016,28.1
2017,ES70,2016,34.8
2018,ES70,2016,35.4
2014,EU28,2016,66.1
2015,EU28,2016,67.9
2016,EU28,2016,65.8
2017,EU28,2016,67.9
2018,EU28,2016,71.1
2015,FI19,2016,43.1
2016,FI19,2016,44.5
2017,FI19,2016,33.0
2018,FI19,2016,33.0
2015,FI1B,2016,216.4
2016,FI1B,2016,209.8
2017,FI1B,2016,222.0
2018,FI1B,2016,224.7
2015,FI1C,2016,39.4
2016,FI1C,2016,42.1
2017,FI1C,2016,28.4
2018,FI1C,2016,29.4
2015,FI1D,2016,69.9
2016,FI1D,2016,65.0
2017,FI1D,2016,65.7
2018,FI1D,2016,64.7
2015,FI20,2016,0.0
2016,FI20,2016,0.0
2017,FI20,2016,0.0
2018,FI20,2016,0.0
2014,HR03,2016,5.4
2015,HR03,2016,5.3
2016,HR03,2016,7.4
2017,HR03,2016,7.5
2018,HR03,2016,7.6
2014,HR04,2016,28.5
2015,HR04,2016,30.0
2016,HR04,2016,26.8
2017,HR04,2016,30.4
2018,HR04,2016,32.8
2014,HU10,2016,49.1
2015,HU10,2016,51.1
2016,HU10,2016,46.6
2017,HU11,2016,78.8
2018,HU11,2016,79.7
2017,HU12,2016,11.4
2018,HU12,2016,11.7
2014,HU21,2016,14.9
2015,HU21,2016,13.8
2016,HU21,2016,13.1
2017,HU21,2016,16.3
2018,HU21,2016,16.6
2014,HU22,2016,6.9
2015,HU22,2016,7.6
2016,HU22,2016,6.8
2017,HU22,2016,8.4
2018,HU22,2016,10.5
2014,HU23,2016,5.9
2015,HU23,2016,4.9
2016,HU23,2016,4.5
2017,HU23,2016,5.1
2018,HU23,2016,0.1
2014,HU31,2016,0.4
2015,HU31,2016,0.2
2016,HU31,2016,0.1
2017,HU31,2016,0.3
2018,HU31,2016,0.4
2014,HU32,2016,4.7
2015,HU32,2016,4.2
2016,HU32,2016,3.6
2017,HU32,2016,3.8
2018,HU32,2016,7.2
2014,HU33,2016,11.7
2015,HU33,2016,12.1
2016,HU33,2016,11.3
2017,HU33,2016,17.3
2018,HU33,2016,24.0
2015,IE01,2016,29.6
2017,IE01,2016,20.5
2015,IE02,2016,28.9
2017,IE02,2016,33.1
2014,IS00,2016,48.7
2015,IS00,2016,48.7
2016,IS00,2016,56.3
2017,IS00,2016,56.4
2018,IS00,2016,53.2
2014,ITC1,2016,22.5
2015,ITC1,2016,22.4
2016,ITC1,2016,22.6
2017,ITC1,2016,23.0
2018,ITC1,2016,22.8
2014,ITC2,2016,10.2
2015,ITC2,2016,10.1
2016,ITC2,2016,9.5
2017,ITC2,2016,9.0
2018,ITC2,2016,11.4
2014,ITC3,2016,94.0
2015,ITC3,2016,94.2
2016,ITC3,2016,97.8
2017,ITC3,2016,91.9
2018,ITC3,2016,102.3
2014,ITC4,2016,27.1
2015,ITC4,2016,27.2
2016,ITC4,2016,23.6
2017,ITC4,2016,21.1
2018,ITC4,2016,21.8
2014,ITF1,2016,28.9
2015,ITF1,2016,32.7
2016,ITF1,2016,29.9
2017,ITF1,2016,31.2
2018,ITF1,2016,31.3
2014,ITF2,2016,5.1
2015,ITF2,2016,7.0
2016,ITF2,2016,6.2
2017,ITF2,2016,5.9
2018,ITF2,2016,5.9
2014,ITF3,2016,33.2
2015,ITF3,2016,31.5
2016,ITF3,2016,30.9
2017,ITF3,2016,28.9
2018,ITF3,2016,29.1
2014,ITF4,2016,22.1
2015,ITF4,2016,20.9
2016,ITF4,2016,20.3
2017,ITF4,2016,19.6
2018,ITF4,2016,20.3
2014,ITF5,2016,53.8
2015,ITF5,2016,54.5
2016,ITF5,2016,50.1
2017,ITF5,2016,54.1
2018,ITF5,2016,54.0
2014,ITF6,2016,12.9
2015,ITF6,2016,9.9
