year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_bes_eur_hab
2011,NUTS,2010,AT,0,679.7
2012,NUTS,2010,AT,0,777.9
2013,NUTS,2010,AT,0,802.0
2014,NUTS,2010,AT,0,860.9
2015,NUTS,2010,AT,0,873.4
2016,NUTS,2010,AT,0,899.3
2017,NUTS,2010,AT,0,899.2
2018,NUTS,2010,AT,0,943.4
2019,NUTS,2010,AT,0,987.6
2020,NUTS,2010,AT,0,945.8
2011,NUTS,2010,AT1,1,604.8
2013,NUTS,2010,AT1,1,610.1
2015,NUTS,2010,AT1,1,658.2
2017,NUTS,2010,AT1,1,643.4
2019,NUTS,2010,AT1,1,697.1
2011,NUTS,2010,AT11,2,179.6
2013,NUTS,2010,AT11,2,207.6
2015,NUTS,2010,AT11,2,237.9
2017,NUTS,2010,AT11,2,221.9
2019,NUTS,2010,AT11,2,222.7
2011,NUTS,2010,AT12,2,381.6
2013,NUTS,2010,AT12,2,418.2
2015,NUTS,2010,AT12,2,458.8
2017,NUTS,2010,AT12,2,473.9
2019,NUTS,2010,AT12,2,505.4
2011,NUTS,2010,AT13,2,886.9
2013,NUTS,2010,AT13,2,854.9
2015,NUTS,2010,AT13,2,907.2
2017,NUTS,2010,AT13,2,860.4
2019,NUTS,2010,AT13,2,940.1
2011,NUTS,2010,AT2,1,899.9
2013,NUTS,2010,AT2,1,1103.1
2015,NUTS,2010,AT2,1,1251.6
2017,NUTS,2010,AT2,1,1244.3
2019,NUTS,2010,AT2,1,1445.3
2011,NUTS,2010,AT21,2,759.3
2013,NUTS,2010,AT21,2,810.0
2015,NUTS,2010,AT21,2,959.2
2017,NUTS,2010,AT21,2,934.5
2019,NUTS,2010,AT21,2,1119.0
2011,NUTS,2010,AT22,2,964.8
2013,NUTS,2010,AT22,2,1237.5
2015,NUTS,2010,AT22,2,1385.0
2017,NUTS,2010,AT22,2,1384.8
2019,NUTS,2010,AT22,2,1592.6
2011,NUTS,2010,AT3,1,640.3
2013,NUTS,2010,AT3,1,857.2
2015,NUTS,2010,AT3,1,915.2
2017,NUTS,2010,AT3,1,1012.9
2019,NUTS,2010,AT3,1,1081.2
2011,NUTS,2010,AT31,2,815.2
2013,NUTS,2010,AT31,2,1111.8
2015,NUTS,2010,AT31,2,1169.6
2017,NUTS,2010,AT31,2,1362.6
2019,NUTS,2010,AT31,2,1455.0
2011,NUTS,2010,AT32,2,337.3
2013,NUTS,2010,AT32,2,426.1
2015,NUTS,2010,AT32,2,459.2
2017,NUTS,2010,AT32,2,542.0
2019,NUTS,2010,AT32,2,593.0
2011,NUTS,2010,AT33,2,588.4
2013,NUTS,2010,AT33,2,801.5
2015,NUTS,2010,AT33,2,841.8
2017,NUTS,2010,AT33,2,807.7
2019,NUTS,2010,AT33,2,845.2
2011,NUTS,2010,AT34,2,505.0
2013,NUTS,2010,AT34,2,610.6
2015,NUTS,2010,AT34,2,739.2
2017,NUTS,2010,AT34,2,753.9
2019,NUTS,2010,AT34,2,815.0
2012,NUTS,2010,BA,0,5.4
2011,NUTS,2010,BE,0,510.3
2012,NUTS,2010,BE,0,555.2
2013,NUTS,2010,BE,0,570.7
2014,NUTS,2010,BE,0,597.1
2015,NUTS,2010,BE,0,629.7
2016,NUTS,2010,BE,0,658.2
2017,NUTS,2010,BE,0,734.1
2018,NUTS,2010,BE,0,827.5
2019,NUTS,2010,BE,0,972.8
2020,NUTS,2010,BE,0,1003.9
2011,NUTS,2010,BE1,1,424.4
2012,NUTS,2010,BE1,1,455.2
2013,NUTS,2010,BE1,1,462.5
2014,NUTS,2010,BE1,1,574.0
2015,NUTS,2010,BE1,1,629.8
2016,NUTS,2010,BE1,1,723.4
2017,NUTS,2010,BE1,1,840.3
2018,NUTS,2010,BE1,1,982.4
2019,NUTS,2010,BE1,1,1066.9
2011,NUTS,2010,BE10,2,424.4
2012,NUTS,2010,BE10,2,455.2
2013,NUTS,2010,BE10,2,462.5
2014,NUTS,2010,BE10,2,574.0
2015,NUTS,2010,BE10,2,629.8
2016,NUTS,2010,BE10,2,723.4
2017,NUTS,2010,BE10,2,840.3
2018,NUTS,2010,BE10,2,982.4
2019,NUTS,2010,BE10,2,1066.9
2011,NUTS,2010,BE2,1,541.2
2012,NUTS,2010,BE2,1,611.4
2013,NUTS,2010,BE2,1,628.9
2014,NUTS,2010,BE2,1,659.3
2015,NUTS,2010,BE2,1,701.3
2016,NUTS,2010,BE2,1,725.7
2017,NUTS,2010,BE2,1,802.1
2018,NUTS,2010,BE2,1,838.1
2019,NUTS,2010,BE2,1,1016.3
2011,NUTS,2010,BE3,1,482.5
2012,NUTS,2010,BE3,1,487.0
2013,NUTS,2010,BE3,1,502.1
2014,NUTS,2010,BE3,1,493.2
2015,NUTS,2010,BE3,1,501.5
2016,NUTS,2010,BE3,1,515.3
2017,NUTS,2010,BE3,1,576.6
2018,NUTS,2010,BE3,1,757.1
2019,NUTS,2010,BE3,1,862.5
2011,NUTS,2010,BG,0,15.9
