year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_mge_nr
2011,NUTS,2010,AT,0,59.48
2012,NUTS,2010,AT,0,40.86
2011,NUTS,2010,AT1,1,32.39
2012,NUTS,2010,AT1,1,24.55
2011,NUTS,2010,AT11,2,0.5
2011,NUTS,2010,AT112,3,0.5
2011,NUTS,2010,AT12,2,8.1
2012,NUTS,2010,AT12,2,8.48
2011,NUTS,2010,AT123,3,2.67
2011,NUTS,2010,AT124,3,0.53
2011,NUTS,2010,AT126,3,3.54
2012,NUTS,2010,AT126,3,4.73
2011,NUTS,2010,AT127,3,1.36
2012,NUTS,2010,AT127,3,3.74
2011,NUTS,2010,AT13,2,23.79
2012,NUTS,2010,AT13,2,16.07
2011,NUTS,2010,AT130,3,23.79
2012,NUTS,2010,AT130,3,16.07
2011,NUTS,2010,AT2,1,11.38
2012,NUTS,2010,AT2,1,5.09
2011,NUTS,2010,AT21,2,0.62
2012,NUTS,2010,AT21,2,0.45
2011,NUTS,2010,AT211,3,0.4
2012,NUTS,2010,AT211,3,0.45
2011,NUTS,2010,AT213,3,0.22
2011,NUTS,2010,AT22,2,10.76
2012,NUTS,2010,AT22,2,4.64
2011,NUTS,2010,AT221,3,10.14
2012,NUTS,2010,AT221,3,4.44
2011,NUTS,2010,AT222,3,0.22
2011,NUTS,2010,AT224,3,0.4
2012,NUTS,2010,AT224,3,0.2
2011,NUTS,2010,AT3,1,15.53
2012,NUTS,2010,AT3,1,11.23
2011,NUTS,2010,AT31,2,2.2
2012,NUTS,2010,AT31,2,1.39
2011,NUTS,2010,AT312,3,2.2
2012,NUTS,2010,AT312,3,0.75
2012,NUTS,2010,AT313,3,0.5
2012,NUTS,2010,AT315,3,0.14
2011,NUTS,2010,AT32,2,2.2
2012,NUTS,2010,AT32,2,1.33
2011,NUTS,2010,AT323,3,2.2
2012,NUTS,2010,AT323,3,1.33
2011,NUTS,2010,AT33,2,11.13
2012,NUTS,2010,AT33,2,7.5
2011,NUTS,2010,AT332,3,7.73
2012,NUTS,2010,AT332,3,4.17
2011,NUTS,2010,AT334,3,3.4
2012,NUTS,2010,AT335,3,3.33
2012,NUTS,2010,AT34,2,1.0
2012,NUTS,2010,AT342,3,1.0
2011,NUTS,2010,ATX,1,0.17
2011,NUTS,2010,ATXX,2,0.17
2011,NUTS,2010,ATXXX,3,0.17
2011,NUTS,2010,BE,0,68.5
2012,NUTS,2010,BE,0,45.57
2011,NUTS,2010,BE1,1,4.33
2012,NUTS,2010,BE1,1,1.74
2011,NUTS,2010,BE10,2,4.33
2012,NUTS,2010,BE10,2,1.74
2011,NUTS,2010,BE100,3,4.33
2012,NUTS,2010,BE100,3,1.74
2011,NUTS,2010,BE2,1,42.07
2012,NUTS,2010,BE2,1,30.26
2011,NUTS,2010,BE21,2,3.32
2012,NUTS,2010,BE21,2,4.55
2011,NUTS,2010,BE211,3,2.67
2012,NUTS,2010,BE211,3,2.79
2011,NUTS,2010,BE212,3,0.65
2012,NUTS,2010,BE212,3,1.0
2012,NUTS,2010,BE213,3,0.76
2011,NUTS,2010,BE22,2,1.08
2012,NUTS,2010,BE22,2,1.64
2011,NUTS,2010,BE221,3,0.25
2012,NUTS,2010,BE221,3,0.89
2012,NUTS,2010,BE222,3,0.75
2011,NUTS,2010,BE223,3,0.83
2011,NUTS,2010,BE23,2,27.14
2012,NUTS,2010,BE23,2,14.02
2011,NUTS,2010,BE231,3,1.08
2012,NUTS,2010,BE231,3,0.67
2011,NUTS,2010,BE232,3,0.7
2012,NUTS,2010,BE232,3,0.5
2011,NUTS,2010,BE233,3,0.75
2011,NUTS,2010,BE234,3,20.12
2012,NUTS,2010,BE234,3,11.1
2011,NUTS,2010,BE235,3,3.23
2012,NUTS,2010,BE235,3,1.5
2011,NUTS,2010,BE236,3,1.25
2012,NUTS,2010,BE236,3,0.25
2011,NUTS,2010,BE24,2,8.45
