year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_t_pnp_total_pc_emp_fte
1998,NUTS,2010,AT,0,0.0041
2002,NUTS,2010,AT,0,0.0062
2004,NUTS,2010,AT,0,0.0058
2005,NUTS,2010,AT,0,0.0047
2006,NUTS,2010,AT,0,0.0042
2007,NUTS,2010,AT,0,0.0042
2008,NUTS,2010,AT,0,0.0045
2009,NUTS,2010,AT,0,0.0102
2010,NUTS,2010,AT,0,0.0104
2011,NUTS,2010,AT,0,0.0103
2012,NUTS,2010,AT,0,0.0099
2013,NUTS,2010,AT,0,0.0098
2014,NUTS,2010,AT,0,0.0119
2015,NUTS,2010,AT,0,0.0125
2016,NUTS,2010,AT,0,0.014
2017,NUTS,2010,AT,0,0.014
2018,NUTS,2010,AT,0,0.0146
2019,NUTS,2010,AT,0,0.0146
2020,NUTS,2010,AT,0,0.0175
2002,NUTS,2010,AT1,1,
2004,NUTS,2010,AT1,1,
2006,NUTS,2010,AT1,1,0.009
2007,NUTS,2010,AT1,1,0.0084
2009,NUTS,2010,AT1,1,0.0235
2011,NUTS,2010,AT1,1,0.0226
2013,NUTS,2010,AT1,1,0.0215
2015,NUTS,2010,AT1,1,0.027
2017,NUTS,2010,AT1,1,0.0298
2019,NUTS,2010,AT1,1,0.031
2002,NUTS,2010,AT11,2,
2004,NUTS,2010,AT11,2,
2006,NUTS,2010,AT11,2,0.0
2007,NUTS,2010,AT11,2,0.0
2009,NUTS,2010,AT11,2,0.0
2011,NUTS,2010,AT11,2,0.0
2013,NUTS,2010,AT11,2,0.0
2015,NUTS,2010,AT11,2,0.0
2017,NUTS,2010,AT11,2,0.0
2019,NUTS,2010,AT11,2,
2002,NUTS,2010,AT12,2,0.0015
2004,NUTS,2010,AT12,2,0.0011
2006,NUTS,2010,AT12,2,0.0016
2007,NUTS,2010,AT12,2,0.0017
2009,NUTS,2010,AT12,2,0.0254
2011,NUTS,2010,AT12,2,0.0249
2013,NUTS,2010,AT12,2,0.0233
2015,NUTS,2010,AT12,2,0.0279
2017,NUTS,2010,AT12,2,0.0322
2019,NUTS,2010,AT12,2,
2002,NUTS,2010,AT13,2,0.022
2004,NUTS,2010,AT13,2,0.0235
2006,NUTS,2010,AT13,2,0.0181
2007,NUTS,2010,AT13,2,0.0167
2009,NUTS,2010,AT13,2,0.0257
2011,NUTS,2010,AT13,2,0.0242
2013,NUTS,2010,AT13,2,0.0233
2015,NUTS,2010,AT13,2,0.0306
2017,NUTS,2010,AT13,2,0.0324
2019,NUTS,2010,AT13,2,0.0326
2002,NUTS,2010,AT2,1,
2004,NUTS,2010,AT2,1,
2006,NUTS,2010,AT2,1,0.0007
2007,NUTS,2010,AT2,1,
2009,NUTS,2010,AT2,1,
2011,NUTS,2010,AT2,1,
2013,NUTS,2010,AT2,1,
2015,NUTS,2010,AT2,1,
2017,NUTS,2010,AT2,1,
2019,NUTS,2010,AT2,1,0.001
2002,NUTS,2010,AT21,2,
2004,NUTS,2010,AT21,2,
2006,NUTS,2010,AT21,2,0.0
2007,NUTS,2010,AT21,2,
2009,NUTS,2010,AT21,2,
2011,NUTS,2010,AT21,2,0.0032
2013,NUTS,2010,AT21,2,
2015,NUTS,2010,AT21,2,
2017,NUTS,2010,AT21,2,
2019,NUTS,2010,AT21,2,
2002,NUTS,2010,AT22,2,0.0024
2004,NUTS,2010,AT22,2,0.0033
2006,NUTS,2010,AT22,2,0.001
2007,NUTS,2010,AT22,2,
2009,NUTS,2010,AT22,2,0.0
2011,NUTS,2010,AT22,2,
2013,NUTS,2010,AT22,2,
2015,NUTS,2010,AT22,2,
2017,NUTS,2010,AT22,2,
2019,NUTS,2010,AT22,2,
2002,NUTS,2010,AT3,1,0.0029
2004,NUTS,2010,AT3,1,0.0019
2006,NUTS,2010,AT3,1,0.0008
2007,NUTS,2010,AT3,1,0.0015
2009,NUTS,2010,AT3,1,
2011,NUTS,2010,AT3,1,
2013,NUTS,2010,AT3,1,
2015,NUTS,2010,AT3,1,
2017,NUTS,2010,AT3,1,
2019,NUTS,2010,AT3,1,0.0029
2002,NUTS,2010,AT31,2,0.0014
2004,NUTS,2010,AT31,2,0.0008
2006,NUTS,2010,AT31,2,0.0014
2007,NUTS,2010,AT31,2,
2009,NUTS,2010,AT31,2,0.0006
2011,NUTS,2010,AT31,2,0.0018
2013,NUTS,2010,AT31,2,0.002
