year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_p_mhab_lsr
2011,NUTS,2010,AT,0,0.507
2012,NUTS,2010,AT,0,0.119
2011,NUTS,2010,AT1,1,0.904
2011,NUTS,2010,AT12,2,1.087
2011,NUTS,2010,AT121,3,4.149
2011,NUTS,2010,AT126,3,1.634
2011,NUTS,2010,AT127,3,0.785
2011,NUTS,2010,AT13,2,0.881
2011,NUTS,2010,AT130,3,0.881
2011,NUTS,2010,AT3,1,0.332
2012,NUTS,2010,AT3,1,0.33
2011,NUTS,2010,AT33,2,1.413
2011,NUTS,2010,AT335,3,4.152
2012,NUTS,2010,AT34,2,2.696
2012,NUTS,2010,AT342,3,3.533
2011,NUTS,2010,BE,0,0.221
2011,NUTS,2010,BE2,1,0.384
2011,NUTS,2010,BE23,2,1.505
2011,NUTS,2010,BE233,3,3.021
2011,NUTS,2010,BE234,3,3.611
2011,NUTS,2010,BE25,2,0.214
2011,NUTS,2010,BE254,3,0.883
2011,NUTS,2010,CH,0,0.931
2012,NUTS,2010,CH,0,0.471
2011,NUTS,2010,CH0,1,0.931
2012,NUTS,2010,CH0,1,0.471
2012,NUTS,2010,CH01,2,0.619
2012,NUTS,2010,CH011,3,1.281
2011,NUTS,2010,CH02,2,0.57
2012,NUTS,2010,CH02,2,0.604
2011,NUTS,2010,CH021,3,1.021
2012,NUTS,2010,CH021,3,0.68
2012,NUTS,2010,CH024,3,2.31
2011,NUTS,2010,CH03,2,1.242
2011,NUTS,2010,CH033,3,2.175
2011,NUTS,2010,CH04,2,0.364
2012,NUTS,2010,CH04,2,0.359
2011,NUTS,2010,CH040,3,0.364
2012,NUTS,2010,CH040,3,0.359
2011,NUTS,2010,CH05,2,2.718
2012,NUTS,2010,CH05,2,1.122
2011,NUTS,2010,CH055,3,4.176
2011,NUTS,2010,CH056,3,5.192
2012,NUTS,2010,CH056,3,3.878
2012,NUTS,2010,CH057,3,1.984
2011,NUTS,2010,CH06,2,2.001
2011,NUTS,2010,CH061,3,2.648
2011,NUTS,2010,CH064,3,7.025
2011,NUTS,2010,CH065,3,6.094
2011,NUTS,2010,CZ,0,0.019
2011,NUTS,2010,CZ0,1,0.019
2011,NUTS,2010,CZ01,2,0.162
2011,NUTS,2010,CZ010,3,0.162
2011,NUTS,2010,DE,0,0.531
2012,NUTS,2010,DE,0,0.388
2011,NUTS,2010,DE1,1,0.844
2012,NUTS,2010,DE1,1,0.871
2011,NUTS,2010,DE11,2,0.73
2012,NUTS,2010,DE11,2,1.208
2011,NUTS,2010,DE111,3,2.605
2012,NUTS,2010,DE111,3,1.418
2012,NUTS,2010,DE112,3,0.537
2012,NUTS,2010,DE113,3,0.387
2011,NUTS,2010,DE115,3,2.568
2012,NUTS,2010,DE115,3,4.952
2012,NUTS,2010,DE11D,3,3.222
2011,NUTS,2010,DE12,2,0.302
2011,NUTS,2010,DE122,3,2.816
2011,NUTS,2010,DE13,2,2.424
2012,NUTS,2010,DE13,2,1.06
2011,NUTS,2010,DE131,3,2.23
