year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_total_pc_emp_fte_f
2011,NUTS,2010,AT,0,0.3687
2013,NUTS,2010,AT,0,0.386
2015,NUTS,2010,AT,0,0.4126
2017,NUTS,2010,AT,0,0.4161
2019,NUTS,2010,AT,0,0.4568
2011,NUTS,2010,BE,0,0.4382
2011,NUTS,2010,BG,0,0.0837
2012,NUTS,2010,BG,0,0.0994
2013,NUTS,2010,BG,0,0.1253
2014,NUTS,2010,BG,0,0.1578
2015,NUTS,2010,BG,0,0.2652
2016,NUTS,2010,BG,0,0.3141
2017,NUTS,2010,BG,0,0.2988
2018,NUTS,2010,BG,0,0.3455
2019,NUTS,2010,BG,0,0.3622
2011,NUTS,2010,CY,0,0.0491
2012,NUTS,2010,CY,0,0.0486
2013,NUTS,2010,CY,0,0.053
2014,NUTS,2010,CY,0,0.0545
2015,NUTS,2010,CY,0,0.0527
2016,NUTS,2010,CY,0,0.0705
2017,NUTS,2010,CY,0,0.0765
2018,NUTS,2010,CY,0,0.1041
2019,NUTS,2010,CY,0,0.1141
2011,NUTS,2010,CZ,0,0.2637
2012,NUTS,2010,CZ,0,0.2842
2013,NUTS,2010,CZ,0,0.2957
2014,NUTS,2010,CZ,0,0.3051
2015,NUTS,2010,CZ,0,0.2939
2016,NUTS,2010,CZ,0,0.2888
2017,NUTS,2010,CZ,0,0.3007
2018,NUTS,2010,CZ,0,0.3131
2019,NUTS,2010,CZ,0,0.3335
2020,NUTS,2010,CZ,0,0.3591
2011,NUTS,2010,DE,0,0.3943
2013,NUTS,2010,DE,0,0.3813
2015,NUTS,2010,DE,0,0.4158
2017,NUTS,2010,DE,0,0.4345
2019,NUTS,2010,DE,0,0.464
2011,NUTS,2010,DK,0,0.8593
2012,NUTS,2010,DK,0,0.858
2013,NUTS,2010,DK,0,0.8531
2015,NUTS,2010,DK,0,0.8416
2017,NUTS,2010,DK,0,0.9361
2019,NUTS,2010,DK,0,0.9011
2011,NUTS,2010,EE,0,0.2303
2012,NUTS,2010,EE,0,0.203
2013,NUTS,2010,EE,0,0.2134
2014,NUTS,2010,EE,0,0.1943
2015,NUTS,2010,EE,0,0.1773
2016,NUTS,2010,EE,0,0.1839
2017,NUTS,2010,EE,0,0.1981
2018,NUTS,2010,EE,0,0.2088
2019,NUTS,2010,EE,0,0.2492
2011,NUTS,2010,EL,0,0.1312
2013,NUTS,2010,EL,0,0.1446
2015,NUTS,2010,EL,0,0.1705
2017,NUTS,2010,EL,0,0.2647
