year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_rse_pc_emp_fte_t
2011,NUTS,2010,AT,0,0.0379
2012,NUTS,2010,AT,0,0.0387
2013,NUTS,2010,AT,0,0.0389
2014,NUTS,2010,AT,0,0.041
2015,NUTS,2010,AT,0,0.0413
2016,NUTS,2010,AT,0,0.0875
2017,NUTS,2010,AT,0,0.0876
2018,NUTS,2010,AT,0,0.0912
2019,NUTS,2010,AT,0,0.0892
2020,NUTS,2010,AT,0,0.0886
2011,NUTS,2010,AT1,1,0.0683
2013,NUTS,2010,AT1,1,0.0664
2019,NUTS,2010,AT1,1,0.1597
2011,NUTS,2010,AT11,2,0.0069
2013,NUTS,2010,AT11,2,0.0078
2011,NUTS,2010,AT12,2,0.0101
2013,NUTS,2010,AT12,2,0.0112
2015,NUTS,2010,AT12,2,0.0225
2017,NUTS,2010,AT12,2,0.0311
2011,NUTS,2010,AT13,2,0.1377
2013,NUTS,2010,AT13,2,0.1305
2015,NUTS,2010,AT13,2,0.133
2017,NUTS,2010,AT13,2,0.3003
2019,NUTS,2010,AT13,2,0.3011
2015,NUTS,2010,AT2,1,0.0145
2019,NUTS,2010,AT2,1,0.0481
2011,NUTS,2010,AT21,2,0.0093
2019,NUTS,2010,AT3,1,0.0282
2011,NUTS,2010,AT31,2,0.0059
2013,NUTS,2010,AT31,2,0.0064
2015,NUTS,2010,AT31,2,0.0085
2017,NUTS,2010,AT31,2,0.0249
2019,NUTS,2010,AT31,2,0.025
2015,NUTS,2010,AT32,2,0.0645
2017,NUTS,2010,AT32,2,0.0594
2019,NUTS,2010,AT32,2,0.0595
2013,NUTS,2010,AT33,2,0.0095
2019,NUTS,2010,AT33,2,0.0192
2011,NUTS,2010,AT34,2,0.0099
2013,NUTS,2010,AT34,2,0.0098
2015,NUTS,2010,AT34,2,0.0107
2017,NUTS,2010,AT34,2,0.0099
2019,NUTS,2010,AT34,2,0.013
2011,NUTS,2010,BE,0,0.0622
2012,NUTS,2010,BE,0,0.0802
2013,NUTS,2010,BE,0,0.0815
