year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_cte_p_mact
1999,NUTS,2010,AT,0,13.985
2000,NUTS,2010,AT,0,10.366
2001,NUTS,2010,AT,0,13.795
2002,NUTS,2010,AT,0,25.945
2003,NUTS,2010,AT,0,23.263
2004,NUTS,2010,AT,0,15.49
2005,NUTS,2010,AT,0,24.936
2006,NUTS,2010,AT,0,29.069
2007,NUTS,2010,AT,0,27.025
2008,NUTS,2010,AT,0,11.613
2009,NUTS,2010,AT,0,10.1
2010,NUTS,2010,AT,0,9.898
2011,NUTS,2010,AT,0,12.746
2012,NUTS,2010,AT,0,11.227
1999,NUTS,2010,AT1,1,19.34
2000,NUTS,2010,AT1,1,17.527
2001,NUTS,2010,AT1,1,23.776
2002,NUTS,2010,AT1,1,42.173
2003,NUTS,2010,AT1,1,41.175
2004,NUTS,2010,AT1,1,30.98
2005,NUTS,2010,AT1,1,48.462
2006,NUTS,2010,AT1,1,53.873
2007,NUTS,2010,AT1,1,45.853
2008,NUTS,2010,AT1,1,17.986
2009,NUTS,2010,AT1,1,8.385
2010,NUTS,2010,AT1,1,10.805
2011,NUTS,2010,AT1,1,18.151
2012,NUTS,2010,AT1,1,13.597
1999,NUTS,2010,AT11,2,15.385
2000,NUTS,2010,AT11,2,1.904
2002,NUTS,2010,AT11,2,1.949
2004,NUTS,2010,AT11,2,9.913
2005,NUTS,2010,AT11,2,3.726
2006,NUTS,2010,AT11,2,0.962
2007,NUTS,2010,AT11,2,6.01
2009,NUTS,2010,AT11,2,7.67
2010,NUTS,2010,AT11,2,6.747
2011,NUTS,2010,AT11,2,4.813
1999,NUTS,2010,AT12,2,9.611
2000,NUTS,2010,AT12,2,10.965
2001,NUTS,2010,AT12,2,18.483
2002,NUTS,2010,AT12,2,22.937
2003,NUTS,2010,AT12,2,14.885
2004,NUTS,2010,AT12,2,9.829
2005,NUTS,2010,AT12,2,23.294
2006,NUTS,2010,AT12,2,16.712
2007,NUTS,2010,AT12,2,13.171
2008,NUTS,2010,AT12,2,7.114
2009,NUTS,2010,AT12,2,6.95
2010,NUTS,2010,AT12,2,7.643
2011,NUTS,2010,AT12,2,9.885
2012,NUTS,2010,AT12,2,12.467
1999,NUTS,2010,AT13,2,28.713
2000,NUTS,2010,AT13,2,26.011
2001,NUTS,2010,AT13,2,32.208
2002,NUTS,2010,AT13,2,67.285
2003,NUTS,2010,AT13,2,73.226
2004,NUTS,2010,AT13,2,54.512
2005,NUTS,2010,AT13,2,80.283
2006,NUTS,2010,AT13,2,98.072
2007,NUTS,2010,AT13,2,84.276
2008,NUTS,2010,AT13,2,31.811
2009,NUTS,2010,AT13,2,9.883
2010,NUTS,2010,AT13,2,14.544
2011,NUTS,2010,AT13,2,28.4
2012,NUTS,2010,AT13,2,16.911
1999,NUTS,2010,AT2,1,15.127
2000,NUTS,2010,AT2,1,4.495
2001,NUTS,2010,AT2,1,8.857
2002,NUTS,2010,AT2,1,22.472
2003,NUTS,2010,AT2,1,5.604
2004,NUTS,2010,AT2,1,7.139
2005,NUTS,2010,AT2,1,7.041
2006,NUTS,2010,AT2,1,7.256
2007,NUTS,2010,AT2,1,13.227
2008,NUTS,2010,AT2,1,5.989
2009,NUTS,2010,AT2,1,5.751
2010,NUTS,2010,AT2,1,4.365
2011,NUTS,2010,AT2,1,4.519
2012,NUTS,2010,AT2,1,7.888
1999,NUTS,2010,AT21,2,41.86
2000,NUTS,2010,AT21,2,3.997
2001,NUTS,2010,AT21,2,2.039
2002,NUTS,2010,AT21,2,27.942
2003,NUTS,2010,AT21,2,2.955
2004,NUTS,2010,AT21,2,6.683
2005,NUTS,2010,AT21,2,14.419
2006,NUTS,2010,AT21,2,3.879
2007,NUTS,2010,AT21,2,18.154
2009,NUTS,2010,AT21,2,11.186
2010,NUTS,2010,AT21,2,1.234
2011,NUTS,2010,AT21,2,3.433
2012,NUTS,2010,AT21,2,2.763
1999,NUTS,2010,AT22,2,2.992
2000,NUTS,2010,AT22,2,4.723
2001,NUTS,2010,AT22,2,11.873
2002,NUTS,2010,AT22,2,19.971
2003,NUTS,2010,AT22,2,6.797
2004,NUTS,2010,AT22,2,7.346
2005,NUTS,2010,AT22,2,3.728
2006,NUTS,2010,AT22,2,8.759
2007,NUTS,2010,AT22,2,11.027
2008,NUTS,2010,AT22,2,8.657
2009,NUTS,2010,AT22,2,3.326
2010,NUTS,2010,AT22,2,5.756
2011,NUTS,2010,AT22,2,4.999
2012,NUTS,2010,AT22,2,10.183
1999,NUTS,2010,AT3,1,6.868
2000,NUTS,2010,AT3,1,4.818
2001,NUTS,2010,AT3,1,4.768
2002,NUTS,2010,AT3,1,7.887
2003,NUTS,2010,AT3,1,11.353
2004,NUTS,2010,AT3,1,2.356
2005,NUTS,2010,AT3,1,8.193
2006,NUTS,2010,AT3,1,12.402
2007,NUTS,2010,AT3,1,13.259
2008,NUTS,2010,AT3,1,7.496
2009,NUTS,2010,AT3,1,14.467
2010,NUTS,2010,AT3,1,11.62
2011,NUTS,2010,AT3,1,11.149
2012,NUTS,2010,AT3,1,9.412
1999,NUTS,2010,AT31,2,3.072
2001,NUTS,2010,AT31,2,4.928
2002,NUTS,2010,AT31,2,6.153
2003,NUTS,2010,AT31,2,5.761
2004,NUTS,2010,AT31,2,0.5
2005,NUTS,2010,AT31,2,6.405
2006,NUTS,2010,AT31,2,7.201
2007,NUTS,2010,AT31,2,3.972
2008,NUTS,2010,AT31,2,2.071
2009,NUTS,2010,AT31,2,9.944
2010,NUTS,2010,AT31,2,1.358
2011,NUTS,2010,AT31,2,5.309
2012,NUTS,2010,AT31,2,4.927
1999,NUTS,2010,AT32,2,7.94
2000,NUTS,2010,AT32,2,17.537
2001,NUTS,2010,AT32,2,3.931
2003,NUTS,2010,AT32,2,24.032
2005,NUTS,2010,AT32,2,12.715
2006,NUTS,2010,AT32,2,25.832
2007,NUTS,2010,AT32,2,16.667
2009,NUTS,2010,AT32,2,18.288
2010,NUTS,2010,AT32,2,3.659
2011,NUTS,2010,AT32,2,8.105
2012,NUTS,2010,AT32,2,1.18
1999,NUTS,2010,AT33,2,15.898
2000,NUTS,2010,AT33,2,7.089
2001,NUTS,2010,AT33,2,6.076
2002,NUTS,2010,AT33,2,16.139
2003,NUTS,2010,AT33,2,13.109
2005,NUTS,2010,AT33,2,9.754
2006,NUTS,2010,AT33,2,12.5
2007,NUTS,2010,AT33,2,27.695
2008,NUTS,2010,AT33,2,11.176
2009,NUTS,2010,AT33,2,25.486
2010,NUTS,2010,AT33,2,16.921
2011,NUTS,2010,AT33,2,22.249
2012,NUTS,2010,AT33,2,22.697
1999,NUTS,2010,AT34,2,3.014
2001,NUTS,2010,AT34,2,2.974
2002,NUTS,2010,AT34,2,11.011
2003,NUTS,2010,AT34,2,10.621
2004,NUTS,2010,AT34,2,16.968
2005,NUTS,2010,AT34,2,5.467
2006,NUTS,2010,AT34,2,12.718
2007,NUTS,2010,AT34,2,16.181
2008,NUTS,2010,AT34,2,32.229
2009,NUTS,2010,AT34,2,5.252
2010,NUTS,2010,AT34,2,52.659
2011,NUTS,2010,AT34,2,16.788
2012,NUTS,2010,AT34,2,12.84
1999,NUTS,2010,BE,0,22.436
2000,NUTS,2010,BE,0,21.419
2001,NUTS,2010,BE,0,21.649
2002,NUTS,2010,BE,0,31.647
2003,NUTS,2010,BE,0,20.85
2004,NUTS,2010,BE,0,28.994
2005,NUTS,2010,BE,0,26.465
2006,NUTS,2010,BE,0,21.785
2007,NUTS,2010,BE,0,25.43
2008,NUTS,2010,BE,0,26.786
2009,NUTS,2010,BE,0,19.77
2010,NUTS,2010,BE,0,18.686
2011,NUTS,2010,BE,0,25.095
2012,NUTS,2010,BE,0,26.471
1999,NUTS,2010,BE1,1,33.516
2000,NUTS,2010,BE1,1,27.011
2001,NUTS,2010,BE1,1,26.101
2002,NUTS,2010,BE1,1,29.763
2003,NUTS,2010,BE1,1,16.125
2004,NUTS,2010,BE1,1,47.82
2005,NUTS,2010,BE1,1,36.376
2006,NUTS,2010,BE1,1,6.613
2007,NUTS,2010,BE1,1,21.227
2008,NUTS,2010,BE1,1,23.194
2009,NUTS,2010,BE1,1,32.081
2010,NUTS,2010,BE1,1,18.924
2011,NUTS,2010,BE1,1,24.1
2012,NUTS,2010,BE1,1,20.889
1999,NUTS,2010,BE10,2,33.516
2000,NUTS,2010,BE10,2,27.011
2001,NUTS,2010,BE10,2,26.101
2002,NUTS,2010,BE10,2,29.763
2003,NUTS,2010,BE10,2,16.125
2004,NUTS,2010,BE10,2,47.82
2005,NUTS,2010,BE10,2,36.376
2006,NUTS,2010,BE10,2,6.613
2007,NUTS,2010,BE10,2,21.227
2008,NUTS,2010,BE10,2,23.194
2009,NUTS,2010,BE10,2,32.081
2010,NUTS,2010,BE10,2,18.924
2011,NUTS,2010,BE10,2,24.1
2012,NUTS,2010,BE10,2,20.889
1999,NUTS,2010,BE2,1,29.951
2000,NUTS,2010,BE2,1,26.964
2001,NUTS,2010,BE2,1,30.14
2002,NUTS,2010,BE2,1,42.71
2003,NUTS,2010,BE2,1,29.559
2004,NUTS,2010,BE2,1,38.32
2005,NUTS,2010,BE2,1,35.162
2006,NUTS,2010,BE2,1,31.322
2007,NUTS,2010,BE2,1,37.162
2008,NUTS,2010,BE2,1,38.999
2009,NUTS,2010,BE2,1,26.072
2010,NUTS,2010,BE2,1,22.725
2011,NUTS,2010,BE2,1,32.723
2012,NUTS,2010,BE2,1,35.19
1999,NUTS,2010,BE21,2,56.42
2000,NUTS,2010,BE21,2,50.276
2001,NUTS,2010,BE21,2,50.887
2002,NUTS,2010,BE21,2,87.719
2003,NUTS,2010,BE21,2,47.648
2004,NUTS,2010,BE21,2,58.532
2005,NUTS,2010,BE21,2,49.308
2006,NUTS,2010,BE21,2,55.033
2007,NUTS,2010,BE21,2,52.09
2008,NUTS,2010,BE21,2,73.402
2009,NUTS,2010,BE21,2,48.666
2010,NUTS,2010,BE21,2,34.971
2011,NUTS,2010,BE21,2,53.479
2012,NUTS,2010,BE21,2,67.93
1999,NUTS,2010,BE22,2,11.848
2000,NUTS,2010,BE22,2,6.797
2001,NUTS,2010,BE22,2,7.107
2002,NUTS,2010,BE22,2,5.912
2003,NUTS,2010,BE22,2,8.668
2004,NUTS,2010,BE22,2,4.91
2005,NUTS,2010,BE22,2,9.992
2006,NUTS,2010,BE22,2,17.808
2007,NUTS,2010,BE22,2,15.493
2008,NUTS,2010,BE22,2,6.135
