year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_total_pc_act_hc_t
2011,NUTS,2010,AT,0,1.0091
2013,NUTS,2010,AT,0,1.0423
2015,NUTS,2010,AT,0,1.0964
2017,NUTS,2010,AT,0,1.0863
2019,NUTS,2010,AT,0,1.1703
2011,NUTS,2010,AT1,1,1.2221
2013,NUTS,2010,AT1,1,1.2881
2019,NUTS,2010,AT1,1,1.3854
2011,NUTS,2010,AT11,2,0.0668
2013,NUTS,2010,AT11,2,0.1099
2019,NUTS,2010,AT11,2,0.1468
2011,NUTS,2010,AT12,2,0.0765
2013,NUTS,2010,AT12,2,0.1501
2015,NUTS,2010,AT12,2,0.1757
2017,NUTS,2010,AT12,2,0.2334
2019,NUTS,2010,AT12,2,0.2868
2011,NUTS,2010,AT13,2,2.5275
2013,NUTS,2010,AT13,2,2.5442
2015,NUTS,2010,AT13,2,2.5759
2017,NUTS,2010,AT13,2,2.4424
2019,NUTS,2010,AT13,2,2.5431
2011,NUTS,2010,AT2,1,1.1323
2013,NUTS,2010,AT2,1,1.1262
2017,NUTS,2010,AT2,1,1.2322
2019,NUTS,2010,AT2,1,1.3519
2011,NUTS,2010,AT21,2,0.3384
2013,NUTS,2010,AT21,2,0.3147
2015,NUTS,2010,AT21,2,0.2939
2017,NUTS,2010,AT21,2,0.3222
2019,NUTS,2010,AT21,2,0.3934
2011,NUTS,2010,AT22,2,1.4833
2013,NUTS,2010,AT22,2,1.4865
2015,NUTS,2010,AT22,2,1.6641
2017,NUTS,2010,AT22,2,1.628
2019,NUTS,2010,AT22,2,1.7669
2011,NUTS,2010,AT3,1,0.6623
2013,NUTS,2010,AT3,1,0.6783
2019,NUTS,2010,AT3,1,0.7801
2011,NUTS,2010,AT31,2,0.3906
2013,NUTS,2010,AT31,2,0.3879
2015,NUTS,2010,AT31,2,0.4209
2017,NUTS,2010,AT31,2,0.4174
2019,NUTS,2010,AT31,2,0.4515
2011,NUTS,2010,AT32,2,0.7839
2013,NUTS,2010,AT32,2,0.8348
2015,NUTS,2010,AT32,2,0.9623
2017,NUTS,2010,AT32,2,0.9827
2019,NUTS,2010,AT32,2,1.016
2011,NUTS,2010,AT33,2,1.4425
2013,NUTS,2010,AT33,2,1.4548
2015,NUTS,2010,AT33,2,1.4657
2017,NUTS,2010,AT33,2,1.5033
2019,NUTS,2010,AT33,2,1.6243
2011,NUTS,2010,AT34,2,0.0391
2013,NUTS,2010,AT34,2,0.0484
2019,NUTS,2010,AT34,2,0.0755
2011,NUTS,2010,BE,0,0.8784
2012,NUTS,2010,BE,0,0.873
2013,NUTS,2010,BE,0,0.8759
2014,NUTS,2010,BE,0,0.9499
2015,NUTS,2010,BE,0,0.9101
2016,NUTS,2010,BE,0,0.9296
2017,NUTS,2010,BE,0,0.9383
2018,NUTS,2010,BE,0,1.003
2019,NUTS,2010,BE,0,0.9937
2011,NUTS,2010,BE1,1,1.8037
2012,NUTS,2010,BE1,1,1.7431
2013,NUTS,2010,BE1,1,1.7463
2014,NUTS,2010,BE1,1,1.887
2015,NUTS,2010,BE1,1,1.6771
2016,NUTS,2010,BE1,1,1.6812
2017,NUTS,2010,BE1,1,1.6467
2018,NUTS,2010,BE1,1,1.9513
2019,NUTS,2010,BE1,1,1.841
2011,NUTS,2010,BE10,2,1.8037
2012,NUTS,2010,BE10,2,1.7431
2013,NUTS,2010,BE10,2,1.7463
2014,NUTS,2010,BE10,2,1.887
2015,NUTS,2010,BE10,2,1.6771
2016,NUTS,2010,BE10,2,1.6812
2017,NUTS,2010,BE10,2,1.6467
2018,NUTS,2010,BE10,2,1.9513
2019,NUTS,2010,BE10,2,1.841
2011,NUTS,2010,BE2,1,0.8198
2012,NUTS,2010,BE2,1,0.8261
2013,NUTS,2010,BE2,1,0.8378
2014,NUTS,2010,BE2,1,0.901
2015,NUTS,2010,BE2,1,0.9086
2016,NUTS,2010,BE2,1,0.9041
2017,NUTS,2010,BE2,1,0.9011
2018,NUTS,2010,BE2,1,0.9258
2019,NUTS,2010,BE2,1,0.9304
2011,NUTS,2010,BE3,1,0.66
2012,NUTS,2010,BE3,1,0.6441
2013,NUTS,2010,BE3,1,0.6329
2014,NUTS,2010,BE3,1,0.6931
2015,NUTS,2010,BE3,1,0.6189
2016,NUTS,2010,BE3,1,0.6861
2017,NUTS,2010,BE3,1,0.7306
2018,NUTS,2010,BE3,1,0.7864
2019,NUTS,2010,BE3,1,0.7818
