year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_p_mhab_cab
2007,NUTS,2010,AT123,3,3.403
2008,NUTS,2010,AT123,3,4.546
2011,NUTS,2010,AT123,3,6.746
2012,NUTS,2010,AT123,3,1.683
2001,NUTS,2010,AT124,3,8.926
2007,NUTS,2010,AT124,3,6.004
2008,NUTS,2010,AT124,3,2.262
2009,NUTS,2010,AT124,3,1.721
2010,NUTS,2010,AT124,3,6.044
2012,NUTS,2010,AT124,3,6.063
2001,NUTS,2010,AT125,3,2.677
2002,NUTS,2010,AT125,3,12.163
2003,NUTS,2010,AT125,3,4.056
2004,NUTS,2010,AT125,3,2.03
2006,NUTS,2010,AT125,3,4.045
2007,NUTS,2010,AT125,3,1.617
2009,NUTS,2010,AT125,3,2.663
2012,NUTS,2010,AT125,3,2.026
2001,NUTS,2010,AT126,3,8.156
2002,NUTS,2010,AT126,3,6.728
2003,NUTS,2010,AT126,3,3.572
2004,NUTS,2010,AT126,3,3.533
2005,NUTS,2010,AT126,3,5.827
2006,NUTS,2010,AT126,3,2.58
2007,NUTS,2010,AT126,3,1.698
2008,NUTS,2010,AT126,3,10.063
2009,NUTS,2010,AT126,3,9.381
2010,NUTS,2010,AT126,3,8.234
2011,NUTS,2010,AT126,3,6.535
2012,NUTS,2010,AT126,3,17.294
2001,NUTS,2010,AT127,3,13.121
2002,NUTS,2010,AT127,3,14.195
2003,NUTS,2010,AT127,3,3.378
2004,NUTS,2010,AT127,3,4.451
2005,NUTS,2010,AT127,3,13.038
2006,NUTS,2010,AT127,3,11.837
2007,NUTS,2010,AT127,3,7.519
2008,NUTS,2010,AT127,3,1.28
2009,NUTS,2010,AT127,3,3.173
2010,NUTS,2010,AT127,3,7.351
2011,NUTS,2010,AT127,3,19.371
2012,NUTS,2010,AT127,3,4.144
2000,NUTS,2010,AT13,2,5.218
2001,NUTS,2010,AT13,2,10.914
2002,NUTS,2010,AT13,2,22.532
2003,NUTS,2010,AT13,2,21.641
2004,NUTS,2010,AT13,2,24.23
2005,NUTS,2010,AT13,2,22.357
2006,NUTS,2010,AT13,2,27.753
2007,NUTS,2010,AT13,2,25.053
2008,NUTS,2010,AT13,2,9.436
2009,NUTS,2010,AT13,2,6.261
2010,NUTS,2010,AT13,2,6.314
2011,NUTS,2010,AT13,2,5.185
2012,NUTS,2010,AT13,2,6.959
2000,NUTS,2010,AT130,3,5.218
2001,NUTS,2010,AT130,3,10.914
2002,NUTS,2010,AT130,3,22.532
2003,NUTS,2010,AT130,3,21.641
2004,NUTS,2010,AT130,3,24.23
2005,NUTS,2010,AT130,3,22.357
2006,NUTS,2010,AT130,3,27.753
2007,NUTS,2010,AT130,3,25.053
2008,NUTS,2010,AT130,3,9.436
2009,NUTS,2010,AT130,3,6.261
2010,NUTS,2010,AT130,3,6.314
2011,NUTS,2010,AT130,3,5.185
2012,NUTS,2010,AT130,3,6.959
2000,NUTS,2010,AT2,1,6.785
2001,NUTS,2010,AT2,1,4.879
2002,NUTS,2010,AT2,1,14.262
2003,NUTS,2010,AT2,1,2.431
2004,NUTS,2010,AT2,1,4.131
2005,NUTS,2010,AT2,1,4.312
2006,NUTS,2010,AT2,1,0.949
2007,NUTS,2010,AT2,1,6.187
2008,NUTS,2010,AT2,1,5.574
2009,NUTS,2010,AT2,1,5.895
2010,NUTS,2010,AT2,1,4.521
2011,NUTS,2010,AT2,1,7.554
2012,NUTS,2010,AT2,1,6.857
2000,NUTS,2010,AT21,2,2.675
2001,NUTS,2010,AT21,2,2.681
2002,NUTS,2010,AT21,2,17.734
2003,NUTS,2010,AT21,2,0.895
2004,NUTS,2010,AT21,2,1.792
2005,NUTS,2010,AT21,2,3.399
2006,NUTS,2010,AT21,2,0.59
2007,NUTS,2010,AT21,2,4.469
2008,NUTS,2010,AT21,2,0.929
2009,NUTS,2010,AT21,2,3.575
2010,NUTS,2010,AT21,2,2.688
2012,NUTS,2010,AT21,2,6.744
2001,NUTS,2010,AT211,3,3.72
2002,NUTS,2010,AT211,3,36.831
2003,NUTS,2010,AT211,3,1.855
2004,NUTS,2010,AT211,3,3.706
2005,NUTS,2010,AT211,3,4.426
2006,NUTS,2010,AT211,3,1.212
2007,NUTS,2010,AT211,3,9.147
2008,NUTS,2010,AT211,3,1.894
2009,NUTS,2010,AT211,3,7.26
2010,NUTS,2010,AT211,3,5.441
2012,NUTS,2010,AT211,3,12.639
2001,NUTS,2010,AT212,3,3.799
2005,NUTS,2010,AT212,3,5.35
2012,NUTS,2010,AT213,3,1.643
2000,NUTS,2010,AT22,2,8.733
2001,NUTS,2010,AT22,2,5.92
2002,NUTS,2010,AT22,2,12.625
2003,NUTS,2010,AT22,2,3.153
2004,NUTS,2010,AT22,2,5.226
2005,NUTS,2010,AT22,2,4.738
2006,NUTS,2010,AT22,2,1.108
2007,NUTS,2010,AT22,2,6.986
2008,NUTS,2010,AT22,2,7.734
2009,NUTS,2010,AT22,2,6.972
2010,NUTS,2010,AT22,2,5.369
2011,NUTS,2010,AT22,2,11.039
2012,NUTS,2010,AT22,2,6.908
2001,NUTS,2010,AT221,3,13.641
2002,NUTS,2010,AT221,3,35.401
2003,NUTS,2010,AT221,3,8.824
2004,NUTS,2010,AT221,3,15.537
2005,NUTS,2010,AT221,3,12.373
2006,NUTS,2010,AT221,3,3.478
2007,NUTS,2010,AT221,3,19.202
2008,NUTS,2010,AT221,3,15.148
2009,NUTS,2010,AT221,3,19.64
2010,NUTS,2010,AT221,3,13.275
2011,NUTS,2010,AT221,3,31.104
2012,NUTS,2010,AT221,3,20.1
2001,NUTS,2010,AT223,3,1.927
2007,NUTS,2010,AT223,3,0.882
2008,NUTS,2010,AT223,3,7.398
2009,NUTS,2010,AT223,3,3.988
2001,NUTS,2010,AT224,3,5.227
2002,NUTS,2010,AT224,3,7.806
2003,NUTS,2010,AT224,3,0.933
2005,NUTS,2010,AT224,3,3.728
2007,NUTS,2010,AT224,3,1.864
2012,NUTS,2010,AT224,3,0.75
2001,NUTS,2010,AT225,3,2.051
2003,NUTS,2010,AT225,3,1.315
2004,NUTS,2010,AT225,3,2.364
2007,NUTS,2010,AT225,3,1.731
2008,NUTS,2010,AT225,3,8.606
2010,NUTS,2010,AT225,3,2.785
2011,NUTS,2010,AT225,3,4.365
2008,NUTS,2010,AT226,3,4.743
2010,NUTS,2010,AT226,3,6.444
2000,NUTS,2010,AT3,1,4.885
2001,NUTS,2010,AT3,1,3.55
2002,NUTS,2010,AT3,1,1.994
2003,NUTS,2010,AT3,1,5.239
2004,NUTS,2010,AT3,1,5.146
2005,NUTS,2010,AT3,1,6.777
2006,NUTS,2010,AT3,1,5.848
2007,NUTS,2010,AT3,1,4.707
2008,NUTS,2010,AT3,1,5.669
2009,NUTS,2010,AT3,1,10.683
2010,NUTS,2010,AT3,1,4.128
2011,NUTS,2010,AT3,1,5.645
2012,NUTS,2010,AT3,1,7.799
2000,NUTS,2010,AT31,2,3.525
2001,NUTS,2010,AT31,2,4.005
2002,NUTS,2010,AT31,2,0.363
2003,NUTS,2010,AT31,2,3.703
2004,NUTS,2010,AT31,2,4.382
2005,NUTS,2010,AT31,2,7.528
2006,NUTS,2010,AT31,2,3.664
2007,NUTS,2010,AT31,2,1.838
2008,NUTS,2010,AT31,2,4.595
2009,NUTS,2010,AT31,2,9.705
2010,NUTS,2010,AT31,2,3.016
2011,NUTS,2010,AT31,2,4.772
2012,NUTS,2010,AT31,2,8.735
2001,NUTS,2010,AT311,3,3.686
2002,NUTS,2010,AT311,3,0.918
2003,NUTS,2010,AT311,3,4.584
2004,NUTS,2010,AT311,3,0.916
2005,NUTS,2010,AT311,3,0.621
2006,NUTS,2010,AT311,3,1.203
2007,NUTS,2010,AT311,3,1.822
2008,NUTS,2010,AT311,3,2.111
2009,NUTS,2010,AT311,3,3.922
2011,NUTS,2010,AT311,3,4.836
2012,NUTS,2010,AT311,3,3.631
2001,NUTS,2010,AT312,3,8.602
2002,NUTS,2010,AT312,3,0.476
2003,NUTS,2010,AT312,3,6.676
2004,NUTS,2010,AT312,3,4.847
2005,NUTS,2010,AT312,3,14.948
2006,NUTS,2010,AT312,3,3.759
2007,NUTS,2010,AT312,3,0.608
2008,NUTS,2010,AT312,3,8.189
2009,NUTS,2010,AT312,3,17.526
2010,NUTS,2010,AT312,3,4.106
2011,NUTS,2010,AT312,3,9.83
2012,NUTS,2010,AT312,3,17.929
2005,NUTS,2010,AT313,3,6.882
2006,NUTS,2010,AT313,3,5.203
2007,NUTS,2010,AT313,3,3.677
2008,NUTS,2010,AT313,3,6.958
2009,NUTS,2010,AT313,3,4.896
2010,NUTS,2010,AT313,3,4.9
2012,NUTS,2010,AT313,3,0.98
2003,NUTS,2010,AT314,3,2.167
2004,NUTS,2010,AT314,3,8.192
2005,NUTS,2010,AT314,3,1.634
2009,NUTS,2010,AT314,3,11.441
2004,NUTS,2010,AT315,3,8.811
2005,NUTS,2010,AT315,3,2.94
2006,NUTS,2010,AT315,3,7.425
2007,NUTS,2010,AT315,3,4.363
2009,NUTS,2010,AT315,3,1.09
2010,NUTS,2010,AT315,3,4.361
2012,NUTS,2010,AT315,3,5.44
2000,NUTS,2010,AT32,2,13.649
2001,NUTS,2010,AT32,2,1.942
2002,NUTS,2010,AT32,2,5.802
2003,NUTS,2010,AT32,2,14.176
2004,NUTS,2010,AT32,2,8.178
2005,NUTS,2010,AT32,2,6.7
2006,NUTS,2010,AT32,2,16.46
2007,NUTS,2010,AT32,2,11.406
2008,NUTS,2010,AT32,2,6.331
2009,NUTS,2010,AT32,2,21.834
2010,NUTS,2010,AT32,2,8.543
2011,NUTS,2010,AT32,2,7.104
2012,NUTS,2010,AT32,2,4.871
2011,NUTS,2010,AT321,3,12.004
2005,NUTS,2010,AT322,3,3.07
2010,NUTS,2010,AT322,3,6.164
2001,NUTS,2010,AT323,3,3.015
2002,NUTS,2010,AT323,3,8.987
2003,NUTS,2010,AT323,3,21.949
2004,NUTS,2010,AT323,3,12.645
2005,NUTS,2010,AT323,3,8.867
2006,NUTS,2010,AT323,3,25.369
2007,NUTS,2010,AT323,3,17.542
2008,NUTS,2010,AT323,3,9.733
2009,NUTS,2010,AT323,3,33.495
2010,NUTS,2010,AT323,3,10.187
2011,NUTS,2010,AT323,3,10.155
2012,NUTS,2010,AT323,3,7.454
2000,NUTS,2010,AT33,2,1.993
2001,NUTS,2010,AT33,2,5.212
2002,NUTS,2010,AT33,2,3.448
2003,NUTS,2010,AT33,2,2.325
2004,NUTS,2010,AT33,2,4.871
2005,NUTS,2010,AT33,2,8.854
2006,NUTS,2010,AT33,2,5.286
2007,NUTS,2010,AT33,2,4.303
2008,NUTS,2010,AT33,2,7.433
2009,NUTS,2010,AT33,2,7.018
2010,NUTS,2010,AT33,2,0.951
2011,NUTS,2010,AT33,2,2.827
2012,NUTS,2010,AT33,2,9.837
2001,NUTS,2010,AT332,3,10.312
2003,NUTS,2010,AT332,3,3.712
2004,NUTS,2010,AT332,3,7.079
2005,NUTS,2010,AT332,3,15.333
2006,NUTS,2010,AT332,3,6.038
2008,NUTS,2010,AT332,3,14.311
2009,NUTS,2010,AT332,3,9.537
2011,NUTS,2010,AT332,3,3.515
2012,NUTS,2010,AT332,3,17.429
2005,NUTS,2010,AT333,3,9.935
2007,NUTS,2010,AT333,3,39.629
2009,NUTS,2010,AT333,3,20.048
2011,NUTS,2010,AT333,3,20.221
2012,NUTS,2010,AT333,3,40.544
2002,NUTS,2010,AT334,3,2.583
2005,NUTS,2010,AT334,3,4.04
2006,NUTS,2010,AT334,3,1.702
2008,NUTS,2010,AT334,3,1.992
2001,NUTS,2010,AT335,3,3.303
2002,NUTS,2010,AT335,3,9.099
2003,NUTS,2010,AT335,3,2.518
2004,NUTS,2010,AT335,3,6.127
2005,NUTS,2010,AT335,3,4.275
2006,NUTS,2010,AT335,3,7.768
2007,NUTS,2010,AT335,3,4.222
2008,NUTS,2010,AT335,3,4.208
2009,NUTS,2010,AT335,3,5.229
2010,NUTS,2010,AT335,3,2.795
2000,NUTS,2010,AT34,2,2.871
2001,NUTS,2010,AT34,2,0.943
2003,NUTS,2010,AT34,2,3.751
2004,NUTS,2010,AT34,2,4.201
2007,NUTS,2010,AT34,2,6.863
2008,NUTS,2010,AT34,2,5.471
2009,NUTS,2010,AT34,2,5.449
2010,NUTS,2010,AT34,2,8.144
2011,NUTS,2010,AT34,2,12.294
2012,NUTS,2010,AT34,2,4.502
2007,NUTS,2010,AT341,3,16.906
2008,NUTS,2010,AT341,3,11.321
2009,NUTS,2010,AT341,3,3.736
2011,NUTS,2010,AT341,3,3.755
2012,NUTS,2010,AT341,3,11.381
2001,NUTS,2010,AT342,3,1.252
2003,NUTS,2010,AT342,3,4.977
2004,NUTS,2010,AT342,3,5.571
2007,NUTS,2010,AT342,3,3.629
2008,NUTS,2010,AT342,3,3.607
2009,NUTS,2010,AT342,3,5.992
2010,NUTS,2010,AT342,3,10.709
2011,NUTS,2010,AT342,3,14.924
2012,NUTS,2010,AT342,3,2.367
1990,NUTS,2010,BE,0,2.194
1991,NUTS,2010,BE,0,1.802
1992,NUTS,2010,BE,0,2.247
1993,NUTS,2010,BE,0,4.469
1994,NUTS,2010,BE,0,3.317
1995,NUTS,2010,BE,0,4.178
1996,NUTS,2010,BE,0,3.777
1997,NUTS,2010,BE,0,4.226
1998,NUTS,2010,BE,0,4.536
1999,NUTS,2010,BE,0,6.182
2000,NUTS,2010,BE,0,6.039
2001,NUTS,2010,BE,0,7.412
2002,NUTS,2010,BE,0,11.256
2003,NUTS,2010,BE,0,6.831
2004,NUTS,2010,BE,0,8.375
2005,NUTS,2010,BE,0,7.884
2006,NUTS,2010,BE,0,6.172
2007,NUTS,2010,BE,0,7.141
2008,NUTS,2010,BE,0,8.59
2009,NUTS,2010,BE,0,6.59
2010,NUTS,2010,BE,0,7.032
2011,NUTS,2010,BE,0,6.835
2012,NUTS,2010,BE,0,8.442
2000,NUTS,2010,BE1,1,5.598
2001,NUTS,2010,BE1,1,13.044
2002,NUTS,2010,BE1,1,7.196
2003,NUTS,2010,BE1,1,7.228
2004,NUTS,2010,BE1,1,4.49
2005,NUTS,2010,BE1,1,4.261
2006,NUTS,2010,BE1,1,2.778
2007,NUTS,2010,BE1,1,2.609
2008,NUTS,2010,BE1,1,4.206
2009,NUTS,2010,BE1,1,9.19
2010,NUTS,2010,BE1,1,9.151
2011,NUTS,2010,BE1,1,5.278
2012,NUTS,2010,BE1,1,9.263
2000,NUTS,2010,BE10,2,5.598
2001,NUTS,2010,BE10,2,13.044
2002,NUTS,2010,BE10,2,7.196
2003,NUTS,2010,BE10,2,7.228
2004,NUTS,2010,BE10,2,4.49
2005,NUTS,2010,BE10,2,4.261
2006,NUTS,2010,BE10,2,2.778
2007,NUTS,2010,BE10,2,2.609
2008,NUTS,2010,BE10,2,4.206
2009,NUTS,2010,BE10,2,9.19
2010,NUTS,2010,BE10,2,9.151
2011,NUTS,2010,BE10,2,5.278
2012,NUTS,2010,BE10,2,9.263
2000,NUTS,2010,BE100,3,5.598
2001,NUTS,2010,BE100,3,13.044
2002,NUTS,2010,BE100,3,7.196
2003,NUTS,2010,BE100,3,7.228
2004,NUTS,2010,BE100,3,4.49
2005,NUTS,2010,BE100,3,4.261
2006,NUTS,2010,BE100,3,2.778
2007,NUTS,2010,BE100,3,2.609
2008,NUTS,2010,BE100,3,4.206
2009,NUTS,2010,BE100,3,9.19
2010,NUTS,2010,BE100,3,9.151
2011,NUTS,2010,BE100,3,5.278
2012,NUTS,2010,BE100,3,9.263
2000,NUTS,2010,BE2,1,7.36
2001,NUTS,2010,BE2,1,9.658
2002,NUTS,2010,BE2,1,16.513
2003,NUTS,2010,BE2,1,9.909
2004,NUTS,2010,BE2,1,12.397
2005,NUTS,2010,BE2,1,11.562
2006,NUTS,2010,BE2,1,9.372
2007,NUTS,2010,BE2,1,9.877
2008,NUTS,2010,BE2,1,12.232
2009,NUTS,2010,BE2,1,9.039
2010,NUTS,2010,BE2,1,9.693
2011,NUTS,2010,BE2,1,9.378
2012,NUTS,2010,BE2,1,12.446
2000,NUTS,2010,BE21,2,18.036
2001,NUTS,2010,BE21,2,25.036
2002,NUTS,2010,BE21,2,39.015
2003,NUTS,2010,BE21,2,18.686
2004,NUTS,2010,BE21,2,27.007
2005,NUTS,2010,BE21,2,27.826
2006,NUTS,2010,BE21,2,19.331
2007,NUTS,2010,BE21,2,14.507
2008,NUTS,2010,BE21,2,16.53
2009,NUTS,2010,BE21,2,14.996
2010,NUTS,2010,BE21,2,9.347
2011,NUTS,2010,BE21,2,12.948
2012,NUTS,2010,BE21,2,21.574
2000,NUTS,2010,BE211,3,27.679
2001,NUTS,2010,BE211,3,39.933
2002,NUTS,2010,BE211,3,61.365
2003,NUTS,2010,BE211,3,23.653
2004,NUTS,2010,BE211,3,36.278
2005,NUTS,2010,BE211,3,42.504
2006,NUTS,2010,BE211,3,28.345
2007,NUTS,2010,BE211,3,21.932
2008,NUTS,2010,BE211,3,20.948
2009,NUTS,2010,BE211,3,17.318
2010,NUTS,2010,BE211,3,9.997
2011,NUTS,2010,BE211,3,17.164
2012,NUTS,2010,BE211,3,31.576
2000,NUTS,2010,BE212,3,4.973
2001,NUTS,2010,BE212,3,5.45
2002,NUTS,2010,BE212,3,18.996
2003,NUTS,2010,BE212,3,13.704
2004,NUTS,2010,BE212,3,32.014
2005,NUTS,2010,BE212,3,10.049
2006,NUTS,2010,BE212,3,16.707
2007,NUTS,2010,BE212,3,8.001
2008,NUTS,2010,BE212,3,16.17
2009,NUTS,2010,BE212,3,16.564
2010,NUTS,2010,BE212,3,10.545
2011,NUTS,2010,BE212,3,12.838
2012,NUTS,2010,BE212,3,9.178
2000,NUTS,2010,BE213,3,5.736
2001,NUTS,2010,BE213,3,5.715
2002,NUTS,2010,BE213,3,3.003
2003,NUTS,2010,BE213,3,11.074
2004,NUTS,2010,BE213,3,2.101
2005,NUTS,2010,BE213,3,7.683
2006,NUTS,2010,BE213,3,0.787
2007,NUTS,2010,BE213,3,2.505
2008,NUTS,2010,BE213,3,6.768
2009,NUTS,2010,BE213,3,8.569
2010,NUTS,2010,BE213,3,7.008
2011,NUTS,2010,BE213,3,3.406
2012,NUTS,2010,BE213,3,7.883
2000,NUTS,2010,BE22,2,4.209
2001,NUTS,2010,BE22,2,0.868
2002,NUTS,2010,BE22,2,4.383
2003,NUTS,2010,BE22,2,4.959
2004,NUTS,2010,BE22,2,1.799
2005,NUTS,2010,BE22,2,1.642
2006,NUTS,2010,BE22,2,9.255
2007,NUTS,2010,BE22,2,3.865
2008,NUTS,2010,BE22,2,3.0
2009,NUTS,2010,BE22,2,3.697
2010,NUTS,2010,BE22,2,0.239
2011,NUTS,2010,BE22,2,3.448
2012,NUTS,2010,BE22,2,1.174
2000,NUTS,2010,BE221,3,7.389
2001,NUTS,2010,BE221,3,1.795
2002,NUTS,2010,BE221,3,3.883
2003,NUTS,2010,BE221,3,1.287
2005,NUTS,2010,BE221,3,2.548
2006,NUTS,2010,BE221,3,4.228
2007,NUTS,2010,BE221,3,6.708
2008,NUTS,2010,BE221,3,3.309
2009,NUTS,2010,BE221,3,2.885
2011,NUTS,2010,BE221,3,2.422
2002,NUTS,2010,BE222,3,9.026
2003,NUTS,2010,BE222,3,6.643
2004,NUTS,2010,BE222,3,2.233
2005,NUTS,2010,BE222,3,1.465
2006,NUTS,2010,BE222,3,3.089
2007,NUTS,2010,BE222,3,2.193
2009,NUTS,2010,BE222,3,3.242
2010,NUTS,2010,BE222,3,0.859
2011,NUTS,2010,BE222,3,3.538
2012,NUTS,2010,BE222,3,4.24
2000,NUTS,2010,BE223,3,2.639
2003,NUTS,2010,BE223,3,10.457
2004,NUTS,2010,BE223,3,4.956
2006,NUTS,2010,BE223,3,26.836
2008,NUTS,2010,BE223,3,5.836
2009,NUTS,2010,BE223,3,5.961
2011,NUTS,2010,BE223,3,5.417
2000,NUTS,2010,BE23,2,2.923
2001,NUTS,2010,BE23,2,3.608
2002,NUTS,2010,BE23,2,7.5
2003,NUTS,2010,BE23,2,5.897
2004,NUTS,2010,BE23,2,6.974
2005,NUTS,2010,BE23,2,5.232
2006,NUTS,2010,BE23,2,3.455
2007,NUTS,2010,BE23,2,9.083
2008,NUTS,2010,BE23,2,14.214
2009,NUTS,2010,BE23,2,6.491
2010,NUTS,2010,BE23,2,13.258
2011,NUTS,2010,BE23,2,9.241
2012,NUTS,2010,BE23,2,11.471
2000,NUTS,2010,BE231,3,2.211
2001,NUTS,2010,BE231,3,3.812
2002,NUTS,2010,BE231,3,6.369
2004,NUTS,2010,BE231,3,2.852
2006,NUTS,2010,BE231,3,2.334
2007,NUTS,2010,BE231,3,4.041
2008,NUTS,2010,BE231,3,15.14
2009,NUTS,2010,BE231,3,1.842
2010,NUTS,2010,BE231,3,11.26
2011,NUTS,2010,BE231,3,10.687
2012,NUTS,2010,BE231,3,0.609
2000,NUTS,2010,BE232,3,2.145
2003,NUTS,2010,BE232,3,1.765
2004,NUTS,2010,BE232,3,1.335
2005,NUTS,2010,BE232,3,11.183
2006,NUTS,2010,BE232,3,6.036
2007,NUTS,2010,BE232,3,1.74
2008,NUTS,2010,BE232,3,5.464
2009,NUTS,2010,BE232,3,6.788
2010,NUTS,2010,BE232,3,6.908
2011,NUTS,2010,BE232,3,5.815
2012,NUTS,2010,BE232,3,6.284
2004,NUTS,2010,BE233,3,12.584
2005,NUTS,2010,BE233,3,6.276
2007,NUTS,2010,BE233,3,14.526
2008,NUTS,2010,BE233,3,3.092
2010,NUTS,2010,BE233,3,3.052
2000,NUTS,2010,BE234,3,6.056
2001,NUTS,2010,BE234,3,5.376
2002,NUTS,2010,BE234,3,15.302
2003,NUTS,2010,BE234,3,12.42
2004,NUTS,2010,BE234,3,6.965
2005,NUTS,2010,BE234,3,5.225
2006,NUTS,2010,BE234,3,3.183
2007,NUTS,2010,BE234,3,12.295
2008,NUTS,2010,BE234,3,15.524
2009,NUTS,2010,BE234,3,10.215
2010,NUTS,2010,BE234,3,19.82
2011,NUTS,2010,BE234,3,12.406
2012,NUTS,2010,BE234,3,19.112
2002,NUTS,2010,BE235,3,4.369
2007,NUTS,2010,BE235,3,5.72
2008,NUTS,2010,BE235,3,16.935
2010,NUTS,2010,BE235,3,4.167
2011,NUTS,2010,BE235,3,14.499
2001,NUTS,2010,BE236,3,5.572
2002,NUTS,2010,BE236,3,2.0
2003,NUTS,2010,BE236,3,6.775
2004,NUTS,2010,BE236,3,17.998
2005,NUTS,2010,BE236,3,8.682
2006,NUTS,2010,BE236,3,6.23
2007,NUTS,2010,BE236,3,13.621
2008,NUTS,2010,BE236,3,19.864
2009,NUTS,2010,BE236,3,8.849
2010,NUTS,2010,BE236,3,14.214
2011,NUTS,2010,BE236,3,3.837
2012,NUTS,2010,BE236,3,20.985
2000,NUTS,2010,BE24,2,5.667
2001,NUTS,2010,BE24,2,7.777
2002,NUTS,2010,BE24,2,17.921
2003,NUTS,2010,BE24,2,9.972
2004,NUTS,2010,BE24,2,11.939
2005,NUTS,2010,BE24,2,11.226
2006,NUTS,2010,BE24,2,5.363
2007,NUTS,2010,BE24,2,11.288
2008,NUTS,2010,BE24,2,14.393
2009,NUTS,2010,BE24,2,11.592
2010,NUTS,2010,BE24,2,19.296
2011,NUTS,2010,BE24,2,14.586
2012,NUTS,2010,BE24,2,17.298
2000,NUTS,2010,BE241,3,4.479
2001,NUTS,2010,BE241,3,5.802
2002,NUTS,2010,BE241,3,9.141
2003,NUTS,2010,BE241,3,4.56
2004,NUTS,2010,BE241,3,2.637
2005,NUTS,2010,BE241,3,2.479
2006,NUTS,2010,BE241,3,2.083
2007,NUTS,2010,BE241,3,8.167
2008,NUTS,2010,BE241,3,6.468
2009,NUTS,2010,BE241,3,7.1
2010,NUTS,2010,BE241,3,7.027
2011,NUTS,2010,BE241,3,7.712
2012,NUTS,2010,BE241,3,5.698
2000,NUTS,2010,BE242,3,7.12
2001,NUTS,2010,BE242,3,10.191
2002,NUTS,2010,BE242,3,28.686
2003,NUTS,2010,BE242,3,16.577
2004,NUTS,2010,BE242,3,23.364
2005,NUTS,2010,BE242,3,22.017
2006,NUTS,2010,BE242,3,9.399
2007,NUTS,2010,BE242,3,15.104
2008,NUTS,2010,BE242,3,24.127
2009,NUTS,2010,BE242,3,17.122
