year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_p_mhab_cab
1990,NUTS,2010,AT,0,0.589
1991,NUTS,2010,AT,0,0.865
1992,NUTS,2010,AT,0,1.564
1993,NUTS,2010,AT,0,1.184
1994,NUTS,2010,AT,0,2.018
1995,NUTS,2010,AT,0,3.215
1996,NUTS,2010,AT,0,1.608
1997,NUTS,2010,AT,0,1.664
1998,NUTS,2010,AT,0,2.379
1999,NUTS,2010,AT,0,3.241
2000,NUTS,2010,AT,0,5.17
2001,NUTS,2010,AT,0,5.843
2002,NUTS,2010,AT,0,9.181
2003,NUTS,2010,AT,0,6.985
2004,NUTS,2010,AT,0,8.013
2005,NUTS,2010,AT,0,8.655
2006,NUTS,2010,AT,0,9.03
2007,NUTS,2010,AT,0,8.789
2008,NUTS,2010,AT,0,5.874
2009,NUTS,2010,AT,0,7.166
2010,NUTS,2010,AT,0,4.7
2011,NUTS,2010,AT,0,5.91
2012,NUTS,2010,AT,0,7.074
2000,NUTS,2010,AT1,1,4.39
2001,NUTS,2010,AT1,1,8.174
2002,NUTS,2010,AT1,1,12.755
2003,NUTS,2010,AT1,1,10.814
2004,NUTS,2010,AT1,1,12.44
2005,NUTS,2010,AT1,1,12.392
2006,NUTS,2010,AT1,1,15.498
2007,NUTS,2010,AT1,1,13.547
2008,NUTS,2010,AT1,1,5.843
2009,NUTS,2010,AT1,1,4.739
2010,NUTS,2010,AT1,1,4.967
2011,NUTS,2010,AT1,1,5.235
2012,NUTS,2010,AT1,1,6.483
2001,NUTS,2010,AT11,2,2.718
2006,NUTS,2010,AT11,2,0.466
2007,NUTS,2010,AT11,2,4.749
2008,NUTS,2010,AT11,2,0.712
2009,NUTS,2010,AT11,2,0.884
2010,NUTS,2010,AT11,2,2.467
2001,NUTS,2010,AT112,3,1.78
2006,NUTS,2010,AT112,3,0.901
2007,NUTS,2010,AT112,3,6.891
2001,NUTS,2010,AT113,3,5.112
2007,NUTS,2010,AT113,3,3.386
2008,NUTS,2010,AT113,3,2.056
2009,NUTS,2010,AT113,3,2.56
2010,NUTS,2010,AT113,3,7.172
2000,NUTS,2010,AT12,2,4.345
2001,NUTS,2010,AT12,2,6.386
2002,NUTS,2010,AT12,2,5.095
2003,NUTS,2010,AT12,2,1.614
2004,NUTS,2010,AT12,2,2.459
2005,NUTS,2010,AT12,2,4.219
2006,NUTS,2010,AT12,2,5.346
2007,NUTS,2010,AT12,2,3.066
2008,NUTS,2010,AT12,2,2.99
2009,NUTS,2010,AT12,2,3.818
2010,NUTS,2010,AT12,2,3.998
2011,NUTS,2010,AT12,2,6.213
2012,NUTS,2010,AT12,2,7.123
2001,NUTS,2010,AT121,3,2.106
2006,NUTS,2010,AT121,3,9.409
2008,NUTS,2010,AT121,3,0.83
2009,NUTS,2010,AT121,3,1.035
2010,NUTS,2010,AT121,3,1.037
2011,NUTS,2010,AT121,3,1.369
2012,NUTS,2010,AT121,3,2.075
2001,NUTS,2010,AT122,3,2.733
2004,NUTS,2010,AT122,3,1.008
2006,NUTS,2010,AT122,3,1.992
2009,NUTS,2010,AT122,3,5.273
2011,NUTS,2010,AT122,3,1.979
2012,NUTS,2010,AT122,3,9.878
2001,NUTS,2010,AT123,3,1.764
2002,NUTS,2010,AT123,3,2.318
2004,NUTS,2010,AT123,3,6.95
2005,NUTS,2010,AT123,3,6.885
2006,NUTS,2010,AT123,3,5.536
