year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_t_pc_emp_fte_rse_gov
2011,NUTS,2010,AT31,2,0.0059
2013,NUTS,2010,AT31,2,0.0064
2015,NUTS,2010,AT31,2,0.0085
2017,NUTS,2010,AT31,2,0.0249
2019,NUTS,2010,AT31,2,0.025
2002,NUTS,2010,AT32,2,0.016
2004,NUTS,2010,AT32,2,0.02
2006,NUTS,2010,AT32,2,0.0259
2009,NUTS,2010,AT32,2,0.0349
2015,NUTS,2010,AT32,2,0.0645
2017,NUTS,2010,AT32,2,0.0594
2019,NUTS,2010,AT32,2,0.0595
2002,NUTS,2010,AT33,2,0.0049
2004,NUTS,2010,AT33,2,0.005
2006,NUTS,2010,AT33,2,0.0058
2013,NUTS,2010,AT33,2,0.0095
2019,NUTS,2010,AT33,2,0.0192
2002,NUTS,2010,AT34,2,0.007
2004,NUTS,2010,AT34,2,0.0066
2011,NUTS,2010,AT34,2,0.0099
2013,NUTS,2010,AT34,2,0.0098
2015,NUTS,2010,AT34,2,0.0107
2017,NUTS,2010,AT34,2,0.0099
2019,NUTS,2010,AT34,2,0.013
1993,NUTS,2010,BE,0,0.0318
1994,NUTS,2010,BE,0,0.0322
1995,NUTS,2010,BE,0,0.0321
1996,NUTS,2010,BE,0,0.038
1997,NUTS,2010,BE,0,0.0405
1998,NUTS,2010,BE,0,0.0412
1999,NUTS,2010,BE,0,0.0437
2000,NUTS,2010,BE,0,0.0445
2001,NUTS,2010,BE,0,0.0481
2002,NUTS,2010,BE,0,0.0489
2003,NUTS,2010,BE,0,0.0501
2004,NUTS,2010,BE,0,0.0538
2005,NUTS,2010,BE,0,0.0541
2006,NUTS,2010,BE,0,0.0573
2007,NUTS,2010,BE,0,0.0581
2008,NUTS,2010,BE,0,0.0603
2009,NUTS,2010,BE,0,0.0642
2010,NUTS,2010,BE,0,0.0595
2011,NUTS,2010,BE,0,0.0622
2012,NUTS,2010,BE,0,0.0802
2013,NUTS,2010,BE,0,0.0815
2014,NUTS,2010,BE,0,0.0903
2015,NUTS,2010,BE,0,0.0898
2016,NUTS,2010,BE,0,0.0945
2017,NUTS,2010,BE,0,0.0978
2018,NUTS,2010,BE,0,0.1124
2019,NUTS,2010,BE,0,0.1151
2020,NUTS,2010,BE,0,0.124
1999,NUTS,2010,BE1,1,0.1509
2000,NUTS,2010,BE1,1,0.139
2001,NUTS,2010,BE1,1,0.1447
2002,NUTS,2010,BE1,1,0.1618
2003,NUTS,2010,BE1,1,0.1562
2004,NUTS,2010,BE1,1,0.17
2005,NUTS,2010,BE1,1,0.1748
2006,NUTS,2010,BE1,1,0.2145
2007,NUTS,2010,BE1,1,0.2103
2008,NUTS,2010,BE1,1,0.1848
2009,NUTS,2010,BE1,1,0.1828
2010,NUTS,2010,BE1,1,0.1726
2011,NUTS,2010,BE1,1,0.1718
2012,NUTS,2010,BE1,1,0.2545
2013,NUTS,2010,BE1,1,0.2655
2014,NUTS,2010,BE1,1,0.2454
2015,NUTS,2010,BE1,1,0.2579
2016,NUTS,2010,BE1,1,0.2743
2017,NUTS,2010,BE1,1,0.2702
2018,NUTS,2010,BE1,1,0.2805
2019,NUTS,2010,BE1,1,0.2878
1999,NUTS,2010,BE10,2,0.1509
2000,NUTS,2010,BE10,2,0.139
2001,NUTS,2010,BE10,2,0.1447
2002,NUTS,2010,BE10,2,0.1618
2003,NUTS,2010,BE10,2,0.1562
2004,NUTS,2010,BE10,2,0.17
2005,NUTS,2010,BE10,2,0.1748
2006,NUTS,2010,BE10,2,0.2145
2007,NUTS,2010,BE10,2,0.2103
2008,NUTS,2010,BE10,2,0.1848
2009,NUTS,2010,BE10,2,0.1828
2010,NUTS,2010,BE10,2,0.1726
2011,NUTS,2010,BE10,2,0.1718
2012,NUTS,2010,BE10,2,0.2545
2013,NUTS,2010,BE10,2,0.2655
2014,NUTS,2010,BE10,2,0.2454
2015,NUTS,2010,BE10,2,0.2579
2016,NUTS,2010,BE10,2,0.2743
2017,NUTS,2010,BE10,2,0.2702
2018,NUTS,2010,BE10,2,0.2805
2019,NUTS,2010,BE10,2,0.2878
1999,NUTS,2010,BE2,1,0.0432
2000,NUTS,2010,BE2,1,0.0474
2001,NUTS,2010,BE2,1,0.0532
2002,NUTS,2010,BE2,1,0.0514
2003,NUTS,2010,BE2,1,0.053
2004,NUTS,2010,BE2,1,0.057
2005,NUTS,2010,BE2,1,0.057
2006,NUTS,2010,BE2,1,0.0571
2007,NUTS,2010,BE2,1,0.0588
2008,NUTS,2010,BE2,1,0.0605
2009,NUTS,2010,BE2,1,0.066
2010,NUTS,2010,BE2,1,0.0667
2011,NUTS,2010,BE2,1,0.0698
2012,NUTS,2010,BE2,1,0.0848
2013,NUTS,2010,BE2,1,0.0857
2014,NUTS,2010,BE2,1,0.0976
2015,NUTS,2010,BE2,1,0.0941
2016,NUTS,2010,BE2,1,0.1013
2017,NUTS,2010,BE2,1,0.1068
2018,NUTS,2010,BE2,1,0.1293
2019,NUTS,2010,BE2,1,0.1323
1999,NUTS,2010,BE3,1,0.0141
2000,NUTS,2010,BE3,1,0.01
2001,NUTS,2010,BE3,1,0.0102
2002,NUTS,2010,BE3,1,0.0122
2003,NUTS,2010,BE3,1,0.0125
2004,NUTS,2010,BE3,1,0.0109
2005,NUTS,2010,BE3,1,0.0109
2006,NUTS,2010,BE3,1,0.0107
2007,NUTS,2010,BE3,1,0.0105
2008,NUTS,2010,BE3,1,0.0209
2009,NUTS,2010,BE3,1,0.0223
2010,NUTS,2010,BE3,1,0.008
2011,NUTS,2010,BE3,1,0.0108
2012,NUTS,2010,BE3,1,0.0137
2013,NUTS,2010,BE3,1,0.0136
2014,NUTS,2010,BE3,1,0.0219
2015,NUTS,2010,BE3,1,0.0224
2016,NUTS,2010,BE3,1,0.0177
2017,NUTS,2010,BE3,1,0.0176
2018,NUTS,2010,BE3,1,0.0152
2019,NUTS,2010,BE3,1,0.0152
2000,NUTS,2010,BG,0,0.2318
2001,NUTS,2010,BG,0,0.2276
2002,NUTS,2010,BG,0,0.224
2003,NUTS,2010,BG,0,0.2195
2004,NUTS,2010,BG,0,0.2144
2005,NUTS,2010,BG,0,0.2062
2006,NUTS,2010,BG,0,0.2001
2007,NUTS,2010,BG,0,0.1925
2008,NUTS,2010,BG,0,0.1826
2009,NUTS,2010,BG,0,0.1839
2010,NUTS,2010,BG,0,0.1925
2011,NUTS,2010,BG,0,0.2002
2012,NUTS,2010,BG,0,0.1871
2013,NUTS,2010,BG,0,0.1862
2014,NUTS,2010,BG,0,0.1745
2015,NUTS,2010,BG,0,0.1619
2016,NUTS,2010,BG,0,0.1611
2017,NUTS,2010,BG,0,0.1526
2018,NUTS,2010,BG,0,0.1496
2019,NUTS,2010,BG,0,0.1524
2020,NUTS,2010,BG,0,0.1605
2003,NUTS,2010,BG3,1,0.0335
2004,NUTS,2010,BG3,1,0.035
2005,NUTS,2010,BG3,1,0.0329
2006,NUTS,2010,BG3,1,0.0348
2007,NUTS,2010,BG3,1,0.0334
2009,NUTS,2010,BG3,1,0.03
2010,NUTS,2010,BG3,1,0.0398
2011,NUTS,2010,BG3,1,0.0329
2012,NUTS,2010,BG3,1,0.037
2013,NUTS,2010,BG3,1,0.0375
2014,NUTS,2010,BG3,1,0.0308
2015,NUTS,2010,BG3,1,0.0274
2016,NUTS,2010,BG3,1,0.0274
2017,NUTS,2010,BG3,1,0.0282
2018,NUTS,2010,BG3,1,0.0283
2003,NUTS,2010,BG31,2,0.0468
2004,NUTS,2010,BG31,2,0.0428
2005,NUTS,2010,BG31,2,0.0467
2006,NUTS,2010,BG31,2,0.0442
2007,NUTS,2010,BG31,2,0.0385
2009,NUTS,2010,BG31,2,0.0328
2010,NUTS,2010,BG31,2,0.0509
2011,NUTS,2010,BG31,2,0.0455
2012,NUTS,2010,BG31,2,0.0535
2013,NUTS,2010,BG31,2,0.0506
2014,NUTS,2010,BG31,2,0.0461
2015,NUTS,2010,BG31,2,0.0453
2018,NUTS,2010,BG31,2,0.0572
2003,NUTS,2010,BG32,2,0.0134
2004,NUTS,2010,BG32,2,0.0161
2005,NUTS,2010,BG32,2,0.0168
2006,NUTS,2010,BG32,2,0.0153
2007,NUTS,2010,BG32,2,0.0133
2008,NUTS,2010,BG32,2,0.0126
2009,NUTS,2010,BG32,2,0.0153
2010,NUTS,2010,BG32,2,0.0157
2011,NUTS,2010,BG32,2,0.0115
2012,NUTS,2010,BG32,2,0.0119
2013,NUTS,2010,BG32,2,0.0255
2014,NUTS,2010,BG32,2,0.0107
2019,NUTS,2010,BG32,2,0.0085
2003,NUTS,2010,BG33,2,0.0548
2004,NUTS,2010,BG33,2,0.0597
2005,NUTS,2010,BG33,2,0.057
2006,NUTS,2010,BG33,2,0.0558
2007,NUTS,2010,BG33,2,0.0583
2008,NUTS,2010,BG33,2,0.062
2009,NUTS,2010,BG33,2,0.052
2010,NUTS,2010,BG33,2,0.0695
2011,NUTS,2010,BG33,2,0.0523
2012,NUTS,2010,BG33,2,0.0596
2013,NUTS,2010,BG33,2,0.0543
2014,NUTS,2010,BG33,2,0.0463
2015,NUTS,2010,BG33,2,0.0392
2016,NUTS,2010,BG33,2,0.0408
2017,NUTS,2010,BG33,2,0.0364
2018,NUTS,2010,BG33,2,0.0391
2019,NUTS,2010,BG33,2,0.0422
2003,NUTS,2010,BG34,2,0.0213
2004,NUTS,2010,BG34,2,0.0233
2005,NUTS,2010,BG34,2,0.0136
2006,NUTS,2010,BG34,2,0.0243
2007,NUTS,2010,BG34,2,0.0231
2008,NUTS,2010,BG34,2,0.0213
2009,NUTS,2010,BG34,2,0.0198
2010,NUTS,2010,BG34,2,0.024
2011,NUTS,2010,BG34,2,0.0232
2012,NUTS,2010,BG34,2,0.0253
2013,NUTS,2010,BG34,2,0.0225
2014,NUTS,2010,BG34,2,0.0213
2016,NUTS,2010,BG34,2,0.0182
2003,NUTS,2010,BG4,1,0.3927
2004,NUTS,2010,BG4,1,0.3752
2005,NUTS,2010,BG4,1,0.3713
2006,NUTS,2010,BG4,1,0.3553
2007,NUTS,2010,BG4,1,0.3381
2009,NUTS,2010,BG4,1,0.3172
2010,NUTS,2010,BG4,1,0.3212
2011,NUTS,2010,BG4,1,0.3421
2012,NUTS,2010,BG4,1,0.3123
2013,NUTS,2010,BG4,1,0.3075
2014,NUTS,2010,BG4,1,0.2908
2015,NUTS,2010,BG4,1,0.2727
2016,NUTS,2010,BG4,1,0.2699
2017,NUTS,2010,BG4,1,0.2504
2018,NUTS,2010,BG4,1,0.2437
2000,NUTS,2010,BG41,2,0.6746
2002,NUTS,2010,BG41,2,0.6581
2003,NUTS,2010,BG41,2,0.636
2005,NUTS,2010,BG41,2,0.5867
2006,NUTS,2010,BG41,2,0.558
2007,NUTS,2010,BG41,2,0.5329
2008,NUTS,2010,BG41,2,0.4946
2009,NUTS,2010,BG41,2,0.4918
2010,NUTS,2010,BG41,2,0.4793
2011,NUTS,2010,BG41,2,0.5041
2012,NUTS,2010,BG41,2,0.4632
2013,NUTS,2010,BG41,2,0.4656
2014,NUTS,2010,BG41,2,0.4379
2015,NUTS,2010,BG41,2,0.4077
2016,NUTS,2010,BG41,2,0.4007
2017,NUTS,2010,BG41,2,0.3745
2018,NUTS,2010,BG41,2,0.3608
2019,NUTS,2010,BG41,2,0.3661
2003,NUTS,2010,BG42,2,0.0271
2005,NUTS,2010,BG42,2,0.0323
2006,NUTS,2010,BG42,2,0.0297
2007,NUTS,2010,BG42,2,0.0288
2009,NUTS,2010,BG42,2,0.0324
2010,NUTS,2010,BG42,2,0.0481
2011,NUTS,2010,BG42,2,0.0583
2012,NUTS,2010,BG42,2,0.0523
2013,NUTS,2010,BG42,2,0.0456
2014,NUTS,2010,BG42,2,0.0515
2015,NUTS,2010,BG42,2,0.047
2016,NUTS,2010,BG42,2,0.049
2017,NUTS,2010,BG42,2,0.0471
2018,NUTS,2010,BG42,2,0.046
2010,NUTS,2010,CH,0,0.0099
2012,NUTS,2010,CH,0,0.0102
2014,NUTS,2010,CH,0,0.0108
2015,NUTS,2010,CH,0,0.0108
2017,NUTS,2010,CH,0,0.0102
2019,NUTS,2010,CH,0,0.0142
1991,NUTS,2010,CN_X_HK,5,0.0306
1992,NUTS,2010,CN_X_HK,5,0.0314
1993,NUTS,2010,CN_X_HK,5,0.029
1994,NUTS,2010,CN_X_HK,5,0.0289
1995,NUTS,2010,CN_X_HK,5,0.0272
1996,NUTS,2010,CN_X_HK,5,0.0261
1997,NUTS,2010,CN_X_HK,5,0.0277
1998,NUTS,2010,CN_X_HK,5,0.023
1999,NUTS,2010,CN_X_HK,5,0.0234
2000,NUTS,2010,CN_X_HK,5,0.0268
2001,NUTS,2010,CN_X_HK,5,0.0256
2002,NUTS,2010,CN_X_HK,5,0.0257
2003,NUTS,2010,CN_X_HK,5,0.0258
2004,NUTS,2010,CN_X_HK,5,0.0253
2005,NUTS,2010,CN_X_HK,5,0.0264
2006,NUTS,2010,CN_X_HK,5,0.0275
2007,NUTS,2010,CN_X_HK,5,0.03
1998,NUTS,2010,CY,0,0.0296
1999,NUTS,2010,CY,0,0.0297
2000,NUTS,2010,CY,0,0.0281
2001,NUTS,2010,CY,0,0.0317
2002,NUTS,2010,CY,0,0.0337
2003,NUTS,2010,CY,0,0.0341
2004,NUTS,2010,CY,0,0.0317
2005,NUTS,2010,CY,0,0.0317
2006,NUTS,2010,CY,0,0.0319
2007,NUTS,2010,CY,0,0.0285
2008,NUTS,2010,CY,0,0.0288
2009,NUTS,2010,CY,0,0.0269
2010,NUTS,2010,CY,0,0.0266
2011,NUTS,2010,CY,0,0.0251
2012,NUTS,2010,CY,0,0.0246
2013,NUTS,2010,CY,0,0.0242
2014,NUTS,2010,CY,0,0.0235
2015,NUTS,2010,CY,0,0.0243
2016,NUTS,2010,CY,0,0.0225
2017,NUTS,2010,CY,0,0.0234
2018,NUTS,2010,CY,0,0.0223
2019,NUTS,2010,CY,0,0.024
2020,NUTS,2010,CY,0,0.0235
1998,NUTS,2010,CZ,0,0.0966
1999,NUTS,2010,CZ,0,0.092
2000,NUTS,2010,CZ,0,0.0957
2001,NUTS,2010,CZ,0,0.1044
2002,NUTS,2010,CZ,0,0.0947
2003,NUTS,2010,CZ,0,0.104
2004,NUTS,2010,CZ,0,0.1041
2005,NUTS,2010,CZ,0,0.1394
2006,NUTS,2010,CZ,0,0.1466
2007,NUTS,2010,CZ,0,0.1473
2008,NUTS,2010,CZ,0,0.1477
2009,NUTS,2010,CZ,0,0.1338
2010,NUTS,2010,CZ,0,0.1367
2011,NUTS,2010,CZ,0,0.1378
2012,NUTS,2010,CZ,0,0.1342
2013,NUTS,2010,CZ,0,0.1388
2014,NUTS,2010,CZ,0,0.1429
2015,NUTS,2010,CZ,0,0.1498
2016,NUTS,2010,CZ,0,0.1495
2017,NUTS,2010,CZ,0,0.1552
2018,NUTS,2010,CZ,0,0.1531
2019,NUTS,2010,CZ,0,0.1547
2020,NUTS,2010,CZ,0,0.1606
1999,NUTS,2010,CZ0,1,0.0908
2000,NUTS,2010,CZ0,1,0.0946
2001,NUTS,2010,CZ0,1,0.1033
2002,NUTS,2010,CZ0,1,0.0936
2003,NUTS,2010,CZ0,1,0.1028
2004,NUTS,2010,CZ0,1,0.1031
2005,NUTS,2010,CZ0,1,0.1378
2006,NUTS,2010,CZ0,1,0.1448
2007,NUTS,2010,CZ0,1,0.1453
2008,NUTS,2010,CZ0,1,0.1457
2009,NUTS,2010,CZ0,1,0.1317
2010,NUTS,2010,CZ0,1,0.1346
2011,NUTS,2010,CZ0,1,0.1357
2012,NUTS,2010,CZ0,1,0.132
2013,NUTS,2010,CZ0,1,0.1362
2014,NUTS,2010,CZ0,1,0.1403
2015,NUTS,2010,CZ0,1,0.1466
2016,NUTS,2010,CZ0,1,0.1459
2017,NUTS,2010,CZ0,1,0.1514
2018,NUTS,2010,CZ0,1,0.1488
2019,NUTS,2010,CZ0,1,0.1503
2020,NUTS,2010,CZ0,1,0.156
2001,NUTS,2010,CZ01,2,0.5281
2002,NUTS,2010,CZ01,2,0.5037
2003,NUTS,2010,CZ01,2,0.5502
2004,NUTS,2010,CZ01,2,0.5364
2005,NUTS,2010,CZ01,2,0.767
2006,NUTS,2010,CZ01,2,0.7992
2007,NUTS,2010,CZ01,2,0.8187
2008,NUTS,2010,CZ01,2,0.8122
2009,NUTS,2010,CZ01,2,0.7283
2010,NUTS,2010,CZ01,2,0.739
2011,NUTS,2010,CZ01,2,0.7735
2012,NUTS,2010,CZ01,2,0.7368
2013,NUTS,2010,CZ01,2,0.7342
2014,NUTS,2010,CZ01,2,0.7788
2015,NUTS,2010,CZ01,2,0.7784
2016,NUTS,2010,CZ01,2,0.7421
2017,NUTS,2010,CZ01,2,0.7827
2018,NUTS,2010,CZ01,2,0.7348
2019,NUTS,2010,CZ01,2,0.7309
2020,NUTS,2010,CZ01,2,0.7666
2001,NUTS,2010,CZ02,2,0.054
2002,NUTS,2010,CZ02,2,0.0561
2003,NUTS,2010,CZ02,2,0.0775
2004,NUTS,2010,CZ02,2,0.0895
2005,NUTS,2010,CZ02,2,0.0977
2006,NUTS,2010,CZ02,2,0.1031
2007,NUTS,2010,CZ02,2,0.0997
2008,NUTS,2010,CZ02,2,0.101
2009,NUTS,2010,CZ02,2,0.083
2010,NUTS,2010,CZ02,2,0.0834
2011,NUTS,2010,CZ02,2,0.0779
2012,NUTS,2010,CZ02,2,0.0654
2013,NUTS,2010,CZ02,2,0.081
2014,NUTS,2010,CZ02,2,0.0814
2015,NUTS,2010,CZ02,2,0.1151
2016,NUTS,2010,CZ02,2,0.1435
2017,NUTS,2010,CZ02,2,0.1266
2018,NUTS,2010,CZ02,2,0.1421
2019,NUTS,2010,CZ02,2,0.1357
2020,NUTS,2010,CZ02,2,0.1358
2001,NUTS,2010,CZ03,2,0.0422
2002,NUTS,2010,CZ03,2,0.0421
2003,NUTS,2010,CZ03,2,0.0395
2004,NUTS,2010,CZ03,2,0.0366
2005,NUTS,2010,CZ03,2,0.0527
2006,NUTS,2010,CZ03,2,0.06
2007,NUTS,2010,CZ03,2,0.0614
2008,NUTS,2010,CZ03,2,0.0604
2009,NUTS,2010,CZ03,2,0.0499
2010,NUTS,2010,CZ03,2,0.0465
2011,NUTS,2010,CZ03,2,0.0379
2012,NUTS,2010,CZ03,2,0.0376
2013,NUTS,2010,CZ03,2,0.0489
2014,NUTS,2010,CZ03,2,0.0621
2015,NUTS,2010,CZ03,2,0.0582
2016,NUTS,2010,CZ03,2,0.0635
2017,NUTS,2010,CZ03,2,0.0664
2018,NUTS,2010,CZ03,2,0.0634
2019,NUTS,2010,CZ03,2,0.0695
2020,NUTS,2010,CZ03,2,0.0731
2001,NUTS,2010,CZ04,2,0.017
2002,NUTS,2010,CZ04,2,0.0018
2003,NUTS,2010,CZ04,2,0.0069
2004,NUTS,2010,CZ04,2,0.0077
2005,NUTS,2010,CZ04,2,0.0025
2006,NUTS,2010,CZ04,2,0.0049
2007,NUTS,2010,CZ04,2,0.0031
2008,NUTS,2010,CZ04,2,0.0057
2009,NUTS,2010,CZ04,2,0.0067
2010,NUTS,2010,CZ04,2,0.004
2011,NUTS,2010,CZ04,2,0.0058
2012,NUTS,2010,CZ04,2,0.0071
2013,NUTS,2010,CZ04,2,0.006
2014,NUTS,2010,CZ04,2,0.006
2015,NUTS,2010,CZ04,2,0.0051
2016,NUTS,2010,CZ04,2,0.0045
2017,NUTS,2010,CZ04,2,0.0056
2018,NUTS,2010,CZ04,2,0.0064
2019,NUTS,2010,CZ04,2,0.0071
2020,NUTS,2010,CZ04,2,0.0065
2001,NUTS,2010,CZ05,2,0.0108
2002,NUTS,2010,CZ05,2,0.0079
2003,NUTS,2010,CZ05,2,0.0097
2004,NUTS,2010,CZ05,2,0.0201
2005,NUTS,2010,CZ05,2,0.01
2006,NUTS,2010,CZ05,2,0.0113
2007,NUTS,2010,CZ05,2,0.0114
2008,NUTS,2010,CZ05,2,0.0111
2009,NUTS,2010,CZ05,2,0.0114
2010,NUTS,2010,CZ05,2,0.012
2011,NUTS,2010,CZ05,2,0.0151
2012,NUTS,2010,CZ05,2,0.0128
2013,NUTS,2010,CZ05,2,0.0127
2014,NUTS,2010,CZ05,2,0.0133
2015,NUTS,2010,CZ05,2,0.0137
2016,NUTS,2010,CZ05,2,0.0136
2017,NUTS,2010,CZ05,2,0.0128
2018,NUTS,2010,CZ05,2,0.0132
2019,NUTS,2010,CZ05,2,0.0155
2020,NUTS,2010,CZ05,2,0.016
2001,NUTS,2010,CZ06,2,0.1138
2002,NUTS,2010,CZ06,2,0.0847
2003,NUTS,2010,CZ06,2,0.085
2004,NUTS,2010,CZ06,2,0.0854
2005,NUTS,2010,CZ06,2,0.1091
2006,NUTS,2010,CZ06,2,0.1119
2007,NUTS,2010,CZ06,2,0.1063
2008,NUTS,2010,CZ06,2,0.1096
2009,NUTS,2010,CZ06,2,0.0892
2010,NUTS,2010,CZ06,2,0.0969
2011,NUTS,2010,CZ06,2,0.104
2012,NUTS,2010,CZ06,2,0.1133
2013,NUTS,2010,CZ06,2,0.1232
2014,NUTS,2010,CZ06,2,0.106
2015,NUTS,2010,CZ06,2,0.1271
2016,NUTS,2010,CZ06,2,0.126
2017,NUTS,2010,CZ06,2,0.1249
2018,NUTS,2010,CZ06,2,0.1267
2019,NUTS,2010,CZ06,2,0.13
2020,NUTS,2010,CZ06,2,0.1341
2001,NUTS,2010,CZ07,2,0.0113
2002,NUTS,2010,CZ07,2,0.0114
2003,NUTS,2010,CZ07,2,0.0123
2004,NUTS,2010,CZ07,2,0.0015
2005,NUTS,2010,CZ07,2,0.0033
2006,NUTS,2010,CZ07,2,0.003
2007,NUTS,2010,CZ07,2,0.0037
2008,NUTS,2010,CZ07,2,0.0034
2009,NUTS,2010,CZ07,2,0.0039
2010,NUTS,2010,CZ07,2,0.004
2011,NUTS,2010,CZ07,2,0.0041
2012,NUTS,2010,CZ07,2,0.0027
2013,NUTS,2010,CZ07,2,0.0033
2014,NUTS,2010,CZ07,2,0.0039
2015,NUTS,2010,CZ07,2,0.0045
2016,NUTS,2010,CZ07,2,0.005
2017,NUTS,2010,CZ07,2,0.0109
2018,NUTS,2010,CZ07,2,0.0115
2019,NUTS,2010,CZ07,2,0.0108
2020,NUTS,2010,CZ07,2,0.0112
2001,NUTS,2010,CZ08,2,0.011
2002,NUTS,2010,CZ08,2,0.0131
2003,NUTS,2010,CZ08,2,0.0144
2004,NUTS,2010,CZ08,2,0.0213
2005,NUTS,2010,CZ08,2,0.0165
2006,NUTS,2010,CZ08,2,0.0162
2007,NUTS,2010,CZ08,2,0.0163
2008,NUTS,2010,CZ08,2,0.0165
2009,NUTS,2010,CZ08,2,0.0142
2010,NUTS,2010,CZ08,2,0.0153
2011,NUTS,2010,CZ08,2,0.0094
2012,NUTS,2010,CZ08,2,0.0091
2013,NUTS,2010,CZ08,2,0.0103
2014,NUTS,2010,CZ08,2,0.0121
2015,NUTS,2010,CZ08,2,0.013
2016,NUTS,2010,CZ08,2,0.0133
2017,NUTS,2010,CZ08,2,0.0125
2018,NUTS,2010,CZ08,2,0.0127
2019,NUTS,2010,CZ08,2,0.0137
2020,NUTS,2010,CZ08,2,0.0137
1993,NUTS,2010,DE,0,0.0949
1994,NUTS,2010,DE,0,0.1004
1995,NUTS,2010,DE,0,0.1053
1996,NUTS,2010,DE,0,0.107
1997,NUTS,2010,DE,0,0.1067
1998,NUTS,2010,DE,0,0.1081
1999,NUTS,2010,DE,0,0.1058
2000,NUTS,2010,DE,0,0.1047
2001,NUTS,2010,DE,0,0.1072
2002,NUTS,2010,DE,0,0.1093
2003,NUTS,2010,DE,0,0.1092
2004,NUTS,2010,DE,0,0.1195
2005,NUTS,2010,DE,0,0.1113
2006,NUTS,2010,DE,0,0.1132
2007,NUTS,2010,DE,0,0.1165
2008,NUTS,2010,DE,0,0.1196
2009,NUTS,2010,DE,0,0.132
2010,NUTS,2010,DE,0,0.1405
2011,NUTS,2010,DE,0,0.1443
2012,NUTS,2010,DE,0,0.147
2013,NUTS,2010,DE,0,0.1488
2014,NUTS,2010,DE,0,0.1377
2015,NUTS,2010,DE,0,0.1397
2016,NUTS,2010,DE,0,0.1362
2017,NUTS,2010,DE,0,0.137
2018,NUTS,2010,DE,0,0.1426
2019,NUTS,2010,DE,0,0.1462
2020,NUTS,2010,DE,0,0.1536
1999,NUTS,2010,DE1,1,0.1329
2000,NUTS,2010,DE1,1,0.1248
2003,NUTS,2010,DE1,1,0.1224
2004,NUTS,2010,DE1,1,0.1361
2005,NUTS,2010,DE1,1,0.1303
2006,NUTS,2010,DE1,1,0.1223
