year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_pnp_total_pc_act_fte
1998,NUTS,2010,AT,0,0.0045
2002,NUTS,2010,AT,0,0.0063
2004,NUTS,2010,AT,0,0.0063
2006,NUTS,2010,AT,0,0.0052
2007,NUTS,2010,AT,0,0.0051
2009,NUTS,2010,AT,0,0.0101
2011,NUTS,2010,AT,0,0.011
2013,NUTS,2010,AT,0,0.0102
2015,NUTS,2010,AT,0,0.0136
2017,NUTS,2010,AT,0,0.015
2019,NUTS,2010,AT,0,0.0149
2000,NUTS,2010,BE,0,0.0171
2001,NUTS,2010,BE,0,0.0188
2002,NUTS,2010,BE,0,0.0161
2003,NUTS,2010,BE,0,0.0164
2004,NUTS,2010,BE,0,0.0152
2005,NUTS,2010,BE,0,0.0139
2006,NUTS,2010,BE,0,0.0139
2007,NUTS,2010,BE,0,0.0136
2008,NUTS,2010,BE,0,0.0135
2009,NUTS,2010,BE,0,0.0136
2010,NUTS,2010,BE,0,0.0138
2011,NUTS,2010,BE,0,0.0132
2012,NUTS,2010,BE,0,0.0071
2013,NUTS,2010,BE,0,0.0068
2014,NUTS,2010,BE,0,0.0057
2015,NUTS,2010,BE,0,0.0081
2016,NUTS,2010,BE,0,0.0102
2017,NUTS,2010,BE,0,0.0122
2018,NUTS,2010,BE,0,0.046
2019,NUTS,2010,BE,0,0.0467
2000,NUTS,2010,BG,0,0.0011
2001,NUTS,2010,BG,0,0.0026
2002,NUTS,2010,BG,0,0.0007
2003,NUTS,2010,BG,0,0.0018
2004,NUTS,2010,BG,0,0.0018
2005,NUTS,2010,BG,0,0.0059
2006,NUTS,2010,BG,0,0.004
2007,NUTS,2010,BG,0,0.0039
2008,NUTS,2010,BG,0,0.0027
2009,NUTS,2010,BG,0,0.0019
2010,NUTS,2010,BG,0,0.0026
2011,NUTS,2010,BG,0,0.0033
2012,NUTS,2010,BG,0,0.004
2013,NUTS,2010,BG,0,0.0038
2014,NUTS,2010,BG,0,0.004
2015,NUTS,2010,BG,0,0.0051
2016,NUTS,2010,BG,0,0.0017
2017,NUTS,2010,BG,0,0.0048
2018,NUTS,2010,BG,0,0.0043
2019,NUTS,2010,BG,0,0.0051
1998,NUTS,2010,CY,0,0.0124
1999,NUTS,2010,CY,0,0.0211
2000,NUTS,2010,CY,0,0.0191
2001,NUTS,2010,CY,0,0.0194
2002,NUTS,2010,CY,0,0.0201
2003,NUTS,2010,CY,0,0.0222
2004,NUTS,2010,CY,0,0.0248
2005,NUTS,2010,CY,0,0.0305
2006,NUTS,2010,CY,0,0.0322
2007,NUTS,2010,CY,0,0.033
2008,NUTS,2010,CY,0,0.0331
2009,NUTS,2010,CY,0,0.0371
2010,NUTS,2010,CY,0,0.0359
2011,NUTS,2010,CY,0,0.0357
2012,NUTS,2010,CY,0,0.0354
2013,NUTS,2010,CY,0,0.0324
2014,NUTS,2010,CY,0,0.0444
2015,NUTS,2010,CY,0,0.0389
2016,NUTS,2010,CY,0,0.0404
2017,NUTS,2010,CY,0,0.0434
2018,NUTS,2010,CY,0,0.044
2019,NUTS,2010,CY,0,0.0684
2000,NUTS,2010,CZ,0,0.0022
2001,NUTS,2010,CZ,0,0.0032
2002,NUTS,2010,CZ,0,0.0032
2003,NUTS,2010,CZ,0,0.0043
2004,NUTS,2010,CZ,0,0.0033
2005,NUTS,2010,CZ,0,0.0059
2006,NUTS,2010,CZ,0,0.0028
2007,NUTS,2010,CZ,0,0.0032
2008,NUTS,2010,CZ,0,0.0039
2009,NUTS,2010,CZ,0,0.0047
2010,NUTS,2010,CZ,0,0.0065
2011,NUTS,2010,CZ,0,0.0063
2012,NUTS,2010,CZ,0,0.0071
2013,NUTS,2010,CZ,0,0.0053
2014,NUTS,2010,CZ,0,0.0056
2015,NUTS,2010,CZ,0,0.0049
2016,NUTS,2010,CZ,0,0.0044
2017,NUTS,2010,CZ,0,0.0052
2018,NUTS,2010,CZ,0,0.0044
2019,NUTS,2010,CZ,0,0.0055
2020,NUTS,2010,CZ,0,0.0056
2008,NUTS,2010,DE,0,
2009,NUTS,2010,DE,0,
2010,NUTS,2010,DE,0,
2011,NUTS,2010,DE,0,
2012,NUTS,2010,DE,0,
2013,NUTS,2010,DE,0,
2014,NUTS,2010,DE,0,
1999,NUTS,2010,DK,0,0.017
2000,NUTS,2010,DK,0,0.0132
2001,NUTS,2010,DK,0,0.0119
2002,NUTS,2010,DK,0,0.0104
2003,NUTS,2010,DK,0,0.0112
2004,NUTS,2010,DK,0,0.0124
2005,NUTS,2010,DK,0,0.016
2006,NUTS,2010,DK,0,0.0136
2007,NUTS,2010,DK,0,0.0132
2009,NUTS,2010,DK,0,0.0133
2010,NUTS,2010,DK,0,0.0149
2011,NUTS,2010,DK,0,0.0143
2012,NUTS,2010,DK,0,0.016
2013,NUTS,2010,DK,0,0.0153
2014,NUTS,2010,DK,0,0.0157
2015,NUTS,2010,DK,0,0.0161
2016,NUTS,2010,DK,0,0.0167
2017,NUTS,2010,DK,0,0.0137
2018,NUTS,2010,DK,0,0.0112
2019,NUTS,2010,DK,0,0.012
1999,NUTS,2010,DK0,1,0.017
2000,NUTS,2010,DK0,1,0.0131
2001,NUTS,2010,DK0,1,0.0119
2002,NUTS,2010,DK0,1,0.0103
2003,NUTS,2010,DK0,1,0.0111
1997,NUTS,2010,EE,0,0.0016
1998,NUTS,2010,EE,0,0.0019
1999,NUTS,2010,EE,0,0.0022
2000,NUTS,2010,EE,0,0.0081
2001,NUTS,2010,EE,0,0.0103
2002,NUTS,2010,EE,0,0.0144
2003,NUTS,2010,EE,0,0.0211
2004,NUTS,2010,EE,0,0.0194
2005,NUTS,2010,EE,0,0.0162
2006,NUTS,2010,EE,0,0.0186
2007,NUTS,2010,EE,0,0.0215
2008,NUTS,2010,EE,0,0.0169
2009,NUTS,2010,EE,0,0.0185
2010,NUTS,2010,EE,0,0.016
2011,NUTS,2010,EE,0,0.017
2012,NUTS,2010,EE,0,0.0174
2013,NUTS,2010,EE,0,0.0172
2014,NUTS,2010,EE,0,0.0179
2015,NUTS,2010,EE,0,0.0153
2016,NUTS,2010,EE,0,0.0176
2017,NUTS,2010,EE,0,0.0172
2018,NUTS,2010,EE,0,0.0235
2019,NUTS,2010,EE,0,0.017
1999,NUTS,2010,EL,0,0.0022
2001,NUTS,2010,EL,0,0.0027
2003,NUTS,2010,EL,0,0.0058
2005,NUTS,2010,EL,0,0.0052
2011,NUTS,2010,EL,0,0.0076
2013,NUTS,2010,EL,0,0.015
2015,NUTS,2010,EL,0,0.0143
2017,NUTS,2010,EL,0,0.0143
2019,NUTS,2010,EL,0,0.012
2001,NUTS,2010,EL3,1,0.0035
2001,NUTS,2010,EL30,2,0.0035
2001,NUTS,2010,EL52,2,0.0069
2001,NUTS,2010,EL65,2,0.0031
1997,NUTS,2010,ES,0,0.0072
1999,NUTS,2010,ES,0,0.006
2000,NUTS,2010,ES,0,0.0098
2001,NUTS,2010,ES,0,0.0089
2002,NUTS,2010,ES,0,0.0033
2003,NUTS,2010,ES,0,0.0029
2004,NUTS,2010,ES,0,0.0023
2005,NUTS,2010,ES,0,0.0024
2006,NUTS,2010,ES,0,0.0033
2007,NUTS,2010,ES,0,0.003
2008,NUTS,2010,ES,0,0.0028
2009,NUTS,2010,ES,0,0.0028
2010,NUTS,2010,ES,0,0.0026
2011,NUTS,2010,ES,0,0.0021
2012,NUTS,2010,ES,0,0.0022
2013,NUTS,2010,ES,0,0.0021
2014,NUTS,2010,ES,0,0.0021
2015,NUTS,2010,ES,0,0.0021
2016,NUTS,2010,ES,0,0.0028
2017,NUTS,2010,ES,0,0.0026
2018,NUTS,2010,ES,0,0.0028
2019,NUTS,2010,ES,0,0.0028
2010,NUTS,2010,FR,0,0.021
2011,NUTS,2010,FR,0,0.0222
