year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_total_f_hc
2012,NUTS,2010,BG32,2,102.0
2013,NUTS,2010,BG32,2,149.0
2014,NUTS,2010,BG32,2,188.0
2015,NUTS,2010,BG32,2,387.0
2016,NUTS,2010,BG32,2,341.0
2017,NUTS,2010,BG32,2,409.0
2018,NUTS,2010,BG32,2,471.0
2019,NUTS,2010,BG32,2,522.0
2011,NUTS,2010,BG33,2,73.0
2012,NUTS,2010,BG33,2,68.0
2013,NUTS,2010,BG33,2,83.0
2015,NUTS,2010,BG33,2,283.0
2016,NUTS,2010,BG33,2,256.0
2017,NUTS,2010,BG33,2,227.0
2018,NUTS,2010,BG33,2,353.0
2019,NUTS,2010,BG33,2,341.0
2011,NUTS,2010,BG34,2,108.0
2014,NUTS,2010,BG34,2,117.0
2015,NUTS,2010,BG34,2,344.0
2016,NUTS,2010,BG34,2,345.0
2017,NUTS,2010,BG34,2,353.0
2018,NUTS,2010,BG34,2,445.0
2019,NUTS,2010,BG34,2,490.0
2011,NUTS,2010,BG4,1,927.0
2012,NUTS,2010,BG4,1,1183.0
2013,NUTS,2010,BG4,1,1518.0
2014,NUTS,2010,BG4,1,1986.0
2015,NUTS,2010,BG4,1,2953.0
2016,NUTS,2010,BG4,1,3851.0
2017,NUTS,2010,BG4,1,3805.0
2018,NUTS,2010,BG4,1,4191.0
2019,NUTS,2010,BG4,1,4504.0
2011,NUTS,2010,BG41,2,701.0
2012,NUTS,2010,BG41,2,935.0
2014,NUTS,2010,BG41,2,1729.0
2015,NUTS,2010,BG41,2,2426.0
2016,NUTS,2010,BG41,2,3270.0
2017,NUTS,2010,BG41,2,3259.0
2018,NUTS,2010,BG41,2,3622.0
2019,NUTS,2010,BG41,2,3905.0
2011,NUTS,2010,BG42,2,226.0
2012,NUTS,2010,BG42,2,248.0
2014,NUTS,2010,BG42,2,257.0
2015,NUTS,2010,BG42,2,527.0
2016,NUTS,2010,BG42,2,581.0
2017,NUTS,2010,BG42,2,546.0
2018,NUTS,2010,BG42,2,569.0
2019,NUTS,2010,BG42,2,599.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,CH,0,12924.0
2015,NUTS,2010,CH,0,12809.0
2017,NUTS,2010,CH,0,13499.0
2019,NUTS,2010,CH,0,14387.0
2012,NUTS,2010,CH01,2,1956.0
2015,NUTS,2010,CH01,2,2379.0
2017,NUTS,2010,CH01,2,2047.0
2019,NUTS,2010,CH01,2,2235.0
2012,NUTS,2010,CH02,2,1941.0
2015,NUTS,2010,CH02,2,1706.0
2017,NUTS,2010,CH02,2,1562.0
2019,NUTS,2010,CH02,2,1597.0
2012,NUTS,2010,CH03,2,4791.0
2015,NUTS,2010,CH03,2,4918.0
2017,NUTS,2010,CH03,2,5702.0
2019,NUTS,2010,CH03,2,6269.0
2012,NUTS,2010,CH04,2,1868.0
2015,NUTS,2010,CH04,2,1497.0
2017,NUTS,2010,CH04,2,1732.0
2019,NUTS,2010,CH04,2,1637.0
2012,NUTS,2010,CH05,2,1008.0
2015,NUTS,2010,CH05,2,994.0
2017,NUTS,2010,CH05,2,826.0
2019,NUTS,2010,CH05,2,1189.0
2012,NUTS,2010,CH06,2,1011.0
2015,NUTS,2010,CH06,2,1197.0
2017,NUTS,2010,CH06,2,1279.0
2019,NUTS,2010,CH06,2,1224.0
2012,NUTS,2010,CH07,2,349.0
2015,NUTS,2010,CH07,2,118.0
2017,NUTS,2010,CH07,2,351.0
2019,NUTS,2010,CH07,2,237.0
2011,NUTS,2010,CN_X_HK,5,596679.0
2012,NUTS,2010,CN_X_HK,5,698318.0
2013,NUTS,2010,CN_X_HK,5,766988.0
2014,NUTS,2010,CN_X_HK,5,789239.0
2015,NUTS,2010,CN_X_HK,5,891201.0
2016,NUTS,2010,CN_X_HK,5,961300.0
2017,NUTS,2010,CN_X_HK,5,1030835.0
2018,NUTS,2010,CN_X_HK,5,1091726.0
2019,NUTS,2010,CN_X_HK,5,1138770.0
2011,NUTS,2010,CY,0,158.0
2012,NUTS,2010,CY,0,154.0
2013,NUTS,2010,CY,0,160.0
2014,NUTS,2010,CY,0,157.0
2015,NUTS,2010,CY,0,146.0
2016,NUTS,2010,CY,0,188.0
2017,NUTS,2010,CY,0,224.0
2018,NUTS,2010,CY,0,309.0
2019,NUTS,2010,CY,0,337.0
2011,NUTS,2010,CZ,0,7090.0
2012,NUTS,2010,CZ,0,7711.0
2013,NUTS,2010,CZ,0,8460.0
2014,NUTS,2010,CZ,0,8820.0
2015,NUTS,2010,CZ,0,8744.0
2016,NUTS,2010,CZ,0,9141.0
2017,NUTS,2010,CZ,0,9670.0
2018,NUTS,2010,CZ,0,10016.0
2019,NUTS,2010,CZ,0,10331.0
2020,NUTS,2010,CZ,0,10671.0
2011,NUTS,2010,CZ0,1,7090.0
2012,NUTS,2010,CZ0,1,7711.0
2013,NUTS,2010,CZ0,1,8460.0
2014,NUTS,2010,CZ0,1,8820.0
2015,NUTS,2010,CZ0,1,8744.0
2016,NUTS,2010,CZ0,1,9141.0
2017,NUTS,2010,CZ0,1,9670.0
2018,NUTS,2010,CZ0,1,10016.0
2019,NUTS,2010,CZ0,1,10331.0
2020,NUTS,2010,CZ0,1,10671.0
2011,NUTS,2010,CZ01,2,1783.0
2012,NUTS,2010,CZ01,2,2132.0
2013,NUTS,2010,CZ01,2,2408.0
2014,NUTS,2010,CZ01,2,2403.0
2015,NUTS,2010,CZ01,2,2347.0
2016,NUTS,2010,CZ01,2,2614.0
2017,NUTS,2010,CZ01,2,2645.0
2018,NUTS,2010,CZ01,2,2744.0
2019,NUTS,2010,CZ01,2,2779.0
2020,NUTS,2010,CZ01,2,3077.0
2011,NUTS,2010,CZ02,2,984.0
2012,NUTS,2010,CZ02,2,1033.0
2013,NUTS,2010,CZ02,2,1005.0
2014,NUTS,2010,CZ02,2,942.0
2015,NUTS,2010,CZ02,2,958.0
2016,NUTS,2010,CZ02,2,959.0
2017,NUTS,2010,CZ02,2,1023.0
2018,NUTS,2010,CZ02,2,1123.0
2019,NUTS,2010,CZ02,2,1110.0
2020,NUTS,2010,CZ02,2,1107.0
2011,NUTS,2010,CZ03,2,482.0
2012,NUTS,2010,CZ03,2,513.0
2013,NUTS,2010,CZ03,2,535.0
