year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_hes_pps_hab_kp05
1998,NUTS,2010,AT,0,130.3
2002,NUTS,2010,AT,0,154.1
2004,NUTS,2010,AT,0,163.9
2005,NUTS,2010,AT,0,168.7
2006,NUTS,2010,AT,0,168.2
2007,NUTS,2010,AT,0,176.2
2008,NUTS,2010,AT,0,198.3
2009,NUTS,2010,AT,0,201.0
2010,NUTS,2010,AT,0,212.3
2011,NUTS,2010,AT,0,211.2
2012,NUTS,2010,AT,0,222.1
2013,NUTS,2010,AT,0,221.8
2014,NUTS,2010,AT,0,225.6
2015,NUTS,2010,AT,0,221.6
2016,NUTS,2010,AT,0,215.4
2017,NUTS,2010,AT,0,216.3
2018,NUTS,2010,AT,0,222.9
2019,NUTS,2010,AT,0,221.6
2020,NUTS,2010,AT,0,220.2
1998,NUTS,2010,AT1,1,174.3
2002,NUTS,2010,AT1,1,
2004,NUTS,2010,AT1,1,
2006,NUTS,2010,AT1,1,
2007,NUTS,2010,AT1,1,
2009,NUTS,2010,AT1,1,
2011,NUTS,2010,AT1,1,264.1
2013,NUTS,2010,AT1,1,283.8
2015,NUTS,2010,AT1,1,
2017,NUTS,2010,AT1,1,
2019,NUTS,2010,AT1,1,272.9
2002,NUTS,2010,AT11,2,
2004,NUTS,2010,AT11,2,
2006,NUTS,2010,AT11,2,
2007,NUTS,2010,AT11,2,
2009,NUTS,2010,AT11,2,
2011,NUTS,2010,AT11,2,8.9
2013,NUTS,2010,AT11,2,13.5
2015,NUTS,2010,AT11,2,
2017,NUTS,2010,AT11,2,
2019,NUTS,2010,AT11,2,26.7
1998,NUTS,2010,AT12,2,0.7
2002,NUTS,2010,AT12,2,3.9
2004,NUTS,2010,AT12,2,5.1
2006,NUTS,2010,AT12,2,8.2
2007,NUTS,2010,AT12,2,8.7
2009,NUTS,2010,AT12,2,13.6
2011,NUTS,2010,AT12,2,19.3
2013,NUTS,2010,AT12,2,36.5
2015,NUTS,2010,AT12,2,40.4
2017,NUTS,2010,AT12,2,57.8
2019,NUTS,2010,AT12,2,59.2
1998,NUTS,2010,AT13,2,377.7
2002,NUTS,2010,AT13,2,428.1
2004,NUTS,2010,AT13,2,444.4
2006,NUTS,2010,AT13,2,435.4
2007,NUTS,2010,AT13,2,453.6
2009,NUTS,2010,AT13,2,523.0
2011,NUTS,2010,AT13,2,538.1
2013,NUTS,2010,AT13,2,558.1
2015,NUTS,2010,AT13,2,544.3
2017,NUTS,2010,AT13,2,496.0
2019,NUTS,2010,AT13,2,499.9
1998,NUTS,2010,AT2,1,136.7
2002,NUTS,2010,AT2,1,
2004,NUTS,2010,AT2,1,
2006,NUTS,2010,AT2,1,177.0
2007,NUTS,2010,AT2,1,184.4
2009,NUTS,2010,AT2,1,203.5
2011,NUTS,2010,AT2,1,220.3
2013,NUTS,2010,AT2,1,223.6
2015,NUTS,2010,AT2,1,
2017,NUTS,2010,AT2,1,228.0
2019,NUTS,2010,AT2,1,229.9
1998,NUTS,2010,AT21,2,31.2
2002,NUTS,2010,AT21,2,
2004,NUTS,2010,AT21,2,
2006,NUTS,2010,AT21,2,49.0
2007,NUTS,2010,AT21,2,52.1
2009,NUTS,2010,AT21,2,62.8
2011,NUTS,2010,AT21,2,68.2
2013,NUTS,2010,AT21,2,65.4
2015,NUTS,2010,AT21,2,53.3
2017,NUTS,2010,AT21,2,59.1
2019,NUTS,2010,AT21,2,59.7
1998,NUTS,2010,AT22,2,186.7
2002,NUTS,2010,AT22,2,225.2
2004,NUTS,2010,AT22,2,225.5
2006,NUTS,2010,AT22,2,236.6
2007,NUTS,2010,AT22,2,246.0
2009,NUTS,2010,AT22,2,268.8
2011,NUTS,2010,AT22,2,290.4
2013,NUTS,2010,AT22,2,296.1
2015,NUTS,2010,AT22,2,307.2
2017,NUTS,2010,AT22,2,304.6
2019,NUTS,2010,AT22,2,306.8
1998,NUTS,2010,AT3,1,75.3
2002,NUTS,2010,AT3,1,92.6
2004,NUTS,2010,AT3,1,107.9
2006,NUTS,2010,AT3,1,
2007,NUTS,2010,AT3,1,
2009,NUTS,2010,AT3,1,
2011,NUTS,2010,AT3,1,142.8
2013,NUTS,2010,AT3,1,146.5
2015,NUTS,2010,AT3,1,
2017,NUTS,2010,AT3,1,
2019,NUTS,2010,AT3,1,154.6
1998,NUTS,2010,AT31,2,34.7
2002,NUTS,2010,AT31,2,51.5
2004,NUTS,2010,AT31,2,47.4
2006,NUTS,2010,AT31,2,49.1
2007,NUTS,2010,AT31,2,54.5
2009,NUTS,2010,AT31,2,65.3
2011,NUTS,2010,AT31,2,75.9
2013,NUTS,2010,AT31,2,80.7
2015,NUTS,2010,AT31,2,76.8
2017,NUTS,2010,AT31,2,79.8
2019,NUTS,2010,AT31,2,86.9
1998,NUTS,2010,AT32,2,88.5
2002,NUTS,2010,AT32,2,
2004,NUTS,2010,AT32,2,
2006,NUTS,2010,AT32,2,115.5
2007,NUTS,2010,AT32,2,123.1
2009,NUTS,2010,AT32,2,144.4
2011,NUTS,2010,AT32,2,146.1
2013,NUTS,2010,AT32,2,150.1
2015,NUTS,2010,AT32,2,153.0
2017,NUTS,2010,AT32,2,158.4
2019,NUTS,2010,AT32,2,190.1
1998,NUTS,2010,AT33,2,188.3
2002,NUTS,2010,AT33,2,212.9
2004,NUTS,2010,AT33,2,277.8
2006,NUTS,2010,AT33,2,302.1
2007,NUTS,2010,AT33,2,315.8
2009,NUTS,2010,AT33,2,341.8
2011,NUTS,2010,AT33,2,340.7
2013,NUTS,2010,AT33,2,341.3
2015,NUTS,2010,AT33,2,341.8
2017,NUTS,2010,AT33,2,331.5
2019,NUTS,2010,AT33,2,332.2
2002,NUTS,2010,AT34,2,
2004,NUTS,2010,AT34,2,
2006,NUTS,2010,AT34,2,
2007,NUTS,2010,AT34,2,
2009,NUTS,2010,AT34,2,
2011,NUTS,2010,AT34,2,14.5
2013,NUTS,2010,AT34,2,17.9
2015,NUTS,2010,AT34,2,
2017,NUTS,2010,AT34,2,
2019,NUTS,2010,AT34,2,19.6
2012,NUTS,2010,BA,0,4.3
1995,NUTS,2010,BE,0,82.2
1996,NUTS,2010,BE,0,84.2
1997,NUTS,2010,BE,0,90.8
1998,NUTS,2010,BE,0,94.4
1999,NUTS,2010,BE,0,97.7
2000,NUTS,2010,BE,0,99.0
2001,NUTS,2010,BE,0,102.1
2002,NUTS,2010,BE,0,103.8
2003,NUTS,2010,BE,0,106.1
2004,NUTS,2010,BE,0,106.0
2005,NUTS,2010,BE,0,108.9
2006,NUTS,2010,BE,0,107.9
2007,NUTS,2010,BE,0,111.8
2008,NUTS,2010,BE,0,120.5
2009,NUTS,2010,BE,0,131.3
2010,NUTS,2010,BE,0,137.0
2011,NUTS,2010,BE,0,137.5
2012,NUTS,2010,BE,0,137.8
2013,NUTS,2010,BE,0,143.5
2014,NUTS,2010,BE,0,140.2
2015,NUTS,2010,BE,0,143.6
2016,NUTS,2010,BE,0,156.2
2017,NUTS,2010,BE,0,156.7
2018,NUTS,2010,BE,0,158.3
2019,NUTS,2010,BE,0,161.2
2020,NUTS,2010,BE,0,174.0
2002,NUTS,2010,BE1,1,240.6
2003,NUTS,2010,BE1,1,223.0
2004,NUTS,2010,BE1,1,218.4
2005,NUTS,2010,BE1,1,217.8
2006,NUTS,2010,BE1,1,210.1
2007,NUTS,2010,BE1,1,212.6
2008,NUTS,2010,BE1,1,245.0
2009,NUTS,2010,BE1,1,275.2
2010,NUTS,2010,BE1,1,271.3
2011,NUTS,2010,BE1,1,257.6
2012,NUTS,2010,BE1,1,261.9
2013,NUTS,2010,BE1,1,282.2
2014,NUTS,2010,BE1,1,268.8
2015,NUTS,2010,BE1,1,269.1
2016,NUTS,2010,BE1,1,295.1
2017,NUTS,2010,BE1,1,299.5
2018,NUTS,2010,BE1,1,285.7
2019,NUTS,2010,BE1,1,283.3
2002,NUTS,2010,BE10,2,240.6
2003,NUTS,2010,BE10,2,223.0
2004,NUTS,2010,BE10,2,218.4
2005,NUTS,2010,BE10,2,217.8
2006,NUTS,2010,BE10,2,210.1
2007,NUTS,2010,BE10,2,212.6
2008,NUTS,2010,BE10,2,245.0
2009,NUTS,2010,BE10,2,275.2
2010,NUTS,2010,BE10,2,271.3
2011,NUTS,2010,BE10,2,257.6
2012,NUTS,2010,BE10,2,261.9
2013,NUTS,2010,BE10,2,282.2
2014,NUTS,2010,BE10,2,268.8
2015,NUTS,2010,BE10,2,269.1
2016,NUTS,2010,BE10,2,295.1
2017,NUTS,2010,BE10,2,299.5
2018,NUTS,2010,BE10,2,285.7
2019,NUTS,2010,BE10,2,283.3
2002,NUTS,2010,BE2,1,88.1
2003,NUTS,2010,BE2,1,95.7
2004,NUTS,2010,BE2,1,97.3
2005,NUTS,2010,BE2,1,101.4
2006,NUTS,2010,BE2,1,101.9
2007,NUTS,2010,BE2,1,106.6
2008,NUTS,2010,BE2,1,114.9
2009,NUTS,2010,BE2,1,125.0
2010,NUTS,2010,BE2,1,132.6
2011,NUTS,2010,BE2,1,135.1
2012,NUTS,2010,BE2,1,136.5
2013,NUTS,2010,BE2,1,142.3
2014,NUTS,2010,BE2,1,138.7
2015,NUTS,2010,BE2,1,141.2
2016,NUTS,2010,BE2,1,152.7
2017,NUTS,2010,BE2,1,150.1
2018,NUTS,2010,BE2,1,157.6
2019,NUTS,2010,BE2,1,166.9
2010,NUTS,2010,BE21,2,
2011,NUTS,2010,BE21,2,
2012,NUTS,2010,BE21,2,
2013,NUTS,2010,BE21,2,
2014,NUTS,2010,BE21,2,
2015,NUTS,2010,BE21,2,
2016,NUTS,2010,BE21,2,
2017,NUTS,2010,BE21,2,
2018,NUTS,2010,BE21,2,
2019,NUTS,2010,BE21,2,
2010,NUTS,2010,BE22,2,
2011,NUTS,2010,BE22,2,
2012,NUTS,2010,BE22,2,
2013,NUTS,2010,BE22,2,
2014,NUTS,2010,BE22,2,
2015,NUTS,2010,BE22,2,
2016,NUTS,2010,BE22,2,
2017,NUTS,2010,BE22,2,
2018,NUTS,2010,BE22,2,
2019,NUTS,2010,BE22,2,
2010,NUTS,2010,BE23,2,
2011,NUTS,2010,BE23,2,
2012,NUTS,2010,BE23,2,
2013,NUTS,2010,BE23,2,
2014,NUTS,2010,BE23,2,
2015,NUTS,2010,BE23,2,
2016,NUTS,2010,BE23,2,
2017,NUTS,2010,BE23,2,
2018,NUTS,2010,BE23,2,
2019,NUTS,2010,BE23,2,
2010,NUTS,2010,BE24,2,
2011,NUTS,2010,BE24,2,
2012,NUTS,2010,BE24,2,
2013,NUTS,2010,BE24,2,
2014,NUTS,2010,BE24,2,
2015,NUTS,2010,BE24,2,
