year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pc_act_fte_rse_total_t
1998,NUTS,2010,AT,0,0.4895
2002,NUTS,2010,AT,0,0.6291
2004,NUTS,2010,AT,0,0.6715
2005,NUTS,2010,AT,0,0.7237
2006,NUTS,2010,AT,0,0.7311
2007,NUTS,2010,AT,0,0.7794
2008,NUTS,2010,AT,0,0.8417
2009,NUTS,2010,AT,0,0.8357
2010,NUTS,2010,AT,0,0.8787
2011,NUTS,2010,AT,0,0.8856
2012,NUTS,2010,AT,0,0.937
2013,NUTS,2010,AT,0,0.9447
2014,NUTS,2010,AT,0,0.9962
2015,NUTS,2010,AT,0,1.0042
2016,NUTS,2010,AT,0,1.0601
2017,NUTS,2010,AT,0,1.0674
2018,NUTS,2010,AT,0,1.1197
2019,NUTS,2010,AT,0,1.1732
2020,NUTS,2010,AT,0,1.1624
2002,NUTS,2010,AT1,1,0.7815
2004,NUTS,2010,AT1,1,0.7924
2006,NUTS,2010,AT1,1,0.8285
2007,NUTS,2010,AT1,1,0.8878
2009,NUTS,2010,AT1,1,0.9326
2011,NUTS,2010,AT1,1,0.963
2013,NUTS,2010,AT1,1,0.9926
2015,NUTS,2010,AT1,1,1.0207
2017,NUTS,2010,AT1,1,1.0595
2019,NUTS,2010,AT1,1,1.1253
2002,NUTS,2010,AT11,2,0.1291
2004,NUTS,2010,AT11,2,0.1282
2006,NUTS,2010,AT11,2,0.1231
2007,NUTS,2010,AT11,2,0.1384
2009,NUTS,2010,AT11,2,0.1265
2011,NUTS,2010,AT11,2,0.2125
2013,NUTS,2010,AT11,2,0.2756
2015,NUTS,2010,AT11,2,0.2853
2017,NUTS,2010,AT11,2,0.339
2019,NUTS,2010,AT11,2,0.3666
2002,NUTS,2010,AT12,2,0.207
2004,NUTS,2010,AT12,2,0.2057
2006,NUTS,2010,AT12,2,0.2531
2007,NUTS,2010,AT12,2,0.2514
2009,NUTS,2010,AT12,2,0.2817
2011,NUTS,2010,AT12,2,0.3525
2013,NUTS,2010,AT12,2,0.3702
2015,NUTS,2010,AT12,2,0.3969
2017,NUTS,2010,AT12,2,0.435
2019,NUTS,2010,AT12,2,0.5435
2002,NUTS,2010,AT13,2,1.4401
2004,NUTS,2010,AT13,2,1.4579
2006,NUTS,2010,AT13,2,1.4939
2007,NUTS,2010,AT13,2,1.6315
2009,NUTS,2010,AT13,2,1.6992
2011,NUTS,2010,AT13,2,1.6811
2013,NUTS,2010,AT13,2,1.6913
2015,NUTS,2010,AT13,2,1.718
2017,NUTS,2010,AT13,2,1.7416
2019,NUTS,2010,AT13,2,1.7535
2002,NUTS,2010,AT2,1,0.6587
2004,NUTS,2010,AT2,1,0.7753
2006,NUTS,2010,AT2,1,0.8564
2007,NUTS,2010,AT2,1,0.8804
2009,NUTS,2010,AT2,1,0.9654
2011,NUTS,2010,AT2,1,1.0525
2013,NUTS,2010,AT2,1,1.0623
2015,NUTS,2010,AT2,1,1.1852
2017,NUTS,2010,AT2,1,1.3129
2019,NUTS,2010,AT2,1,1.5334
2002,NUTS,2010,AT21,2,0.4661
2004,NUTS,2010,AT21,2,0.5908
2006,NUTS,2010,AT21,2,0.6705
2007,NUTS,2010,AT21,2,0.7001
2009,NUTS,2010,AT21,2,0.7652
2011,NUTS,2010,AT21,2,0.7488
2013,NUTS,2010,AT21,2,0.7479
2015,NUTS,2010,AT21,2,0.8216
2017,NUTS,2010,AT21,2,0.906
2019,NUTS,2010,AT21,2,1.0286
2002,NUTS,2010,AT22,2,0.747
2004,NUTS,2010,AT22,2,0.859
2006,NUTS,2010,AT22,2,0.9391
2007,NUTS,2010,AT22,2,0.9609
2009,NUTS,2010,AT22,2,1.0545
2011,NUTS,2010,AT22,2,1.1868
2013,NUTS,2010,AT22,2,1.202
2015,NUTS,2010,AT22,2,1.3461
2017,NUTS,2010,AT22,2,1.4898
2019,NUTS,2010,AT22,2,1.7519
2002,NUTS,2010,AT3,1,0.4255
2004,NUTS,2010,AT3,1,0.4913
2006,NUTS,2010,AT3,1,0.5264
2007,NUTS,2010,AT3,1,0.5683
2009,NUTS,2010,AT3,1,0.623
2011,NUTS,2010,AT3,1,0.6735
2013,NUTS,2010,AT3,1,0.7919
2015,NUTS,2010,AT3,1,0.8482
2017,NUTS,2010,AT3,1,0.908
2019,NUTS,2010,AT3,1,0.993
2002,NUTS,2010,AT31,2,0.4213
2004,NUTS,2010,AT31,2,0.4781
2006,NUTS,2010,AT31,2,0.5351
2007,NUTS,2010,AT31,2,0.5768
