year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_total_f_fte
2016,NUTS,2010,LV,0,1722.0
2017,NUTS,2010,LV,0,1918.0
2018,NUTS,2010,LV,0,1960.0
2019,NUTS,2010,LV,0,2090.0
2011,NUTS,2010,ME,0,129.0
2013,NUTS,2010,ME,0,123.0
2014,NUTS,2010,ME,0,133.0
2015,NUTS,2010,ME,0,195.0
2017,NUTS,2010,ME,0,181.0
2018,NUTS,2010,ME,0,190.0
2019,NUTS,2010,ME,0,157.0
2011,NUTS,2010,MK,0,335.0
2012,NUTS,2010,MK,0,437.0
2015,NUTS,2010,MK,0,691.0
2016,NUTS,2010,MK,0,690.0
2017,NUTS,2010,MK,0,595.0
2018,NUTS,2010,MK,0,643.0
2019,NUTS,2010,MK,0,606.0
2011,NUTS,2010,MT,0,127.0
2012,NUTS,2010,MT,0,148.0
2013,NUTS,2010,MT,0,174.0
2014,NUTS,2010,MT,0,198.0
2015,NUTS,2010,MT,0,199.0
2016,NUTS,2010,MT,0,188.0
2017,NUTS,2010,MT,0,209.0
2018,NUTS,2010,MT,0,223.0
2019,NUTS,2010,MT,0,242.0
2011,NUTS,2010,NL,0,13801.0
2012,NUTS,2010,NL,0,13849.0
2015,NUTS,2010,PL,0,20231.0
2016,NUTS,2010,PL,0,23598.0
2017,NUTS,2010,PL,0,30928.0
2018,NUTS,2010,PL,0,32964.0
2019,NUTS,2010,PL,0,35300.0
2011,NUTS,2010,PT,0,12183.0
2012,NUTS,2010,PT,0,12487.0
2013,NUTS,2010,PT,0,14165.0
2014,NUTS,2010,PT,0,13626.0
2015,NUTS,2010,PT,0,13742.0
2016,NUTS,2010,PT,0,14486.0
2017,NUTS,2010,PT,0,15485.0
2018,NUTS,2010,PT,0,16280.0
2019,NUTS,2010,PT,0,16479.0
2020,NUTS,2010,PT,0,16479.0
2011,NUTS,2010,RO,0,4664.0
2012,NUTS,2010,RO,0,4382.0
2013,NUTS,2010,RO,0,4719.0
2014,NUTS,2010,RO,0,4288.0
2015,NUTS,2010,RO,0,4416.0
2016,NUTS,2010,RO,0,4421.0
2017,NUTS,2010,RO,0,4341.0
2018,NUTS,2010,RO,0,4217.0
2019,NUTS,2010,RO,0,4132.0
2011,NUTS,2010,RS,0,5859.0
2012,NUTS,2010,RS,0,5818.0
2013,NUTS,2010,RS,0,6009.0
2014,NUTS,2010,RS,0,5933.0
2015,NUTS,2010,RS,0,6733.0
2016,NUTS,2010,RS,0,6598.0
2017,NUTS,2010,RS,0,6452.0
2018,NUTS,2010,RS,0,6574.0
2019,NUTS,2010,RS,0,6557.0
2020,NUTS,2010,RS,0,6990.0
2011,NUTS,2010,SE,0,8288.0
2013,NUTS,2010,SE,0,8594.0
2015,NUTS,2010,SE,0,9032.0
2017,NUTS,2010,SE,0,9117.0
2019,NUTS,2010,SE,0,10073.0
2011,NUTS,2010,SI,0,1441.0
2012,NUTS,2010,SI,0,1358.0
2013,NUTS,2010,SI,0,1343.0
2014,NUTS,2010,SI,0,1251.0
2015,NUTS,2010,SI,0,1175.0
2016,NUTS,2010,SI,0,1090.0
2017,NUTS,2010,SI,0,1126.0
2018,NUTS,2010,SI,0,1275.0
2019,NUTS,2010,SI,0,1393.0
2011,NUTS,2010,SK,0,4963.0
2012,NUTS,2010,SK,0,4703.0
2013,NUTS,2010,SK,0,4659.0
2014,NUTS,2010,SK,0,4322.0
2015,NUTS,2010,SK,0,4220.0
2016,NUTS,2010,SK,0,4043.0
2017,NUTS,2010,SK,0,4253.0
2018,NUTS,2010,SK,0,4459.0
2019,NUTS,2010,SK,0,4665.0
2020,NUTS,2010,SK,0,4838.0
2011,NUTS,2010,TR,0,14595.0
2012,NUTS,2010,TR,0,16893.0
2013,NUTS,2010,TR,0,17756.0
2014,NUTS,2010,TR,0,17335.0
2015,NUTS,2010,TR,0,18308.0
2016,NUTS,2010,TR,0,22257.0
2017,NUTS,2010,TR,0,23881.0
2018,NUTS,2010,TR,0,24430.0
2019,NUTS,2010,TR,0,26187.0
2020,NUTS,2010,TR,0,26907.0
