year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_rse_pc_act_hc_f
2014,NUTS,2010,BG4,1,0.3296
2015,NUTS,2010,BG4,1,0.2973
2017,NUTS,2010,BG4,1,0.3138
2018,NUTS,2010,BG4,1,0.3015
2011,NUTS,2010,BG41,2,0.5412
2012,NUTS,2010,BG41,2,0.4958
2013,NUTS,2010,BG41,2,0.5021
2014,NUTS,2010,BG41,2,0.4897
2015,NUTS,2010,BG41,2,0.4387
2016,NUTS,2010,BG41,2,0.4892
2018,NUTS,2010,BG41,2,0.4407
2019,NUTS,2010,BG41,2,0.4386
2011,NUTS,2010,BG42,2,0.0618
2012,NUTS,2010,BG42,2,0.0595
2013,NUTS,2010,BG42,2,0.0571
2014,NUTS,2010,BG42,2,0.068
2015,NUTS,2010,BG42,2,0.0557
2018,NUTS,2010,BG42,2,0.0588
2012,NUTS,2010,CH,0,0.016
2014,NUTS,2010,CH,0,0.0179
2015,NUTS,2010,CH,0,0.0183
2017,NUTS,2010,CH,0,0.0172
2019,NUTS,2010,CH,0,0.0234
2011,NUTS,2010,CY,0,0.051
2012,NUTS,2010,CY,0,0.048
2013,NUTS,2010,CY,0,0.0471
2014,NUTS,2010,CY,0,0.0473
2015,NUTS,2010,CY,0,0.049
2016,NUTS,2010,CY,0,0.0513
2017,NUTS,2010,CY,0,0.0559
2018,NUTS,2010,CY,0,0.0551
2019,NUTS,2010,CY,0,0.0589
2011,NUTS,2010,CZ,0,0.155
2012,NUTS,2010,CZ,0,0.1497
2013,NUTS,2010,CZ,0,0.1582
2014,NUTS,2010,CZ,0,0.1581
2015,NUTS,2010,CZ,0,0.1672
2016,NUTS,2010,CZ,0,0.1709
2017,NUTS,2010,CZ,0,0.1844
2018,NUTS,2010,CZ,0,0.1837
2019,NUTS,2010,CZ,0,0.1857
2020,NUTS,2010,CZ,0,0.1937
2011,NUTS,2010,CZ0,1,0.1527
2012,NUTS,2010,CZ0,1,0.1475
2013,NUTS,2010,CZ0,1,0.1555
2014,NUTS,2010,CZ0,1,0.1556
2015,NUTS,2010,CZ0,1,0.1639
2016,NUTS,2010,CZ0,1,0.1672
2017,NUTS,2010,CZ0,1,0.1801
2018,NUTS,2010,CZ0,1,0.1789
2019,NUTS,2010,CZ0,1,0.1807
2020,NUTS,2010,CZ0,1,0.1886
2011,NUTS,2010,CZ01,2,0.8756
2012,NUTS,2010,CZ01,2,0.8699
2013,NUTS,2010,CZ01,2,0.872
2014,NUTS,2010,CZ01,2,0.8799
2015,NUTS,2010,CZ01,2,0.8508
2016,NUTS,2010,CZ01,2,0.8535
2017,NUTS,2010,CZ01,2,0.9203
2018,NUTS,2010,CZ01,2,0.8862
2019,NUTS,2010,CZ01,2,0.8687
2020,NUTS,2010,CZ01,2,0.8954
2011,NUTS,2010,CZ02,2,0.0697
2012,NUTS,2010,CZ02,2,0.0536
2013,NUTS,2010,CZ02,2,0.0741
2014,NUTS,2010,CZ02,2,0.0772
2015,NUTS,2010,CZ02,2,0.1496
2016,NUTS,2010,CZ02,2,0.1483
2017,NUTS,2010,CZ02,2,0.1451
2018,NUTS,2010,CZ02,2,0.1389
2019,NUTS,2010,CZ02,2,0.1417
2020,NUTS,2010,CZ02,2,0.1417
2011,NUTS,2010,CZ03,2,0.0503
2012,NUTS,2010,CZ03,2,0.0351
2013,NUTS,2010,CZ03,2,0.0587
2014,NUTS,2010,CZ03,2,0.085
2015,NUTS,2010,CZ03,2,0.0649
2016,NUTS,2010,CZ03,2,0.0801
2017,NUTS,2010,CZ03,2,0.0796
2018,NUTS,2010,CZ03,2,0.0791
2019,NUTS,2010,CZ03,2,0.0973
2020,NUTS,2010,CZ03,2,0.095
2011,NUTS,2010,CZ04,2,0.0105
2012,NUTS,2010,CZ04,2,0.0123
2013,NUTS,2010,CZ04,2,0.0075
2014,NUTS,2010,CZ04,2,0.0084
2015,NUTS,2010,CZ04,2,0.0067
2016,NUTS,2010,CZ04,2,0.0085
2017,NUTS,2010,CZ04,2,0.0122
2018,NUTS,2010,CZ04,2,0.0143
2019,NUTS,2010,CZ04,2,0.0148
2020,NUTS,2010,CZ04,2,0.0114
2011,NUTS,2010,CZ05,2,0.0134
2012,NUTS,2010,CZ05,2,0.0104
2013,NUTS,2010,CZ05,2,0.012
2014,NUTS,2010,CZ05,2,0.0093
2015,NUTS,2010,CZ05,2,0.0132
2016,NUTS,2010,CZ05,2,0.0131
2017,NUTS,2010,CZ05,2,0.0129
2018,NUTS,2010,CZ05,2,0.0132
2019,NUTS,2010,CZ05,2,0.0149
2020,NUTS,2010,CZ05,2,0.0155
2011,NUTS,2010,CZ06,2,0.1336
2012,NUTS,2010,CZ06,2,0.1265
2013,NUTS,2010,CZ06,2,0.1535
2014,NUTS,2010,CZ06,2,0.1194
2015,NUTS,2010,CZ06,2,0.1455
2016,NUTS,2010,CZ06,2,0.1501
2017,NUTS,2010,CZ06,2,0.1537
2018,NUTS,2010,CZ06,2,0.1614
2019,NUTS,2010,CZ06,2,0.164
2020,NUTS,2010,CZ06,2,0.1821
2011,NUTS,2010,CZ07,2,0.0126
2012,NUTS,2010,CZ07,2,0.0079
2013,NUTS,2010,CZ07,2,0.0061
2014,NUTS,2010,CZ07,2,0.0095
2015,NUTS,2010,CZ07,2,0.0098
2016,NUTS,2010,CZ07,2,0.011
2017,NUTS,2010,CZ07,2,0.0172
2018,NUTS,2010,CZ07,2,0.0189
2019,NUTS,2010,CZ07,2,0.0193
2020,NUTS,2010,CZ07,2,0.021
2011,NUTS,2010,CZ08,2,0.0084
2012,NUTS,2010,CZ08,2,0.012
2013,NUTS,2010,CZ08,2,0.0103
2014,NUTS,2010,CZ08,2,0.013
2015,NUTS,2010,CZ08,2,0.0161
2016,NUTS,2010,CZ08,2,0.0127
2017,NUTS,2010,CZ08,2,0.0146
2018,NUTS,2010,CZ08,2,0.0148
2019,NUTS,2010,CZ08,2,0.0157
2020,NUTS,2010,CZ08,2,0.0175
2011,NUTS,2010,DE,0,0.1165
2012,NUTS,2010,DE,0,0.122
2013,NUTS,2010,DE,0,0.1237
2014,NUTS,2010,DE,0,0.1138
2015,NUTS,2010,DE,0,0.1178
2016,NUTS,2010,DE,0,0.1166
2017,NUTS,2010,DE,0,0.1204
2018,NUTS,2010,DE,0,0.128
2019,NUTS,2010,DE,0,0.1323
2015,NUTS,2010,DE1,1,0.1306
2016,NUTS,2010,DE1,1,0.1158
2017,NUTS,2010,DE1,1,0.1197
2018,NUTS,2010,DE1,1,0.1257
2019,NUTS,2010,DE1,1,0.1285
2015,NUTS,2010,DE11,2,0.0528
2016,NUTS,2010,DE11,2,0.0497
2017,NUTS,2010,DE11,2,0.0471
2018,NUTS,2010,DE11,2,0.0486
2019,NUTS,2010,DE11,2,0.0512
2015,NUTS,2010,DE12,2,0.3549
2016,NUTS,2010,DE12,2,0.3075
2017,NUTS,2010,DE12,2,0.3188
2018,NUTS,2010,DE12,2,0.3244
2019,NUTS,2010,DE12,2,0.3256
2015,NUTS,2010,DE13,2,0.0593
2016,NUTS,2010,DE13,2,0.0577
2017,NUTS,2010,DE13,2,0.0638
2018,NUTS,2010,DE13,2,0.0706
2019,NUTS,2010,DE13,2,0.0748
2015,NUTS,2010,DE14,2,0.0562
2016,NUTS,2010,DE14,2,0.0551
2017,NUTS,2010,DE14,2,0.0598
2018,NUTS,2010,DE14,2,0.0719
2019,NUTS,2010,DE14,2,0.07
2015,NUTS,2010,DE2,1,0.0999
2016,NUTS,2010,DE2,1,0.096
2017,NUTS,2010,DE2,1,0.0985
2018,NUTS,2010,DE2,1,0.1035
2019,NUTS,2010,DE2,1,0.1076
2015,NUTS,2010,DE21,2,0.2311
2016,NUTS,2010,DE21,2,0.2246
2017,NUTS,2010,DE21,2,0.2268
2018,NUTS,2010,DE21,2,0.2365
2019,NUTS,2010,DE21,2,0.2409
2015,NUTS,2010,DE22,2,0.005
2016,NUTS,2010,DE22,2,0.0043
2017,NUTS,2010,DE22,2,0.0043
2018,NUTS,2010,DE22,2,0.0046
2019,NUTS,2010,DE22,2,0.0051
2015,NUTS,2010,DE23,2,0.0131
2016,NUTS,2010,DE23,2,0.014
2017,NUTS,2010,DE23,2,0.0148
2018,NUTS,2010,DE23,2,0.0152
2019,NUTS,2010,DE23,2,0.0145
2015,NUTS,2010,DE24,2,0.0466
2016,NUTS,2010,DE24,2,0.0244
2017,NUTS,2010,DE24,2,0.0391
2018,NUTS,2010,DE24,2,0.0404
2019,NUTS,2010,DE24,2,0.0367
2015,NUTS,2010,DE25,2,0.0407
2016,NUTS,2010,DE25,2,0.0424
2017,NUTS,2010,DE25,2,0.0449
2018,NUTS,2010,DE25,2,0.0509
