year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_rse_f_pc_emp_fte
2011,NUTS,2010,AT,0,0.225
2013,NUTS,2010,AT,0,0.2354
2015,NUTS,2010,AT,0,0.255
2017,NUTS,2010,AT,0,0.2491
2019,NUTS,2010,AT,0,0.2755
2011,NUTS,2010,AT1,1,0.3087
2013,NUTS,2010,AT1,1,0.3215
2019,NUTS,2010,AT1,1,0.3666
2011,NUTS,2010,AT11,2,0.0188
2013,NUTS,2010,AT11,2,0.0232
2019,NUTS,2010,AT11,2,0.0372
2011,NUTS,2010,AT12,2,0.0269
2013,NUTS,2010,AT12,2,0.0509
2015,NUTS,2010,AT12,2,0.0591
2017,NUTS,2010,AT12,2,0.0771
2019,NUTS,2010,AT12,2,0.1143
2011,NUTS,2010,AT13,2,0.6309
2013,NUTS,2010,AT13,2,0.6242
2015,NUTS,2010,AT13,2,0.659
2017,NUTS,2010,AT13,2,0.6053
2019,NUTS,2010,AT13,2,0.6523
2011,NUTS,2010,AT2,1,0.1984
2013,NUTS,2010,AT2,1,0.2057
2017,NUTS,2010,AT2,1,0.2401
2019,NUTS,2010,AT2,1,0.2607
2011,NUTS,2010,AT21,2,0.0851
2013,NUTS,2010,AT21,2,0.0893
2015,NUTS,2010,AT21,2,0.0824
2017,NUTS,2010,AT21,2,0.0993
2019,NUTS,2010,AT21,2,0.1001
2011,NUTS,2010,AT22,2,0.2481
2013,NUTS,2010,AT22,2,0.2579
2015,NUTS,2010,AT22,2,0.3029
2017,NUTS,2010,AT22,2,0.3017
2019,NUTS,2010,AT22,2,0.33
2011,NUTS,2010,AT3,1,0.1357
2013,NUTS,2010,AT3,1,0.1454
2019,NUTS,2010,AT3,1,0.1714
2011,NUTS,2010,AT31,2,0.0747
2013,NUTS,2010,AT31,2,0.0799
2015,NUTS,2010,AT31,2,0.0805
2017,NUTS,2010,AT31,2,0.0808
2019,NUTS,2010,AT31,2,0.0868
2011,NUTS,2010,AT32,2,0.1695
2013,NUTS,2010,AT32,2,0.1905
2015,NUTS,2010,AT32,2,0.2387
2017,NUTS,2010,AT32,2,0.239
2019,NUTS,2010,AT32,2,0.2602
2011,NUTS,2010,AT33,2,0.2921
2013,NUTS,2010,AT33,2,0.3021
2015,NUTS,2010,AT33,2,0.3232
2017,NUTS,2010,AT33,2,0.317
2019,NUTS,2010,AT33,2,0.3421
2011,NUTS,2010,AT34,2,0.0107
2013,NUTS,2010,AT34,2,0.0162
2019,NUTS,2010,AT34,2,0.0269
2011,NUTS,2010,BE,0,0.3853
2012,NUTS,2010,BE,0,0.386
2013,NUTS,2010,BE,0,0.3926
2014,NUTS,2010,BE,0,0.3972
2015,NUTS,2010,BE,0,0.4223
2016,NUTS,2010,BE,0,0.4051
2017,NUTS,2010,BE,0,0.4067
2018,NUTS,2010,BE,0,0.3987
2019,NUTS,2010,BE,0,0.3964
2012,NUTS,2010,BE1,1,0.7315
2013,NUTS,2010,BE1,1,0.7488
2014,NUTS,2010,BE1,1,0.8019
2015,NUTS,2010,BE1,1,0.9118
2016,NUTS,2010,BE1,1,0.8492
2017,NUTS,2010,BE1,1,0.8615
2018,NUTS,2010,BE1,1,0.7652
2019,NUTS,2010,BE1,1,0.7487
